ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,2,2,2,2,1.13
1,2,2,2,2,1.13
1,2,2,2,2,1.13
1,2,2,2,2,1.13
1,3,2,2,2,1.703
1,3,2,2,2,1.703
1,3,2,2,2,1.703
1,3,2,2,2,1.703
2,1,2,2,2,1.13
2,1,2,2,2,1.13
2,1,2,2,2,1.13
2,1,2,2,2,1.13
3,1,2,2,3,1.703
3,1,2,2,3,1.703
3,1,2,2,3,1.703
3,1,2,2,3,1.703
4,258,2,2,7,5.725
4,258,2,2,7,5.725
4,258,2,2,7,5.725
258,4,2,2,7,5.725
258,4,2,2,7,5.725
258,4,2,2,7,5.725
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,893,5,5,1,0.493
1,893,5,5,1,0.493
1,896,5,5,1,0.396
1,896,5,5,1,0.396
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,201,5,5,1,0.401
2,201,5,5,1,0.401
2,392,5,5,1,0.314
2,392,5,5,1,0.314
2,927,5,5,1,0.312
2,927,5,5,1,0.312
2,965,5,5,1,0.351
2,965,5,5,1,0.351
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,262,5,5,3,1.044
3,262,5,5,3,1.044
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,129,5,5,1,0.424
4,129,5,5,1,0.424
4,129,5,5,1,0.424
4,380,5,5,1,0.417
4,380,5,5,1,0.417
4,380,5,5,1,0.417
4,418,5,5,1,0.309
4,418,5,5,1,0.309
4,418,5,5,1,0.309
4,559,5,5,1,0.327
4,559,5,5,1,0.327
4,559,5,5,1,0.327
4,616,5,5,1,0.461
4,616,5,5,1,0.461
4,616,5,5,1,0.461
4,663,5,5,1,0.671
4,663,5,5,1,0.671
4,663,5,5,1,0.671
4,812,5,5,1,0.278
4,812,5,5,1,0.278
4,812,5,5,1,0.278
7,901,5,5,1,0.247
8,585,5,5,1,0.434
10,215,5,5,3,0.361
10,952,5,5,1,0.191
11,481,5,5,1,0.192
12,951,5,5,1,0.282
13,14,5,5,1,0.095
13,696,5,5,1,0.201
14,215,5,5,1,0.165
14,696,5,5,1,0.118
14,702,5,5,1,0.319
15,268,5,5,1,0.526
15,270,5,5,1,0.425
15,271,5,5,2,0.416
16,369,5,5,1,0.082
16,432,5,5,1,0.411
17,860,5,5,1,0.55
18,681,5,5,3,0.322
18,685,5,5,1,0.123
19,404,5,5,1,0.169
20,316,5,5,1,0.299
20,980,5,5,1,0.125
21,209,5,5,1,0.191
22,26,5,5,1,0.117
22,466,5,5,1,0.52
23,28,5,5,1,0.143
24,25,5,5,1,0.256
24,26,5,5,1,0.142
25,27,5,5,1,0.218
26,609,5,5,1,0.708
27,466,5,5,1,0.166
28,22,5,5,1,0.296
28,24,5,5,1,0.273
29,22,5,5,1,0.083
29,24,5,5,1,0.107
29,25,5,5,1,0.333
30,32,5,5,1,0.287
31,34,5,5,1,0.487
31,87,5,5,1,0.24
32,35,5,5,1,0.722
33,36,5,5,1,0.036
34,86,5,5,1,0.767
35,687,5,5,1,0.46
36,85,5,5,1,0.722
36,866,5,5,2,1.481
37,525,5,5,1,0.237
38,775,5,5,1,0.417
39,184,5,5,1,0.237
40,41,5,5,1,0.257
41,562,5,5,2,0.52
42,44,5,5,1,0.192
42,641,5,5,2,0.742
43,79,5,5,1,1.214
43,162,5,5,5,2.151
43,537,5,5,3,1.369
44,641,5,5,1,0.554
45,395,5,5,1,0.407
45,396,5,5,1,0.402
45,734,5,5,4,1.415
46,145,5,5,2,0.721
46,176,5,5,1,0.35
46,350,5,5,1,0.337
46,480,5,5,2,0.317
46,532,5,5,1,0.415
46,726,5,5,1,0.339
47,229,5,5,3,1.569
48,762,5,5,1,0.496
48,891,5,5,2,1.093
49,647,5,5,1,0.318
49,834,5,5,1,0.35
49,837,5,5,1,0.041
50,408,5,5,1,0.399
50,728,5,5,1,0.324
51,302,5,5,1,0.325
51,426,5,5,1,0.705
52,383,5,5,1,0.25
53,55,5,5,1,0.332
54,368,5,5,1,0.277
55,370,5,5,1,0.254
55,622,5,5,1,0.247
56,142,5,5,2,0.6
56,961,5,5,1,0.279
57,552,5,5,1,0.081
58,534,5,5,1,0.481
58,935,5,5,1,0.179
59,58,5,5,1,0.174
60,617,5,5,1,0.325
61,59,5,5,1,0.338
61,408,5,5,1,0.451
