nodeid,lat,lon,layer
1,53.73288,-2.51839,2
1,53.73288,-2.51839,5
2,53.73547,-2.50174,2
2,53.73547,-2.50174,5
3,53.73097,-2.54413,2
3,53.73097,-2.54413,5
4,53.69804,-2.46495,4
4,53.69804,-2.46495,2
4,53.69804,-2.46495,5
5,53.64237,-2.60489,5
6,53.64254,-2.60481,5
7,53.6969,-2.25509,5
8,53.69941,-2.27085,5
9,53.64064,-2.3962,5
10,53.726,-2.46663,5
11,53.72627,-2.46717,5
12,53.72491,-2.45859,5
13,53.72451,-2.4593,5
14,53.72412,-2.46059,5
15,53.73301,-2.45657,5
16,53.73323,-2.45657,5
17,53.72788,-2.44718,5
18,53.70042,-2.19862,5
19,53.69413,-2.1904,5
20,53.70328,-2.19115,5
21,53.70327,-2.19138,5
22,53.70299,-2.46367,5
23,53.70047,-2.46081,5
24,53.7028,-2.46345,5
25,53.70206,-2.45975,5
26,53.70397,-2.46433,5
27,53.70021,-2.46088,5
28,53.70162,-2.4598,5
29,53.70372,-2.46398,5
30,53.7033,-2.51331,5
31,53.70546,-2.5114,5
32,53.70567,-2.51154,5
33,53.68847,-2.50856,5
34,53.70154,-2.51474,5
35,53.71177,-2.50769,5
36,53.68865,-2.50903,5
37,53.69649,-2.54269,5
38,53.69177,-2.22983,5
39,53.74344,-2.38257,5
40,53.68511,-2.60707,5
41,53.68313,-2.60912,5
42,53.70604,-2.57308,5
43,53.68528,-2.60306,5
44,53.70503,-2.57546,5
45,53.70529,-2.57511,5
46,53.699,-2.28968,5
47,53.6477,-2.39365,5
48,53.72427,-2.57752,5
49,53.70337,-2.32553,5
50,53.69549,-2.31319,5
51,53.69558,-2.32731,5
52,53.71176,-2.32505,5
53,53.74329,-2.44863,5
54,53.74315,-2.44864,5
55,53.74042,-2.44719,5
56,53.71015,-2.28986,5
57,53.70427,-2.29088,5
58,53.6962,-2.30995,5
59,53.69563,-2.31243,5
60,53.69921,-2.29875,5
61,53.69648,-2.31738,5
62,53.72086,-2.32496,5
63,53.72764,-2.51411,5
64,53.72734,-2.51392,5
65,53.72727,-2.51389,5
66,53.72729,-2.51365,5
67,53.72962,-2.515,5
68,53.69608,-2.42862,5
69,53.69579,-2.4319,5
70,53.69571,-2.43181,5
71,53.69522,-2.42702,5
72,53.69534,-2.42702,5
73,53.73007,-2.45216,5
74,53.73401,-2.46004,5
75,53.73422,-2.45999,5
76,53.72751,-2.44923,5
77,53.72813,-2.44706,5
78,53.72572,-2.45525,5
79,53.69526,-2.59548,5
80,53.6713,-2.30552,5
81,53.71268,-2.48183,5
82,53.70737,-2.48318,5
83,53.69247,-2.45242,5
84,53.7117,-2.50735,5
85,53.69498,-2.51159,5
86,53.69493,-2.5113,5
87,53.70348,-2.51289,5
88,53.72611,-2.48917,5
89,53.72458,-2.48677,5
90,53.71773,-2.48404,5
91,53.65109,-2.39858,5
92,53.64801,-2.39285,5
93,53.73752,-2.59816,5
94,53.73458,-2.34607,5
95,53.73789,-2.35068,5
96,53.73559,-2.34729,5
97,53.70835,-2.32386,5
98,53.70333,-2.29604,5
99,53.66702,-2.44729,5
100,53.73997,-2.50554,5
101,53.73999,-2.5058,5
102,53.74049,-2.50746,5
103,53.74232,-2.50422,5
104,53.74099,-2.50719,5
105,53.7425,-2.50352,5
106,53.73911,-2.51093,5
107,53.739,-2.51085,5
108,53.69773,-2.25294,5
109,53.70322,-2.29613,5
110,53.74434,-2.44168,5
111,53.69286,-2.21953,5
112,53.70043,-2.32004,5
113,53.69081,-2.32575,5
114,53.69903,-2.33341,5
115,53.69782,-2.31934,5
116,53.64478,-2.41305,5
117,53.69633,-2.42181,5
118,53.69703,-2.42955,5
119,53.69708,-2.42928,5
120,53.6957,-2.43735,5
121,53.69552,-2.43843,5
122,53.71858,-2.60078,5
123,53.72657,-2.51525,5
124,53.72787,-2.50777,5
125,53.68805,-2.45581,5
126,53.68816,-2.45614,5
127,53.69484,-2.46202,5
128,53.69045,-2.45923,5
