ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
260,1125,2,2,6,6.501
260,1125,2,2,6,6.501
260,1125,2,2,6,6.501
260,1125,2,2,6,6.501
260,2561,2,2,5,4.315
260,2561,2,2,5,4.315
260,2561,2,2,5,4.315
260,2561,2,2,5,4.315
1096,1823,2,2,13,15.79
1096,1823,2,2,13,15.79
1096,1823,2,2,13,15.79
1096,1823,2,2,13,15.79
1096,1823,2,2,13,15.79
1096,1823,2,2,13,15.79
1096,1823,2,2,13,15.79
1096,1823,2,2,13,15.79
1096,1823,2,2,13,15.79
1096,1823,2,2,13,15.79
1096,1823,2,2,13,15.79
1096,1823,2,2,13,15.79
1096,2729,2,2,6,7.841
1096,2729,2,2,6,7.841
1096,2729,2,2,6,7.841
1096,2729,2,2,6,7.841
1096,2729,2,2,6,7.841
1096,2729,2,2,6,7.841
1125,260,2,2,5,6.501
1125,260,2,2,5,6.501
1125,260,2,2,5,6.501
1125,260,2,2,5,6.501
1125,2063,2,2,2,1.893
1125,2063,2,2,2,1.893
1125,2063,2,2,2,1.893
1125,2063,2,2,2,1.893
1193,1907,2,2,6,6.997
1193,1907,2,2,6,6.997
1193,1907,2,2,6,6.997
1193,1907,2,2,6,6.997
1193,1907,2,2,6,6.997
1193,1907,2,2,6,6.997
1193,2159,2,2,3,3.66
1193,2159,2,2,3,3.66
1193,2159,2,2,3,3.66
1193,2159,2,2,3,3.66
1365,2707,2,2,3,3.176
1365,2707,2,2,3,3.176
1365,2707,2,2,3,3.176
1365,2707,2,2,3,3.176
1511,1823,2,2,25,23.688
1511,1823,2,2,25,23.688
1511,1823,2,2,25,23.688
1511,1823,2,2,25,23.688
1511,1823,2,2,25,23.688
1511,1823,2,2,25,23.688
1511,1823,2,2,25,23.688
1511,1823,2,2,25,23.688
1511,1888,2,2,8,6.169
1511,1888,2,2,8,6.169
1511,1888,2,2,8,6.169
1511,1888,2,2,8,6.169
1511,2063,2,2,8,8.241
1511,2063,2,2,8,8.241
1511,2063,2,2,8,8.241
1511,2063,2,2,8,8.241
1511,2806,2,2,3,3.364
1511,2806,2,2,3,3.364
1511,2806,2,2,3,3.364
1511,2806,2,2,3,3.364
1777,1823,2,2,6,6.653
1777,1823,2,2,6,6.653
1777,1823,2,2,6,6.653
1777,1823,2,2,6,6.653
1777,1823,2,2,6,6.653
1777,1823,2,2,6,6.653
1777,1823,2,2,6,6.653
1777,1823,2,2,6,6.653
1823,1096,2,2,10,15.79
1823,1096,2,2,10,15.79
1823,1096,2,2,10,15.79
1823,1096,2,2,10,15.79
1823,1096,2,2,10,15.79
1823,1096,2,2,10,15.79
1823,1096,2,2,10,15.79
1823,1096,2,2,10,15.79
1823,1096,2,2,10,15.79
1823,1096,2,2,10,15.79
1823,1096,2,2,10,15.79
1823,1096,2,2,10,15.79
1823,1511,2,2,20,23.688
1823,1511,2,2,20,23.688
1823,1511,2,2,20,23.688
1823,1511,2,2,20,23.688
1823,1511,2,2,20,23.688
1823,1511,2,2,20,23.688
1823,1511,2,2,20,23.688
1823,1511,2,2,20,23.688
1823,1777,2,2,5,6.653
1823,1777,2,2,5,6.653
1823,1777,2,2,5,6.653
1823,1777,2,2,5,6.653
1823,1777,2,2,5,6.653
1823,1777,2,2,5,6.653
1823,1777,2,2,5,6.653
1823,1777,2,2,5,6.653
1823,2063,2,2,14,15.45
1823,2063,2,2,14,15.45
1823,2063,2,2,14,15.45
1823,2063,2,2,14,15.45
1823,2063,2,2,14,15.45
1823,2063,2,2,14,15.45
1823,2063,2,2,14,15.45
