nodeid,lat,lon,layer
1,53.21598,-1.16254,5
2,53.43797,-1.38166,5
3,53.44214,-1.38141,5
4,53.33747,-1.35678,5
5,53.33958,-1.35367,5
6,53.33647,-1.35372,5
7,53.3351,-1.35093,5
8,53.16436,-1.39731,5
9,53.39614,-1.39795,5
10,53.44441,-1.29195,5
11,53.44037,-1.35106,5
12,53.44137,-1.2822,5
13,53.42166,-1.21295,5
14,53.42147,-1.21569,5
15,53.51919,-1.47418,5
16,53.42229,-1.20826,5
17,53.42373,-1.44308,5
18,53.38706,-1.37588,5
19,53.38575,-1.35466,5
20,53.38561,-1.35225,5
21,53.3876,-1.35036,5
22,53.36939,-1.46485,5
23,53.47263,-1.33681,5
24,53.20408,-1.37489,5
25,53.17267,-1.17686,5
26,53.2089,-1.2289,5
27,53.21282,-1.22217,5
28,53.21227,-1.21367,5
29,53.21024,-1.21922,5
30,53.26829,-1.48475,5
31,53.25713,-1.48019,5
32,53.26212,-1.43563,5
33,53.21337,-1.21643,5
34,53.27639,-1.49726,5
35,53.28601,-1.28326,5
36,53.25493,-1.43472,5
37,53.2573,-1.43645,5
38,53.26134,-1.44923,5
39,53.27892,-1.26226,5
40,53.27673,-1.2482,5
41,53.24818,-1.46957,5
42,53.22982,-1.40145,5
43,53.17212,-1.4255,5
44,53.41603,-1.34222,5
45,53.19136,-1.4155,5
46,53.19113,-1.41705,5
47,53.1834,-1.40855,5
48,53.18399,-1.41237,5
49,53.18243,-1.40291,5
50,53.18298,-1.40629,5
51,53.19086,-1.40961,5
52,53.19107,-1.41196,5
53,53.18518,-1.40851,5
54,53.1872,-1.40835,5
55,53.41814,-1.34564,5
56,53.25111,-1.29961,5
57,53.38104,-1.49068,5
58,53.38043,-1.49539,5
59,53.31184,-1.14192,5
60,53.37783,-1.49989,5
61,53.32624,-1.2484,5
62,53.40784,-1.5238,5
63,53.40796,-1.51679,5
64,53.41661,-1.52506,5
65,53.41533,-1.52286,5
66,53.36218,-1.32657,5
67,53.36292,-1.3309,5
68,53.38814,-1.46623,5
69,53.35454,-1.52523,5
70,53.35436,-1.52165,5
71,53.3701,-1.42257,5
72,53.36961,-1.42709,5
73,53.4613,-1.48038,5
74,53.4619,-1.47885,5
75,53.41634,-1.52151,5
76,53.46963,-1.46857,5
77,53.30232,-1.10025,5
78,53.22409,-1.28485,5
79,53.25868,-1.39349,5
80,53.153,-1.41326,5
81,53.16949,-1.42811,5
82,53.16979,-1.4161,5
83,53.17499,-1.44043,5
84,53.17944,-1.43109,5
85,53.15824,-1.41443,5
86,53.16204,-1.41506,5
87,53.16814,-1.4242,5
88,53.184,-1.41554,5
89,53.39411,-1.37605,5
90,53.31676,-1.31589,5
91,53.31442,-1.31882,5
92,53.31212,-1.31881,5
93,53.31784,-1.31604,5
94,53.31806,-1.31381,5
95,53.32129,-1.31889,5
96,53.31797,-1.32582,5
97,53.26097,-1.4514,5
98,53.37686,-1.45249,5
99,53.24996,-1.41544,5
100,53.20098,-1.41941,5
101,53.20266,-1.42457,5
102,53.52596,-1.40551,5
103,53.35205,-1.42453,5
103,53.35205,-1.42453,3
104,53.3575,-1.37672,5
105,53.35752,-1.40354,5
106,53.39259,-1.50422,5
107,53.40123,-1.55168,5
108,53.23129,-1.36961,5
109,53.3781,-1.52612,5
110,53.35506,-1.43167,5
111,53.40202,-1.49996,5
111,53.40202,-1.49996,3
112,53.46799,-1.30612,5
113,53.42292,-1.20367,5
114,53.46799,-1.33634,5
115,53.32805,-1.47861,5
116,53.33598,-1.49231,5
117,53.24085,-1.33866,5
118,53.17185,-1.42868,5
119,53.21744,-1.40827,5
120,53.27104,-1.3486,5
121,53.24507,-1.44191,5
122,53.22894,-1.41424,5
123,53.249,-1.45527,5
124,53.35592,-1.21278,5
125,53.35738,-1.1206,5
126,53.35937,-1.12508,5
127,53.35669,-1.21335,5
128,53.50335,-1.4086,5
129,53.17649,-1.17595,5
130,53.17021,-1.17233,5
131,53.2248,-1.28824,5
132,53.37999,-1.1232,5
133,53.23448,-1.2025,5
134,53.53795,-1.46518,5
135,53.53568,-1.47354,5
136,53.53458,-1.47553,5
137,53.54026,-1.46802,5
138,53.50078,-1.44643,5
139,53.5091,-1.44045,5
140,53.50855,-1.442,5
141,53.50879,-1.43966,5
142,53.44856,-1.41954,5
143,53.45301,-1.4127,5
144,53.45479,-1.43207,5
145,53.46163,-1.48315,5
146,53.41922,-1.45211,5
147,53.29036,-1.28788,5
148,53.42722,-1.44752,5
149,53.4287,-1.45083,5
150,53.4319,-1.4507,5
151,53.4343,-1.45011,5
152,53.32282,-1.49844,5
153,53.32161,-1.49976,5
154,53.50901,-1.37967,5
155,53.32569,-1.48861,5
156,53.32424,-1.49215,5
157,53.32416,-1.495,5
158,53.45067,-1.38164,5
159,53.44107,-1.361,5
160,53.32574,-1.47987,5
161,53.33006,-1.48809,5
162,53.32694,-1.484,5
163,53.32469,-1.48803,5
164,53.25791,-1.36072,5
165,53.2602,-1.36052,5
166,53.26486,-1.34507,5
167,53.26091,-1.34756,5
168,53.26295,-1.35966,5
169,53.26823,-1.3435,5
170,53.25629,-1.36632,5
171,53.25636,-1.36256,5
172,53.25851,-1.34179,5
173,53.25852,-1.33773,5
174,53.45323,-1.39041,5
175,53.24533,-1.46304,5
176,53.21482,-1.21829,5
177,53.36965,-1.49367,5
178,53.37182,-1.43046,5
179,53.37338,-1.48055,5
180,53.37219,-1.4863,5
181,53.26839,-1.4272,5
182,53.41106,-1.47925,5
183,53.41018,-1.47666,5
184,53.36545,-1.43087,5
185,53.47135,-1.34729,5
186,53.47171,-1.34073,5
187,53.46508,-1.33963,5
188,53.39642,-1.38866,5
189,53.39777,-1.32414,5
190,53.52712,-1.46882,5
191,53.53204,-1.46763,5
192,53.53288,-1.47336,5
193,53.53505,-1.46456,5
194,53.52647,-1.47038,5
195,53.53149,-1.47208,5
196,53.52879,-1.47108,5
197,53.52982,-1.46931,5
198,53.40891,-1.31057,5
199,53.41188,-1.31948,5
200,53.41252,-1.32317,5
201,53.415,-1.31851,5
202,53.41701,-1.31384,5
203,53.16653,-1.41568,5
204,53.33131,-1.12534,5
205,53.22466,-1.46336,5
206,53.37778,-1.12669,5
207,53.36082,-1.52192,5
208,53.27244,-1.48918,5
209,53.34171,-1.1133,5
210,53.2726,-1.4417,5
