ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,28,5,5,1,0.414
1,28,5,5,1,0.414
1,57,5,5,1,0.272
1,57,5,5,1,0.272
2,31,5,5,1,0.343
3,61,5,5,7,2.256
3,135,5,5,1,0.515
3,351,5,5,1,0.766
4,58,5,5,3,0.93
4,175,5,5,1,0.263
4,218,5,5,8,1.707
5,131,5,5,3,1.148
5,140,5,5,1,0.466
5,141,5,5,2,0.454
5,256,5,5,5,1.473
5,256,5,5,5,1.473
5,256,5,5,5,1.473
5,256,5,5,5,1.473
5,256,5,5,5,1.473
5,256,5,5,5,1.473
5,256,5,5,5,1.473
5,256,5,5,5,1.473
6,15,5,5,1,0.224
6,274,5,5,1,0.165
7,18,5,5,1,0.327
8,134,5,5,1,0.106
9,327,5,5,2,0.351
10,185,5,5,1,0.174
11,72,5,5,2,0.72
12,50,5,5,1,0.232
13,230,5,5,1,0.25
14,3,5,5,1,0.679
14,22,5,5,2,0.139
14,151,5,5,2,0.098
14,232,5,5,7,0.422
14,343,5,5,1,0.211
14,343,5,5,1,0.211
14,343,5,5,1,0.211
14,343,5,5,1,0.211
14,343,5,5,1,0.211
14,343,5,5,1,0.211
14,343,5,5,1,0.211
14,343,5,5,1,0.211
14,347,5,5,1,0.373
15,225,5,5,1,0.24
15,245,5,5,2,1.047
15,246,5,5,1,0.154
16,163,5,5,1,0.124
17,49,5,5,2,0.12
17,120,5,5,1,0.082
17,150,5,5,3,2.005
18,10,5,5,2,0.338
19,146,5,5,1,0.211
20,256,5,5,10,2.333
20,256,5,5,10,2.333
20,256,5,5,10,2.333
20,256,5,5,10,2.333
20,256,5,5,10,2.333
20,256,5,5,10,2.333
20,256,5,5,10,2.333
20,256,5,5,10,2.333
21,166,5,5,1,0.279
22,195,5,5,2,0.302
22,209,5,5,1,0.674
22,345,5,5,1,0.192
23,323,5,5,1,0.282
24,49,5,5,9,3.018
24,157,5,5,1,0.329
24,169,5,5,3,0.86
24,256,5,5,1,0.172
24,256,5,5,1,0.172
24,256,5,5,1,0.172
24,256,5,5,1,0.172
24,256,5,5,1,0.172
24,256,5,5,1,0.172
24,256,5,5,1,0.172
24,256,5,5,1,0.172
24,257,5,5,1,0.302
24,259,5,5,1,0.162
24,259,5,5,1,0.162
24,259,5,5,1,0.162
24,259,5,5,1,0.162
24,259,5,5,1,0.162
24,259,5,5,1,0.162
24,259,5,5,1,0.162
24,259,5,5,1,0.162
24,347,5,5,1,0.611
25,12,5,5,1,0.164
26,319,5,5,1,0.228
27,346,5,5,1,0.376
28,24,5,5,1,0.332
29,354,5,5,1,0.017
30,272,5,5,1,0.167
31,300,5,5,1,0.334
32,278,5,5,1,0.222
32,296,5,5,2,0.938
34,141,5,5,1,0.205
35,131,5,5,1,0.445
36,21,5,5,1,0.031
37,184,5,5,1,0.191
