nodeid,lat,lon,layer
1,52.37911,-1.25048,2
1,52.37911,-1.25048,5
2,52.36471,-1.28189,5
3,52.36749,-1.26457,5
4,52.37769,-1.23677,5
5,52.37782,-1.23641,5
6,52.37346,-1.27665,5
7,52.36488,-1.27221,5
8,52.36224,-1.26695,5
9,52.36228,-1.26665,5
10,52.36459,-1.28184,5
11,52.36966,-1.26928,5
12,52.3656,-1.29029,5
13,52.39396,-1.24369,5
14,52.37347,-1.26246,5
15,52.37249,-1.27375,5
16,52.37234,-1.27382,5
17,52.35022,-1.27556,5
18,52.3653,-1.27699,5
19,52.36083,-1.23018,5
20,52.35748,-1.28108,5
21,52.35515,-1.26912,5
22,52.37303,-1.26053,5
23,52.35817,-1.22505,5
24,52.37269,-1.25377,5
25,52.36454,-1.29199,5
26,52.35759,-1.2424,5
27,52.37567,-1.28547,5
28,52.37556,-1.25236,5
29,52.3594,-1.27921,5
30,52.38552,-1.24968,5
31,52.36551,-1.277,5
32,52.38444,-1.27135,5
33,52.36447,-1.28525,5
34,52.37349,-1.24302,5
35,52.37286,-1.24414,5
36,52.35542,-1.26926,5
37,52.36917,-1.29029,5
38,52.39512,-1.23854,5
39,52.35831,-1.23921,5
40,52.4138,-1.24432,5
41,52.3603,-1.27272,5
42,52.42135,-1.24938,5
43,52.35901,-1.23691,5
44,52.35883,-1.23709,5
45,52.37291,-1.26204,5
46,52.36714,-1.2411,5
47,52.38424,-1.24872,5
48,52.33739,-1.29089,5
49,52.34938,-1.27669,5
50,52.36729,-1.28826,5
51,52.36066,-1.21754,5
52,52.36078,-1.21753,5
53,52.33667,-1.2943,5
54,52.36442,-1.22777,5
55,52.36988,-1.23026,5
56,52.36608,-1.29451,5
57,52.38145,-1.24929,5
58,52.38139,-1.24909,5
59,52.37085,-1.25103,5
60,52.38771,-1.27685,5
61,52.35262,-1.28725,5
62,52.36673,-1.27754,5
63,52.37316,-1.28088,5
64,52.37248,-1.2821,5
65,52.37778,-1.26494,5
66,52.37777,-1.26477,5
67,52.36459,-1.29588,5
68,52.38852,-1.24193,5
69,52.37098,-1.23212,5
70,52.36329,-1.26778,5
71,52.36895,-1.24502,5
72,52.36634,-1.27841,5
73,52.38464,-1.2659,5
74,52.35713,-1.2775,5
75,52.3631,-1.24975,5
76,52.37429,-1.26285,5
77,52.37301,-1.26173,5
78,52.38633,-1.28267,5
79,52.38594,-1.28228,5
80,52.3876,-1.24626,5
81,52.3865,-1.26956,5
82,52.38649,-1.2704,5
83,52.37419,-1.27863,5
84,52.3657,-1.25044,5
85,52.36576,-1.25067,5
86,52.36067,-1.21071,5
87,52.38809,-1.27777,5
88,52.38382,-1.28328,5
89,52.3821,-1.22733,5
90,52.35606,-1.20155,5
91,52.35625,-1.20179,5
92,52.35586,-1.27071,5
93,52.35714,-1.20737,5
94,52.3588,-1.30294,5
95,52.34069,-1.29129,5
96,52.3584,-1.22811,5
97,52.35974,-1.24386,5
98,52.3508,-1.28129,5
99,52.39006,-1.27974,5
100,52.38777,-1.28247,5
101,52.38787,-1.28225,5
102,52.36161,-1.29464,5
103,52.36188,-1.295,5
104,52.35468,-1.27129,5
105,52.38187,-1.30531,5
106,52.35715,-1.24283,5
107,52.36923,-1.24567,5
108,52.36522,-1.22533,5
109,52.34776,-1.28309,5
110,52.35155,-1.28772,5
111,52.33678,-1.28871,5
112,52.35188,-1.27449,5
113,52.35871,-1.29429,5
114,52.35855,-1.29429,5
115,52.39012,-1.28074,5
116,52.35888,-1.2696,5
117,52.3614,-1.26903,5
118,52.35855,-1.22801,5
119,52.36559,-1.22127,5
120,52.35025,-1.27678,5
121,52.37012,-1.24239,5
122,52.37011,-1.24214,5
123,52.34946,-1.27908,5
124,52.34952,-1.27852,5
125,52.35976,-1.26575,5
126,52.36105,-1.20915,5
127,52.36274,-1.22389,5
128,52.39577,-1.24679,5
129,52.35235,-1.26649,5
130,52.37593,-1.29425,5
131,52.37218,-1.25062,5
132,52.36608,-1.2377,5
133,52.36621,-1.23635,5
134,52.36319,-1.26676,5
135,52.36303,-1.26668,5
136,52.36372,-1.21739,5
137,52.3368,-1.29009,5
138,52.33687,-1.29031,5
139,52.35797,-1.23004,5
140,52.37449,-1.24061,5
141,52.37466,-1.24067,5
