ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
56,136,2,2,4,3.909
56,136,2,2,4,3.909
56,136,2,2,4,3.909
56,136,2,2,4,3.909
56,192,2,2,5,5.184
56,192,2,2,5,5.184
56,192,2,2,5,5.184
56,192,2,2,5,5.184
72,223,2,2,3,2.818
72,223,2,2,3,2.818
72,223,2,2,3,2.818
72,223,2,2,3,2.818
72,223,2,2,3,2.818
72,223,2,2,3,2.818
72,299,2,2,4,4.809
72,299,2,2,4,4.809
72,299,2,2,4,4.809
72,299,2,2,4,4.809
72,299,2,2,4,4.809
72,299,2,2,4,4.809
136,56,2,2,4,3.909
136,56,2,2,4,3.909
136,56,2,2,4,3.909
136,56,2,2,4,3.909
136,318,2,2,17,16.617
136,318,2,2,17,16.617
136,318,2,2,17,16.617
136,318,2,2,17,16.617
192,56,2,2,4,5.184
192,56,2,2,4,5.184
192,56,2,2,4,5.184
192,56,2,2,4,5.184
192,318,2,2,7,7.719
192,318,2,2,7,7.719
192,318,2,2,7,7.719
192,318,2,2,7,7.719
223,72,2,2,3,2.818
223,72,2,2,3,2.818
223,72,2,2,3,2.818
223,72,2,2,3,2.818
223,72,2,2,3,2.818
223,72,2,2,3,2.818
223,299,2,2,3,2.023
223,299,2,2,3,2.023
223,299,2,2,3,2.023
223,299,2,2,3,2.023
299,72,2,2,5,4.809
299,72,2,2,5,4.809
299,72,2,2,5,4.809
299,72,2,2,5,4.809
299,72,2,2,5,4.809
299,72,2,2,5,4.809
299,223,2,2,3,2.023
299,223,2,2,3,2.023
299,223,2,2,3,2.023
299,223,2,2,3,2.023
318,136,2,2,13,16.617
318,136,2,2,13,16.617
318,136,2,2,13,16.617
318,136,2,2,13,16.617
318,192,2,2,7,7.719
318,192,2,2,7,7.719
318,192,2,2,7,7.719
318,192,2,2,7,7.719
1,2,5,5,1,0.094
1,655,5,5,1,0.177
2,1,5,5,1,0.094
2,111,5,5,1,0.091
3,8,5,5,1,0.123
3,655,5,5,1,0.106
4,5,5,5,1,0.225
4,6,5,5,1,0.247
5,4,5,5,1,0.225
5,223,5,5,1,0.637
5,223,5,5,1,0.637
6,4,5,5,1,0.247
6,167,5,5,1,0.636
6,169,5,5,1,0.11
6,244,5,5,2,0.403
7,8,5,5,1,0.197
7,112,5,5,1,0.128
8,3,5,5,1,0.123
8,7,5,5,1,0.197
9,10,5,5,1,0.327
9,222,5,5,1,0.376
10,9,5,5,1,0.327
10,265,5,5,1,0.323
11,12,5,5,1,0.265
11,282,5,5,3,1.277
12,11,5,5,1,0.265
12,14,5,5,1,0.53
13,12,5,5,1,0.275
13,14,5,5,1,0.277
13,211,5,5,1,0.191
14,13,5,5,1,0.277
14,239,5,5,1,0.359
15,92,5,5,1,0.435
15,263,5,5,1,0.416
16,92,5,5,1,0.565
16,166,5,5,2,0.611
17,221,5,5,1,0.337
17,619,5,5,1,0.09
18,164,5,5,1,0.174
18,220,5,5,1,0.354
18,349,5,5,2,1.798
19,20,5,5,1,0.154
19,122,5,5,1,0.741
19,684,5,5,1,0.249
20,19,5,5,1,0.154
20,21,5,5,1,0.479
21,20,5,5,1,0.479
21,96,5,5,1,0.322
22,96,5,5,1,0.212
22,261,5,5,1,0.313
23,25,5,5,1,0.717
23,282,5,5,1,0.688
24,31,5,5,1,0.414
24,94,5,5,1,0.447
24,328,5,5,1,0.485
25,23,5,5,2,0.717
25,451,5,5,4,1.329
26,66,5,5,1,0.19
26,178,5,5,1,0.151
27,289,5,5,5,0.843
28,52,5,5,1,0.095
28,82,5,5,1,0.271
29,78,5,5,2,0.888
29,218,5,5,1,0.262
29,312,5,5,1,0.54
30,264,5,5,1,0.409
30,312,5,5,1,0.29
30,492,5,5,1,0.435
31,24,5,5,1,0.414
31,32,5,5,1,0.541
31,91,5,5,1,0.32
31,180,5,5,1,0.422
31,210,5,5,1,0.175
32,31,5,5,1,0.541
32,51,5,5,1,0.077
32,232,5,5,1,0.42
33,210,5,5,2,0.897
33,282,5,5,2,1.301
34,247,5,5,1,0.877
34,251,5,5,1,0.142
35,135,5,5,1,0.349
35,229,5,5,1,0.382
35,405,5,5,1,0.153
35,543,5,5,3,0.46
36,37,5,5,1,0.229
36,189,5,5,1,0.167
37,36,5,5,1,0.229
37,38,5,5,1,0.162
38,37,5,5,1,0.162
38,39,5,5,1,0.22
39,38,5,5,1,0.22
39,135,5,5,1,0.297
39,228,5,5,1,0.139
40,49,5,5,4,1.445
40,80,5,5,1,0.178
40,133,5,5,2,0.448
40,212,5,5,1,0.198
40,299,5,5,2,0.92
40,299,5,5,2,0.92
40,454,5,5,1,0.454
41,94,5,5,1,0.237
41,264,5,5,1,0.454
42,81,5,5,2,0.843
42,231,5,5,2,1.23
42,379,5,5,1,0.219
43,149,5,5,1,0.657
43,183,5,5,1,0.704
44,180,5,5,1,0.24
44,181,5,5,1,0.279
45,187,5,5,1,0.733
45,249,5,5,1,0.857
45,645,5,5,1,0.943
46,47,5,5,1,0.456
46,49,5,5,1,0.261
47,46,5,5,1,0.456
47,223,5,5,1,0.515
47,223,5,5,1,0.515
48,73,5,5,1,0.273
48,245,5,5,1,0.318
49,40,5,5,4,1.445
