nodeid,lat,lon,layer
1,53.3824,-2.65212,5
2,53.38293,-2.65324,5
3,53.38145,-2.64816,5
4,53.4015,-2.56765,5
5,53.40269,-2.56489,5
6,53.39945,-2.56912,5
7,53.38364,-2.64647,5
8,53.38186,-2.64643,5
9,53.38394,-2.51659,5
10,53.38262,-2.52101,5
11,53.36966,-2.59619,5
12,53.37201,-2.59693,5
13,53.37443,-2.59788,5
14,53.37678,-2.59646,5
15,53.38005,-2.52022,5
16,53.37888,-2.53518,5
17,53.38259,-2.53239,5
18,53.37931,-2.49113,5
19,53.3499,-2.54544,5
20,53.35123,-2.54615,5
21,53.35515,-2.54917,5
22,53.35693,-2.55662,5
23,53.35578,-2.61461,5
24,53.37048,-2.57549,5
25,53.35084,-2.6216,5
26,53.43516,-2.54787,5
27,53.26087,-2.75509,5
28,53.36545,-2.57135,5
29,53.37735,-2.5439,5
30,53.37747,-2.55645,5
31,53.3714,-2.58155,5
32,53.36675,-2.57909,5
33,53.36947,-2.59523,5
34,53.2871,-2.73487,5
35,53.41618,-2.56279,5
36,53.42167,-2.56219,5
37,53.42173,-2.55873,5
38,53.42086,-2.55675,5
39,53.4189,-2.55622,5
40,53.42002,-2.52477,5
41,53.37388,-2.56802,5
42,53.36426,-2.55974,5
43,53.41335,-2.59777,5
44,53.37717,-2.58414,5
45,53.30546,-2.69796,5
46,53.41049,-2.5445,5
47,53.4087,-2.55071,5
48,53.39097,-2.5815,5
49,53.41111,-2.54069,5
50,53.31246,-2.6804,5
51,53.3664,-2.57807,5
52,53.36471,-2.57208,5
53,53.36505,-2.57527,5
54,53.41575,-2.59308,5
55,53.41893,-2.59475,5
56,53.29588,-2.72312,2
56,53.29588,-2.72312,5
57,53.41019,-2.57461,5
58,53.4086,-2.57369,5
59,53.40632,-2.5742,5
60,53.40596,-2.57188,5
61,53.40815,-2.58846,5
62,53.40614,-2.58052,5
63,53.4095,-2.58884,5
64,53.4089,-2.594,5
65,53.43627,-2.552,5
66,53.43581,-2.55054,5
67,53.43645,-2.55444,5
68,53.43717,-2.55556,5
69,53.43713,-2.56105,5
70,53.43768,-2.55599,5
71,53.39798,-2.57236,5
72,53.39188,-2.59241,2
72,53.39188,-2.59241,5
72,53.39188,-2.59241,4
73,53.38992,-2.58524,5
74,53.38629,-2.6366,5
75,53.38642,-2.64062,5
76,53.38959,-2.64427,5
77,53.37744,-2.58298,5
78,53.37266,-2.53303,5
79,53.38257,-2.49312,5
80,53.42121,-2.52295,5
81,53.3687,-2.57007,5
82,53.36789,-2.57161,5
83,53.39896,-2.60928,5
84,53.3985,-2.60673,5
85,53.40167,-2.60569,5
86,53.39921,-2.60482,5
87,53.40069,-2.60287,5
88,53.43385,-2.57593,5
89,53.43339,-2.57913,5
90,53.43184,-2.58963,5
91,53.37374,-2.57872,5
92,53.37932,-2.52668,5
93,53.40429,-2.59436,5
94,53.37185,-2.56914,5
95,53.34629,-2.57398,5
96,53.35645,-2.55352,5
97,53.39737,-2.54883,5
98,53.39753,-2.55801,5
99,53.39252,-2.56391,5
100,53.41377,-2.58983,5
101,53.29197,-2.71159,5
102,53.29461,-2.71502,5
103,53.39844,-2.53935,5
104,53.39831,-2.54469,5
105,53.399,-2.52301,5
106,53.39852,-2.52762,5
107,53.39828,-2.53087,5
108,53.39831,-2.53514,5
109,53.39879,-2.50628,5
