ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,52,2,2,2,0.891
1,52,2,2,2,0.891
1,52,2,2,2,0.891
1,52,2,2,2,0.891
1,52,2,2,2,0.891
1,52,2,2,2,0.891
1,52,2,2,2,0.891
1,52,2,2,2,0.891
1,52,2,2,2,0.891
1,52,2,2,2,0.891
1,52,2,2,2,0.891
1,52,2,2,2,0.891
1,117,2,2,3,0.99
1,117,2,2,3,0.99
1,117,2,2,3,0.99
1,117,2,2,3,0.99
1,117,2,2,3,0.99
1,117,2,2,3,0.99
1,117,2,2,3,0.99
1,117,2,2,3,0.99
22,92,2,2,3,2.689
22,92,2,2,3,2.689
22,92,2,2,3,2.689
22,92,2,2,3,2.689
22,118,2,2,16,14.225
22,118,2,2,16,14.225
22,118,2,2,16,14.225
22,118,2,2,16,14.225
22,118,2,2,16,14.225
22,118,2,2,16,14.225
22,133,2,2,2,1.169
22,133,2,2,2,1.169
22,133,2,2,2,1.169
22,133,2,2,2,1.169
22,151,2,2,5,5.553
22,151,2,2,5,5.553
22,151,2,2,5,5.553
22,151,2,2,5,5.553
30,118,2,2,2,2.135
30,118,2,2,2,2.135
30,118,2,2,2,2.135
30,118,2,2,2,2.135
30,118,2,2,2,2.135
30,118,2,2,2,2.135
30,118,2,2,2,2.135
30,118,2,2,2,2.135
30,118,2,2,2,2.135
30,129,2,2,1,0.598
30,129,2,2,1,0.598
30,129,2,2,1,0.598
30,129,2,2,1,0.598
30,129,2,2,1,0.598
30,129,2,2,1,0.598
30,138,2,2,6,7.375
30,138,2,2,6,7.375
30,138,2,2,6,7.375
30,138,2,2,6,7.375
30,138,2,2,6,7.375
30,138,2,2,6,7.375
30,2704,2,2,5,4.485
30,2704,2,2,5,4.485
30,2704,2,2,5,4.485
33,106,2,2,4,3.407
33,106,2,2,4,3.407
33,106,2,2,4,3.407
33,106,2,2,4,3.407
33,138,2,2,3,2.073
33,138,2,2,3,2.073
33,138,2,2,3,2.073
33,138,2,2,3,2.073
33,2896,2,2,2,1.09
33,2896,2,2,2,1.09
40,108,2,2,3,1.568
40,108,2,2,3,1.568
40,108,2,2,3,1.568
40,108,2,2,3,1.568
40,108,2,2,3,1.568
40,108,2,2,3,1.568
40,128,2,2,11,6.076
40,128,2,2,11,6.076
40,128,2,2,11,6.076
40,128,2,2,11,6.076
40,128,2,2,11,6.076
40,128,2,2,11,6.076
40,128,2,2,11,6.076
40,128,2,2,11,6.076
40,128,2,2,11,6.076
40,129,2,2,10,6.24
40,129,2,2,10,6.24
40,129,2,2,10,6.24
