nodeid,lat,lon,layer
1,53.38766,-2.34709,4
1,53.38766,-2.34709,2
1,53.38766,-2.34709,3
1,53.38766,-2.34709,5
2,53.37947,-2.48558,5
3,53.47437,-2.29338,3
4,53.46995,-2.26761,5
4,53.46995,-2.26761,3
5,53.46243,-2.53536,5
6,53.45403,-2.52941,5
7,53.45669,-2.53074,5
8,53.45793,-2.53268,5
9,53.45369,-2.52281,5
10,53.45512,-2.52613,5
11,53.45252,-2.51733,5
12,53.45269,-2.52073,5
13,53.45533,-2.50711,5
14,53.45297,-2.51404,5
15,53.35971,-2.24422,5
16,53.33643,-2.24173,5
17,53.3417,-2.24049,5
18,53.36975,-2.4443,5
19,53.37795,-2.4788,5
20,53.26437,-2.23453,5
21,53.36911,-2.39066,5
22,53.52916,-2.47898,2
22,53.52916,-2.47898,5
23,53.38382,-2.47484,5
24,53.3808,-2.47477,5
25,53.3874,-2.46246,5
26,53.38563,-2.46792,5
27,53.38082,-2.47733,5
28,53.38038,-2.48412,5
29,53.451,-2.52844,5
30,53.47419,-2.25105,2
30,53.47419,-2.25105,5
30,53.47419,-2.25105,3
31,53.3815,-2.48282,5
32,53.30739,-2.26606,5
33,53.44383,-2.38425,5
33,53.44383,-2.38425,2
34,53.27956,-2.23691,5
35,53.3748,-2.41805,5
36,53.37201,-2.40257,5
37,53.30984,-2.23683,5
38,53.34248,-2.27571,5
39,53.37461,-2.42671,5
40,53.48537,-2.33452,5
40,53.48537,-2.33452,2
40,53.48537,-2.33452,3
41,53.29188,-2.37361,5
42,53.44573,-2.30421,5
42,53.44573,-2.30421,3
43,53.29791,-2.36162,5
44,53.26757,-2.23563,5
45,53.41068,-2.4682,5
46,53.4221,-2.5186,5
47,53.47737,-2.23091,4
47,53.47737,-2.23091,2
47,53.47737,-2.23091,3
47,53.47737,-2.23091,5
48,53.42194,-2.51508,5
49,53.2973,-2.23615,5
50,53.4763,-2.26722,4
50,53.4763,-2.26722,5
51,53.31083,-2.25473,5
52,53.39539,-2.34342,2
52,53.39539,-2.34342,5
52,53.39539,-2.34342,3
53,53.47607,-2.49721,5
54,53.32702,-2.24203,5
