ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,4,2,2,4,4.395
1,4,2,2,4,4.395
1,4,2,2,4,4.395
1,4,2,2,4,4.395
1,4,2,2,4,4.395
1,4,2,2,4,4.395
4,1,2,2,5,4.395
4,1,2,2,5,4.395
4,1,2,2,5,4.395
4,1,2,2,5,4.395
4,1,2,2,5,4.395
4,1,2,2,5,4.395
1,2,4,4,10,6.751
1,2,4,4,10,6.751
1,2,4,4,10,6.751
1,2,4,4,10,6.751
1,2,4,4,10,6.751
1,2,4,4,10,6.751
1,3,4,4,5,4.869
1,3,4,4,5,4.869
1,3,4,4,5,4.869
2,1,4,4,20,6.751
2,1,4,4,20,6.751
2,1,4,4,20,6.751
2,1,4,4,20,6.751
2,1,4,4,20,6.751
2,1,4,4,20,6.751
3,1,4,4,10,4.869
3,1,4,4,10,4.869
3,1,4,4,10,4.869
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,8,5,5,1,0.601
1,8,5,5,1,0.601
1,8,5,5,1,0.601
1,55,5,5,1,0.259
1,55,5,5,1,0.259
1,55,5,5,1,0.259
1,75,5,5,1,0.562
1,75,5,5,1,0.562
1,75,5,5,1,0.562
1,88,5,5,7,2.233
1,88,5,5,7,2.233
1,88,5,5,7,2.233
1,102,5,5,13,2.756
1,102,5,5,13,2.756
1,102,5,5,13,2.756
1,129,5,5,2,0.391
1,129,5,5,2,0.391
1,129,5,5,2,0.391
1,160,5,5,7,0.85
1,160,5,5,7,0.85
1,160,5,5,7,0.85
1,165,5,5,1,0.675
1,165,5,5,1,0.675
1,165,5,5,1,0.675
1,182,5,5,4,1.315
1,182,5,5,4,1.315
1,182,5,5,4,1.315
1,194,5,5,1,0.445
1,194,5,5,1,0.445
1,194,5,5,1,0.445
1,200,5,5,1,0.624
1,200,5,5,1,0.624
1,200,5,5,1,0.624
1,228,5,5,3,0.553
1,228,5,5,3,0.553
1,228,5,5,3,0.553
1,254,5,5,1,0.638
1,254,5,5,1,0.638
1,254,5,5,1,0.638
1,257,5,5,1,0.393
1,257,5,5,1,0.393
1,257,5,5,1,0.393
2,11,5,5,1,0.271
2,11,5,5,1,0.271
2,56,5,5,1,0.262
2,56,5,5,1,0.262
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,58,5,5,1,0.274
4,58,5,5,1,0.274
4,61,5,5,3,0.611
4,61,5,5,3,0.611
4,62,5,5,2,0.397
4,62,5,5,2,0.397
4,86,5,5,1,0.265
4,86,5,5,1,0.265
4,145,5,5,7,1.568
4,145,5,5,7,1.568
4,197,5,5,2,0.313
4,197,5,5,2,0.313
4,202,5,5,1,0.506
4,202,5,5,1,0.506
5,6,5,5,1,0.401
6,1,5,5,1,0.599
6,1,5,5,1,0.599
6,1,5,5,1,0.599
7,9,5,5,1,0.231
8,7,5,5,1,0.395
8,93,5,5,1,0.308
8,225,5,5,1,0.501
9,310,5,5,1,0.233
10,5,5,5,1,0.184
11,276,5,5,1,0.719
12,106,5,5,1,0.28
12,251,5,5,1,0.151
13,12,5,5,1,0.244
13,32,5,5,1,0.381
14,19,5,5,1,0.328
15,16,5,5,1,0.252
16,22,5,5,2,0.162
16,125,5,5,1,0.564
17,13,5,5,1,0.325
18,20,5,5,2,0.301
19,107,5,5,1,0.373
20,15,5,5,1,0.316
21,194,5,5,7,1.213
22,29,5,5,1,0.391
23,122,5,5,1,0.281
24,131,5,5,1,0.274
25,27,5,5,1,0.23
26,24,5,5,2,0.302
27,30,5,5,2,0.415
28,26,5,5,1,0.204
29,28,5,5,1,0.38
30,31,5,5,2,0.378
31,23,5,5,1,0.12
32,12,5,5,1,0.608
33,52,5,5,1,0.582
34,124,5,5,2,0.652
35,162,5,5,1,0.285
36,40,5,5,1,0.334
37,39,5,5,1,0.301
38,41,5,5,1,0.301
39,35,5,5,1,0.299
40,38,5,5,1,0.129
41,64,5,5,1,0.409
42,44,5,5,1,0.381
43,37,5,5,1,0.12
44,43,5,5,1,0.248
45,194,5,5,1,0.245
46,80,5,5,5,0.297
46,109,5,5,1,0.218
47,50,5,5,1,0.222
47,233,5,5,1,0.164
48,220,5,5,1,0.37
49,319,5,5,1,0.193
50,132,5,5,1,0.222
50,302,5,5,1,0.26
51,53,5,5,1,0.241
52,70,5,5,1,0.411
53,48,5,5,1,0.479
54,298,5,5,1,0.067
54,304,5,5,1,0.171
55,194,5,5,1,0.186
56,221,5,5,3,1.311
56,223,5,5,1,0.746
57,141,5,5,1,0.154
57,145,5,5,2,1.228
58,4,5,5,3,0.274
58,4,5,5,3,0.274
59,4,5,5,1,0.411
59,4,5,5,1,0.411
59,58,5,5,1,0.191
59,202,5,5,1,0.742
60,42,5,5,1,0.22
61,4,5,5,2,0.611
61,4,5,5,2,0.611
61,78,5,5,3,1.053
62,60,5,5,1,0.207
63,59,5,5,1,0.194
64,63,5,5,1,0.181
65,67,5,5,1,0.405
66,72,5,5,1,0.383
66,139,5,5,4,2.136
67,275,5,5,1,0.662
68,66,5,5,1,0.232
69,114,5,5,1,0.305
70,69,5,5,1,0.289
