nodeid,lat,lon,layer
1,54.2798,-0.40571,4
1,54.2798,-0.40571,2
1,54.2798,-0.40571,5
2,54.33495,-0.44966,4
2,54.33495,-0.44966,5
3,54.24266,-0.36576,4
4,54.24076,-0.41703,2
4,54.24076,-0.41703,5
5,54.27662,-0.41976,5
6,54.27698,-0.4136,5
7,54.27653,-0.41952,5
8,54.27681,-0.41344,5
9,54.27682,-0.42306,5
10,54.27671,-0.4226,5
11,54.33251,-0.44944,5
12,54.28131,-0.43723,5
13,54.27924,-0.43854,5
14,54.28704,-0.42955,5
15,54.28952,-0.43079,5
16,54.29167,-0.42951,5
17,54.28036,-0.4339,5
18,54.28406,-0.43032,5
19,54.2841,-0.43007,5
20,54.28675,-0.42964,5
21,54.27304,-0.41184,5
22,54.2921,-0.42711,5
23,54.29189,-0.42913,5
24,54.28218,-0.41841,5
25,54.28368,-0.42173,5
26,54.28388,-0.42206,5
27,54.28557,-0.42321,5
28,54.28563,-0.42306,5
29,54.28898,-0.42428,5
30,54.28922,-0.42464,5
31,54.29223,-0.42737,5
32,54.27697,-0.44296,5
33,54.30631,-0.44706,5
34,54.30625,-0.44732,5
35,54.2453,-0.39433,5
36,54.24418,-0.39781,5
37,54.24117,-0.39751,5
38,54.24006,-0.39789,5
39,54.24385,-0.39822,5
40,54.24118,-0.39733,5
41,54.24114,-0.40215,5
42,54.24282,-0.40701,5
43,54.24021,-0.39839,5
44,54.24118,-0.40184,5
45,54.27891,-0.39904,5
46,54.29429,-0.43952,5
47,54.29534,-0.44088,5
48,54.29989,-0.44501,5
49,54.30401,-0.4475,5
50,54.29713,-0.44243,5
51,54.30615,-0.44677,5
52,54.31153,-0.44617,5
53,54.304,-0.4473,5
54,54.28386,-0.40034,5
55,54.28046,-0.40187,5
56,54.33721,-0.44846,5
57,54.24377,-0.41977,5
58,54.24021,-0.4129,5
59,54.24142,-0.41079,5
60,54.24327,-0.41032,5
61,54.23915,-0.40801,5
62,54.24145,-0.41102,5
63,54.24316,-0.41048,5
64,54.24286,-0.40773,5
65,54.32326,-0.44705,5
66,54.32211,-0.44465,5
67,54.32607,-0.45104,5
68,54.32356,-0.44725,5
69,54.31768,-0.44376,5
70,54.31517,-0.44496,5
71,54.32201,-0.44478,5
72,54.31879,-0.44304,5
73,54.3154,-0.44469,5
74,54.31149,-0.446,5
75,54.28369,-0.40016,5
76,54.28377,-0.40025,5
77,54.23618,-0.39226,5
78,54.2363,-0.39252,5
79,54.24324,-0.38924,5
80,54.29317,-0.43535,5
81,54.30155,-0.44893,5
82,54.26031,-0.41672,5
83,54.26429,-0.41624,5
84,54.26622,-0.41666,5
85,54.26644,-0.4164,5
86,54.24135,-0.42099,5
87,54.24061,-0.44485,5
88,54.26164,-0.39087,5
89,54.27879,-0.42012,5
90,54.30024,-0.41962,5
91,54.2824,-0.4149,5
92,54.29144,-0.41879,5
93,54.27451,-0.41612,5
94,54.27133,-0.41557,5
95,54.27215,-0.41574,5
96,54.27521,-0.42321,5
97,54.27375,-0.42389,5
98,54.27248,-0.42353,5
99,54.27197,-0.42614,5
100,54.26969,-0.4157,5
101,54.27039,-0.41581,5
102,54.25592,-0.41737,5
103,54.25122,-0.3824,5
104,54.28823,-0.43391,5
105,54.28843,-0.43426,5
106,54.28235,-0.43329,5
107,54.28088,-0.4284,5
108,54.29338,-0.43866,5
109,54.29268,-0.43757,5
110,54.29088,-0.43593,5
111,54.28947,-0.43506,5
112,54.28019,-0.42466,5
113,54.28041,-0.42378,5
114,54.32041,-0.44322,5
115,54.23385,-0.37971,5
116,54.294,-0.42268,5
117,54.29365,-0.42207,5
118,54.29247,-0.42049,5
119,54.29239,-0.4206,5
120,54.29182,-0.41938,5
121,54.29175,-0.41953,5
122,54.28951,-0.43061,5
123,54.30012,-0.44866,5
124,54.30041,-0.4485,5
125,54.29582,-0.42448,5
126,54.29703,-0.4215,5
127,54.29401,-0.41585,5
128,54.28447,-0.40401,5
129,54.28238,-0.40983,5
130,54.2825,-0.4096,5
131,54.28256,-0.41423,5
132,54.29883,-0.44425,5
133,54.30079,-0.44504,5
134,54.30211,-0.43826,5
135,54.30094,-0.44208,5
136,54.30595,-0.42718,5
137,54.30257,-0.43632,5
138,54.30556,-0.42466,5
139,54.30589,-0.42689,5
140,54.24298,-0.43942,5
141,54.24349,-0.41744,5
142,54.24312,-0.4394,5
143,54.28254,-0.4331,5
144,54.24349,-0.41994,5
145,54.25483,-0.41926,5
146,54.24153,-0.42494,5
147,54.24099,-0.43872,5
148,54.24162,-0.42426,5
149,54.24117,-0.43855,5
150,54.2977,-0.41795,5
151,54.29708,-0.41796,5
152,54.29444,-0.41524,5
153,54.29201,-0.40892,5
