ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,33,5,5,1,0.204
1,43,5,5,1,0.273
2,25,5,5,1,0.381
3,40,5,5,1,0.36
3,77,5,5,1,0.209
4,19,5,5,1,0.327
4,40,5,5,1,0.08
4,186,5,5,1,0.333
5,121,5,5,1,0.209
5,125,5,5,2,0.185
6,7,5,5,1,0.163
6,115,5,5,1,0.258
7,6,5,5,1,0.163
7,136,5,5,1,0.135
8,9,5,5,1,0.186
8,26,5,5,1,0.269
8,118,5,5,1,0.105
9,8,5,5,1,0.186
9,17,5,5,1,0.211
9,137,5,5,1,0.423
10,82,5,5,1,0.143
10,85,5,5,1,0.238
10,127,5,5,1,0.755
10,179,5,5,1,0.281
10,217,5,5,1,0.211
11,96,5,5,1,0.535
11,114,5,5,1,0.147
11,187,5,5,1,0.35
12,28,5,5,1,0.46
12,29,5,5,1,0.537
12,167,5,5,1,0.767
12,196,5,5,1,0.866
13,19,5,5,1,0.364
13,45,5,5,1,0.591
13,45,5,5,1,0.591
13,47,5,5,4,0.848
13,48,5,5,4,0.988
13,68,5,5,1,0.423
13,92,5,5,1,0.867
14,68,5,5,1,0.256
14,111,5,5,1,0.312
15,16,5,5,1,0.251
15,18,5,5,1,0.28
15,89,5,5,1,0.088
15,209,5,5,1,0.166
16,15,5,5,1,0.251
16,18,5,5,1,0.532
16,20,5,5,1,0.234
16,41,5,5,1,0.293
17,9,5,5,1,0.211
17,18,5,5,1,0.334
17,78,5,5,1,0.563
17,112,5,5,1,0.304
17,127,5,5,2,0.937
17,137,5,5,1,0.579
18,15,5,5,1,0.28
18,16,5,5,1,0.532
18,152,5,5,1,0.154
18,209,5,5,1,0.135
19,4,5,5,1,0.327
19,13,5,5,1,0.364
20,16,5,5,1,0.234
20,21,5,5,1,0.17
21,20,5,5,1,0.17
21,49,5,5,1,0.198
21,156,5,5,1,0.209
22,23,5,5,1,0.234
22,27,5,5,1,0.212
23,22,5,5,1,0.234
23,46,5,5,1,0.171
24,24,5,5,1,0.0
24,24,5,5,1,0.0
24,24,5,5,1,0.0
24,24,5,5,1,0.0
24,48,5,5,6,2.471
24,48,5,5,6,2.471
24,57,5,5,7,3.374
24,57,5,5,7,3.374
24,57,5,5,7,3.374
24,57,5,5,7,3.374
24,81,5,5,6,1.826
24,81,5,5,6,1.826
24,98,5,5,1,0.811
