nodeid,lat,lon,layer
1,53.60215,-0.6851,5
2,53.62452,-0.68342,5
3,53.57401,-0.66066,5
4,53.57783,-0.65981,5
5,53.58005,-0.63655,5
6,53.56832,-0.66882,5
7,53.56707,-0.66752,5
8,53.56398,-0.65662,5
9,53.56566,-0.65668,5
10,53.55878,-0.65499,5
11,53.5902,-0.66827,5
12,53.60221,-0.65189,5
13,53.58118,-0.65398,5
14,53.57521,-0.65609,5
15,53.56678,-0.64476,5
16,53.56686,-0.64095,5
17,53.56679,-0.65409,5
18,53.56676,-0.64902,5
19,53.57794,-0.65485,5
20,53.5667,-0.63741,5
21,53.5666,-0.63483,5
22,53.58664,-0.68861,5
23,53.58875,-0.68887,5
24,53.58919,-0.6944,4
24,53.58919,-0.6944,5
25,53.62486,-0.67765,5
26,53.56155,-0.65657,5
27,53.58614,-0.68549,5
28,53.5983,-0.65421,5
29,53.60701,-0.65298,5
30,53.57654,-0.64855,5
31,53.57916,-0.6778,5
32,53.57698,-0.67627,5
33,53.60337,-0.68743,5
34,53.5571,-0.6712,5
35,53.54975,-0.65691,5
36,53.554,-0.65756,5
37,53.55606,-0.6576,5
38,53.55255,-0.64779,5
39,53.55236,-0.66751,5
40,53.57726,-0.66057,5
41,53.56912,-0.63864,5
42,53.56303,-0.67654,5
43,53.60048,-0.68205,5
44,53.59788,-0.65593,5
45,53.5862,-0.65098,2
45,53.5862,-0.65098,5
46,53.58894,-0.68628,5
47,53.57736,-0.66513,5
48,53.57525,-0.66516,5
49,53.56736,-0.6321,5
50,53.56141,-0.63676,5
51,53.56174,-0.63379,5
52,53.57501,-0.63623,5
53,53.57096,-0.67736,5
54,53.59587,-0.67616,5
55,53.57064,-0.64466,5
56,53.59246,-0.67881,5
57,53.59084,-0.64326,4
57,53.59084,-0.64326,5
58,53.5637,-0.66781,5
59,53.58528,-0.64205,5
60,53.5733,-0.67784,5
61,53.57148,-0.67795,5
62,53.55851,-0.67046,5
63,53.5729,-0.63789,5
64,53.57179,-0.63276,5
65,53.56223,-0.67001,5
66,53.56471,-0.67999,5
67,53.60857,-0.69924,5
68,53.5774,-0.65484,5
69,53.57697,-0.68311,5
70,53.57478,-0.68285,5
71,53.57429,-0.68129,5
72,53.55462,-0.669,5
73,53.55721,-0.63451,5
74,53.55767,-0.63117,5
75,53.59466,-0.67786,5
76,53.59756,-0.67593,5
77,53.57215,-0.66121,5
78,53.56935,-0.66147,5
79,53.57051,-0.66161,5
80,53.58809,-0.66189,5
81,53.58651,-0.66706,5
82,53.55967,-0.65656,5
83,53.55307,-0.65006,5
84,53.55559,-0.65171,5
85,53.55838,-0.65143,5
86,53.55995,-0.6475,5
87,53.55654,-0.6646,5
88,53.55283,-0.66324,5
89,53.56758,-0.64473,5
90,53.56448,-0.67716,5
91,53.56127,-0.673,5
92,53.5767,-0.6432,5
93,53.57689,-0.64005,5
94,53.5657,-0.67644,5
95,53.5683,-0.67684,5
96,53.59065,-0.66018,5
97,53.5908,-0.65716,5
98,53.59016,-0.68219,5
99,53.5901,-0.67801,5
100,53.59105,-0.65271,5
101,53.56303,-0.6647,5
102,53.57128,-0.63878,5
103,53.56312,-0.6605,5
104,53.59163,-0.68341,5
105,53.59541,-0.66853,5
106,53.5742,-0.66165,5
107,53.56802,-0.62867,5
108,53.59675,-0.66861,5
109,53.56457,-0.64682,5
110,53.56964,-0.62718,5
111,53.57244,-0.65524,5
112,53.56953,-0.65429,5
113,53.5933,-0.66854,5
114,53.59152,-0.6685,5
115,53.57054,-0.67001,5
116,53.56293,-0.64666,5
117,53.60332,-0.67913,5
118,53.56317,-0.65745,5
119,53.57333,-0.64817,5
120,53.5972,-0.68022,5
121,53.57825,-0.63562,5
122,53.57494,-0.67671,5
123,53.57431,-0.64995,5
124,53.57554,-0.63887,5
125,53.58116,-0.63865,5
126,53.58348,-0.64128,5
127,53.56165,-0.66538,5
128,53.55271,-0.65825,5
129,53.55848,-0.66552,5
130,53.57074,-0.62761,5
131,53.57705,-0.63606,5
132,53.56162,-0.67184,5
133,53.58817,-0.66633,5
134,53.58186,-0.64492,5
135,53.57719,-0.64461,5
136,53.56619,-0.6661,5
137,53.56664,-0.66288,5
138,53.57972,-0.64469,5
139,53.5713,-0.67553,5
140,53.57275,-0.61934,5
141,53.58019,-0.68353,5
142,53.58457,-0.65878,5
143,53.59958,-0.63869,5
144,53.59566,-0.6421,5
