ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,44,5,5,2,0.698
1,44,5,5,2,0.698
1,44,5,5,2,0.698
1,152,5,5,1,0.568
1,152,5,5,1,0.568
1,152,5,5,1,0.568
1,163,5,5,4,0.905
1,163,5,5,4,0.905
1,163,5,5,4,0.905
1,164,5,5,1,0.409
1,164,5,5,1,0.409
1,164,5,5,1,0.409
1,205,5,5,1,0.272
1,205,5,5,1,0.272
1,205,5,5,1,0.272
1,233,5,5,1,0.505
1,233,5,5,1,0.505
1,233,5,5,1,0.505
1,234,5,5,1,0.346
1,234,5,5,1,0.346
1,234,5,5,1,0.346
1,240,5,5,1,0.281
1,240,5,5,1,0.281
1,240,5,5,1,0.281
1,241,5,5,1,0.322
1,241,5,5,1,0.322
1,241,5,5,1,0.322
1,293,5,5,1,0.693
1,293,5,5,1,0.693
1,293,5,5,1,0.693
1,354,5,5,10,2.332
1,354,5,5,10,2.332
1,354,5,5,10,2.332
1,385,5,5,1,0.428
1,385,5,5,1,0.428
1,385,5,5,1,0.428
2,355,5,5,1,0.293
3,4,5,5,1,0.27
4,10,5,5,1,0.508
4,35,5,5,1,0.795
5,20,5,5,1,0.16
6,8,5,5,1,0.244
7,524,5,5,1,0.318
8,3,5,5,1,0.288
9,7,5,5,1,0.239
10,5,5,5,1,0.517
10,35,5,5,1,0.288
11,5,5,5,1,0.493
12,528,5,5,2,0.791
13,413,5,5,1,0.289
14,179,5,5,1,0.193
15,109,5,5,1,0.169
16,420,5,5,1,0.169
17,34,5,5,1,0.128
18,17,5,5,4,1.065
18,334,5,5,3,0.411
19,391,5,5,1,0.125
20,9,5,5,1,0.368
21,27,5,5,1,0.259
22,24,5,5,1,0.169
23,21,5,5,1,0.207
24,23,5,5,1,0.219
24,30,5,5,1,0.134
25,524,5,5,2,0.13
26,28,5,5,1,0.251
26,29,5,5,1,0.098
27,25,5,5,1,0.313
28,22,5,5,1,0.355
29,28,5,5,1,0.154
30,13,5,5,1,0.269
30,57,5,5,2,0.392
30,261,5,5,1,0.291
31,337,5,5,2,0.642
33,315,5,5,3,0.494
33,316,5,5,2,0.546
34,10,5,5,1,0.285
34,11,5,5,1,0.306
35,118,5,5,1,0.308
35,209,5,5,1,0.543
35,340,5,5,1,0.386
35,409,5,5,1,0.529
36,255,5,5,1,0.295
36,327,5,5,1,0.312
37,39,5,5,1,0.522
37,147,5,5,6,3.104
38,36,5,5,1,0.509
39,69,5,5,1,0.517
39,503,5,5,2,0.589
40,331,5,5,1,0.14
41,124,5,5,1,0.148
42,1,5,5,1,0.333
42,1,5,5,1,0.333
42,1,5,5,1,0.333
43,42,5,5,1,0.366
43,205,5,5,1,0.437
