nodeid,lat,lon,layer
1,52.71195,-2.74977,4
1,52.71195,-2.74977,2
1,52.71195,-2.74977,5
2,52.69999,-2.78379,5
3,52.72775,-2.72711,5
4,52.72829,-2.72318,5
5,52.72815,-2.7233,5
6,52.72672,-2.73484,5
7,52.72661,-2.73444,5
8,52.72715,-2.73128,5
9,52.72702,-2.73094,5
10,52.7287,-2.71565,5
11,52.72856,-2.71599,5
12,52.68248,-2.72049,5
13,52.73729,-2.74411,5
14,52.71797,-2.72694,5
15,52.73853,-2.73106,5
16,52.73709,-2.73361,5
17,52.72956,-2.71173,5
18,52.73627,-2.72306,5
19,52.73634,-2.72391,5
20,52.72785,-2.72563,5
21,52.73014,-2.74267,5
22,52.73246,-2.7424,5
23,52.732,-2.74233,5
24,52.73396,-2.74191,5
25,52.72586,-2.73808,5
26,52.7273,-2.74066,5
27,52.728,-2.74113,5
28,52.72926,-2.74254,5
29,52.728,-2.74157,5
30,52.73516,-2.7422,5
31,52.68145,-2.78744,5
32,52.65729,-2.7891,5
33,52.65719,-2.78934,5
34,52.72842,-2.71143,5
35,52.72863,-2.71136,5
36,52.6763,-2.75917,5
37,52.67693,-2.75908,5
38,52.68088,-2.75863,5
39,52.68163,-2.75886,5
40,52.74343,-2.74281,5
41,52.71071,-2.72366,5
42,52.71485,-2.7485,5
43,52.71761,-2.74551,5
44,52.71773,-2.74565,5
45,52.71885,-2.74355,5
46,52.6944,-2.72875,5
47,52.70419,-2.74798,5
48,52.70449,-2.74616,5
49,52.70603,-2.73694,5
50,52.7059,-2.73704,5
51,52.70568,-2.73588,5
52,52.70552,-2.73576,5
53,52.70741,-2.74436,5
54,52.70704,-2.74102,5
55,52.70684,-2.74093,5
56,52.74047,-2.74325,5
57,52.73851,-2.74406,5
58,52.74132,-2.74301,5
59,52.71397,-2.72281,5
60,52.73698,-2.74488,5
61,52.73586,-2.7425,5
62,52.69679,-2.75084,5
63,52.69592,-2.7522,5
64,52.69607,-2.75171,5
65,52.69511,-2.75374,5
66,52.6949,-2.75354,5
67,52.69254,-2.75551,5
68,52.69267,-2.75572,5
69,52.68617,-2.75711,5
70,52.70928,-2.78878,5
71,52.70905,-2.78902,5
72,52.71062,-2.78777,5
73,52.71061,-2.78793,5
74,52.71261,-2.76926,5
75,52.71279,-2.76939,5
76,52.71498,-2.73025,5
77,52.70908,-2.73785,5
78,52.71066,-2.73684,5
79,52.71264,-2.73429,5
80,52.6974,-2.72408,5
81,52.72248,-2.73973,5
82,52.72067,-2.74137,5
83,52.72284,-2.73928,5
84,52.72649,-2.7041,5
85,52.70538,-2.80125,5
86,52.70545,-2.80055,5
