ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,4,2,2,3,3.892
1,4,2,2,3,3.892
1,4,2,2,3,3.892
1,4,2,2,3,3.892
2,9,2,2,3,2.686
2,9,2,2,3,2.686
2,9,2,2,3,2.686
2,9,2,2,3,2.686
2,10,2,2,3,2.951
2,10,2,2,3,2.951
2,10,2,2,3,2.951
2,10,2,2,3,2.951
2,15,2,2,2,1.635
2,15,2,2,2,1.635
2,15,2,2,2,1.635
2,15,2,2,2,1.635
3,4,2,2,3,3.023
3,4,2,2,3,3.023
3,4,2,2,3,3.023
3,4,2,2,3,3.023
3,12,2,2,3,2.258
3,12,2,2,3,2.258
3,12,2,2,3,2.258
3,12,2,2,3,2.258
4,1,2,2,4,3.892
4,1,2,2,4,3.892
4,1,2,2,4,3.892
4,1,2,2,4,3.892
4,3,2,2,3,3.023
4,3,2,2,3,3.023
4,3,2,2,3,3.023
4,3,2,2,3,3.023
4,12,2,2,4,5.279
4,12,2,2,4,5.279
4,12,2,2,4,5.279
4,12,2,2,4,5.279
5,14,2,2,3,2.37
5,14,2,2,3,2.37
5,14,2,2,3,2.37
5,14,2,2,3,2.37
6,11,2,2,3,2.279
6,11,2,2,3,2.279
6,11,2,2,3,2.279
6,11,2,2,3,2.279
6,11,2,2,3,2.279
6,11,2,2,3,2.279
6,11,2,2,3,2.279
6,11,2,2,3,2.279
6,13,2,2,3,3.39
6,13,2,2,3,3.39
6,13,2,2,3,3.39
6,13,2,2,3,3.39
6,13,2,2,3,3.39
6,13,2,2,3,3.39
6,13,2,2,3,3.39
6,13,2,2,3,3.39
6,212,2,2,6,8.717
6,212,2,2,6,8.717
6,212,2,2,6,8.717
6,212,2,2,6,8.717
8,12,2,2,3,2.885
8,12,2,2,3,2.885
8,12,2,2,3,2.885
8,12,2,2,3,2.885
9,2,2,2,4,2.686
9,2,2,2,4,2.686
9,2,2,2,4,2.686
9,2,2,2,4,2.686
9,226,2,2,2,1.678
9,226,2,2,2,1.678
10,2,2,2,4,2.951
10,2,2,2,4,2.951
10,2,2,2,4,2.951
10,2,2,2,4,2.951
10,15,2,2,2,1.356
10,15,2,2,2,1.356
10,15,2,2,2,1.356
10,15,2,2,2,1.356
11,6,2,2,3,2.279
11,6,2,2,3,2.279
11,6,2,2,3,2.279
11,6,2,2,3,2.279
11,6,2,2,3,2.279
11,6,2,2,3,2.279
11,6,2,2,3,2.279
11,6,2,2,3,2.279
12,3,2,2,3,2.258
12,3,2,2,3,2.258
12,3,2,2,3,2.258
12,3,2,2,3,2.258
12,4,2,2,4,5.279
12,4,2,2,4,5.279
12,4,2,2,4,5.279
12,4,2,2,4,5.279
12,8,2,2,3,2.885
12,8,2,2,3,2.885
12,8,2,2,3,2.885
12,8,2,2,3,2.885
13,6,2,2,3,3.39
13,6,2,2,3,3.39
13,6,2,2,3,3.39
13,6,2,2,3,3.39
13,6,2,2,3,3.39
13,6,2,2,3,3.39
13,6,2,2,3,3.39
13,6,2,2,3,3.39
13,212,2,2,4,5.338
13,212,2,2,4,5.338
14,5,2,2,3,2.37
14,5,2,2,3,2.37
14,5,2,2,3,2.37
14,5,2,2,3,2.37
15,2,2,2,2,1.635
15,2,2,2,2,1.635
15,2,2,2,2,1.635
15,2,2,2,2,1.635
15,10,2,2,2,1.356
15,10,2,2,2,1.356
15,10,2,2,2,1.356
15,10,2,2,2,1.356
212,6,2,2,5,8.717
212,6,2,2,5,8.717
212,6,2,2,5,8.717
212,6,2,2,5,8.717
212,13,2,2,4,5.338
212,13,2,2,4,5.338
226,9,2,2,2,1.678
226,9,2,2,2,1.678
25,832,3,3,2,0.507
832,25,3,3,2,0.507
1,665,5,5,2,1.344
1,665,5,5,2,1.344
2,96,5,5,1,0.297
2,96,5,5,1,0.297
2,296,5,5,1,0.501
2,296,5,5,1,0.501
2,777,5,5,1,0.476
2,777,5,5,1,0.476
2,937,5,5,1,0.942
2,937,5,5,1,0.942
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,121,5,5,1,0.832
3,121,5,5,1,0.832
3,568,5,5,1,0.534
3,568,5,5,1,0.534
3,1001,5,5,1,0.553
3,1001,5,5,1,0.553
3,1002,5,5,1,0.539
3,1002,5,5,1,0.539
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,557,5,5,1,0.567
4,557,5,5,1,0.567
4,772,5,5,1,0.404
4,772,5,5,1,0.404
4,863,5,5,1,0.586
4,863,5,5,1,0.586
4,1159,5,5,1,0.484
4,1159,5,5,1,0.484
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,826,5,5,1,0.397
5,826,5,5,1,0.397
5,1039,5,5,1,0.815
5,1039,5,5,1,0.815
6,281,5,5,3,0.93
6,281,5,5,3,0.93
6,281,5,5,3,0.93
6,281,5,5,3,0.93
6,319,5,5,1,0.487
6,319,5,5,1,0.487
6,319,5,5,1,0.487
6,319,5,5,1,0.487
6,346,5,5,1,1.235
6,346,5,5,1,1.235
6,346,5,5,1,1.235
6,346,5,5,1,1.235
6,391,5,5,2,0.505
6,391,5,5,2,0.505
6,391,5,5,2,0.505
6,391,5,5,2,0.505
6,394,5,5,1,0.495
6,394,5,5,1,0.495
6,394,5,5,1,0.495
6,394,5,5,1,0.495
7,12,5,5,3,0.953
7,12,5,5,3,0.953
7,12,5,5,3,0.953
7,12,5,5,3,0.953
7,305,5,5,1,0.299
7,305,5,5,1,0.299
7,307,5,5,1,0.329
7,307,5,5,1,0.329
7,406,5,5,1,0.23
7,406,5,5,1,0.23
7,902,5,5,2,0.383
7,902,5,5,2,0.383
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,138,5,5,1,0.616
8,138,5,5,1,0.616
8,158,5,5,1,0.529
8,158,5,5,1,0.529
8,582,5,5,1,0.292
8,582,5,5,1,0.292
8,583,5,5,1,0.902
8,583,5,5,1,0.902
8,825,5,5,1,0.478
8,825,5,5,1,0.478
8,1010,5,5,1,0.343
8,1010,5,5,1,0.343
9,445,5,5,1,0.546
9,445,5,5,1,0.546
9,510,5,5,4,1.867
9,510,5,5,4,1.867
10,10,5,5,1,0.0
10,10,5,5,1,0.0
10,10,5,5,1,0.0
10,10,5,5,1,0.0
10,355,5,5,1,0.32
10,355,5,5,1,0.32
10,507,5,5,1,0.577
10,507,5,5,1,0.577
10,834,5,5,1,0.311
10,834,5,5,1,0.311
11,11,5,5,1,0.0
11,11,5,5,1,0.0
11,11,5,5,1,0.0
11,11,5,5,1,0.0
11,606,5,5,1,0.368
11,606,5,5,1,0.368
11,877,5,5,1,0.557
11,877,5,5,1,0.557
11,1051,5,5,3,0.829
11,1051,5,5,3,0.829
11,1075,5,5,1,0.539
11,1075,5,5,1,0.539
12,7,5,5,2,0.953
12,7,5,5,2,0.953
12,7,5,5,2,0.953
12,7,5,5,2,0.953
12,12,5,5,1,0.0
12,12,5,5,1,0.0
12,12,5,5,1,0.0
12,12,5,5,1,0.0
12,82,5,5,2,0.758
12,82,5,5,2,0.758
12,306,5,5,2,0.633
12,306,5,5,2,0.633
12,307,5,5,1,0.626
12,307,5,5,1,0.626
12,479,5,5,1,0.282
12,479,5,5,1,0.282
12,656,5,5,1,0.369
12,656,5,5,1,0.369
12,903,5,5,1,0.556
12,903,5,5,1,0.556
12,904,5,5,2,0.568
12,904,5,5,2,0.568
12,905,5,5,1,0.575
12,905,5,5,1,0.575
13,330,5,5,1,0.413
13,330,5,5,1,0.413
13,1049,5,5,1,0.523
13,1049,5,5,1,0.523
14,781,5,5,2,0.572
14,781,5,5,2,0.572
15,147,5,5,1,1.19
15,147,5,5,1,1.19
15,369,5,5,1,0.454
15,369,5,5,1,0.454
15,1077,5,5,1,0.392
15,1077,5,5,1,0.392
15,1085,5,5,4,1.679
15,1085,5,5,4,1.679
16,387,5,5,1,0.338
17,1004,5,5,1,0.189
18,247,5,5,1,0.316
18,449,5,5,1,0.19
18,511,5,5,1,0.447
18,616,5,5,1,0.208
19,199,5,5,1,0.189
20,1116,5,5,1,0.207
21,136,5,5,1,0.433
22,729,5,5,1,0.193
22,1129,5,5,1,0.143
23,729,5,5,1,0.189
23,1129,5,5,1,0.139
24,12,5,5,2,0.824
24,12,5,5,2,0.824
24,307,5,5,1,0.327
27,87,5,5,1,0.224
28,895,5,5,1,0.61
29,254,5,5,1,0.363
30,423,5,5,1,0.276
32,402,5,5,1,0.666
33,73,5,5,1,0.406
33,681,5,5,2,0.563
34,598,5,5,1,0.307
35,76,5,5,1,0.385
35,578,5,5,1,0.475
36,640,5,5,1,0.238
37,439,5,5,1,0.226
37,542,5,5,1,0.231
38,1132,5,5,1,0.332
39,83,5,5,2,0.87
39,478,5,5,1,0.916
40,329,5,5,1,0.604
41,126,5,5,1,0.088
41,875,5,5,1,0.1
42,85,5,5,3,0.486
42,126,5,5,1,0.065
42,871,5,5,1,0.361
43,56,5,5,1,0.348
43,365,5,5,1,0.18
44,49,5,5,1,0.259
45,1157,5,5,1,0.308
46,909,5,5,1,0.432
47,645,5,5,1,0.168
48,44,5,5,1,0.259
48,579,5,5,1,0.359
48,731,5,5,1,0.164
49,103,5,5,1,0.326
49,731,5,5,1,0.186
50,409,5,5,1,0.355
51,98,5,5,1,0.11
52,1166,5,5,1,0.301
53,211,5,5,1,0.278
54,317,5,5,1,0.296
54,739,5,5,1,0.399
55,366,5,5,2,0.328
56,829,5,5,1,0.335
57,655,5,5,2,0.559
58,331,5,5,2,0.305
59,856,5,5,1,0.381
60,343,5,5,1,0.314
61,343,5,5,1,0.297
61,547,5,5,1,0.207
62,474,5,5,1,0.239
62,532,5,5,1,0.138
62,892,5,5,1,0.385
63,148,5,5,1,0.615
64,1123,5,5,1,0.139
65,10,5,5,1,0.264
65,10,5,5,1,0.264
65,454,5,5,2,0.904
65,507,5,5,2,0.838
66,114,5,5,1,0.499
67,873,5,5,4,1.351
67,1013,5,5,1,0.822
67,1126,5,5,1,0.916
68,952,5,5,1,0.423
69,225,5,5,1,0.274
69,937,5,5,1,1.129
70,279,5,5,1,0.509
70,412,5,5,2,1.082
70,674,5,5,1,1.207
71,32,5,5,1,0.629
72,335,5,5,2,1.456
72,712,5,5,5,1.466
73,681,5,5,1,0.158
74,125,5,5,1,0.369
75,34,5,5,1,0.403
76,550,5,5,1,0.355
78,1076,5,5,1,0.452
79,641,5,5,1,0.21
79,920,5,5,1,0.141
80,1115,5,5,1,0.303
81,845,5,5,1,0.154
82,356,5,5,1,0.193
83,40,5,5,2,0.851
83,376,5,5,3,1.91
84,876,5,5,1,0.412
85,235,5,5,1,0.385
86,26,5,5,1,0.227
87,984,5,5,1,0.297
88,415,5,5,1,0.546
88,1104,5,5,1,0.095
89,128,5,5,1,0.593
90,143,5,5,1,0.216
90,693,5,5,1,0.422
90,695,5,5,1,0.183
90,722,5,5,1,0.154
91,693,5,5,1,0.423
92,1156,5,5,1,0.211
93,862,5,5,1,0.238
94,461,5,5,1,0.122
95,1011,5,5,1,1.161
95,1049,5,5,1,0.068
95,1125,5,5,9,2.41
96,141,5,5,1,0.465
98,52,5,5,1,0.13
98,133,5,5,1,0.269
98,134,5,5,1,0.26
98,820,5,5,1,0.229
100,42,5,5,2,0.9
100,1081,5,5,1,0.272
101,137,5,5,1,0.546
102,62,5,5,1,0.304
103,697,5,5,1,0.287
103,731,5,5,1,0.147
104,461,5,5,1,0.221
104,468,5,5,1,0.162
105,142,5,5,1,0.075
105,783,5,5,1,0.209
106,814,5,5,1,0.342
106,850,5,5,1,0.067
108,571,5,5,1,0.281
109,1079,5,5,1,0.372
110,670,5,5,1,0.279
112,934,5,5,1,0.297
113,67,5,5,1,0.65
113,540,5,5,1,0.584
114,978,5,5,1,0.383
115,895,5,5,1,0.693
116,72,5,5,1,0.678
117,493,5,5,1,0.614
117,666,5,5,1,0.513
118,549,5,5,1,0.319
118,738,5,5,1,0.243
119,738,5,5,1,0.234
119,1052,5,5,1,0.289
120,164,5,5,1,0.191
120,469,5,5,1,0.06
121,195,5,5,1,0.516
121,1055,5,5,1,0.6
122,761,5,5,1,0.581
123,149,5,5,1,0.142
123,272,5,5,1,0.08
123,1046,5,5,1,0.248
124,845,5,5,1,0.251
125,337,5,5,1,0.304
126,42,5,5,1,0.065
126,243,5,5,1,0.313
126,875,5,5,1,0.111
127,88,5,5,1,0.633
128,168,5,5,1,0.263
129,396,5,5,1,0.285
130,251,5,5,1,0.13
130,651,5,5,1,0.447
131,1112,5,5,1,0.153
132,991,5,5,1,0.126
133,505,5,5,1,0.229
134,98,5,5,1,0.26
134,403,5,5,1,0.366
134,492,5,5,1,0.271
135,137,5,5,3,0.843
135,603,5,5,1,0.471
135,844,5,5,1,0.299
135,956,5,5,1,0.481
136,171,5,5,1,0.548
137,824,5,5,1,0.285
138,8,5,5,1,0.616
138,8,5,5,1,0.616
138,582,5,5,2,0.884
138,1134,5,5,2,0.382
138,1135,5,5,1,0.546
139,172,5,5,1,0.076
139,515,5,5,1,0.107
140,260,5,5,1,0.215
140,615,5,5,1,0.048
140,623,5,5,1,0.202
141,732,5,5,1,0.48
142,55,5,5,1,0.362
143,473,5,5,1,0.332
144,91,5,5,1,0.213
144,693,5,5,1,0.636
144,695,5,5,1,0.066
144,722,5,5,1,0.125
145,102,5,5,1,0.239
145,765,5,5,1,0.285
145,892,5,5,1,0.158
146,167,5,5,1,0.621
146,250,5,5,1,0.207
147,64,5,5,1,0.608
148,1030,5,5,1,0.891
149,123,5,5,1,0.142
149,1046,5,5,1,0.16
150,945,5,5,1,0.339
151,490,5,5,1,0.299
152,948,5,5,1,0.413
153,154,5,5,1,0.303
154,152,5,5,1,0.081
154,646,5,5,1,0.314
155,560,5,5,1,0.319
156,497,5,5,1,0.145
157,8,5,5,1,0.514
157,8,5,5,1,0.514
158,351,5,5,1,0.25
159,118,5,5,1,0.525
159,119,5,5,2,0.514
159,494,5,5,8,4.759
160,136,5,5,1,0.473
161,252,5,5,1,0.396
161,435,5,5,1,0.45
162,427,5,5,1,0.298
163,576,5,5,1,0.254
164,372,5,5,1,0.181
165,537,5,5,2,0.496
165,793,5,5,1,0.057
