nodeid,lat,lon,layer
1,52.34128,-1.72548,5
1,52.34128,-1.72548,2
2,52.38018,-1.86627,5
2,52.38018,-1.86627,2
3,52.39595,-1.77438,2
3,52.39595,-1.77438,5
4,52.37208,-1.75291,2
4,52.37208,-1.75291,5
5,52.51859,-1.7431,2
5,52.51859,-1.7431,5
6,52.45226,-1.73249,0
6,52.45226,-1.73249,4
6,52.45226,-1.73249,2
6,52.45226,-1.73249,5
7,52.41475,-1.77433,4
7,52.41475,-1.77433,5
8,52.43852,-1.80432,2
8,52.43852,-1.80432,5
9,52.35947,-1.84577,5
9,52.35947,-1.84577,2
10,52.40344,-1.84518,5
10,52.40344,-1.84518,2
11,52.4672,-1.75561,5
11,52.4672,-1.75561,2
12,52.41441,-1.7884,2
12,52.41441,-1.7884,5
13,52.42905,-1.69994,2
13,52.42905,-1.69994,5
14,52.51654,-1.70818,5
14,52.51654,-1.70818,2
15,52.39185,-1.85153,5
15,52.39185,-1.85153,2
16,52.43664,-1.78838,5
17,52.43683,-1.78844,5
18,52.42178,-1.77688,5
19,52.48138,-1.72257,5
20,52.48135,-1.72235,5
21,52.44248,-1.7797,5
22,52.41437,-1.80889,5
23,52.41419,-1.80926,5
24,52.41701,-1.77699,5
25,52.45081,-1.72579,3
26,52.40987,-1.86648,5
27,52.40981,-1.86623,5
28,52.37388,-1.88406,5
29,52.37496,-1.8852,5
30,52.50271,-1.78765,5
31,52.50256,-1.78784,5
32,52.41658,-1.64184,5
33,52.42083,-1.8212,5
34,52.38701,-1.66042,5
35,52.38662,-1.6606,5
36,52.47939,-1.74811,5
37,52.44567,-1.80348,5
38,52.37404,-1.88096,5
39,52.42943,-1.68704,5
40,52.42919,-1.68657,5
41,52.39696,-1.78606,5
42,52.39718,-1.786,5
43,52.47828,-1.7403,5
44,52.40132,-1.81953,5
45,52.399,-1.824,5
46,52.48281,-1.75632,5
47,52.42686,-1.76793,5
48,52.40321,-1.82179,5
49,52.40296,-1.82226,5
50,52.39967,-1.7462,5
51,52.45187,-1.79908,5
52,52.45207,-1.7992,5
53,52.42357,-1.77266,5
54,52.38598,-1.88414,5
55,52.47667,-1.73675,5
56,52.47642,-1.73614,5
57,52.41633,-1.8003,5
58,52.41605,-1.8006,5
59,52.40907,-1.77935,5
60,52.43112,-1.81897,5
61,52.43118,-1.8186,5
62,52.49716,-1.70528,5
63,52.40483,-1.86356,5
64,52.4048,-1.86375,5
65,52.40536,-1.84286,5
66,52.38274,-1.79321,5
67,52.38268,-1.79255,5
68,52.38535,-1.73951,5
69,52.38351,-1.88437,5
70,52.35179,-1.77711,5
71,52.42225,-1.64168,5
72,52.4223,-1.64191,5
73,52.42251,-1.82654,5
74,52.42257,-1.82589,5
75,52.38528,-1.65518,5
76,52.38557,-1.65517,5
77,52.3317,-1.87252,5
78,52.47411,-1.76297,5
79,52.47367,-1.76269,5
80,52.44383,-1.79005,5
81,52.44386,-1.79023,5
82,52.41644,-1.7777,5
83,52.43226,-1.67504,5
84,52.39956,-1.79248,5
85,52.39936,-1.79223,5
86,52.40849,-1.86399,5
87,52.40848,-1.86374,5
88,52.4863,-1.73626,5
89,52.4864,-1.73648,5
