ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
5,110,2,2,2,1.126
5,110,2,2,2,1.126
5,110,2,2,2,1.126
5,110,2,2,2,1.126
33,112,2,2,3,2.449
33,112,2,2,3,2.449
33,112,2,2,3,2.449
33,112,2,2,3,2.449
33,112,2,2,3,2.449
33,112,2,2,3,2.449
33,190,2,2,3,1.595
33,190,2,2,3,1.595
33,190,2,2,3,1.595
33,190,2,2,3,1.595
33,190,2,2,3,1.595
33,190,2,2,3,1.595
46,203,2,2,2,1.675
46,203,2,2,2,1.675
46,203,2,2,2,1.675
46,203,2,2,2,1.675
49,56,2,2,3,1.986
49,56,2,2,3,1.986
49,56,2,2,3,1.986
49,56,2,2,3,1.986
49,99,2,2,2,1.356
49,99,2,2,2,1.356
49,99,2,2,2,1.356
49,99,2,2,2,1.356
49,227,2,2,4,2.785
49,227,2,2,4,2.785
49,227,2,2,4,2.785
49,227,2,2,4,2.785
49,227,2,2,4,2.785
49,227,2,2,4,2.785
56,49,2,2,3,1.986
56,49,2,2,3,1.986
56,49,2,2,3,1.986
56,49,2,2,3,1.986
56,160,2,2,2,1.654
56,160,2,2,2,1.654
56,160,2,2,2,1.654
56,160,2,2,2,1.654
56,297,2,2,3,1.195
56,297,2,2,3,1.195
56,297,2,2,3,1.195
56,297,2,2,3,1.195
56,360,2,2,3,1.503
56,360,2,2,3,1.503
56,360,2,2,3,1.503
56,360,2,2,3,1.503
99,49,2,2,2,1.356
99,49,2,2,2,1.356
99,49,2,2,2,1.356
99,49,2,2,2,1.356
99,227,2,2,3,1.695
99,227,2,2,3,1.695
99,227,2,2,3,1.695
99,227,2,2,3,1.695
99,227,2,2,3,1.695
99,227,2,2,3,1.695
110,5,2,2,2,1.126
110,5,2,2,2,1.126
110,5,2,2,2,1.126
110,5,2,2,2,1.126
110,168,2,2,3,1.855
110,168,2,2,3,1.855
110,168,2,2,3,1.855
110,168,2,2,3,1.855
110,168,2,2,3,1.855
110,168,2,2,3,1.855
110,190,2,2,4,1.796
110,190,2,2,4,1.796
110,190,2,2,4,1.796
110,190,2,2,4,1.796
110,190,2,2,4,1.796
110,190,2,2,4,1.796
112,33,2,2,3,2.449
112,33,2,2,3,2.449
112,33,2,2,3,2.449
112,33,2,2,3,2.449
112,33,2,2,3,2.449
112,33,2,2,3,2.449
112,190,2,2,4,3.898
112,190,2,2,4,3.898
112,190,2,2,4,3.898
112,190,2,2,4,3.898
112,190,2,2,4,3.898
112,190,2,2,4,3.898
112,190,2,2,4,3.898
112,190,2,2,4,3.898
112,190,2,2,4,3.898
112,360,2,2,2,1.355
112,360,2,2,2,1.355
112,360,2,2,2,1.355
112,360,2,2,2,1.355
112,360,2,2,2,1.355
112,360,2,2,2,1.355
160,56,2,2,3,1.654
160,56,2,2,3,1.654
160,56,2,2,3,1.654
160,56,2,2,3,1.654
168,110,2,2,2,1.855
168,110,2,2,2,1.855
168,110,2,2,2,1.855
168,110,2,2,2,1.855
168,110,2,2,2,1.855
168,110,2,2,2,1.855
168,271,2,2,4,3.093
168,271,2,2,4,3.093
168,271,2,2,4,3.093
168,271,2,2,4,3.093
168,271,2,2,4,3.093
168,271,2,2,4,3.093
168,290,2,2,2,1.386
168,290,2,2,2,1.386
168,290,2,2,2,1.386
168,290,2,2,2,1.386
168,290,2,2,2,1.386
168,290,2,2,2,1.386
190,33,2,2,2,1.595
190,33,2,2,2,1.595
190,33,2,2,2,1.595
190,33,2,2,2,1.595
190,33,2,2,2,1.595
190,33,2,2,2,1.595
190,110,2,2,4,1.796
190,110,2,2,4,1.796
190,110,2,2,4,1.796
190,110,2,2,4,1.796
190,110,2,2,4,1.796
190,110,2,2,4,1.796
203,46,2,2,3,1.675
203,46,2,2,3,1.675
203,46,2,2,3,1.675
203,46,2,2,3,1.675
203,297,2,2,3,1.175
203,297,2,2,3,1.175
203,297,2,2,3,1.175
203,297,2,2,3,1.175
227,56,2,2,7,4.375
227,56,2,2,7,4.375
227,56,2,2,7,4.375
227,56,2,2,7,4.375
227,56,2,2,7,4.375
227,56,2,2,7,4.375
227,99,2,2,3,1.695
227,99,2,2,3,1.695
227,99,2,2,3,1.695
227,99,2,2,3,1.695
227,99,2,2,3,1.695
227,99,2,2,3,1.695
271,168,2,2,4,3.093
271,168,2,2,4,3.093
271,168,2,2,4,3.093
271,168,2,2,4,3.093
271,168,2,2,4,3.093
271,168,2,2,4,3.093
271,290,2,2,3,1.709
271,290,2,2,3,1.709
271,290,2,2,3,1.709
271,290,2,2,3,1.709
290,168,2,2,2,1.386
290,168,2,2,2,1.386
290,168,2,2,2,1.386
290,168,2,2,2,1.386
290,168,2,2,2,1.386
290,168,2,2,2,1.386
290,271,2,2,3,1.709
290,271,2,2,3,1.709
290,271,2,2,3,1.709
290,271,2,2,3,1.709
297,56,2,2,3,1.195
297,56,2,2,3,1.195
297,56,2,2,3,1.195
297,56,2,2,3,1.195
297,203,2,2,2,1.175
297,203,2,2,2,1.175
297,203,2,2,2,1.175
297,203,2,2,2,1.175
360,56,2,2,3,1.503
360,56,2,2,3,1.503
360,56,2,2,3,1.503
360,56,2,2,3,1.503
360,112,2,2,2,1.355
360,112,2,2,2,1.355
360,112,2,2,2,1.355
360,112,2,2,2,1.355
360,112,2,2,2,1.355
360,112,2,2,2,1.355
4,199,3,3,1,0.657
4,199,3,3,1,0.657
4,199,3,3,1,0.657
4,199,3,3,1,0.657
4,292,3,3,2,0.498
4,292,3,3,2,0.498
4,292,3,3,2,0.498
4,292,3,3,2,0.498
41,161,3,3,1,0.677
41,161,3,3,1,0.677
41,161,3,3,1,0.677
41,161,3,3,1,0.677
41,302,3,3,1,0.55
41,302,3,3,1,0.55
41,302,3,3,1,0.55
41,302,3,3,1,0.55
45,163,3,3,2,0.995
45,163,3,3,2,0.995
45,163,3,3,2,0.995
45,163,3,3,2,0.995
45,331,3,3,2,1.113
45,331,3,3,2,1.113
45,331,3,3,2,1.113
45,331,3,3,2,1.113
65,168,3,3,2,0.539
65,168,3,3,2,0.539
65,168,3,3,2,0.539
65,168,3,3,2,0.539
65,168,3,3,2,0.539
65,168,3,3,2,0.539
65,249,3,3,1,0.482
65,249,3,3,1,0.482
65,249,3,3,1,0.482
65,249,3,3,1,0.482
82,130,3,3,1,0.58
82,130,3,3,1,0.58
82,130,3,3,1,0.58
82,130,3,3,1,0.58
82,249,3,3,2,0.627
82,249,3,3,2,0.627
82,249,3,3,2,0.627
