nodeid,lat,lon,layer
1,51.38606,-0.09705,5
2,51.36989,-0.03117,5
3,51.3559,-0.07278,5
4,51.34715,-0.02346,5
4,51.34715,-0.02346,3
5,51.39878,-0.1003,2
5,51.39878,-0.1003,5
6,51.35325,-0.14823,5
7,51.37643,-0.04474,5
8,51.32574,0.02226,5
9,51.35233,-0.01074,5
10,51.39243,-0.13982,5
11,51.36779,-0.12591,5
12,51.31699,0.03492,5
13,51.33798,-0.08223,5
14,51.37669,-0.12768,5
15,51.35429,-0.17604,5
16,51.38256,-0.09761,5
17,51.38308,-0.0663,5
18,51.37171,-0.03116,5
19,51.3699,-0.05449,5
20,51.29637,0.05418,5
21,51.38992,-0.17942,5
22,51.28368,0.04204,5
23,51.34661,-0.04308,5
24,51.34749,-0.00898,5
25,51.36764,-0.09906,5
26,51.38619,-0.13973,5
27,51.37745,-0.16802,5
28,51.35304,-0.19197,5
29,51.3467,-0.03953,5
30,51.36084,-0.12585,5
31,51.3916,-0.1773,5
32,51.39955,-0.12116,5
33,51.3674,-0.11733,2
33,51.3674,-0.11733,5
34,51.36987,-0.14092,5
35,51.35611,-0.0502,5
36,51.38949,-0.11193,5
37,51.37141,-0.21878,5
38,51.38306,-0.18628,5
39,51.36654,-0.19272,5
40,51.39745,-0.11583,5
41,51.3821,-0.12357,5
41,51.3821,-0.12357,3
42,51.3471,-0.01203,5
43,51.3737,-0.16298,5
44,51.33791,-0.0541,5
45,51.35649,-0.0446,5
45,51.35649,-0.0446,3
46,51.3899,-0.19877,5
46,51.3899,-0.19877,2
47,51.36473,-0.23462,5
48,51.35764,-0.09764,5
49,51.36845,-0.16637,2
49,51.36845,-0.16637,5
50,51.38892,-0.17148,5
51,51.38309,-0.11665,5
52,51.38597,-0.09924,5
53,51.40202,-0.10638,5
54,51.37931,-0.08165,5
55,51.38181,-0.06976,5
56,51.35953,-0.19121,2
56,51.35953,-0.19121,5
57,51.38848,-0.12854,5
58,51.38183,-0.12975,5
59,51.36412,-0.05169,5
60,51.37808,-0.22046,5
61,51.3523,-0.09851,5
62,51.29029,0.01853,5
63,51.33957,-0.05814,5
64,51.35577,-0.09191,5
65,51.3752,-0.085,5
65,51.3752,-0.085,3
66,51.38072,-0.18332,5
67,51.37357,-0.13171,5
68,51.36282,-0.1111,5
69,51.32196,0.02763,5
70,51.35173,-0.16629,5
71,51.35649,-0.13859,5
72,51.3618,-0.11789,5
73,51.36937,-0.14555,5
74,51.34096,-0.03774,5
75,51.37227,-0.03503,5
76,51.38644,-0.15799,5
77,51.35486,-0.16213,5
78,51.39497,-0.11008,5
79,51.34233,-0.0479,5
80,51.30876,0.02912,5
81,51.37315,-0.2371,5
82,51.37981,-0.07324,5
82,51.37981,-0.07324,3
83,51.37386,-0.18539,5
84,51.34236,-0.06542,5
85,51.38902,-0.12099,5
86,51.34763,-0.01872,5
87,51.36534,-0.15725,5
88,51.34181,-0.05042,5
89,51.31933,-0.04249,5
90,51.35818,-0.02104,5
91,51.38423,-0.07603,5
92,51.38035,-0.17145,5
93,51.37155,-0.08672,5
94,51.34703,-0.07249,5
95,51.37884,-0.04301,5
96,51.37811,-0.181,5
97,51.37421,-0.0705,5
98,51.38924,-0.14216,5
98,51.38924,-0.14216,3
99,51.37787,-0.1539,5
99,51.37787,-0.1539,2
100,51.31638,-0.03665,5
101,51.36264,-0.18532,5
102,51.37616,-0.23632,5
103,51.3594,-0.12947,5
104,51.38607,-0.18164,5
105,51.35964,-0.2398,5
106,51.38808,-0.18266,5
107,51.37602,-0.22261,5
108,51.37092,-0.1524,5
109,51.3612,-0.13086,5
110,51.39193,-0.0883,2
110,51.39193,-0.0883,5
111,51.35291,-0.13744,5
112,51.36039,-0.15083,5
112,51.36039,-0.15083,2
112,51.36039,-0.15083,4
113,51.36792,-0.09626,5
114,51.38269,-0.06431,5
115,51.31106,0.03523,5
116,51.3109,0.02647,5
117,51.33364,0.0277,5
118,51.33538,-0.00105,5
119,51.38207,-0.08247,5
120,51.34739,-0.03551,5
121,51.36563,-0.16004,5
122,51.3774,-0.17041,5
123,51.37536,-0.17723,5
124,51.38936,-0.18567,5
125,51.36606,-0.22367,5
126,51.38365,-0.20274,5
127,51.34945,-0.04303,5
128,51.28285,0.04732,5
129,51.38375,-0.09861,5
130,51.38476,-0.07056,5
130,51.38476,-0.07056,3
131,51.35371,-0.12934,5
132,51.35995,-0.13368,5
133,51.36659,-0.18898,5
134,51.37168,-0.04033,5
135,51.36564,-0.18267,5
136,51.35619,-0.1148,5
137,51.35464,-0.02072,5
138,51.34343,-0.04728,5
139,51.38521,-0.18856,5
140,51.371,-0.22807,5
141,51.3566,-0.12865,5
142,51.38923,-0.07921,5
143,51.3284,0.01666,5
144,51.34646,-0.05627,5
145,51.35281,-0.13274,5
146,51.36684,-0.13212,5
147,51.3179,-0.03925,5
148,51.31636,0.0588,5
149,51.31626,0.03299,5
150,51.3817,-0.0883,5
151,51.37829,-0.21885,5
152,51.35407,-0.10599,5
153,51.34521,-0.06566,5
154,51.38467,-0.06409,5
155,51.38577,-0.17894,5
156,51.37044,-0.19517,5
157,51.39216,-0.07578,5
158,51.39893,-0.1283,5
159,51.35404,-0.01359,5
160,51.35548,-0.21417,2
160,51.35548,-0.21417,5
161,51.37708,-0.11801,5
161,51.37708,-0.11801,3
162,51.3734,-0.11328,5
162,51.3734,-0.11328,3
163,51.35625,-0.03025,5
163,51.35625,-0.03025,3
164,51.38778,-0.09561,5
165,51.33982,-0.07018,5
166,51.33693,-0.07593,5
167,51.39981,-0.08571,5
168,51.37545,-0.09278,2
168,51.37545,-0.09278,5
168,51.37545,-0.09278,3
169,51.34814,-0.06776,5
170,51.35109,-0.06921,5
171,51.3696,-0.18569,5
172,51.35908,-0.14192,5
173,51.39376,-0.17448,5
174,51.36377,-0.01896,5
175,51.3151,-0.03336,5
176,51.38606,-0.10099,5
177,51.36306,-0.17636,5
178,51.35003,-0.14516,5
179,51.38539,-0.18976,5
180,51.3098,0.02757,5
181,51.37951,-0.19193,5
182,51.35587,-0.02031,5
183,51.36947,-0.23839,5
184,51.283,0.06544,5
185,51.39286,-0.11396,5
186,51.38738,-0.12587,5
187,51.35144,-0.09175,5
188,51.38824,-0.09319,5
189,51.3873,-0.08186,5
190,51.37843,-0.10258,5
190,51.37843,-0.10258,2
190,51.37843,-0.10258,3
191,51.37234,-0.22551,5
192,51.38071,-0.08859,5
193,51.38232,-0.15705,5
194,51.39423,-0.14602,5
195,51.35085,-0.14788,5
196,51.3812,-0.1135,5
197,51.33646,-0.00133,5
198,51.35388,-0.03842,5
199,51.34259,-0.01741,5
199,51.34259,-0.01741,3
200,51.36991,-0.13322,5
201,51.38512,-0.10961,5
202,51.3832,-0.10766,5
203,51.37489,-0.19634,5
203,51.37489,-0.19634,2
204,51.36718,-0.18611,5
205,51.33866,-0.07341,5
206,51.30189,0.0522,5
207,51.38347,-0.22371,5
208,51.37499,-0.21812,5
209,51.34047,-0.08573,5
210,51.39018,-0.13255,5
211,51.3596,-0.13786,5
212,51.34944,-0.13639,5
213,51.30681,0.04588,5
214,51.3871,-0.06536,5
214,51.3871,-0.06536,3
215,51.3758,-0.04264,5
216,51.37852,-0.05143,5
217,51.36884,-0.08602,5
218,51.28541,0.02978,5
219,51.34857,-0.01061,5
220,51.38691,-0.13427,5
221,51.38652,-0.13905,5
222,51.38075,-0.05124,5
223,51.36803,-0.21809,5
224,51.34271,-0.06219,5
225,51.37462,-0.22423,5
226,51.38667,-0.18599,5
227,51.39295,-0.15775,5
227,51.39295,-0.15775,2
227,51.39295,-0.15775,3
228,51.34415,-0.00614,5
