ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
5,27,1,1,7,0.746
5,27,1,1,7,0.746
5,27,1,1,7,0.746
5,27,1,1,7,0.746
27,5,1,1,7,0.746
27,5,1,1,7,0.746
27,5,1,1,7,0.746
27,5,1,1,7,0.746
4,7,2,2,3,2.846
4,7,2,2,3,2.846
4,7,2,2,3,2.846
4,7,2,2,3,2.846
4,7,2,2,3,2.846
4,7,2,2,3,2.846
4,7,2,2,3,2.846
4,7,2,2,3,2.846
4,7,2,2,3,2.846
4,15,2,2,3,2.016
4,15,2,2,3,2.016
4,15,2,2,3,2.016
4,15,2,2,3,2.016
4,15,2,2,3,2.016
4,15,2,2,3,2.016
4,15,2,2,3,2.016
4,15,2,2,3,2.016
4,15,2,2,3,2.016
7,4,2,2,3,2.846
7,4,2,2,3,2.846
7,4,2,2,3,2.846
7,4,2,2,3,2.846
7,4,2,2,3,2.846
7,4,2,2,3,2.846
7,4,2,2,3,2.846
7,4,2,2,3,2.846
7,4,2,2,3,2.846
7,10,2,2,3,2.994
7,10,2,2,3,2.994
7,10,2,2,3,2.994
7,10,2,2,3,2.994
7,10,2,2,3,2.994
7,10,2,2,3,2.994
7,10,2,2,3,2.994
7,10,2,2,3,2.994
7,10,2,2,3,2.994
10,7,2,2,3,2.994
10,7,2,2,3,2.994
10,7,2,2,3,2.994
10,7,2,2,3,2.994
10,7,2,2,3,2.994
10,7,2,2,3,2.994
10,7,2,2,3,2.994
10,7,2,2,3,2.994
10,7,2,2,3,2.994
15,4,2,2,4,2.016
15,4,2,2,4,2.016
15,4,2,2,4,2.016
15,4,2,2,4,2.016
15,4,2,2,4,2.016
15,4,2,2,4,2.016
15,4,2,2,4,2.016
15,4,2,2,4,2.016
15,4,2,2,4,2.016
15,22,2,2,3,0.685
15,22,2,2,3,0.685
15,22,2,2,3,0.685
15,22,2,2,3,0.685
15,22,2,2,3,0.685
15,22,2,2,3,0.685
15,22,2,2,3,0.685
15,22,2,2,3,0.685
15,22,2,2,3,0.685
15,22,2,2,3,0.685
15,22,2,2,3,0.685
15,22,2,2,3,0.685
22,15,2,2,1,0.685
22,15,2,2,1,0.685
22,15,2,2,1,0.685
22,15,2,2,1,0.685
22,15,2,2,1,0.685
22,15,2,2,1,0.685
22,15,2,2,1,0.685
22,15,2,2,1,0.685
22,15,2,2,1,0.685
22,15,2,2,1,0.685
22,15,2,2,1,0.685
22,15,2,2,1,0.685
22,25,2,2,7,8.07
22,25,2,2,7,8.07
22,25,2,2,7,8.07
22,25,2,2,7,8.07
22,25,2,2,7,8.07
22,25,2,2,7,8.07
22,25,2,2,7,8.07
22,25,2,2,7,8.07
25,22,2,2,10,8.07
25,22,2,2,10,8.07
25,22,2,2,10,8.07
25,22,2,2,10,8.07
25,22,2,2,10,8.07
25,22,2,2,10,8.07
25,22,2,2,10,8.07
25,22,2,2,10,8.07
1,11,3,3,3,1.606
1,11,3,3,3,1.606
1,11,3,3,3,1.606
1,11,3,3,3,1.606
1,17,3,3,3,2.022
1,17,3,3,3,2.022
1,17,3,3,3,2.022
1,17,3,3,3,2.022
2,10,3,3,2,1.573
2,10,3,3,2,1.573
2,10,3,3,2,1.573
2,10,3,3,2,1.573
2,10,3,3,2,1.573
2,10,3,3,2,1.573
3,6,3,3,1,1.297
3,6,3,3,1,1.297
3,6,3,3,1,1.297
3,6,3,3,1,1.297
3,8,3,3,1,1.042
3,8,3,3,1,1.042
3,8,3,3,1,1.042
3,8,3,3,1,1.042
4,7,3,3,3,2.846
4,7,3,3,3,2.846
4,7,3,3,3,2.846
4,7,3,3,3,2.846
4,7,3,3,3,2.846
4,7,3,3,3,2.846
4,7,3,3,3,2.846
4,7,3,3,3,2.846
4,7,3,3,3,2.846
4,12,3,3,2,1.278
4,12,3,3,2,1.278
4,12,3,3,2,1.278
4,12,3,3,2,1.278
4,12,3,3,2,1.278
4,12,3,3,2,1.278
6,3,3,3,2,1.297
6,3,3,3,2,1.297
6,3,3,3,2,1.297
6,3,3,3,2,1.297
6,23,3,3,2,1.325
6,23,3,3,2,1.325
6,23,3,3,2,1.325
