nodeid,lat,lon,layer
1,55.01732,-1.42893,5
1,55.01732,-1.42893,3
2,54.95736,-1.48574,5
2,54.95736,-1.48574,3
3,54.97617,-1.44168,5
3,54.97617,-1.44168,3
4,54.92954,-1.38669,5
4,54.92954,-1.38669,2
4,54.92954,-1.38669,3
5,55.00386,-1.4445,5
5,55.00386,-1.4445,1
6,54.98641,-1.43185,5
6,54.98641,-1.43185,3
7,54.94641,-1.42031,2
7,54.94641,-1.42031,5
7,54.94641,-1.42031,3
8,54.9719,-1.45625,5
8,54.9719,-1.45625,3
9,54.91284,-1.4171,5
9,54.91284,-1.4171,3
10,54.95954,-1.46135,5
10,54.95954,-1.46135,2
10,54.95954,-1.46135,3
11,55.00828,-1.44863,5
11,55.00828,-1.44863,3
12,54.91823,-1.3829,5
12,54.91823,-1.3829,3
13,55.00166,-1.46529,5
13,55.00166,-1.46529,3
14,55.04041,-1.47635,5
14,55.04041,-1.47635,3
15,54.91145,-1.3838,5
15,54.91145,-1.3838,2
15,54.91145,-1.3838,3
16,54.97443,-1.46514,5
16,54.97443,-1.46514,3
17,55.03505,-1.43624,5
17,55.03505,-1.43624,3
18,54.90285,-1.39223,5
18,54.90285,-1.39223,3
19,55.04,-1.44278,5
19,55.04,-1.44278,3
20,54.90386,-1.44826,5
20,54.90386,-1.44826,3
21,54.90659,-1.40131,5
21,54.90659,-1.40131,3
22,54.90534,-1.3823,4
22,54.90534,-1.3823,2
22,54.90534,-1.3823,3
22,54.90534,-1.3823,5
23,54.99833,-1.43301,4
23,54.99833,-1.43301,5
23,54.99833,-1.43301,3
24,54.9795,-1.49366,5
24,54.9795,-1.49366,3
25,54.83665,-1.34092,2
25,54.83665,-1.34092,5
26,55.04273,-1.45985,5
26,55.04273,-1.45985,3
27,54.99764,-1.44005,5
27,54.99764,-1.44005,1
28,54.99945,-1.47414,5
28,54.99945,-1.47414,3
29,55.04494,-1.45589,5
30,55.04111,-1.46351,5
31,55.03808,-1.4706,5
32,55.00221,-1.43671,5
33,54.96681,-1.45138,5
34,54.96415,-1.42209,5
35,54.96679,-1.45123,5
36,54.96851,-1.44533,5
37,54.89248,-1.36575,5
38,54.89534,-1.36608,5
39,54.90457,-1.3706,5
40,54.9004,-1.36669,5
41,54.89768,-1.36591,5
42,54.89029,-1.36454,5
43,54.92791,-1.42738,5
44,54.92856,-1.44125,5
45,55.04002,-1.46672,5
46,54.90519,-1.3726,5
47,54.9056,-1.36991,5
48,54.90635,-1.36752,5
49,54.90935,-1.36652,5
50,54.90919,-1.36657,5
51,54.90639,-1.36738,5
52,54.90509,-1.37331,5
53,54.9105,-1.36478,5
54,54.91153,-1.3662,5
55,55.01741,-1.45598,5
56,55.01188,-1.45792,5
57,54.97716,-1.48577,5
58,54.88488,-1.38103,5
59,54.96816,-1.44616,5
60,54.96948,-1.4421,5
61,55.01464,-1.43081,5
62,55.01214,-1.44157,5
63,55.01358,-1.43584,5
64,55.0222,-1.42534,5
65,55.01935,-1.42525,5
66,55.01175,-1.44348,5
67,54.91768,-1.37219,5
68,54.91657,-1.37519,5
69,54.89419,-1.3659,5
70,54.88763,-1.37049,5
71,54.89602,-1.42186,5
72,54.89487,-1.42068,5
73,54.89507,-1.41645,5
74,54.89494,-1.4177,5
75,54.94506,-1.43307,5
76,54.96354,-1.40751,5
77,54.96952,-1.44141,5
78,54.91631,-1.37909,5
79,54.91517,-1.44723,5
80,54.91494,-1.44783,5
81,54.9252,-1.45083,5
82,54.91859,-1.42569,5
83,54.91895,-1.42526,5
84,54.91493,-1.4504,5
85,54.9175,-1.4302,5
86,54.91727,-1.43153,5
87,55.02444,-1.48612,5
88,54.96974,-1.41577,5
89,54.97137,-1.41628,5
90,54.97218,-1.37728,5
91,54.97362,-1.41697,5
92,54.97442,-1.39399,5
93,54.978,-1.38395,5
94,54.97573,-1.38921,5
95,55.00869,-1.45677,5
96,54.97391,-1.42089,5
97,54.92323,-1.45596,5
98,54.92317,-1.45711,5
99,54.92095,-1.45645,5
100,54.92272,-1.45751,5
101,54.91901,-1.45751,5
102,54.92101,-1.45625,5
103,54.91867,-1.45603,5
104,54.91866,-1.45825,5
105,54.92604,-1.45639,5
106,54.92574,-1.46054,5
107,54.83261,-1.35197,5
108,54.96118,-1.48852,5
109,54.96377,-1.47993,5
110,54.96296,-1.48456,5
111,54.9674,-1.46903,5
112,54.96484,-1.47585,5
113,54.97039,-1.46246,5
114,55.0383,-1.46979,5
115,55.03978,-1.46691,5
116,55.0406,-1.46541,5
117,55.0452,-1.4546,5
118,55.00013,-1.41633,5
119,54.99099,-1.40853,5
120,54.82477,-1.36764,5
121,54.82523,-1.36796,5
122,54.96299,-1.43015,5
123,54.96095,-1.43814,5
124,54.96459,-1.44585,5
125,54.96625,-1.41508,5
126,54.86568,-1.41733,5
127,54.83658,-1.33613,5
128,54.83669,-1.336,5
129,54.83965,-1.35148,5
130,54.9617,-1.46751,5
131,54.97861,-1.41332,5
132,54.999,-1.42953,5
133,54.99791,-1.42149,5
134,54.92366,-1.38051,5
135,54.91992,-1.3794,5
136,54.91735,-1.37777,5
137,54.86059,-1.41014,5
138,54.86196,-1.40538,5
139,54.83511,-1.35663,5
140,54.83479,-1.3581,5
141,54.95144,-1.38359,5
142,54.93486,-1.39437,5
143,54.95449,-1.40158,5
144,55.02034,-1.42547,5
145,55.02308,-1.42609,5
146,55.0118,-1.4445,5
147,55.0125,-1.44047,5
148,55.01492,-1.43013,5
149,55.01359,-1.43656,5
150,54.90251,-1.38514,5
151,54.99629,-1.41031,5
152,54.99384,-1.41128,5
153,54.98177,-1.38708,5
154,54.98821,-1.40288,5
155,54.97986,-1.38355,5
156,54.92615,-1.45539,5
157,54.89805,-1.40874,5
158,54.89745,-1.41157,5
159,54.89692,-1.41399,5
160,54.89644,-1.41618,5
161,54.89685,-1.41463,5
162,54.89739,-1.41218,5
163,54.94085,-1.36822,5
164,54.94091,-1.37024,5
165,54.94119,-1.37225,5
166,54.94211,-1.37403,5
167,54.94294,-1.37156,5
168,54.9424,-1.36875,5
169,54.84951,-1.34532,5
170,54.84973,-1.3447,5
171,54.92525,-1.40645,5
172,54.92535,-1.40663,5
173,54.96408,-1.41398,5
174,54.9646,-1.41463,5
175,54.96764,-1.41509,5
176,54.96993,-1.41622,5
177,54.96799,-1.41563,5
178,54.97356,-1.41736,5
179,54.97639,-1.41822,5
180,54.89594,-1.43976,5
181,54.91258,-1.45689,5
182,54.91206,-1.45584,5
183,54.84147,-1.36565,5
184,54.84138,-1.36576,5
185,54.95958,-1.42767,5
186,54.9588,-1.42975,5
187,54.96408,-1.4229,5
188,54.9633,-1.42868,5
189,54.94992,-1.45494,5
190,54.96272,-1.41677,5
191,54.95114,-1.44167,5
