ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
2,452,2,2,2,2.924
2,452,2,2,2,2.924
2,452,2,2,2,2.924
2,452,2,2,2,2.924
10,163,2,2,4,1.406
10,163,2,2,4,1.406
10,163,2,2,4,1.406
10,163,2,2,4,1.406
10,393,2,2,2,1.888
10,393,2,2,2,1.888
10,393,2,2,2,1.888
10,393,2,2,2,1.888
65,105,2,2,2,1.288
65,105,2,2,2,1.288
65,105,2,2,2,1.288
65,105,2,2,2,1.288
65,498,2,2,2,0.776
65,498,2,2,2,0.776
65,498,2,2,2,0.776
65,498,2,2,2,0.776
93,298,2,2,2,1.417
93,298,2,2,2,1.417
93,298,2,2,2,1.417
93,298,2,2,2,1.417
93,327,2,2,3,4.239
93,327,2,2,3,4.239
93,327,2,2,3,4.239
93,327,2,2,3,4.239
93,327,2,2,3,4.239
93,327,2,2,3,4.239
93,484,2,2,6,7.199
93,484,2,2,6,7.199
93,484,2,2,6,7.199
93,484,2,2,6,7.199
93,484,2,2,6,7.199
93,484,2,2,6,7.199
98,489,2,2,3,1.142
98,489,2,2,3,1.142
98,489,2,2,3,1.142
98,489,2,2,3,1.142
98,489,2,2,3,1.142
98,489,2,2,3,1.142
105,65,2,2,2,1.288
105,65,2,2,2,1.288
105,65,2,2,2,1.288
105,65,2,2,2,1.288
105,452,2,2,4,2.841
105,452,2,2,4,2.841
105,452,2,2,4,2.841
105,452,2,2,4,2.841
156,393,2,2,2,0.912
156,393,2,2,2,0.912
156,393,2,2,2,0.912
156,393,2,2,2,0.912
163,10,2,2,5,1.406
163,10,2,2,5,1.406
163,10,2,2,5,1.406
163,10,2,2,5,1.406
163,428,2,2,3,2.259
163,428,2,2,3,2.259
163,428,2,2,3,2.259
163,428,2,2,3,2.259
163,437,2,2,5,4.617
163,437,2,2,5,4.617
163,437,2,2,5,4.617
163,437,2,2,5,4.617
175,393,2,2,3,1.375
175,393,2,2,3,1.375
175,393,2,2,3,1.375
175,393,2,2,3,1.375
178,428,2,2,2,1.141
178,428,2,2,2,1.141
178,428,2,2,2,1.141
178,428,2,2,2,1.141
178,437,2,2,2,1.229
178,437,2,2,2,1.229
178,437,2,2,2,1.229
178,437,2,2,2,1.229
298,93,2,2,2,1.417
298,93,2,2,2,1.417
298,93,2,2,2,1.417
298,93,2,2,2,1.417
298,327,2,2,5,5.651
298,327,2,2,5,5.651
298,327,2,2,5,5.651
298,327,2,2,5,5.651
298,327,2,2,5,5.651
298,327,2,2,5,5.651
327,93,2,2,4,4.239
327,93,2,2,4,4.239
327,93,2,2,4,4.239
327,93,2,2,4,4.239
327,93,2,2,4,4.239
327,93,2,2,4,4.239
327,484,2,2,3,3.015
327,484,2,2,3,3.015
327,484,2,2,3,3.015
327,484,2,2,3,3.015
327,484,2,2,3,3.015
327,484,2,2,3,3.015
327,484,2,2,3,3.015
327,484,2,2,3,3.015
327,484,2,2,3,3.015
339,489,2,2,3,1.253
339,489,2,2,3,1.253
339,489,2,2,3,1.253
339,489,2,2,3,1.253
339,498,2,2,2,0.707
339,498,2,2,2,0.707
339,498,2,2,2,0.707
339,498,2,2,2,0.707
393,10,2,2,3,1.888
393,10,2,2,3,1.888
393,10,2,2,3,1.888
393,10,2,2,3,1.888
393,156,2,2,2,0.912
393,156,2,2,2,0.912
393,156,2,2,2,0.912
393,156,2,2,2,0.912
393,175,2,2,3,1.375
393,175,2,2,3,1.375
393,175,2,2,3,1.375
393,175,2,2,3,1.375
428,163,2,2,2,2.259
428,163,2,2,2,2.259
428,163,2,2,2,2.259
428,163,2,2,2,2.259
428,178,2,2,2,1.141
428,178,2,2,2,1.141
428,178,2,2,2,1.141
428,178,2,2,2,1.141
437,178,2,2,2,1.229
437,178,2,2,2,1.229
437,178,2,2,2,1.229
437,178,2,2,2,1.229
452,2,2,2,3,2.924
452,2,2,2,3,2.924
452,2,2,2,3,2.924
452,2,2,2,3,2.924
452,105,2,2,3,2.841
452,105,2,2,3,2.841
452,105,2,2,3,2.841
452,105,2,2,3,2.841
484,93,2,2,5,7.199
484,93,2,2,5,7.199
484,93,2,2,5,7.199
484,93,2,2,5,7.199
484,93,2,2,5,7.199
484,93,2,2,5,7.199
484,298,2,2,6,8.591
484,298,2,2,6,8.591
484,298,2,2,6,8.591
484,298,2,2,6,8.591
484,298,2,2,6,8.591
484,298,2,2,6,8.591
484,327,2,2,3,3.015
484,327,2,2,3,3.015
484,327,2,2,3,3.015
484,327,2,2,3,3.015
484,327,2,2,3,3.015
484,327,2,2,3,3.015
484,327,2,2,3,3.015
484,327,2,2,3,3.015
484,327,2,2,3,3.015
489,98,2,2,5,1.142
489,98,2,2,5,1.142
489,98,2,2,5,1.142
489,98,2,2,5,1.142
489,98,2,2,5,1.142
489,98,2,2,5,1.142
489,339,2,2,3,1.253
489,339,2,2,3,1.253
489,339,2,2,3,1.253
489,339,2,2,3,1.253
498,65,2,2,2,0.776
498,65,2,2,2,0.776
498,65,2,2,2,0.776
498,65,2,2,2,0.776
498,339,2,2,2,0.707
498,339,2,2,2,0.707
498,339,2,2,2,0.707
498,339,2,2,2,0.707
7,463,3,3,2,0.816
7,463,3,3,2,0.816
7,463,3,3,2,0.816
7,463,3,3,2,0.816
11,29,3,3,2,1.528
11,29,3,3,2,1.528
11,29,3,3,2,1.528
11,29,3,3,2,1.528
29,11,3,3,2,1.528
29,11,3,3,2,1.528
29,11,3,3,2,1.528
29,11,3,3,2,1.528
98,392,3,3,1,1.708
98,392,3,3,1,1.708
98,392,3,3,1,1.708
98,392,3,3,1,1.708
98,392,3,3,1,1.708
98,392,3,3,1,1.708
115,118,3,3,3,2.097
115,118,3,3,3,2.097
115,118,3,3,3,2.097
115,118,3,3,3,2.097
118,115,3,3,3,2.097
118,115,3,3,3,2.097
118,115,3,3,3,2.097
118,115,3,3,3,2.097
118,254,3,3,2,1.066
118,254,3,3,2,1.066
118,254,3,3,2,1.066
118,254,3,3,2,1.066
139,415,3,3,2,1.135
139,415,3,3,2,1.135
139,415,3,3,2,1.135
139,415,3,3,2,1.135
254,118,3,3,2,1.066
254,118,3,3,2,1.066
254,118,3,3,2,1.066
254,118,3,3,2,1.066
254,256,3,3,3,1.733
254,256,3,3,3,1.733
254,256,3,3,3,1.733
254,256,3,3,3,1.733
256,254,3,3,2,1.733
256,254,3,3,2,1.733
256,254,3,3,2,1.733
256,254,3,3,2,1.733
256,415,3,3,1,0.649
256,415,3,3,1,0.649
256,415,3,3,1,0.649
256,415,3,3,1,0.649
321,395,3,3,2,0.941
321,395,3,3,2,0.941
321,395,3,3,2,0.941
321,395,3,3,2,0.941
321,414,3,3,1,0.73
321,414,3,3,1,0.73
321,414,3,3,1,0.73
321,414,3,3,1,0.73
322,414,3,3,2,1.4
322,414,3,3,2,1.4
322,414,3,3,2,1.4
322,414,3,3,2,1.4
327,436,3,3,2,2.119
327,436,3,3,2,2.119
327,436,3,3,2,2.119
327,436,3,3,2,2.119
327,436,3,3,2,2.119
327,436,3,3,2,2.119
392,98,3,3,2,1.708
392,98,3,3,2,1.708
392,98,3,3,2,1.708
392,98,3,3,2,1.708
392,98,3,3,2,1.708
392,98,3,3,2,1.708
392,484,3,3,2,2.319
392,484,3,3,2,2.319
392,484,3,3,2,2.319
392,484,3,3,2,2.319
392,484,3,3,2,2.319
392,484,3,3,2,2.319
395,321,3,3,2,0.941
395,321,3,3,2,0.941
395,321,3,3,2,0.941
395,321,3,3,2,0.941
395,463,3,3,3,2.47
395,463,3,3,3,2.47
395,463,3,3,3,2.47
395,463,3,3,3,2.47
414,321,3,3,1,0.73
414,321,3,3,1,0.73
414,321,3,3,1,0.73
414,321,3,3,1,0.73
414,322,3,3,2,1.4
414,322,3,3,2,1.4
414,322,3,3,2,1.4
414,322,3,3,2,1.4
415,139,3,3,2,1.135
415,139,3,3,2,1.135
415,139,3,3,2,1.135
415,139,3,3,2,1.135
415,256,3,3,1,0.649
415,256,3,3,1,0.649
415,256,3,3,1,0.649
415,256,3,3,1,0.649
436,327,3,3,2,2.119
436,327,3,3,2,2.119
436,327,3,3,2,2.119
436,327,3,3,2,2.119
436,327,3,3,2,2.119
436,327,3,3,2,2.119
436,484,3,3,1,0.896
436,484,3,3,1,0.896
436,484,3,3,1,0.896
436,484,3,3,1,0.896
436,484,3,3,1,0.896
436,484,3,3,1,0.896
463,7,3,3,2,0.816
463,7,3,3,2,0.816
463,7,3,3,2,0.816
463,7,3,3,2,0.816
463,395,3,3,3,2.47
463,395,3,3,3,2.47
463,395,3,3,3,2.47
463,395,3,3,3,2.47
484,392,3,3,2,2.319
484,392,3,3,2,2.319
484,392,3,3,2,2.319
484,392,3,3,2,2.319
484,392,3,3,2,2.319
484,392,3,3,2,2.319
484,436,3,3,1,0.896
484,436,3,3,1,0.896
484,436,3,3,1,0.896
484,436,3,3,1,0.896
484,436,3,3,1,0.896
484,436,3,3,1,0.896
1,126,5,5,1,0.436
1,657,5,5,1,0.201
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,131,5,5,1,0.595
2,131,5,5,1,0.595
2,165,5,5,1,0.619
2,165,5,5,1,0.619
2,388,5,5,1,0.761
2,388,5,5,1,0.761
2,513,5,5,1,0.605
2,513,5,5,1,0.605
2,545,5,5,1,0.286
2,545,5,5,1,0.286
2,579,5,5,1,0.736
2,579,5,5,1,0.736
2,617,5,5,1,0.467
2,617,5,5,1,0.467
3,29,5,5,1,0.481
