nodeid,lat,lon,layer
1,51.54389,-0.37527,5
2,51.5031,-0.42067,2
2,51.5031,-0.42067,5
3,51.61194,-0.43065,5
4,51.45835,-0.35187,5
5,51.53505,-0.36166,5
6,51.47243,-0.32809,5
7,51.49932,-0.31472,5
7,51.49932,-0.31472,3
8,51.52966,-0.4486,5
9,51.4553,-0.35372,5
10,51.44961,-0.35768,2
10,51.44961,-0.35768,5
11,51.60057,-0.40945,5
11,51.60057,-0.40945,3
12,51.49681,-0.40089,5
13,51.58371,-0.40896,5
14,51.60572,-0.47281,5
15,51.50202,-0.36857,5
16,51.4913,-0.38135,5
17,51.57843,-0.43037,5
18,51.58553,-0.40537,5
19,51.54225,-0.3672,5
20,51.46856,-0.32543,5
21,51.59538,-0.48256,5
22,51.50328,-0.31714,5
23,51.53312,-0.46766,5
24,51.57216,-0.40538,5
25,51.56534,-0.37532,5
26,51.60949,-0.43127,5
27,51.43963,-0.35941,5
28,51.55451,-0.47666,5
29,51.61105,-0.42382,5
29,51.61105,-0.42382,3
30,51.49187,-0.31765,5
31,51.49336,-0.38896,5
32,51.55756,-0.40778,5
33,51.52768,-0.33799,5
34,51.48714,-0.34117,5
35,51.5024,-0.3854,5
36,51.53425,-0.40867,5
37,51.51276,-0.42002,5
38,51.54163,-0.45047,5
39,51.52296,-0.43811,5
40,51.48524,-0.37977,5
41,51.51959,-0.36815,5
42,51.51583,-0.3732,5
43,51.47162,-0.37838,5
44,51.52869,-0.35955,5
45,51.51799,-0.35842,5
46,51.58372,-0.40064,5
47,51.48382,-0.3871,5
48,51.56496,-0.46088,5
49,51.48322,-0.34359,5
50,51.44363,-0.36518,5
51,51.46886,-0.37872,5
52,51.51432,-0.41047,5
53,51.51064,-0.41381,5
54,51.50901,-0.34997,5
55,51.46685,-0.34232,5
56,51.5262,-0.45185,5
57,51.47961,-0.37238,5
58,51.51451,-0.43553,5
59,51.52849,-0.38274,5
60,51.51095,-0.37335,5
61,51.56522,-0.45474,5
62,51.53594,-0.43377,5
63,51.50992,-0.3256,5
64,51.51928,-0.33849,5
65,51.51351,-0.32013,2
65,51.51351,-0.32013,5
66,51.52302,-0.44024,5
67,51.46251,-0.37641,5
68,51.51515,-0.36962,5
69,51.59188,-0.48237,5
70,51.61115,-0.46415,5
71,51.46722,-0.3887,5
72,51.46296,-0.38807,5
73,51.48328,-0.40904,5
74,51.58922,-0.48151,5
75,51.50144,-0.36465,5
76,51.52735,-0.46281,5
77,51.51818,-0.41887,5
78,51.53147,-0.36639,5
79,51.50797,-0.31939,5
80,51.48692,-0.40533,5
81,51.48359,-0.38112,5
82,51.50247,-0.33122,5
83,51.575,-0.46888,5
84,51.58451,-0.39639,5
85,51.51966,-0.41343,5
86,51.54333,-0.36485,5
87,51.55018,-0.35261,5
88,51.51769,-0.3623,5
89,51.53413,-0.36902,5
90,51.51578,-0.40906,5
91,51.50959,-0.32923,5
92,51.54992,-0.40049,5
93,51.57884,-0.49743,5
93,51.57884,-0.49743,2
94,51.45999,-0.37459,5
95,51.46857,-0.36669,5
96,51.55004,-0.44465,5
97,51.46829,-0.36208,5
98,51.54234,-0.34584,5
98,51.54234,-0.34584,2
98,51.54234,-0.34584,3
99,51.51104,-0.36932,5
100,51.46745,-0.36689,5
101,51.52583,-0.43974,5
102,51.59048,-0.43384,5
103,51.55479,-0.47003,5
104,51.60267,-0.50665,5
105,51.51184,-0.33859,2
105,51.51184,-0.33859,5
106,51.52808,-0.41742,5
107,51.45618,-0.32948,5
108,51.49891,-0.3917,4
108,51.49891,-0.3917,5
109,51.58928,-0.40774,5
110,51.47909,-0.36365,5
111,51.44796,-0.36638,5
112,51.60958,-0.43506,5
113,51.48063,-0.33586,5
114,51.52557,-0.45008,5
115,51.54656,-0.47794,5
115,51.54656,-0.47794,3
116,51.54915,-0.45879,5
117,51.51581,-0.42642,5
118,51.55371,-0.44982,5
118,51.55371,-0.44982,3
119,51.56555,-0.38558,5
120,51.56523,-0.46497,5
121,51.5742,-0.42456,5
122,51.60283,-0.48306,5
123,51.60458,-0.4829,5
124,51.46796,-0.34618,5
125,51.46068,-0.33139,5
126,51.54165,-0.38047,5
127,51.5166,-0.37551,5
128,51.60487,-0.41683,5
129,51.53344,-0.42269,5
130,51.56944,-0.46614,5
131,51.50785,-0.41666,5
132,51.46167,-0.39197,5
133,51.52627,-0.41927,5
134,51.46982,-0.37706,5
135,51.59616,-0.41316,5
136,51.47132,-0.38137,5
137,51.51783,-0.4068,5
138,51.52476,-0.43151,5
139,51.5765,-0.39738,5
139,51.5765,-0.39738,3
140,51.54432,-0.44591,5
141,51.58458,-0.39184,5
142,51.52082,-0.41744,5
143,51.53355,-0.45257,5
144,51.48281,-0.36809,5
145,51.52478,-0.3413,5
146,51.52564,-0.4558,5
147,51.43829,-0.33219,5
148,51.5207,-0.41604,5
149,51.47972,-0.38234,5
150,51.45974,-0.33327,5
151,51.4489,-0.37724,5
152,51.52799,-0.35416,5
153,51.47196,-0.34965,5
154,51.47659,-0.38324,5
155,51.57601,-0.42637,5
156,51.45524,-0.3202,2
156,51.45524,-0.3202,5
157,51.50015,-0.3871,5
158,51.48508,-0.40434,5
159,51.51061,-0.3761,5
160,51.52443,-0.38849,5
161,51.46094,-0.34949,5
162,51.45866,-0.3365,5
163,51.46195,-0.36228,5
163,51.46195,-0.36228,2
164,51.54751,-0.37923,5
165,51.4986,-0.42596,5
166,51.51466,-0.43159,5
167,51.51518,-0.36537,5
168,51.54572,-0.44963,5
169,51.54378,-0.44416,5
170,51.46495,-0.3232,5
171,51.49441,-0.41672,5
172,51.48364,-0.33738,5
173,51.54644,-0.44288,5
174,51.44527,-0.36174,5
175,51.43897,-0.33936,2
175,51.43897,-0.33936,5
176,51.44064,-0.36435,5
177,51.52748,-0.39911,5
178,51.48179,-0.32484,5
178,51.48179,-0.32484,2
179,51.52379,-0.44136,5
180,51.49716,-0.42183,5
181,51.61475,-0.45048,5
182,51.62045,-0.4451,5
183,51.47056,-0.34865,5
184,51.60354,-0.41253,5
185,51.50038,-0.37276,5
186,51.46817,-0.3956,5
187,51.52787,-0.37326,5
188,51.53943,-0.38517,5
189,51.56963,-0.39014,5
190,51.48196,-0.34607,5
191,51.5177,-0.43478,5
192,51.52861,-0.36744,5
193,51.55093,-0.37225,5
194,51.47703,-0.38392,5
195,51.47456,-0.39159,5
196,51.47736,-0.37351,5
197,51.55687,-0.46973,5
198,51.54632,-0.38148,5
199,51.57774,-0.3854,5
200,51.47475,-0.3758,5
201,51.59851,-0.48374,5
202,51.53564,-0.3713,5
203,51.46716,-0.36366,5
204,51.4946,-0.39378,5
205,51.52198,-0.34633,5
206,51.53271,-0.37289,5
207,51.48511,-0.33914,5
208,51.48263,-0.34575,5
209,51.48086,-0.3468,5
210,51.4761,-0.3509,5
211,51.47769,-0.34546,5
212,51.47608,-0.34742,5
213,51.43994,-0.34735,5
214,51.50102,-0.38274,5
215,51.47696,-0.40129,5
216,51.52658,-0.34217,5
217,51.50769,-0.4318,5
218,51.52613,-0.38982,5
219,51.54869,-0.35491,5
220,51.51134,-0.37524,5
221,51.53672,-0.42901,5
222,51.60638,-0.4447,5
223,51.52122,-0.32325,5
224,51.51728,-0.42893,5
225,51.45557,-0.33116,5
226,51.5219,-0.40192,5
227,51.47794,-0.37301,5
228,51.57087,-0.37571,5
229,51.5119,-0.41249,5
230,51.45479,-0.3124,5
231,51.46315,-0.3478,5
232,51.46754,-0.33403,5
233,51.5132,-0.3904,5
234,51.45765,-0.37189,5
235,51.46715,-0.33729,5
236,51.45324,-0.31331,5
237,51.55035,-0.47203,5
238,51.48205,-0.3136,5
239,51.56322,-0.41408,5
240,51.54475,-0.44029,5
241,51.50837,-0.34661,5
242,51.49414,-0.31385,5
243,51.56004,-0.38066,5
244,51.49601,-0.39746,5
245,51.56002,-0.44631,5
246,51.51815,-0.3687,5
247,51.45053,-0.32086,5
248,51.53835,-0.48218,5
249,51.53485,-0.34722,5
250,51.49349,-0.37057,5
251,51.49863,-0.37853,5
252,51.5969,-0.41025,5
253,51.5273,-0.45086,5
254,51.56199,-0.44199,5
254,51.56199,-0.44199,3
255,51.57228,-0.43118,5
256,51.57135,-0.42189,5
256,51.57135,-0.42189,3
257,51.51055,-0.42387,5
258,51.51948,-0.35472,5
259,51.57745,-0.41602,5
260,51.54772,-0.46909,5
261,51.55114,-0.44894,5
262,51.53535,-0.46535,5
263,51.53532,-0.46156,5
264,51.53183,-0.45043,5
265,51.60406,-0.48122,5
266,51.54039,-0.47246,5
267,51.52736,-0.35076,5
268,51.51901,-0.34433,5
269,51.53378,-0.41259,5
270,51.60923,-0.44088,5
271,51.56575,-0.41707,5
272,51.5235,-0.42464,5
273,51.5289,-0.33089,5
274,51.53022,-0.3725,5
275,51.52313,-0.3423,5
276,51.5238,-0.44851,5
277,51.44521,-0.33246,5
278,51.46542,-0.3474,5
279,51.47389,-0.40023,5
280,51.52202,-0.33951,5
281,51.54022,-0.39709,5
282,51.54861,-0.44108,5
283,51.48337,-0.38201,5
284,51.48521,-0.39781,5
285,51.50531,-0.31941,5
286,51.48867,-0.40446,5
287,51.5567,-0.47288,5
288,51.5336,-0.37163,5
289,51.50962,-0.4368,5
290,51.52594,-0.45915,5
291,51.58658,-0.48796,5
292,51.53335,-0.40349,5
293,51.46532,-0.37817,5
294,51.44163,-0.33223,5
295,51.52316,-0.45763,5
296,51.53251,-0.35172,5
297,51.48988,-0.37166,5
298,51.5806,-0.51778,5
298,51.5806,-0.51778,2
299,51.60562,-0.48103,5
300,51.54549,-0.4823,5
301,51.54299,-0.44107,5
302,51.57369,-0.39856,5
303,51.47487,-0.32576,5
304,51.54402,-0.48714,5
305,51.48424,-0.34254,5
306,51.51624,-0.36528,5
307,51.4822,-0.395,5
308,51.48273,-0.3999,5
309,51.518,-0.44018,5
310,51.45384,-0.35244,5
311,51.55993,-0.46897,5
312,51.502,-0.37129,5
313,51.58924,-0.47953,5
314,51.5133,-0.42823,5
315,51.4567,-0.3402,5
316,51.61683,-0.44387,5
317,51.4674,-0.39245,5
318,51.52419,-0.35343,5
319,51.51937,-0.34013,5
320,51.52737,-0.34157,5
321,51.47322,-0.35648,5
321,51.47322,-0.35648,3
322,51.47347,-0.38653,5
322,51.47347,-0.38653,3
323,51.51433,-0.37543,5
324,51.46667,-0.32982,5
325,51.47004,-0.32844,5
326,51.54712,-0.37305,5
327,51.56976,-0.43776,5
327,51.56976,-0.43776,2
327,51.56976,-0.43776,3
328,51.48432,-0.40063,5
329,51.53693,-0.37035,5
330,51.59527,-0.41505,5
331,51.59184,-0.40733,5
332,51.45884,-0.33081,5
333,51.45579,-0.36,5
334,51.54783,-0.35734,5
335,51.49852,-0.32726,5
336,51.47466,-0.39792,5
337,51.53001,-0.41751,5
338,51.4474,-0.37352,5
339,51.52294,-0.33155,5
339,51.52294,-0.33155,2
340,51.46043,-0.32272,5
341,51.5493,-0.3742,5
342,51.51035,-0.36125,5
343,51.54794,-0.46395,5
344,51.59444,-0.40939,5
345,51.53593,-0.34539,5
346,51.47983,-0.35802,5
347,51.50045,-0.36918,5
348,51.46654,-0.37245,5
349,51.44364,-0.34827,5
350,51.51264,-0.38652,5
351,51.45487,-0.33947,5
352,51.4541,-0.34281,5
353,51.53219,-0.41912,5
354,51.58319,-0.47086,5
355,51.54444,-0.39787,5
356,51.4458,-0.3674,5
357,51.5123,-0.42452,5
358,51.50963,-0.42089,5
359,51.52441,-0.36498,5
360,51.53051,-0.44154,5
361,51.55894,-0.38034,5
362,51.51587,-0.35519,5
363,51.49401,-0.42031,5
364,51.52386,-0.427,5
365,51.46388,-0.38438,5
366,51.53117,-0.35015,5
367,51.53351,-0.38626,5
368,51.53856,-0.45219,5
369,51.53641,-0.47003,5
370,51.54081,-0.48187,5
371,51.48263,-0.33682,5
372,51.57101,-0.42698,5
373,51.52254,-0.37011,5
374,51.49428,-0.32052,5
375,51.52632,-0.39337,5
376,51.44149,-0.35377,5
377,51.61423,-0.43776,5
378,51.52283,-0.34392,5
379,51.46891,-0.37304,5
380,51.60848,-0.42857,5
381,51.5806,-0.41107,5
382,51.58406,-0.43258,5
383,51.5333,-0.39662,5
384,51.55182,-0.36468,5
385,51.60915,-0.43918,5
386,51.57146,-0.40809,5
387,51.52266,-0.34035,5
388,51.49798,-0.41334,5
389,51.60481,-0.48669,5
390,51.45851,-0.34071,5
391,51.4546,-0.33006,5
392,51.54824,-0.3687,5
392,51.54824,-0.3687,3
393,51.45003,-0.3304,5
393,51.45003,-0.3304,2
394,51.44421,-0.34542,5
395,51.48128,-0.35223,5
395,51.48128,-0.35223,3
396,51.55339,-0.37657,5
397,51.48437,-0.39264,5
398,51.48235,-0.34242,5
399,51.53715,-0.38913,5
400,51.47262,-0.34744,5
401,51.5777,-0.39166,5
402,51.45266,-0.36491,5
403,51.5115,-0.38026,5
404,51.48071,-0.37549,5
405,51.47596,-0.39753,5
406,51.45448,-0.33474,5
407,51.46329,-0.3317,5
408,51.50981,-0.3577,5
409,51.45372,-0.37589,5
410,51.56551,-0.45072,5
411,51.52817,-0.35206,5
412,51.52949,-0.3548,5
413,51.56214,-0.37158,5
414,51.4713,-0.36658,5
414,51.4713,-0.36658,3
415,51.5732,-0.41296,5
415,51.5732,-0.41296,3
416,51.56303,-0.40364,5
417,51.48297,-0.39402,5
418,51.56901,-0.37742,5
419,51.48141,-0.39753,5
420,51.4803,-0.38792,5
421,51.47956,-0.38479,5
422,51.48327,-0.38661,5
423,51.48189,-0.38762,5
424,51.48122,-0.37989,5
425,51.53475,-0.4247,5
426,51.57058,-0.41103,5
427,51.49531,-0.41465,5
428,51.47477,-0.33691,2
428,51.47477,-0.33691,5
429,51.55747,-0.38731,5
430,51.55622,-0.37874,5
431,51.46605,-0.3782,5
432,51.43893,-0.3607,5
433,51.53353,-0.45466,5
434,51.53069,-0.4548,5
435,51.60125,-0.48355,5
436,51.56074,-0.4107,5
436,51.56074,-0.4107,3
437,51.48755,-0.30965,2
437,51.48755,-0.30965,5
438,51.56445,-0.44381,5
439,51.54216,-0.48906,5
440,51.5224,-0.42047,5
441,51.47614,-0.35351,5
442,51.52987,-0.44669,5
443,51.44534,-0.33608,5
444,51.53539,-0.42635,5
445,51.46635,-0.38691,5
446,51.5511,-0.37337,5
447,51.46895,-0.39873,5
448,51.47709,-0.32849,5
449,51.45374,-0.34776,5
450,51.52478,-0.37415,5
451,51.49653,-0.37451,5
452,51.50596,-0.37861,2
452,51.50596,-0.37861,5
453,51.50057,-0.32902,5
454,51.4532,-0.33555,5
455,51.5109,-0.36447,5
456,51.55841,-0.38419,5
457,51.51779,-0.35481,5
458,51.56759,-0.40831,5
459,51.51578,-0.39892,5
460,51.4848,-0.37298,5
461,51.49794,-0.40474,5
462,51.58972,-0.43691,5
463,51.49564,-0.32494,5
463,51.49564,-0.32494,3
464,51.44409,-0.34112,5
465,51.58589,-0.44129,5
466,51.61247,-0.46058,5
467,51.49787,-0.39478,5
468,51.49278,-0.3851,5
469,51.51249,-0.35502,5
470,51.52155,-0.45611,5
471,51.5487,-0.47108,5
472,51.54792,-0.48104,5
473,51.53726,-0.47408,5
474,51.52774,-0.38645,5
475,51.483,-0.31328,5
476,51.52761,-0.43927,5
477,51.53202,-0.44287,5
478,51.53507,-0.44096,5
479,51.58716,-0.43566,5
480,51.58249,-0.4426,5
481,51.58011,-0.39995,5
482,51.55677,-0.44689,5
483,51.57294,-0.40187,5
484,51.55693,-0.39925,5
484,51.55693,-0.39925,2
484,51.55693,-0.39925,3
485,51.58757,-0.43722,5
486,51.51926,-0.37519,5
487,51.57215,-0.39323,5
488,51.43816,-0.36766,5
489,51.53376,-0.33671,2
489,51.53376,-0.33671,5
490,51.45042,-0.37926,5
491,51.46593,-0.32364,5
492,51.47131,-0.35413,5
493,51.474,-0.36576,5
494,51.60996,-0.46572,5
495,51.47068,-0.36171,5
496,51.50333,-0.33247,5
497,51.5328,-0.37909,5
498,51.51662,-0.3302,5
498,51.51662,-0.3302,2
499,51.55985,-0.37919,5
500,51.58142,-0.43193,5
501,51.53539,-0.35579,5
502,51.52981,-0.39808,5
503,51.4599,-0.36959,5
504,51.5683,-0.42002,5
505,51.43893,-0.36351,5
506,51.50936,-0.33477,5
507,51.44463,-0.33018,5
508,51.47669,-0.36063,5
509,51.52705,-0.4391,5
510,51.45754,-0.33261,5
511,51.52814,-0.38891,5
512,51.4784,-0.36433,5
513,51.49843,-0.4252,5
