ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,4,2,2,6,6.033
1,4,2,2,6,6.033
1,4,2,2,6,6.033
1,4,2,2,6,6.033
1,6,2,2,3,2.223
1,6,2,2,3,2.223
1,6,2,2,3,2.223
1,6,2,2,3,2.223
1,6,2,2,3,2.223
1,6,2,2,3,2.223
1,9,2,2,5,2.843
1,9,2,2,5,2.843
1,9,2,2,5,2.843
1,9,2,2,5,2.843
1,10,2,2,5,5.65
1,10,2,2,5,5.65
1,10,2,2,5,5.65
1,10,2,2,5,5.65
1,13,2,2,12,8.641
1,13,2,2,12,8.641
1,13,2,2,12,8.641
1,13,2,2,12,8.641
1,16,2,2,12,8.174
1,16,2,2,12,8.174
1,16,2,2,12,8.174
1,16,2,2,12,8.174
1,16,2,2,12,8.174
1,16,2,2,12,8.174
1,19,2,2,8,11.082
1,19,2,2,8,11.082
1,19,2,2,8,11.082
1,19,2,2,8,11.082
2,8,2,2,3,2.709
2,8,2,2,3,2.709
2,8,2,2,3,2.709
2,8,2,2,3,2.709
2,16,2,2,2,1.487
2,16,2,2,2,1.487
2,16,2,2,2,1.487
2,16,2,2,2,1.487
2,16,2,2,2,1.487
2,16,2,2,2,1.487
3,5,2,2,4,3.639
3,5,2,2,4,3.639
3,5,2,2,4,3.639
3,5,2,2,4,3.639
3,14,2,2,3,2.142
3,14,2,2,3,2.142
3,14,2,2,3,2.142
3,14,2,2,3,2.142
3,16,2,2,9,2.728
3,16,2,2,9,2.728
3,16,2,2,9,2.728
3,16,2,2,9,2.728
3,16,2,2,9,2.728
3,16,2,2,9,2.728
3,18,2,2,2,0.883
3,18,2,2,2,0.883
3,18,2,2,2,0.883
3,18,2,2,2,0.883
3,2179,2,2,4,2.69
3,2179,2,2,4,2.69
4,1,2,2,5,6.033
4,1,2,2,5,6.033
4,1,2,2,5,6.033
4,1,2,2,5,6.033
4,19,2,2,4,5.075
4,19,2,2,4,5.075
4,19,2,2,4,5.075
4,19,2,2,4,5.075
5,3,2,2,4,3.639
5,3,2,2,4,3.639
5,3,2,2,4,3.639
5,3,2,2,4,3.639
5,11,2,2,2,0.964
5,11,2,2,2,0.964
5,11,2,2,2,0.964
5,11,2,2,2,0.964
5,18,2,2,4,2.921
5,18,2,2,4,2.921
5,18,2,2,4,2.921
5,18,2,2,4,2.921
6,1,2,2,3,2.223
6,1,2,2,3,2.223
6,1,2,2,3,2.223
6,1,2,2,3,2.223
6,1,2,2,3,2.223
6,1,2,2,3,2.223
6,12,2,2,2,1.524
6,12,2,2,2,1.524
6,12,2,2,2,1.524
6,12,2,2,2,1.524
6,12,2,2,2,1.524
6,12,2,2,2,1.524
6,16,2,2,6,6.049
6,16,2,2,6,6.049
6,16,2,2,6,6.049
6,16,2,2,6,6.049
6,16,2,2,6,6.049
6,16,2,2,6,6.049
6,16,2,2,6,6.049
6,16,2,2,6,6.049
6,16,2,2,6,6.049
6,19,2,2,7,13.291
6,19,2,2,7,13.291
6,19,2,2,7,13.291
6,19,2,2,7,13.291
6,19,2,2,7,13.291
6,19,2,2,7,13.291
6,2179,2,2,4,3.667
6,2179,2,2,4,3.667
6,2179,2,2,4,3.667
7,8,2,2,2,0.864
7,8,2,2,2,0.864
7,8,2,2,2,0.864
7,8,2,2,2,0.864
7,15,2,2,4,4.414
7,15,2,2,4,4.414
7,15,2,2,4,4.414
7,15,2,2,4,4.414
7,16,2,2,5,4.939
7,16,2,2,5,4.939
7,16,2,2,5,4.939
7,16,2,2,5,4.939
7,16,2,2,5,4.939
7,16,2,2,5,4.939
8,2,2,2,2,2.709
8,2,2,2,2,2.709
8,2,2,2,2,2.709
8,2,2,2,2,2.709
8,7,2,2,2,0.864
8,7,2,2,2,0.864
8,7,2,2,2,0.864
8,7,2,2,2,0.864
8,20,2,2,7,8.218
8,20,2,2,7,8.218
8,20,2,2,7,8.218
8,20,2,2,7,8.218
9,1,2,2,5,2.843
9,1,2,2,5,2.843
9,1,2,2,5,2.843
9,1,2,2,5,2.843
9,20,2,2,7,7.673
9,20,2,2,7,7.673
9,20,2,2,7,7.673
9,20,2,2,7,7.673
10,1,2,2,6,5.65
10,1,2,2,6,5.65
10,1,2,2,6,5.65
10,1,2,2,6,5.65
10,13,2,2,3,3.034
10,13,2,2,3,3.034
10,13,2,2,3,3.034
10,13,2,2,3,3.034
11,5,2,2,2,0.964
11,5,2,2,2,0.964
