nodeid,lat,lon,layer
1,50.96924,-1.35009,2
1,50.96924,-1.35009,5
2,50.91149,-1.43385,5
2,50.91149,-1.43385,2
3,50.89891,-1.37706,2
3,50.89891,-1.37706,5
4,51.02181,-1.3282,2
4,51.02181,-1.3282,5
5,50.87485,-1.34177,2
5,50.87485,-1.34177,5
6,50.95022,-1.36006,0
6,50.95022,-1.36006,5
6,50.95022,-1.36006,2
7,50.91801,-1.48214,2
7,50.91801,-1.48214,5
8,50.91993,-1.47017,5
8,50.91993,-1.47017,2
9,50.983,-1.3844,2
9,50.983,-1.3844,5
10,50.93231,-1.29451,5
10,50.93231,-1.29451,2
11,50.87136,-1.32917,5
11,50.87136,-1.32917,2
12,50.94114,-1.37641,5
12,50.94114,-1.37641,2
13,50.9168,-1.25881,2
13,50.9168,-1.25881,5
14,50.91821,-1.377,5
14,50.91821,-1.377,2
15,50.88984,-1.52664,2
15,50.88984,-1.52664,5
16,50.90744,-1.4136,4
16,50.90744,-1.4136,2
16,50.90744,-1.4136,5
17,50.93746,-1.39183,4
17,50.93746,-1.39183,5
18,50.89674,-1.36492,5
18,50.89674,-1.36492,2
19,51.06721,-1.3197,2
19,51.06721,-1.3197,5
20,50.99252,-1.49315,2
20,50.99252,-1.49315,5
21,50.89504,-1.4058,4
21,50.89504,-1.4058,5
21,50.89504,-1.4058,1
22,50.88438,-1.30528,2
22,50.88438,-1.30528,5
23,50.89838,-1.44651,5
24,50.91462,-1.33109,5
25,50.9143,-1.3309,5
26,50.99253,-1.48182,5
27,50.87635,-1.33781,5
28,50.88073,-1.34898,5
29,51.07907,-1.32994,5
30,51.07971,-1.33028,5
31,51.08214,-1.33372,5
32,51.08225,-1.33383,5
33,51.0849,-1.33566,5
34,51.08484,-1.33542,5
35,51.08313,-1.33911,5
36,51.08312,-1.33927,5
37,51.07781,-1.33521,5
38,51.07835,-1.33203,5
39,50.93098,-1.39983,5
40,50.93066,-1.39895,5
41,50.92996,-1.3962,5
42,50.92999,-1.39661,5
43,50.93119,-1.39139,5
44,50.93106,-1.39115,5
45,50.92958,-1.39076,5
46,50.92872,-1.39088,5
47,50.89785,-1.39979,5
48,50.88986,-1.44439,5
49,50.89735,-1.4499,5
50,50.89529,-1.44694,5
51,50.93736,-1.37665,5
