ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
28,168,2,2,2,1.449
28,168,2,2,2,1.449
28,168,2,2,2,1.449
28,168,2,2,2,1.449
28,232,2,2,3,2.104
28,232,2,2,3,2.104
28,232,2,2,3,2.104
28,232,2,2,3,2.104
36,108,2,2,4,2.434
36,108,2,2,4,2.434
36,108,2,2,4,2.434
36,108,2,2,4,2.434
36,237,2,2,3,2.071
36,237,2,2,3,2.071
36,237,2,2,3,2.071
36,237,2,2,3,2.071
108,36,2,2,3,2.434
108,36,2,2,3,2.434
108,36,2,2,3,2.434
108,36,2,2,3,2.434
168,28,2,2,2,1.449
168,28,2,2,2,1.449
168,28,2,2,2,1.449
168,28,2,2,2,1.449
168,217,2,2,2,1.407
168,217,2,2,2,1.407
168,217,2,2,2,1.407
168,217,2,2,2,1.407
168,217,2,2,2,1.407
168,217,2,2,2,1.407
174,217,2,2,3,1.267
174,217,2,2,3,1.267
174,217,2,2,3,1.267
174,217,2,2,3,1.267
174,217,2,2,3,1.267
174,217,2,2,3,1.267
174,224,2,2,4,3.494
174,224,2,2,4,3.494
174,224,2,2,4,3.494
174,224,2,2,4,3.494
217,168,2,2,2,1.407
217,168,2,2,2,1.407
217,168,2,2,2,1.407
217,168,2,2,2,1.407
217,168,2,2,2,1.407
217,168,2,2,2,1.407
217,174,2,2,2,1.267
217,174,2,2,2,1.267
217,174,2,2,2,1.267
217,174,2,2,2,1.267
217,174,2,2,2,1.267
217,174,2,2,2,1.267
217,224,2,2,4,4.755
217,224,2,2,4,4.755
217,224,2,2,4,4.755
217,224,2,2,4,4.755
217,224,2,2,4,4.755
217,224,2,2,4,4.755
217,237,2,2,2,1.396
217,237,2,2,2,1.396
217,237,2,2,2,1.396
217,237,2,2,2,1.396
217,237,2,2,2,1.396
217,237,2,2,2,1.396
224,174,2,2,3,3.494
224,174,2,2,3,3.494
224,174,2,2,3,3.494
224,174,2,2,3,3.494
224,217,2,2,8,4.755
224,217,2,2,8,4.755
224,217,2,2,8,4.755
224,217,2,2,8,4.755
224,217,2,2,8,4.755
224,217,2,2,8,4.755
224,264,2,2,3,3.846
224,264,2,2,3,3.846
224,264,2,2,3,3.846
224,264,2,2,3,3.846
232,28,2,2,2,2.104
232,28,2,2,2,2.104
232,28,2,2,2,2.104
232,28,2,2,2,2.104
232,375,2,2,4,5.442
232,375,2,2,4,5.442
232,375,2,2,4,5.442
232,375,2,2,4,5.442
237,36,2,2,2,2.071
237,36,2,2,2,2.071
237,36,2,2,2,2.071
237,36,2,2,2,2.071
