nodeid,lat,lon,layer
1,51.56312,0.67126,5
2,51.55977,0.68671,5
3,51.55691,0.70083,5
4,51.56573,0.69541,5
5,51.57172,0.66485,5
6,51.56747,0.67614,5
7,51.61528,0.74395,5
8,51.61722,0.7503,5
9,51.59452,0.68351,5
10,51.59581,0.68766,5
11,51.59565,0.69296,5
12,51.6166,0.75435,5
13,51.61295,0.76259,5
14,51.63525,0.61342,5
15,51.601,0.69494,5
16,51.60336,0.69369,5
17,51.54333,0.7224,5
18,51.53337,0.70484,5
19,51.55401,0.72112,5
20,51.65095,0.62334,5
21,51.64447,0.61096,5
22,51.63838,0.61568,5
23,51.55732,0.79001,5
24,51.56495,0.7842,5
25,51.56322,0.78559,5
26,51.57155,0.56382,5
27,51.55394,0.55956,5
28,51.53872,0.67061,2
28,51.53872,0.67061,5
29,51.56439,0.7627,5
30,51.52001,0.57583,5
31,51.52033,0.58855,5
32,51.54565,0.68294,5
33,51.54572,0.67761,5
34,51.54196,0.69634,5
35,51.54492,0.68823,5
36,51.53757,0.76174,2
36,51.53757,0.76174,5
37,51.61717,0.61819,5
38,51.60676,0.61144,5
39,51.61091,0.60865,5
40,51.61683,0.60745,5
41,51.5974,0.66512,5
42,51.64947,0.60652,5
42,51.64947,0.60652,2
43,51.56756,0.68357,5
44,51.55924,0.69589,5
45,51.55573,0.70626,5
46,51.56268,0.69681,5
47,51.55997,0.70349,5
48,51.54977,0.69544,5
49,51.55121,0.70245,5
50,51.55428,0.70117,5
51,51.55395,0.79012,5
52,51.52771,0.77321,5
53,51.53061,0.78334,5
54,51.52745,0.78184,5
55,51.544,0.78329,5
56,51.53314,0.7813,5
57,51.54468,0.80653,5
58,51.54607,0.81277,5
59,51.56741,0.78397,5
60,51.57046,0.78342,5
61,51.56878,0.77677,5
62,51.56704,0.77372,5
63,51.56408,0.76059,5
64,51.56133,0.75819,5
65,51.54217,0.80489,5
66,51.51989,0.5712,5
67,51.52012,0.58019,5
68,51.5204,0.59167,5
69,51.53737,0.56467,5
70,51.54843,0.56346,5
71,51.55158,0.56192,5
72,51.59058,0.59009,5
73,51.53285,0.57489,5
74,51.55089,0.6553,5
75,51.5373,0.78829,5
76,51.55393,0.69398,5
77,51.52819,0.75916,5
78,51.55435,0.6607,5
79,51.54824,0.64325,5
80,51.54778,0.63763,5
81,51.54477,0.70819,5
82,51.56009,0.65658,5
83,51.55075,0.66137,5
84,51.54863,0.63091,4
84,51.54863,0.63091,5
85,51.55159,0.73523,5
86,51.53273,0.72322,5
87,51.60088,0.7458,5
88,51.61472,0.67947,5
89,51.61743,0.62446,5
90,51.6134,0.68614,5
91,51.60885,0.69054,5
92,51.56664,0.69983,5
93,51.54282,0.69744,5
94,51.55763,0.69551,5
95,51.55842,0.69636,5
96,51.5617,0.67615,5
97,51.54456,0.69375,5
98,51.54674,0.69378,5
99,51.5498,0.69911,5
100,51.5539,0.65545,5
101,51.54845,0.6516,5
102,51.55533,0.62793,5
103,51.54386,0.69201,4
103,51.54386,0.69201,5
104,51.55142,0.66669,5
105,51.55836,0.66359,5
106,51.59346,0.67546,5
107,51.61995,0.61312,5
108,51.53098,0.79536,2
108,51.53098,0.79536,5
109,51.61516,0.73807,5
110,51.55609,0.755,5
111,51.56618,0.76557,5
112,51.55569,0.79028,5
113,51.60137,0.73631,5
114,51.61744,0.74507,5
115,51.56234,0.59973,5
116,51.55873,0.59984,5
117,51.55824,0.59851,5
118,51.56085,0.58706,5
119,51.56164,0.58185,5
120,51.56372,0.57168,5
121,51.56631,0.56334,5
122,51.54708,0.73633,5
123,51.54942,0.73657,5
124,51.54469,0.73716,5
125,51.52949,0.75221,5
126,51.52996,0.74841,5
127,51.55127,0.73632,5
128,51.55123,0.73111,5
129,51.60371,0.60137,5
130,51.60108,0.61017,5
131,51.60506,0.59616,5
132,51.54574,0.64351,5
133,51.54185,0.73817,5
134,51.53855,0.7498,5
135,51.53012,0.73345,5
136,51.5339,0.7239,5
137,51.52597,0.76815,5
138,51.53025,0.74563,5
139,51.53339,0.77998,5
140,51.53992,0.78665,5
141,51.5378,0.78581,5
142,51.53532,0.79949,5
143,51.53842,0.80006,5
144,51.53881,0.79385,5
145,51.54046,0.78988,5
146,51.58463,0.62231,5
147,51.58562,0.6186,5
148,51.59049,0.69878,5
149,51.57431,0.70745,5
150,51.59485,0.68086,5
151,51.59413,0.6977,5
152,51.58686,0.61532,5
153,51.58579,0.61243,5
154,51.54419,0.64625,5
155,51.57143,0.67056,5
156,51.57105,0.6738,5
157,51.56983,0.67521,5
158,51.56873,0.67589,5
159,51.55746,0.67469,5
160,51.55868,0.67172,5
161,51.56062,0.66711,5
162,51.57115,0.66926,5
163,51.55188,0.82193,5
164,51.54789,0.81155,5
165,51.58389,0.60158,5
166,51.58155,0.59975,5
167,51.57779,0.59919,5
168,51.53734,0.69148,2
168,51.53734,0.69148,5
169,51.5867,0.70019,5
170,51.5983,0.69635,5
171,51.56078,0.78876,5
172,51.6144,0.68434,5
173,51.60603,0.69225,5
174,51.55069,0.71069,2
174,51.55069,0.71069,5
175,51.60862,0.73667,5
176,51.58901,0.73671,5
177,51.59379,0.74124,5
178,51.58416,0.72374,5
179,51.58431,0.73326,5
180,51.58543,0.71768,5
181,51.55084,0.58079,5
182,51.55213,0.58798,5
183,51.56339,0.56208,5
184,51.55905,0.55997,5
185,51.56948,0.56441,5
186,51.5543,0.59406,5
187,51.52814,0.59579,5
188,51.52598,0.59982,5
189,51.52112,0.60415,5
190,51.51953,0.60717,5
191,51.51854,0.61069,5
192,51.51827,0.61536,5
193,51.53088,0.58413,5
194,51.53216,0.57844,5
195,51.531,0.57961,5
196,51.60245,0.60573,5
197,51.54298,0.66314,5
198,51.53987,0.66232,5
199,51.53911,0.67788,5
200,51.53675,0.67808,5
201,51.53856,0.68309,5
202,51.58968,0.6675,5
203,51.59106,0.67067,5
204,51.61918,0.65146,5
205,51.61769,0.64351,5
206,51.61718,0.63526,5
207,51.56629,0.67313,5
208,51.57458,0.63569,5
209,51.56571,0.69145,5
210,51.56986,0.65055,5
211,51.56959,0.65471,5
212,51.57295,0.63897,5
213,51.57105,0.64437,5
214,51.56786,0.66094,5
215,51.57285,0.65793,5
216,51.54345,0.66669,5
217,51.53929,0.71162,5
217,51.53929,0.71162,2
217,51.53929,0.71162,4
218,51.54368,0.76407,5
219,51.54395,0.77103,5
220,51.54011,0.71993,5
221,51.53769,0.74403,5
222,51.54021,0.72344,5
223,51.54113,0.69571,5
224,51.58173,0.70232,2
224,51.58173,0.70232,5
225,51.55339,0.61012,4
225,51.55339,0.61012,5
226,51.55632,0.61104,5
227,51.55016,0.62203,5
228,51.55047,0.61861,5
229,51.56613,0.61299,5
230,51.56842,0.61508,5
231,51.56217,0.61179,5
232,51.54128,0.64042,5
232,51.54128,0.64042,2
233,51.54693,0.66865,5
234,51.54732,0.66506,5
235,51.54903,0.62656,5
236,51.54512,0.65429,5
237,51.53898,0.73183,2
237,51.53898,0.73183,5
238,51.55409,0.67438,5
239,51.55374,0.67102,5
240,51.55366,0.66854,5
241,51.55835,0.65613,5
242,51.55597,0.65583,5
243,51.55403,0.66448,5
244,51.55585,0.66711,5
245,51.55948,0.65972,5
246,51.55025,0.67398,5
247,51.55323,0.67096,5
248,51.56591,0.70152,5
249,51.56585,0.66235,5
250,51.55686,0.68213,5
251,51.55079,0.65762,5
252,51.56263,0.66563,5
253,51.55223,0.69757,5
254,51.55841,0.67946,5
255,51.55393,0.67845,5
256,51.60697,0.66742,5
257,51.60163,0.64816,5
258,51.60089,0.64535,5
259,51.60094,0.64045,5
260,51.60073,0.63421,5
261,51.5979,0.62938,5
262,51.61231,0.67521,5
263,51.60882,0.67007,5
264,51.60356,0.65901,5
264,51.60356,0.65901,2
265,51.59759,0.74436,5
266,51.58549,0.7123,5
267,51.60119,0.75174,5
268,51.553,0.80573,5
269,51.55306,0.81012,5
270,51.55335,0.79793,5
271,51.55311,0.80113,5
272,51.55368,0.79297,5
273,51.57116,0.66737,5
274,51.56278,0.70226,5
275,51.55851,0.71667,5
276,51.55246,0.78736,5
277,51.5569,0.55984,5
278,51.59688,0.58191,5
279,51.5694,0.60176,5
280,51.56927,0.61191,5
281,51.57614,0.59804,5
282,51.56885,0.58747,5
283,51.56916,0.58183,5
284,51.56565,0.57697,5
285,51.56383,0.59779,5
286,51.56874,0.59569,5
287,51.56985,0.59493,5
288,51.57295,0.59555,5
289,51.54556,0.72589,5
290,51.54625,0.73355,5
291,51.54592,0.72982,5
292,51.5452,0.72195,5
293,51.55243,0.72516,5
294,51.55043,0.7278,5
295,51.55114,0.72138,5
296,51.54887,0.7215,5
297,51.54624,0.72171,5
298,51.63828,0.60501,5
299,51.61696,0.74457,5
300,51.53531,0.76898,5
301,51.53532,0.72542,5
302,51.53327,0.71469,5
303,51.536,0.74006,5
304,51.53997,0.70117,5
305,51.62355,0.61327,5
306,51.62644,0.61359,5
307,51.61717,0.61277,5
308,51.59552,0.62067,5
309,51.59639,0.62317,5
310,51.57675,0.62878,5
311,51.5912,0.61264,5
312,51.57913,0.61931,5
313,51.57727,0.62605,5
314,51.58333,0.60856,5
315,51.58117,0.6136,5
316,51.58275,0.62849,5
317,51.57993,0.62645,5
