ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,14,2,2,4,4.651
1,14,2,2,4,4.651
1,14,2,2,4,4.651
1,14,2,2,4,4.651
1,17,2,2,7,4.238
1,17,2,2,7,4.238
1,17,2,2,7,4.238
1,17,2,2,7,4.238
1,17,2,2,7,4.238
1,17,2,2,7,4.238
2,3,2,2,7,9.935
2,3,2,2,7,9.935
2,3,2,2,7,9.935
2,3,2,2,7,9.935
2,15,2,2,5,4.947
2,15,2,2,5,4.947
2,15,2,2,5,4.947
2,15,2,2,5,4.947
2,16,2,2,18,11.532
2,16,2,2,18,11.532
2,16,2,2,18,11.532
2,16,2,2,18,11.532
2,16,2,2,18,11.532
2,16,2,2,18,11.532
3,2,2,2,8,9.935
3,2,2,2,8,9.935
3,2,2,2,8,9.935
3,2,2,2,8,9.935
3,16,2,2,9,1.752
3,16,2,2,9,1.752
3,16,2,2,9,1.752
3,16,2,2,9,1.752
3,16,2,2,9,1.752
3,16,2,2,9,1.752
3,2280,2,2,5,4.749
3,2280,2,2,5,4.749
4,7,2,2,4,4.374
4,7,2,2,4,4.374
4,7,2,2,4,4.374
4,7,2,2,4,4.374
4,8,2,2,6,6.495
4,8,2,2,6,6.495
4,8,2,2,6,6.495
4,8,2,2,6,6.495
4,8,2,2,6,6.495
4,8,2,2,6,6.495
4,11,2,2,5,6.585
4,11,2,2,5,6.585
4,11,2,2,5,6.585
4,11,2,2,5,6.585
5,11,2,2,8,3.917
5,11,2,2,8,3.917
5,11,2,2,8,3.917
5,11,2,2,8,3.917
5,13,2,2,3,1.759
5,13,2,2,3,1.759
5,13,2,2,3,1.759
5,13,2,2,3,1.759
6,9,2,2,3,2.522
6,9,2,2,3,2.522
6,9,2,2,3,2.522
6,9,2,2,3,2.522
6,12,2,2,2,1.488
6,12,2,2,2,1.488
6,12,2,2,2,1.488
6,12,2,2,2,1.488
7,4,2,2,5,4.374
7,4,2,2,5,4.374
7,4,2,2,5,4.374
7,4,2,2,5,4.374
8,4,2,2,8,6.495
8,4,2,2,8,6.495
8,4,2,2,8,6.495
8,4,2,2,8,6.495
8,4,2,2,8,6.495
8,4,2,2,8,6.495
8,11,2,2,10,12.755
8,11,2,2,10,12.755
8,11,2,2,10,12.755
8,11,2,2,10,12.755
8,11,2,2,10,12.755
8,11,2,2,10,12.755
9,6,2,2,2,2.522
9,6,2,2,2,2.522
9,6,2,2,2,2.522
9,6,2,2,2,2.522
11,4,2,2,5,6.585
11,4,2,2,5,6.585
11,4,2,2,5,6.585
11,4,2,2,5,6.585
11,5,2,2,5,3.917
11,5,2,2,5,3.917
11,5,2,2,5,3.917
11,5,2,2,5,3.917
11,8,2,2,9,12.755
11,8,2,2,9,12.755
11,8,2,2,9,12.755
11,8,2,2,9,12.755
11,8,2,2,9,12.755
11,8,2,2,9,12.755
12,6,2,2,2,1.488
12,6,2,2,2,1.488
12,6,2,2,2,1.488
12,6,2,2,2,1.488
12,16,2,2,5,1.593
12,16,2,2,5,1.593
12,16,2,2,5,1.593
12,16,2,2,5,1.593
12,16,2,2,5,1.593
12,16,2,2,5,1.593
13,5,2,2,2,1.759
13,5,2,2,2,1.759
13,5,2,2,2,1.759
13,5,2,2,2,1.759
14,1,2,2,5,4.651
14,1,2,2,5,4.651
14,1,2,2,5,4.651
14,1,2,2,5,4.651
15,2,2,2,4,4.947
15,2,2,2,4,4.947
15,2,2,2,4,4.947
15,2,2,2,4,4.947
16,2,2,2,12,11.532
16,2,2,2,12,11.532
16,2,2,2,12,11.532
16,2,2,2,12,11.532
16,2,2,2,12,11.532
16,2,2,2,12,11.532
16,3,2,2,5,1.752
16,3,2,2,5,1.752
16,3,2,2,5,1.752
16,3,2,2,5,1.752
16,3,2,2,5,1.752
16,3,2,2,5,1.752
16,12,2,2,4,1.593
16,12,2,2,4,1.593
16,12,2,2,4,1.593
16,12,2,2,4,1.593
16,12,2,2,4,1.593
16,12,2,2,4,1.593
17,1,2,2,4,4.238
17,1,2,2,4,4.238
17,1,2,2,4,4.238
17,1,2,2,4,4.238
17,1,2,2,4,4.238
17,1,2,2,4,4.238
2280,3,2,2,5,4.749
2280,3,2,2,5,4.749
8,55,4,4,20,12.946
8,55,4,4,20,12.946
8,55,4,4,20,12.946
10,55,4,4,10,2.135
10,55,4,4,10,2.135
16,17,4,4,20,11.717
16,17,4,4,20,11.717
16,17,4,4,20,11.717
16,17,4,4,20,11.717
16,17,4,4,20,11.717
16,17,4,4,20,11.717
16,17,4,4,20,11.717
16,17,4,4,20,11.717
16,17,4,4,20,11.717
17,16,4,4,20,11.717
17,16,4,4,20,11.717
17,16,4,4,20,11.717
17,16,4,4,20,11.717
17,16,4,4,20,11.717
17,16,4,4,20,11.717
17,16,4,4,20,11.717
17,16,4,4,20,11.717
17,16,4,4,20,11.717
55,8,4,4,25,12.946
55,8,4,4,25,12.946
55,8,4,4,25,12.946
55,10,4,4,10,2.135
55,10,4,4,10,2.135
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,519,5,5,1,0.416
1,519,5,5,1,0.416
1,1188,5,5,1,0.308
1,1188,5,5,1,0.308
1,1458,5,5,1,0.407
1,1458,5,5,1,0.407
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,520,5,5,1,0.325
2,520,5,5,1,0.325
2,596,5,5,2,0.631
2,596,5,5,2,0.631
2,1552,5,5,1,0.536
2,1552,5,5,1,0.536
2,2106,5,5,4,0.629
2,2106,5,5,4,0.629
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,1568,5,5,1,0.322
3,1568,5,5,1,0.322
3,1812,5,5,1,0.322
3,1812,5,5,1,0.322
3,2334,5,5,1,0.285
3,2334,5,5,1,0.285
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,1414,5,5,3,0.306
4,1414,5,5,3,0.306
4,1734,5,5,1,0.271
4,1734,5,5,1,0.271
4,1783,5,5,1,0.335
4,1783,5,5,1,0.335
4,1966,5,5,1,0.464
4,1966,5,5,1,0.464
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,620,5,5,1,0.432
5,620,5,5,1,0.432
5,621,5,5,1,0.457
5,621,5,5,1,0.457
5,2139,5,5,1,0.628
5,2139,5,5,1,0.628
6,865,5,5,1,0.336
6,865,5,5,1,0.336
6,1391,5,5,1,0.362
6,1391,5,5,1,0.362
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,22,5,5,1,0.731
7,22,5,5,1,0.731
7,693,5,5,3,2.605
7,693,5,5,3,2.605
7,995,5,5,3,0.546
7,995,5,5,3,0.546
7,1957,5,5,3,0.917
7,1957,5,5,3,0.917
7,2077,5,5,1,0.291
7,2077,5,5,1,0.291
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,83,5,5,3,1.464
8,83,5,5,3,1.464
8,83,5,5,3,1.464
8,86,5,5,1,0.436
8,86,5,5,1,0.436
8,86,5,5,1,0.436
8,87,5,5,2,0.526
8,87,5,5,2,0.526
8,87,5,5,2,0.526
8,198,5,5,1,0.358
8,198,5,5,1,0.358
8,198,5,5,1,0.358
8,273,5,5,1,0.507
8,273,5,5,1,0.507
8,273,5,5,1,0.507
8,388,5,5,1,0.481
8,388,5,5,1,0.481
8,388,5,5,1,0.481
8,560,5,5,9,3.385
8,560,5,5,9,3.385
8,560,5,5,9,3.385
8,1145,5,5,1,0.843
8,1145,5,5,1,0.843
8,1145,5,5,1,0.843
8,1290,5,5,1,0.334
8,1290,5,5,1,0.334
8,1290,5,5,1,0.334
8,1291,5,5,1,0.334
8,1291,5,5,1,0.334
8,1291,5,5,1,0.334
8,1933,5,5,2,1.464
8,1933,5,5,2,1.464
8,1933,5,5,2,1.464
9,9,5,5,1,0.0
9,9,5,5,1,0.0
9,9,5,5,1,0.0
9,9,5,5,1,0.0
9,641,5,5,1,0.41
9,641,5,5,1,0.41
9,1898,5,5,1,0.451
9,1898,5,5,1,0.451
10,10,5,5,1,0.0
10,10,5,5,1,0.0
10,10,5,5,1,0.0
10,10,5,5,1,0.0
10,1828,5,5,1,0.63
10,1828,5,5,1,0.63
11,11,5,5,1,0.0
11,11,5,5,1,0.0
11,11,5,5,1,0.0
11,11,5,5,1,0.0
11,149,5,5,4,0.728
11,149,5,5,4,0.728
11,257,5,5,4,0.63
11,257,5,5,4,0.63
11,470,5,5,1,0.355
11,470,5,5,1,0.355
11,508,5,5,4,0.927
11,508,5,5,4,0.927
11,607,5,5,1,0.483
11,607,5,5,1,0.483
11,634,5,5,1,0.328
11,634,5,5,1,0.328
11,1613,5,5,1,0.472
11,1613,5,5,1,0.472
11,1665,5,5,2,0.384
11,1665,5,5,2,0.384
11,1680,5,5,3,1.554
11,1680,5,5,3,1.554
11,1729,5,5,4,1.404
11,1729,5,5,4,1.404
11,1743,5,5,1,0.712
11,1743,5,5,1,0.712
12,12,5,5,1,0.0
12,12,5,5,1,0.0
12,12,5,5,1,0.0
12,12,5,5,1,0.0
12,728,5,5,1,0.515
12,728,5,5,1,0.515
12,2175,5,5,1,0.305
12,2175,5,5,1,0.305
13,13,5,5,1,0.0
13,13,5,5,1,0.0
13,13,5,5,1,0.0
13,13,5,5,1,0.0
13,285,5,5,1,0.512
13,285,5,5,1,0.512
13,356,5,5,1,0.531
13,356,5,5,1,0.531
13,544,5,5,1,0.579
13,544,5,5,1,0.579
13,1534,5,5,1,0.503
13,1534,5,5,1,0.503
13,1752,5,5,1,0.469
13,1752,5,5,1,0.469
14,1480,5,5,1,0.477
14,1480,5,5,1,0.477
15,15,5,5,1,0.0
15,15,5,5,1,0.0
15,15,5,5,1,0.0
15,15,5,5,1,0.0
15,1373,5,5,1,0.643
15,1373,5,5,1,0.643
15,1374,5,5,1,0.401
15,1374,5,5,1,0.401
15,1379,5,5,1,0.448
15,1379,5,5,1,0.448
15,1565,5,5,3,0.852
15,1565,5,5,3,0.852
15,2097,5,5,1,0.682
15,2097,5,5,1,0.682
15,2256,5,5,1,0.397
15,2256,5,5,1,0.397
16,16,5,5,1,0.0
16,16,5,5,1,0.0
16,16,5,5,1,0.0
16,16,5,5,1,0.0
16,16,5,5,1,0.0
16,16,5,5,1,0.0
16,16,5,5,1,0.0
16,16,5,5,1,0.0
16,16,5,5,1,0.0
16,320,5,5,1,0.292
16,320,5,5,1,0.292
16,320,5,5,1,0.292
16,1184,5,5,1,0.442
16,1184,5,5,1,0.442
16,1184,5,5,1,0.442
16,1367,5,5,1,0.644
16,1367,5,5,1,0.644
16,1367,5,5,1,0.644
16,2028,5,5,1,0.31
16,2028,5,5,1,0.31
16,2028,5,5,1,0.31
16,2029,5,5,1,0.322
16,2029,5,5,1,0.322
16,2029,5,5,1,0.322
16,2033,5,5,1,0.278
16,2033,5,5,1,0.278
16,2033,5,5,1,0.278
16,2056,5,5,1,0.498
16,2056,5,5,1,0.498
16,2056,5,5,1,0.498
16,2166,5,5,1,0.373
16,2166,5,5,1,0.373
16,2166,5,5,1,0.373
16,2384,5,5,1,0.285
16,2384,5,5,1,0.285
16,2384,5,5,1,0.285
17,17,5,5,1,0.0
17,17,5,5,1,0.0
17,17,5,5,1,0.0
17,17,5,5,1,0.0
17,17,5,5,1,0.0
17,17,5,5,1,0.0
17,17,5,5,1,0.0
17,17,5,5,1,0.0
17,17,5,5,1,0.0
17,673,5,5,1,0.523
17,673,5,5,1,0.523
17,673,5,5,1,0.523
17,1347,5,5,1,0.304
17,1347,5,5,1,0.304
17,1347,5,5,1,0.304
17,1457,5,5,27,6.955
17,1457,5,5,27,6.955
17,1457,5,5,27,6.955
17,1535,5,5,1,0.342
17,1535,5,5,1,0.342
17,1535,5,5,1,0.342
17,2233,5,5,1,0.715
17,2233,5,5,1,0.715
17,2233,5,5,1,0.715
17,2235,5,5,1,0.428
17,2235,5,5,1,0.428
17,2235,5,5,1,0.428
18,1175,5,5,1,0.223
19,2088,5,5,1,0.242
20,202,5,5,1,0.27
20,393,5,5,1,0.363
20,1606,5,5,1,0.429
21,20,5,5,2,0.357
21,202,5,5,1,0.459
21,393,5,5,1,0.085
22,1932,5,5,1,0.348
23,363,5,5,2,1.32
23,2072,5,5,1,1.443
24,1645,5,5,1,0.572
25,180,5,5,1,0.235
26,1896,5,5,1,0.334
27,1112,5,5,1,0.364
28,1701,5,5,1,0.318
29,809,5,5,1,0.203
30,709,5,5,3,0.799
30,2292,5,5,1,0.463
31,29,5,5,1,0.063
31,143,5,5,1,0.445
31,2292,5,5,1,0.457
32,922,5,5,1,0.512
33,595,5,5,1,0.446
34,2297,5,5,1,0.342
35,1132,5,5,1,0.28
36,798,5,5,1,0.278
37,879,5,5,1,0.184
37,1386,5,5,1,0.366
38,1179,5,5,2,0.32
39,883,5,5,1,0.236
