nodeid,lat,lon,layer
1,53.59803,-2.84009,2
1,53.59803,-2.84009,5
2,53.60521,-2.84174,2
2,53.60521,-2.84174,5
3,53.64628,-2.97581,5
3,53.64628,-2.97581,2
4,53.69886,-2.68714,2
4,53.69886,-2.68714,5
5,53.72385,-2.68709,5
5,53.72385,-2.68709,2
6,53.62212,-3.02472,2
6,53.62212,-3.02472,5
7,53.66049,-2.67202,2
7,53.66049,-2.67202,5
8,53.65255,-2.62678,4
8,53.65255,-2.62678,2
8,53.65255,-2.62678,5
9,53.60205,-3.04266,2
9,53.60205,-3.04266,5
10,53.7808,-2.69813,4
10,53.7808,-2.69813,5
11,53.75687,-2.70812,5
11,53.75687,-2.70812,2
12,53.63407,-3.01446,2
12,53.63407,-3.01446,5
13,53.72679,-2.66077,5
13,53.72679,-2.66077,2
14,53.63503,-2.80694,5
14,53.63503,-2.80694,2
15,53.59095,-2.7706,2
15,53.59095,-2.7706,5
16,53.64653,-3.00244,4
16,53.64653,-3.00244,2
16,53.64653,-3.00244,5
17,53.56897,-2.88179,4
17,53.56897,-2.88179,2
17,53.56897,-2.88179,5
18,53.63553,-3.00756,5
19,53.76725,-2.7031,5
20,53.65644,-2.65912,5
21,53.65956,-2.66044,5
22,53.66676,-2.67542,5
23,53.67402,-2.7196,5
24,53.67459,-2.7196,5
25,53.68134,-2.71746,5
26,53.67742,-2.92982,5
27,53.77381,-2.68982,5
28,53.67371,-2.96582,5
29,53.66017,-2.97689,5
30,53.65995,-2.9773,5
31,53.66021,-2.97786,5
32,53.58933,-2.85412,5
33,53.58939,-2.85416,5
34,53.65802,-2.9951,5
35,53.65836,-2.99534,5
36,53.76119,-2.69599,5
37,53.76091,-2.69584,5
38,53.76048,-2.69569,5
39,53.76069,-2.69575,5
40,53.76073,-2.69578,5
41,53.76086,-2.69583,5
42,53.76082,-2.69581,5
43,53.7694,-2.73565,5
44,53.76173,-2.7289,5
45,53.7686,-2.74017,5
46,53.77486,-2.65201,5
47,53.76626,-2.69571,5
48,53.78014,-2.74462,5
49,53.74956,-2.68269,5
50,53.66723,-2.7233,5
51,53.62002,-3.00654,5
52,53.78645,-2.67805,5
53,53.78996,-2.65707,5
54,53.70592,-2.64294,5
55,53.76158,-2.69668,4
56,53.76163,-2.69669,5
57,53.76171,-2.69672,5
58,53.57155,-2.89787,5
59,53.56815,-2.89381,5
60,53.58946,-3.03998,5
61,53.58866,-3.04014,5
62,53.70423,-2.84644,5
63,53.6385,-2.82976,5
64,53.63348,-2.81774,5
65,53.70743,-2.84296,5
66,53.70818,-2.84339,5
67,53.66592,-2.97626,5
68,53.77125,-2.66999,5
69,53.73743,-2.68086,5
70,53.71462,-2.70605,5
71,53.76875,-2.69133,5
72,53.79396,-2.68308,5
73,53.58656,-2.77466,5
74,53.66761,-2.63249,5
75,53.67088,-2.63215,5
76,53.67439,-2.63458,5
77,53.67682,-2.63516,5
78,53.6753,-2.94376,5
79,53.73679,-2.65844,5
80,53.64945,-2.62042,5
81,53.64935,-2.62099,5
82,53.64928,-2.62378,5
83,53.64035,-2.61831,5
84,53.6371,-2.61594,5
85,53.63738,-2.61646,5
86,53.64862,-2.62691,5
87,53.65513,-2.63349,5
88,53.67431,-2.96547,5
89,53.6551,-2.6186,5
90,53.63535,-2.97708,5
91,53.62539,-3.00035,5
92,53.58979,-2.69122,5
93,53.72321,-2.73082,5
94,53.7873,-2.69862,5
95,53.65245,-2.97786,5
96,53.65228,-2.9781,5
97,53.59971,-3.03409,5
98,53.59806,-3.0351,5
99,53.60247,-2.67374,5
100,53.76453,-2.76942,5
101,53.64139,-3.00137,5
102,53.64165,-2.9999,5
103,53.64153,-3.00131,5
104,53.64209,-3.00014,5
105,53.64162,-2.99931,5
106,53.64273,-2.99926,5
107,53.76696,-2.76526,5
108,53.76747,-2.76093,5
109,53.76673,-2.76764,5
110,53.76673,-2.76546,5
111,53.77755,-2.73234,5
112,53.76746,-2.76715,5
113,53.76679,-2.7698,5
114,53.71647,-2.70361,5
115,53.7185,-2.70101,5
116,53.69981,-2.64417,5
117,53.66511,-2.61623,5
118,53.66416,-2.61663,5
119,53.67931,-2.61677,5
120,53.79033,-2.78132,5
121,53.79034,-2.78166,5
122,53.76062,-2.69572,5
123,53.72806,-2.63141,5
124,53.66361,-2.96387,5
125,53.66246,-2.96535,5
126,53.77511,-2.72942,5
127,53.69211,-2.70414,5
128,53.63214,-2.81908,5
129,53.85113,-2.74653,5
130,53.64065,-2.61884,5
131,53.61405,-2.65379,5
132,53.66742,-2.67538,5
133,53.67453,-2.67747,5
134,53.68015,-2.67621,5
135,53.69734,-2.67283,5
136,53.69708,-2.6731,5
137,53.7053,-2.67187,5
138,53.70523,-2.67166,5
139,53.72566,-2.7914,5
140,53.66027,-2.97432,5
141,53.60815,-3.02133,5
142,53.60943,-3.02049,5
143,53.66037,-2.98462,5
144,53.66038,-2.98494,5
145,53.76144,-2.69607,5
146,53.78404,-2.7607,5
147,53.76961,-2.73515,5
148,53.78706,-2.67378,5
149,53.75719,-2.7192,5
150,53.77033,-2.7178,5
151,53.76322,-2.72478,5
152,53.76911,-2.74538,5
153,53.79182,-2.70536,5
154,53.64295,-2.72184,5
155,53.6537,-2.73487,5
156,53.69619,-2.63424,5
