ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,287,2,2,5,7.283
1,287,2,2,5,7.283
1,287,2,2,5,7.283
1,287,2,2,5,7.283
18,128,2,2,2,0.908
18,128,2,2,2,0.908
18,128,2,2,2,0.908
18,128,2,2,2,0.908
18,161,2,2,4,2.146
18,161,2,2,4,2.146
18,161,2,2,4,2.146
18,161,2,2,4,2.146
39,236,2,2,3,2.592
39,236,2,2,3,2.592
39,236,2,2,3,2.592
39,236,2,2,3,2.592
39,285,2,2,2,1.349
39,285,2,2,2,1.349
39,285,2,2,2,1.349
39,285,2,2,2,1.349
107,286,2,2,2,0.92
107,286,2,2,2,0.92
107,286,2,2,2,0.92
107,286,2,2,2,0.92
128,18,2,2,2,0.908
128,18,2,2,2,0.908
128,18,2,2,2,0.908
128,18,2,2,2,0.908
128,236,2,2,3,1.69
128,236,2,2,3,1.69
128,236,2,2,3,1.69
128,236,2,2,3,1.69
161,18,2,2,3,2.146
161,18,2,2,3,2.146
161,18,2,2,3,2.146
161,18,2,2,3,2.146
236,39,2,2,3,2.592
236,39,2,2,3,2.592
236,39,2,2,3,2.592
236,39,2,2,3,2.592
236,128,2,2,2,1.69
236,128,2,2,2,1.69
236,128,2,2,2,1.69
236,128,2,2,2,1.69
245,287,2,2,5,7.344
245,287,2,2,5,7.344
245,287,2,2,5,7.344
245,287,2,2,5,7.344
285,39,2,2,3,1.349
285,39,2,2,3,1.349
285,39,2,2,3,1.349
285,39,2,2,3,1.349
286,107,2,2,2,0.92
286,107,2,2,2,0.92
286,107,2,2,2,0.92
286,107,2,2,2,0.92
287,1,2,2,5,7.283
287,1,2,2,5,7.283
287,1,2,2,5,7.283
287,1,2,2,5,7.283
287,245,2,2,5,7.344
287,245,2,2,5,7.344
287,245,2,2,5,7.344
287,245,2,2,5,7.344
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,48,5,5,1,0.752
1,48,5,5,1,0.752
1,281,5,5,1,0.639
1,281,5,5,1,0.639
1,282,5,5,1,0.551
1,282,5,5,1,0.551
1,418,5,5,1,0.611
1,418,5,5,1,0.611
2,209,5,5,1,0.143
2,215,5,5,1,0.332
3,38,5,5,1,0.36
3,245,5,5,1,0.8
3,245,5,5,1,0.8
3,256,5,5,1,0.146
3,465,5,5,3,0.618
4,9,5,5,1,0.199
4,165,5,5,1,0.393
5,9,5,5,1,0.355
5,98,5,5,1,0.39
5,332,5,5,8,4.676
6,9,5,5,1,0.429
6,58,5,5,1,0.236
7,8,5,5,1,0.333
7,244,5,5,1,0.273
8,7,5,5,1,0.333
8,166,5,5,1,0.442
9,4,5,5,1,0.199
9,5,5,5,1,0.355
9,6,5,5,1,0.429
10,41,5,5,1,0.902
10,74,5,5,1,1.08
11,41,5,5,1,0.69
11,168,5,5,1,0.815
12,46,5,5,1,0.183
12,267,5,5,1,0.436
12,363,5,5,1,0.379
12,368,5,5,1,0.083
13,14,5,5,1,0.222
13,90,5,5,2,0.392
13,263,5,5,1,0.222
14,90,5,5,1,0.396
14,150,5,5,1,0.24
14,413,5,5,1,0.109
15,331,5,5,1,0.156
15,382,5,5,1,0.224
15,497,5,5,1,0.179
16,39,5,5,1,0.636
16,39,5,5,1,0.636
16,162,5,5,1,0.226
17,54,5,5,2,0.903
17,72,5,5,1,0.52
17,240,5,5,2,1.259
17,243,5,5,2,0.957
17,405,5,5,4,0.647
17,432,5,5,1,0.15
18,18,5,5,1,0.0
18,18,5,5,1,0.0
18,18,5,5,1,0.0
18,18,5,5,1,0.0
18,103,5,5,1,0.665
18,103,5,5,1,0.665
18,128,5,5,1,0.908
18,128,5,5,1,0.908
18,128,5,5,1,0.908
18,128,5,5,1,0.908
18,189,5,5,1,0.545
18,189,5,5,1,0.545
18,427,5,5,1,0.511
18,427,5,5,1,0.511
19,20,5,5,1,0.438
19,63,5,5,1,0.846
20,19,5,5,1,0.438
20,21,5,5,1,0.438
21,20,5,5,1,0.438
21,22,5,5,1,0.36
21,25,5,5,1,0.298
22,21,5,5,1,0.36
22,303,5,5,1,0.206
23,24,5,5,1,0.415
23,25,5,5,1,0.347
24,23,5,5,1,0.415
24,61,5,5,1,0.786
25,21,5,5,1,0.298
25,23,5,5,1,0.347
26,171,5,5,1,0.434
26,208,5,5,1,0.38
26,299,5,5,2,0.575
26,519,5,5,1,0.616
27,28,5,5,1,0.331
27,276,5,5,1,0.275
28,27,5,5,1,0.331
28,276,5,5,2,0.607
28,312,5,5,3,1.582
28,519,5,5,1,0.35
29,28,5,5,1,0.379
29,312,5,5,3,1.208
30,33,5,5,1,0.287
30,36,5,5,1,0.208
30,173,5,5,1,0.31
31,33,5,5,1,0.338
31,78,5,5,1,0.535
32,173,5,5,1,0.238
32,346,5,5,2,0.521
33,30,5,5,1,0.287
33,31,5,5,1,0.338
33,36,5,5,1,0.491
33,78,5,5,2,0.873
34,280,5,5,1,0.299
34,451,5,5,1,0.362
35,66,5,5,1,0.399
35,280,5,5,1,0.454
36,30,5,5,1,0.208
36,33,5,5,1,0.491
36,71,5,5,1,0.363
36,278,5,5,1,0.334
36,422,5,5,6,0.984
37,290,5,5,1,0.251
38,3,5,5,1,0.36
38,245,5,5,1,0.547
38,245,5,5,1,0.547
39,15,5,5,1,0.504
39,15,5,5,1,0.504
39,16,5,5,1,0.636
39,16,5,5,1,0.636
39,39,5,5,1,0.0
39,39,5,5,1,0.0
39,39,5,5,1,0.0
39,39,5,5,1,0.0
39,54,5,5,1,0.54
39,54,5,5,1,0.54
40,44,5,5,1,0.135
41,10,5,5,1,0.902
41,11,5,5,1,0.69
42,43,5,5,1,0.252
42,186,5,5,1,0.47
43,42,5,5,1,0.252
43,409,5,5,2,0.57
44,40,5,5,1,0.135
44,152,5,5,1,0.363
45,129,5,5,1,0.418
45,264,5,5,1,0.201
45,265,5,5,1,0.145
45,267,5,5,1,0.094
46,12,5,5,1,0.183
46,266,5,5,1,0.24
47,48,5,5,1,0.454
47,260,5,5,1,0.761
48,1,5,5,1,0.752
48,1,5,5,1,0.752
48,47,5,5,1,0.454
49,202,5,5,1,0.272
49,479,5,5,2,0.582
50,200,5,5,1,0.28
50,202,5,5,1,0.168
51,53,5,5,1,0.25
51,342,5,5,1,0.303
51,389,5,5,5,0.967
52,196,5,5,1,0.249
52,339,5,5,3,0.898
52,388,5,5,1,0.171
52,449,5,5,5,0.857
53,51,5,5,1,0.25
53,162,5,5,1,0.222
53,247,5,5,4,1.766
54,15,5,5,1,0.409
54,17,5,5,1,0.903
54,39,5,5,1,0.54
54,39,5,5,1,0.54
54,72,5,5,1,0.385
55,56,5,5,1,0.173
55,58,5,5,1,0.479
55,244,5,5,1,0.423
56,55,5,5,1,0.173
56,370,5,5,1,0.175
57,59,5,5,1,0.289
57,94,5,5,6,2.875
57,98,5,5,6,2.344
57,370,5,5,1,0.379
58,6,5,5,1,0.236
58,55,5,5,1,0.479
58,244,5,5,1,0.095
59,57,5,5,1,0.289
59,60,5,5,1,0.598
59,98,5,5,8,2.619
59,164,5,5,1,0.739
60,59,5,5,1,0.598
61,24,5,5,1,0.786
61,271,5,5,1,0.891
62,63,5,5,1,0.548
62,64,5,5,1,0.53
63,19,5,5,1,0.846
63,62,5,5,1,0.548
64,62,5,5,1,0.53
64,65,5,5,1,0.508
65,64,5,5,1,0.508
65,66,5,5,1,0.326
66,35,5,5,1,0.399
66,65,5,5,1,0.326
67,68,5,5,1,0.483
67,69,5,5,1,1.344
68,67,5,5,1,0.483
68,199,5,5,1,0.261
69,67,5,5,2,1.344
69,289,5,5,1,0.682
69,292,5,5,2,0.803
70,153,5,5,1,0.331
70,170,5,5,1,0.359
71,36,5,5,1,0.363
71,279,5,5,1,0.471
72,17,5,5,1,0.52
72,39,5,5,1,0.891
72,39,5,5,1,0.891
72,54,5,5,1,0.385
72,72,5,5,1,0.0
72,268,5,5,1,0.579
73,75,5,5,1,0.23
73,348,5,5,1,0.269
74,10,5,5,2,1.08
74,76,5,5,2,0.413
74,345,5,5,1,0.355
75,73,5,5,1,0.23
75,276,5,5,2,0.472
76,74,5,5,1,0.413
76,77,5,5,1,0.205
77,76,5,5,1,0.205
77,79,5,5,1,0.497
78,31,5,5,1,0.535
78,79,5,5,1,0.612
79,77,5,5,1,0.497
79,78,5,5,1,0.612
79,323,5,5,1,0.422
79,489,5,5,1,0.308
80,404,5,5,1,0.216
81,83,5,5,1,0.231
81,524,5,5,1,0.27
82,245,5,5,1,0.797
82,245,5,5,1,0.797
82,487,5,5,1,0.155
83,81,5,5,1,0.231
83,84,5,5,1,0.337
84,83,5,5,1,0.337
84,227,5,5,1,0.497
85,228,5,5,1,0.365
86,340,5,5,1,0.246
87,88,5,5,1,0.269
87,311,5,5,1,0.204
88,87,5,5,1,0.269
88,89,5,5,1,0.148
88,90,5,5,1,0.154
89,88,5,5,1,0.148
89,90,5,5,1,0.287
89,91,5,5,1,0.191
90,14,5,5,1,0.396
90,88,5,5,1,0.154
90,89,5,5,1,0.287
90,413,5,5,1,0.306
91,89,5,5,1,0.191
91,264,5,5,1,0.323
91,266,5,5,1,0.19
92,93,5,5,1,0.269
92,307,5,5,1,0.184
92,461,5,5,1,0.226
93,92,5,5,1,0.269
93,174,5,5,1,0.186
93,265,5,5,1,0.223
93,461,5,5,1,0.076
94,57,5,5,6,2.875
94,96,5,5,1,0.331
94,334,5,5,1,0.39
95,157,5,5,2,1.178
95,332,5,5,4,2.175
96,94,5,5,1,0.331
96,95,5,5,1,0.464
96,97,5,5,1,0.222
97,96,5,5,1,0.222
97,376,5,5,1,0.59
98,5,5,5,1,0.39
98,57,5,5,8,2.344
98,59,5,5,5,2.619
98,101,5,5,1,0.407
99,159,5,5,2,0.52
99,381,5,5,2,0.398
100,109,5,5,1,0.353
100,110,5,5,1,0.36
100,334,5,5,1,0.481
101,98,5,5,1,0.407
101,230,5,5,1,0.411
102,104,5,5,1,0.312
102,128,5,5,1,0.507
102,128,5,5,1,0.507
103,18,5,5,1,0.665
103,18,5,5,1,0.665
103,238,5,5,1,0.254
104,102,5,5,1,0.312
104,128,5,5,1,0.498
104,128,5,5,1,0.498
104,237,5,5,1,0.294
105,106,5,5,1,0.282
105,246,5,5,3,0.652
105,249,5,5,1,0.237
105,453,5,5,12,2.362
106,105,5,5,1,0.282
106,248,5,5,1,0.296
107,107,5,5,1,0.0
107,107,5,5,1,0.0
107,107,5,5,1,0.0
107,107,5,5,1,0.0
107,147,5,5,1,0.799
107,147,5,5,1,0.799
107,175,5,5,1,0.557
107,175,5,5,1,0.557
107,283,5,5,6,1.218
107,283,5,5,6,1.218
107,286,5,5,1,0.92
107,286,5,5,1,0.92
107,286,5,5,1,0.92
107,286,5,5,1,0.92
107,424,5,5,1,0.5
107,424,5,5,1,0.5
107,515,5,5,8,1.8
107,515,5,5,8,1.8
108,109,5,5,1,0.447
108,110,5,5,3,0.48
108,112,5,5,2,1.228
109,100,5,5,1,0.353
109,108,5,5,1,0.447
110,100,5,5,2,0.36
110,108,5,5,2,0.48
111,112,5,5,1,0.317
112,108,5,5,2,1.228
112,111,5,5,1,0.317
113,258,5,5,1,0.171
113,354,5,5,1,0.656
114,115,5,5,1,0.312
114,116,5,5,1,0.159
115,113,5,5,1,0.038
115,114,5,5,1,0.312
116,114,5,5,1,0.159
116,253,5,5,1,0.237
117,259,5,5,1,0.344
117,458,5,5,1,0.348
118,121,5,5,1,0.344
118,262,5,5,1,0.257
119,120,5,5,1,0.741
119,195,5,5,1,0.46
119,421,5,5,1,0.505
120,119,5,5,1,0.741
120,164,5,5,1,0.735
121,118,5,5,1,0.344
121,260,5,5,2,0.489
121,481,5,5,1,0.249
122,280,5,5,1,0.66
122,348,5,5,1,0.416
123,220,5,5,1,0.531
123,287,5,5,4,0.754
123,287,5,5,4,0.754
123,343,5,5,1,0.208
123,344,5,5,1,0.282
123,346,5,5,1,0.192
123,347,5,5,1,0.198
123,348,5,5,1,0.402
124,181,5,5,1,0.358
124,277,5,5,2,0.595
125,222,5,5,1,0.215
125,277,5,5,2,0.164
125,279,5,5,1,0.656
126,127,5,5,1,0.363
126,277,5,5,1,0.316
127,126,5,5,1,0.363
127,348,5,5,1,0.521
128,18,5,5,1,0.908
128,18,5,5,1,0.908
128,18,5,5,1,0.908
128,18,5,5,1,0.908
128,102,5,5,1,0.507
128,102,5,5,1,0.507
128,104,5,5,1,0.498
128,104,5,5,1,0.498
128,128,5,5,1,0.0
128,128,5,5,1,0.0
128,128,5,5,1,0.0
128,128,5,5,1,0.0
128,330,5,5,1,0.509
128,330,5,5,1,0.509
128,427,5,5,1,0.513
128,427,5,5,1,0.513
129,226,5,5,1,0.251
129,367,5,5,1,0.373
130,142,5,5,2,0.534
130,175,5,5,1,0.437
130,283,5,5,1,0.252
131,132,5,5,1,0.577
131,167,5,5,1,0.485
132,131,5,5,1,0.577
132,133,5,5,1,0.298
133,132,5,5,1,0.298
133,134,5,5,1,0.319
134,133,5,5,1,0.319
134,135,5,5,1,0.194
135,134,5,5,1,0.194
136,137,5,5,1,0.432
136,281,5,5,1,0.322
137,136,5,5,1,0.432
137,138,5,5,1,0.594
138,137,5,5,1,0.594
138,139,5,5,1,0.687
139,138,5,5,1,0.687
139,239,5,5,1,0.484
140,107,5,5,8,1.493
140,107,5,5,8,1.493
140,145,5,5,1,0.304
140,246,5,5,1,0.414
140,515,5,5,2,0.309
141,142,5,5,1,0.356
141,144,5,5,1,0.468
142,130,5,5,3,0.534
142,141,5,5,1,0.356
142,146,5,5,1,0.272
143,284,5,5,1,0.367
143,357,5,5,1,0.325
144,141,5,5,1,0.468
144,357,5,5,1,0.489
145,140,5,5,1,0.304
145,147,5,5,1,0.399
145,148,5,5,1,0.103
146,142,5,5,1,0.272
146,148,5,5,1,0.317
147,107,5,5,1,0.799
147,107,5,5,1,0.799
147,145,5,5,1,0.399
147,148,5,5,1,0.323
148,145,5,5,1,0.103
148,146,5,5,1,0.317
148,147,5,5,1,0.323
149,152,5,5,1,0.319
150,14,5,5,1,0.24
150,369,5,5,1,0.315
151,152,5,5,1,0.505
151,335,5,5,1,0.603
151,364,5,5,1,0.172
151,369,5,5,1,0.233
152,44,5,5,1,0.363
152,149,5,5,1,0.319
152,151,5,5,1,0.505
152,469,5,5,1,0.727
153,70,5,5,1,0.331
153,157,5,5,2,0.714
153,377,5,5,1,0.253
153,411,5,5,2,0.679
154,155,5,5,1,0.343
154,157,5,5,2,0.627
155,154,5,5,1,0.343
155,495,5,5,1,0.207
156,159,5,5,1,0.416
156,172,5,5,1,0.286
157,95,5,5,1,1.178
157,154,5,5,1,0.627
157,377,5,5,1,0.493
158,169,5,5,1,0.495
158,522,5,5,1,0.358
159,99,5,5,1,0.52
159,156,5,5,1,0.416
160,241,5,5,1,0.85
160,326,5,5,1,0.488
160,327,5,5,2,0.818
160,486,5,5,4,0.686
161,161,5,5,1,0.0
161,161,5,5,1,0.0
161,161,5,5,1,0.0
161,161,5,5,1,0.0
161,183,5,5,1,0.54
161,183,5,5,1,0.54
161,220,5,5,1,0.544
161,220,5,5,1,0.544
161,221,5,5,2,0.707
161,221,5,5,2,0.707
161,320,5,5,2,0.665
161,320,5,5,2,0.665
161,321,5,5,1,0.668
161,321,5,5,1,0.668
162,16,5,5,1,0.226
162,53,5,5,1,0.222
163,245,5,5,1,0.727
163,245,5,5,1,0.727
163,252,5,5,1,0.306
164,59,5,5,1,0.739
164,120,5,5,1,0.735
165,4,5,5,1,0.393
165,358,5,5,1,0.202
166,8,5,5,1,0.442
166,189,5,5,5,2.84
166,358,5,5,1,0.406
167,131,5,5,1,0.485
167,168,5,5,1,0.387
168,11,5,5,1,0.815
168,167,5,5,1,0.387
169,158,5,5,3,0.495
169,230,5,5,1,0.205
170,26,5,5,1,0.296
170,70,5,5,1,0.359
170,171,5,5,1,0.138
170,299,5,5,2,0.416
171,26,5,5,1,0.434
171,172,5,5,1,0.465
171,299,5,5,2,0.421
172,155,5,5,2,0.222
172,156,5,5,1,0.286
172,158,5,5,1,0.564
172,171,5,5,1,0.465
173,30,5,5,1,0.31
173,32,5,5,1,0.238
174,93,5,5,1,0.186
174,224,5,5,1,0.235
174,265,5,5,1,0.201
174,511,5,5,1,0.535
175,107,5,5,1,0.557
175,107,5,5,1,0.557
175,130,5,5,1,0.437
176,374,5,5,2,2.112
176,375,5,5,1,0.507
177,178,5,5,1,0.223
177,316,5,5,1,0.367
178,177,5,5,1,0.223
178,314,5,5,1,0.32
179,180,5,5,1,0.356
179,182,5,5,1,0.266
180,179,5,5,1,0.356
180,199,5,5,1,0.325
181,124,5,5,1,0.358
181,182,5,5,1,0.327
182,179,5,5,1,0.266
182,181,5,5,1,0.327
183,190,5,5,1,0.31
183,392,5,5,1,0.106
183,398,5,5,1,0.142
184,44,5,5,4,3.915
184,185,5,5,1,0.316
185,184,5,5,1,0.316
185,409,5,5,3,0.736
186,42,5,5,1,0.47
186,187,5,5,1,0.489
186,218,5,5,2,0.936
187,185,5,5,1,0.417
187,186,5,5,1,0.489
188,192,5,5,1,0.348
188,240,5,5,3,2.473
188,321,5,5,1,1.509
188,327,5,5,1,0.449
188,329,5,5,1,0.352
189,18,5,5,1,0.545
189,18,5,5,1,0.545
189,161,5,5,5,1.619
189,161,5,5,5,1.619
189,166,5,5,8,2.84
189,190,5,5,3,0.84
189,320,5,5,6,1.526
189,332,5,5,11,7.238
190,183,5,5,1,0.31
190,189,5,5,2,0.84
191,192,5,5,1,0.384
191,193,5,5,1,0.404
192,188,5,5,1,0.348
192,191,5,5,1,0.384
192,193,5,5,3,0.789
193,191,5,5,1,0.404
193,192,5,5,2,0.789
193,321,5,5,1,0.373
193,391,5,5,2,0.497
193,401,5,5,2,0.512
194,176,5,5,1,0.213
194,332,5,5,6,1.407
195,119,5,5,1,0.46
195,387,5,5,1,0.457
196,233,5,5,1,0.261
196,371,5,5,1,0.648
197,235,5,5,1,0.239
198,232,5,5,1,0.39
198,287,5,5,1,0.528
198,287,5,5,1,0.528
198,347,5,5,5,1.03
199,68,5,5,1,0.261
199,180,5,5,1,0.325
200,50,5,5,1,0.28
200,205,5,5,1,0.349
201,203,5,5,1,0.579
201,205,5,5,1,0.262
202,49,5,5,1,0.272
202,50,5,5,1,0.168
203,201,5,5,1,0.579
203,206,5,5,2,0.531
204,206,5,5,1,0.211
204,250,5,5,2,0.559
205,200,5,5,1,0.349
205,201,5,5,1,0.262
206,203,5,5,1,0.531
206,204,5,5,1,0.211
207,225,5,5,2,1.066
207,282,5,5,1,0.997
208,26,5,5,1,0.38
208,29,5,5,1,0.15
208,519,5,5,1,0.237
209,2,5,5,1,0.143
209,210,5,5,1,0.294
210,209,5,5,1,0.294
210,211,5,5,1,0.19
211,210,5,5,1,0.19
211,213,5,5,1,0.187
211,257,5,5,1,0.291
212,213,5,5,1,0.062
212,255,5,5,1,0.481
213,211,5,5,1,0.187
213,212,5,5,1,0.062
214,256,5,5,1,0.377
214,257,5,5,1,0.167
215,2,5,5,1,0.332
215,256,5,5,1,0.23
215,378,5,5,1,0.388
216,219,5,5,2,0.558
216,496,5,5,1,0.181
217,218,5,5,1,0.339
217,219,5,5,1,0.335
218,186,5,5,2,0.936
218,217,5,5,1,0.339
219,216,5,5,1,0.558
219,217,5,5,1,0.335
220,123,5,5,2,0.531
220,161,5,5,1,0.544
220,161,5,5,1,0.544
220,344,5,5,1,0.251
221,161,5,5,2,0.707
221,161,5,5,2,0.707
221,287,5,5,4,0.757
221,287,5,5,4,0.757
221,520,5,5,1,0.243
222,125,5,5,1,0.215
222,273,5,5,1,0.435
222,319,5,5,4,1.066
222,333,5,5,2,0.39
223,224,5,5,1,0.22
224,174,5,5,1,0.235
224,223,5,5,1,0.22
225,174,5,5,3,0.564
225,207,5,5,1,1.066
225,226,5,5,1,0.343
226,129,5,5,1,0.251
226,225,5,5,1,0.343
226,386,5,5,1,0.287
226,511,5,5,1,0.154
227,84,5,5,1,0.497
227,228,5,5,1,0.451
228,85,5,5,1,0.365
228,227,5,5,1,0.451
228,442,5,5,2,0.618
229,299,5,5,1,0.211
229,300,5,5,1,0.255
230,101,5,5,1,0.411
230,169,5,5,1,0.205
230,231,5,5,2,0.385
231,230,5,5,1,0.385
231,232,5,5,1,0.613
232,198,5,5,1,0.39
232,231,5,5,2,0.613
233,235,5,5,1,0.29
233,285,5,5,1,0.5
233,285,5,5,1,0.5
233,500,5,5,1,0.102
234,332,5,5,2,1.14
235,197,5,5,1,0.239
235,233,5,5,1,0.29
236,236,5,5,1,0.0
236,236,5,5,1,0.0
236,236,5,5,1,0.0
236,236,5,5,1,0.0
236,237,5,5,1,0.937
