nodeid,lat,lon,layer
1,51.68519,-0.31724,5
1,51.68519,-0.31724,2
2,51.82553,-0.34802,5
3,51.82187,-0.35484,5
4,51.72561,-0.30095,5
5,51.72929,-0.30155,5
6,51.72339,-0.29524,5
7,51.7197,-0.29681,5
8,51.71782,-0.30059,5
9,51.72666,-0.29859,5
10,51.76111,-0.362,5
11,51.77255,-0.37596,5
12,51.66294,-0.27572,5
13,51.66557,-0.26962,5
14,51.66579,-0.26641,5
15,51.68781,-0.38878,5
16,51.68117,-0.37936,5
17,51.69902,-0.38419,5
18,51.72546,-0.34028,2
18,51.72546,-0.34028,5
19,51.79694,-0.35091,5
20,51.80084,-0.35191,5
21,51.80479,-0.35219,5
22,51.80623,-0.34748,5
23,51.80176,-0.36003,5
24,51.80079,-0.36587,5
25,51.80385,-0.35626,5
26,51.75523,-0.30551,5
27,51.75896,-0.31715,5
28,51.75934,-0.31236,5
29,51.75987,-0.3069,5
30,51.76324,-0.34647,5
31,51.75902,-0.35216,5
32,51.7596,-0.3413,5
33,51.76171,-0.34985,5
34,51.76925,-0.3348,5
35,51.7706,-0.33413,5
36,51.76473,-0.34462,5
37,51.80973,-0.28331,5
38,51.81884,-0.35674,5
39,51.68672,-0.38167,2
39,51.68672,-0.38167,5
40,51.6581,-0.25596,5
41,51.76741,-0.3703,5
42,51.69678,-0.23274,5
43,51.69451,-0.233,5
44,51.65932,-0.25602,5
45,51.66555,-0.28198,5
46,51.66421,-0.27743,5
47,51.68667,-0.29996,5
48,51.68668,-0.30657,5
49,51.68319,-0.32947,5
50,51.68007,-0.33061,5
51,51.67519,-0.37985,5
52,51.671,-0.38279,5
53,51.67735,-0.3788,5
54,51.69093,-0.3856,5
55,51.71913,-0.28764,5
56,51.71842,-0.28539,5
57,51.71724,-0.28054,5
58,51.72161,-0.29335,5
59,51.71609,-0.27676,5
60,51.71408,-0.26869,5
61,51.8029,-0.3768,5
62,51.78535,-0.3432,5
63,51.79006,-0.34561,5
64,51.78116,-0.33948,5
65,51.77689,-0.3368,5
66,51.77397,-0.33618,5
67,51.78789,-0.30062,5
68,51.78385,-0.30325,5
69,51.79977,-0.29684,5
70,51.75204,-0.30087,5
71,51.76435,-0.33936,5
72,51.6944,-0.38547,5
73,51.75852,-0.33134,5
74,51.75638,-0.34826,5
75,51.75835,-0.32799,5
76,51.75405,-0.35296,5
77,51.7535,-0.35582,5
78,51.75466,-0.35549,5
79,51.75014,-0.36061,5
80,51.69317,-0.20106,5
81,51.82389,-0.36571,5
82,51.82015,-0.35987,5
83,51.82526,-0.36826,5
84,51.82765,-0.37131,5
85,51.83354,-0.38792,5
86,51.66654,-0.38865,5
87,51.67135,-0.27287,5
88,51.66923,-0.27097,5
89,51.66856,-0.27284,5
90,51.66906,-0.26874,5
91,51.66784,-0.27536,5
92,51.67028,-0.27908,5
93,51.66887,-0.28226,5
94,51.7415,-0.26588,5
95,51.74353,-0.27221,5
96,51.74448,-0.26563,5
97,51.74648,-0.26535,5
98,51.73235,-0.30436,5
99,51.73871,-0.29347,5
100,51.73816,-0.25442,5
101,51.73479,-0.30878,5
102,51.71787,-0.35204,5
103,51.71992,-0.3366,5
104,51.71519,-0.35064,5
105,51.66401,-0.3723,5
106,51.66515,-0.36864,5
107,51.64558,-0.38475,2
107,51.64558,-0.38475,5
108,51.73454,-0.24435,5
109,51.73657,-0.24997,5
110,51.73762,-0.24925,5
111,51.72838,-0.22559,5
112,51.72785,-0.23012,5
113,51.82182,-0.33492,5
114,51.82487,-0.33371,5
115,51.82211,-0.33461,5
116,51.82624,-0.3344,5
117,51.69107,-0.28087,5
118,51.69335,-0.29111,5
119,51.70232,-0.28933,5
120,51.70831,-0.2941,5
121,51.69403,-0.28623,5
122,51.76068,-0.33388,5
123,51.75377,-0.33714,5
124,51.76994,-0.31879,5
125,51.76686,-0.3235,5
126,51.76315,-0.32624,5
127,51.76054,-0.32943,5
128,51.71774,-0.34467,2
128,51.71774,-0.34467,5
129,51.66339,-0.28696,5
130,51.6456,-0.37063,5
131,51.78645,-0.38593,5
132,51.79115,-0.38953,5
133,51.79359,-0.39137,5
134,51.79619,-0.39337,5
135,51.79777,-0.3946,5
136,51.69319,-0.32255,5
137,51.69688,-0.32457,5
138,51.70195,-0.32736,5
139,51.70786,-0.33034,5
140,51.65593,-0.37091,5
141,51.64785,-0.36397,5
142,51.65006,-0.36772,5
143,51.6506,-0.35247,5
144,51.65118,-0.35979,5
145,51.65426,-0.37441,5
146,51.65157,-0.37083,5
147,51.65149,-0.37812,5
148,51.65333,-0.37447,5
149,51.65721,-0.26113,5
150,51.66363,-0.26609,5
151,51.659,-0.26828,5
152,51.66009,-0.26115,5
153,51.75193,-0.29605,5
154,51.74893,-0.29669,5
155,51.74783,-0.30136,5
156,51.74517,-0.30198,5
157,51.74813,-0.28766,5
158,51.74233,-0.3066,5
159,51.7419,-0.29902,5
160,51.71895,-0.36721,5
161,51.74474,-0.34257,2
161,51.74474,-0.34257,5
162,51.67918,-0.3801,5
163,51.8194,-0.34431,5
164,51.71251,-0.28583,5
165,51.72365,-0.30571,5
166,51.72123,-0.30392,5
167,51.78248,-0.38295,5
168,51.77928,-0.38071,5
169,51.73928,-0.31186,5
170,51.75258,-0.30602,5
171,51.75133,-0.30596,5
172,51.74724,-0.30446,5
173,51.7615,-0.34293,5
174,51.66792,-0.28449,5
175,51.64654,-0.3768,5
176,51.75958,-0.25084,5
177,51.77133,-0.30517,5
178,51.7701,-0.30259,5
179,51.77663,-0.31032,5
180,51.77917,-0.30715,5
181,51.77273,-0.31616,5
182,51.77469,-0.3126,5
183,51.73991,-0.34359,5
184,51.68866,-0.22448,5
185,51.69129,-0.22626,5
186,51.69834,-0.22638,5
187,51.69442,-0.22962,5
188,51.72861,-0.35909,5
189,51.73015,-0.34263,5
190,51.73746,-0.34578,5
191,51.73473,-0.35512,5
192,51.73157,-0.35742,5
193,51.73799,-0.35249,5
194,51.76149,-0.25118,5
195,51.69831,-0.28763,5
196,51.66963,-0.38566,5
197,51.66812,-0.3929,5
198,51.74573,-0.32808,5
199,51.78166,-0.30464,5
200,51.67799,-0.33293,5
201,51.67752,-0.34031,5
202,51.68131,-0.33201,5
203,51.67327,-0.34519,5
204,51.67254,-0.35464,5
205,51.67919,-0.33762,5
206,51.67407,-0.3528,5
207,51.67545,-0.30112,5
208,51.75852,-0.30704,5
209,51.8267,-0.34714,5
210,51.82794,-0.35094,5
211,51.82945,-0.34961,5
212,51.83088,-0.34682,5
213,51.83062,-0.34763,5
214,51.8265,-0.35426,5
215,51.82417,-0.35234,5
216,51.70501,-0.20239,5
217,51.70117,-0.20881,5
218,51.70144,-0.21373,5
219,51.70011,-0.20425,5
220,51.74949,-0.3406,5
221,51.75061,-0.33856,5
222,51.76663,-0.32038,5
223,51.66857,-0.29012,5
224,51.66725,-0.28773,5
225,51.66741,-0.29265,5
226,51.66499,-0.28955,5
227,51.83006,-0.37743,5
228,51.83194,-0.38326,5
229,51.7523,-0.31503,5
230,51.73753,-0.31282,5
231,51.7398,-0.31706,5
232,51.74341,-0.32382,5
233,51.6713,-0.38833,5
234,51.74066,-0.23563,5
235,51.67023,-0.39218,5
236,51.70543,-0.35912,2
236,51.70543,-0.35912,5
237,51.71295,-0.35292,5
238,51.71792,-0.33479,5
239,51.71196,-0.33277,5
240,51.70973,-0.37817,5
241,51.71276,-0.3745,5
242,51.70588,-0.36972,5
243,51.70629,-0.37671,5
244,51.72075,-0.29321,5
245,51.81488,-0.35198,2
245,51.81488,-0.35198,5
246,51.65897,-0.36742,5
247,51.66457,-0.36353,5
248,51.66521,-0.36434,5
249,51.66282,-0.37516,5
250,51.66835,-0.35915,5
251,51.82299,-0.34074,5
252,51.82076,-0.34042,5
253,51.82795,-0.33647,5
254,51.8247,-0.34069,5
255,51.82703,-0.3436,5
256,51.82316,-0.35528,5
257,51.82771,-0.35279,5
258,51.82272,-0.33695,5
259,51.68845,-0.2782,5
260,51.69092,-0.29128,5
261,51.68122,-0.27669,5
262,51.69559,-0.29207,5
263,51.66425,-0.27205,5
264,51.66663,-0.27963,5
265,51.66686,-0.28212,5
266,51.66616,-0.27591,5
267,51.66543,-0.28062,5
268,51.69729,-0.39249,5
269,51.69906,-0.39574,5
270,51.80185,-0.39285,5
271,51.80248,-0.38977,5
272,51.74646,-0.24184,5
273,51.76677,-0.31405,5
274,51.76384,-0.30145,5
275,51.76618,-0.29957,5
276,51.75875,-0.32115,5
277,51.76538,-0.32336,5
278,51.76768,-0.3436,5
279,51.76578,-0.3329,5
280,51.76657,-0.33526,5
281,51.69044,-0.32106,5
282,51.6817,-0.31153,5
283,51.64502,-0.36708,5
284,51.6474,-0.35384,5
285,51.6757,-0.38993,2
285,51.6757,-0.38993,5
286,51.65266,-0.39171,2
286,51.65266,-0.39171,5
287,51.75048,-0.32754,2
287,51.75048,-0.32754,5
288,51.74199,-0.39757,5
289,51.80566,-0.29401,5
290,51.81014,-0.28692,5
291,51.80728,-0.28869,5
292,51.80603,-0.29096,5
293,51.80877,-0.29411,5
294,51.81084,-0.29055,5
295,51.80968,-0.28836,5
296,51.81223,-0.29379,5
297,51.80836,-0.28883,5
298,51.7495,-0.31807,5
299,51.75196,-0.312,5
300,51.75245,-0.31874,5
301,51.69416,-0.20483,5
302,51.81081,-0.34137,5
303,51.80733,-0.34505,5
304,51.80946,-0.34004,5
305,51.80945,-0.34949,5
306,51.80694,-0.34138,5
307,51.67189,-0.2784,5
308,51.67338,-0.27765,5
309,51.67624,-0.27434,5
310,51.67505,-0.27534,5
311,51.67308,-0.27388,5
312,51.76356,-0.29036,5
313,51.76897,-0.29448,5
314,51.76752,-0.3005,5
315,51.76977,-0.29723,5
316,51.77328,-0.30085,5
317,51.77208,-0.29843,5
318,51.76572,-0.29505,5
319,51.76348,-0.30571,5
320,51.7427,-0.35168,5
321,51.74105,-0.35025,5
322,51.74127,-0.36053,5
323,51.74794,-0.36563,5
324,51.74663,-0.35932,5
325,51.74602,-0.3644,5
326,51.72227,-0.36255,5
327,51.72457,-0.35951,5
328,51.72491,-0.35097,5
329,51.72666,-0.35505,5
330,51.72199,-0.34747,5
331,51.68718,-0.39082,5
332,51.75005,-0.24237,5
333,51.7634,-0.31813,5
334,51.73987,-0.26085,5
335,51.66244,-0.26149,5
336,51.66066,-0.27629,5
337,51.66457,-0.37925,5
338,51.66214,-0.37959,5
339,51.6633,-0.37876,5
340,51.66456,-0.38704,5
341,51.66261,-0.38092,5
342,51.67289,-0.38223,5
343,51.75191,-0.33757,5
344,51.7516,-0.33928,5
345,51.75604,-0.34311,5
346,51.75547,-0.3377,5
347,51.75417,-0.33433,5
348,51.75694,-0.33431,5
349,51.82719,-0.34285,5
350,51.81586,-0.30337,5
351,51.81769,-0.30913,5
352,51.81659,-0.29262,5
353,51.81537,-0.29452,5
354,51.82048,-0.3256,5
355,51.81852,-0.31563,5
356,51.81948,-0.32131,5
357,51.65343,-0.35368,5
358,51.72344,-0.30863,5
359,51.70667,-0.36774,5
360,51.70931,-0.36406,5
361,51.70849,-0.36597,5
362,51.65728,-0.27032,5
363,51.66039,-0.27204,5
364,51.65826,-0.27049,5
365,51.65747,-0.2819,5
366,51.65843,-0.27985,5
367,51.66039,-0.2845,5
368,51.66269,-0.27458,5
369,51.6611,-0.26817,5
370,51.71689,-0.28603,5
371,51.66819,-0.37654,5
372,51.75144,-0.28433,5
373,51.75468,-0.26934,5
374,51.75218,-0.27916,5
375,51.75836,-0.25796,5
376,51.75179,-0.26593,5
377,51.75145,-0.29244,5
378,51.82215,-0.34772,5
379,51.81273,-0.3438,5
380,51.68946,-0.39534,5
381,51.73977,-0.28793,5
382,51.68616,-0.39067,5
383,51.74729,-0.33081,5
384,51.64937,-0.38718,5
385,51.82666,-0.33913,5
386,51.66369,-0.28594,5
387,51.69474,-0.2843,5
388,51.67236,-0.38397,5
389,51.68028,-0.39126,5
390,51.80183,-0.33659,5
391,51.74095,-0.35793,5
392,51.74087,-0.34372,5
393,51.76451,-0.29311,5
394,51.74568,-0.30594,5
395,51.82063,-0.34616,5
396,51.6973,-0.39405,5
397,51.6508,-0.38857,5
398,51.73888,-0.34236,5
399,51.73521,-0.33659,5
400,51.8233,-0.36183,5
