ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,89,5,5,2,0.508
1,89,5,5,2,0.508
1,89,5,5,2,0.508
1,102,5,5,2,0.455
1,102,5,5,2,0.455
1,102,5,5,2,0.455
1,155,5,5,1,0.269
1,155,5,5,1,0.269
1,155,5,5,1,0.269
1,325,5,5,1,0.378
1,325,5,5,1,0.378
1,325,5,5,1,0.378
1,349,5,5,8,0.323
1,349,5,5,8,0.323
1,349,5,5,8,0.323
1,368,5,5,5,0.308
1,368,5,5,5,0.308
1,368,5,5,5,0.308
1,415,5,5,1,0.389
1,415,5,5,1,0.389
1,415,5,5,1,0.389
2,165,5,5,1,0.191
3,7,5,5,1,0.259
4,361,5,5,1,0.275
5,366,5,5,1,0.236
6,183,5,5,1,0.409
7,16,5,5,1,0.195
8,23,5,5,1,0.25
9,169,5,5,1,0.418
10,117,5,5,1,0.42
10,276,5,5,1,0.288
10,316,5,5,1,0.394
11,22,5,5,1,0.185
11,297,5,5,1,0.082
12,372,5,5,1,0.201
13,38,5,5,1,0.312
14,354,5,5,1,0.206
15,8,5,5,1,0.216
16,161,5,5,1,0.222
17,314,5,5,1,0.149
17,346,5,5,1,0.299
18,37,5,5,1,0.648
19,61,5,5,1,0.208
20,104,5,5,1,0.112
21,80,5,5,1,0.609
21,406,5,5,1,0.545
21,416,5,5,1,0.63
22,273,5,5,1,0.133
22,330,5,5,1,0.291
23,394,5,5,1,0.229
24,212,5,5,1,0.385
25,27,5,5,1,0.24
26,24,5,5,1,0.204
27,327,5,5,1,0.152
29,142,5,5,1,0.704
30,255,5,5,1,0.117
31,124,5,5,1,0.125
32,182,5,5,1,0.653
33,385,5,5,1,0.207
34,204,5,5,1,0.367
35,10,5,5,1,0.433
36,32,5,5,1,0.463
37,44,5,5,1,0.58
38,370,5,5,1,0.342
39,69,5,5,1,0.327
41,238,5,5,1,0.219
42,148,5,5,1,0.1
43,175,5,5,1,0.215
44,408,5,5,1,0.396
45,36,5,5,1,0.424
46,269,5,5,1,0.206
47,248,5,5,1,0.219
48,47,5,5,1,0.176
49,422,5,5,1,0.161
50,1,5,5,1,0.445
50,1,5,5,1,0.445
50,1,5,5,1,0.445
51,108,5,5,1,0.385
52,41,5,5,1,0.216
52,74,5,5,1,0.399
53,231,5,5,1,0.2
54,218,5,5,1,0.334
55,63,5,5,1,0.206
55,417,5,5,1,0.252
56,50,5,5,1,0.665
56,304,5,5,2,0.703
57,414,5,5,1,0.624
58,213,5,5,1,0.285
59,244,5,5,1,0.235
60,40,5,5,1,0.155
61,135,5,5,1,0.36
61,162,5,5,1,0.545
62,292,5,5,1,0.129
63,196,5,5,1,0.119
64,6,5,5,1,0.319
