nodeid,lat,lon,layer
1,52.80391,-2.12204,4
1,52.80391,-2.12204,2
1,52.80391,-2.12204,5
2,52.78784,-2.12926,5
3,52.81075,-2.14085,5
4,52.7842,-2.07482,5
5,52.78369,-2.08751,5
6,52.78726,-2.08198,5
7,52.81112,-2.14467,5
8,52.8112,-2.14465,5
9,52.79254,-2.11934,5
10,52.79179,-2.1193,5
11,52.78754,-2.07005,5
12,52.78764,-2.07006,5
13,52.80696,-2.09608,5
14,52.78684,-2.08388,5
15,52.81125,-2.14787,5
16,52.81113,-2.14759,5
17,52.7955,-2.13317,5
18,52.77597,-2.07009,5
19,52.77159,-2.10862,5
20,52.81641,-2.08704,5
21,52.79252,-2.091,5
22,52.78808,-2.07267,5
23,52.81088,-2.14096,5
24,52.78344,-2.12257,5
25,52.78361,-2.12262,5
26,52.7818,-2.12119,5
27,52.78171,-2.12089,5
28,52.80801,-2.07446,5
29,52.80793,-2.07501,5
30,52.79246,-2.14096,5
31,52.79228,-2.14161,5
32,52.77494,-2.06908,5
33,52.78079,-2.07901,5
34,52.82362,-2.12832,5
35,52.79558,-2.11777,5
36,52.77227,-2.06378,5
37,52.77198,-2.06303,5
38,52.8062,-2.09159,5
39,52.80608,-2.09159,5
40,52.77181,-2.10855,5
41,52.82807,-2.13269,5
42,52.81372,-2.11448,5
43,52.79879,-2.0825,5
44,52.76856,-2.0565,5
45,52.76971,-2.05908,5
46,52.78366,-2.08055,5
47,52.81409,-2.09515,5
48,52.81522,-2.0933,5
49,52.8122,-2.14452,5
50,52.80131,-2.1271,5
51,52.80845,-2.12804,5
52,52.82911,-2.12996,5
53,52.82942,-2.13046,5
54,52.81187,-2.12139,5
55,52.78753,-2.08247,5
56,52.80563,-2.13397,5
57,52.79653,-2.14048,5
58,52.8087,-2.10555,5
59,52.80844,-2.09876,5
60,52.77309,-2.10948,5
61,52.77333,-2.10978,5
62,52.78888,-2.10878,5
63,52.78915,-2.08399,5
64,52.78917,-2.08553,5
65,52.80452,-2.11587,5
66,52.80453,-2.11567,5
67,52.78624,-2.07543,5
68,52.78622,-2.07519,5
69,52.80687,-2.09629,5
70,52.81147,-2.15299,5
71,52.79048,-2.12538,5
72,52.80903,-2.09674,5
73,52.81992,-2.1253,5
74,52.82558,-2.12879,5
75,52.78648,-2.12322,5
76,52.78694,-2.12254,5
77,52.78786,-2.04247,5
78,52.78787,-2.04263,5
79,52.79041,-2.08272,5
80,52.79052,-2.08255,5
81,52.81647,-2.09857,5
82,52.80621,-2.10862,5
83,52.76254,-2.05206,5
84,52.76273,-2.05236,5
85,52.80741,-2.12461,5
86,52.81428,-2.10585,5
87,52.79131,-2.10163,5
88,52.78475,-2.08804,5
89,52.80545,-2.11491,5
90,52.79152,-2.13694,5
91,52.79121,-2.13699,5
92,52.79782,-2.08384,5
93,52.78944,-2.1245,5
94,52.78478,-2.11552,5
95,52.7887,-2.06679,5
96,52.81221,-2.10624,5
