ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
30,30,1,1,5,0.0
24,89,2,2,3,2.347
24,89,2,2,3,2.347
24,89,2,2,3,2.347
24,89,2,2,3,2.347
25,196,2,2,6,3.433
25,196,2,2,6,3.433
25,196,2,2,6,3.433
25,196,2,2,6,3.433
25,196,2,2,6,3.433
25,196,2,2,6,3.433
37,89,2,2,5,3.993
37,89,2,2,5,3.993
37,89,2,2,5,3.993
37,89,2,2,5,3.993
37,231,2,2,3,3.261
37,231,2,2,3,3.261
37,231,2,2,3,3.261
37,231,2,2,3,3.261
85,123,2,2,4,3.879
85,123,2,2,4,3.879
85,123,2,2,4,3.879
85,123,2,2,4,3.879
85,187,2,2,8,7.708
85,187,2,2,8,7.708
85,187,2,2,8,7.708
85,187,2,2,8,7.708
85,231,2,2,4,3.016
85,231,2,2,4,3.016
85,231,2,2,4,3.016
85,231,2,2,4,3.016
89,24,2,2,3,2.347
89,24,2,2,3,2.347
89,24,2,2,3,2.347
89,24,2,2,3,2.347
89,37,2,2,5,3.993
89,37,2,2,5,3.993
89,37,2,2,5,3.993
89,37,2,2,5,3.993
90,238,2,2,3,2.113
90,238,2,2,3,2.113
90,238,2,2,3,2.113
90,238,2,2,3,2.113
123,85,2,2,5,3.879
123,85,2,2,5,3.879
123,85,2,2,5,3.879
123,85,2,2,5,3.879
123,178,2,2,2,1.669
123,178,2,2,2,1.669
123,178,2,2,2,1.669
123,178,2,2,2,1.669
178,123,2,2,3,1.669
178,123,2,2,3,1.669
178,123,2,2,3,1.669
178,123,2,2,3,1.669
178,187,2,2,3,2.189
178,187,2,2,3,2.189
178,187,2,2,3,2.189
178,187,2,2,3,2.189
187,85,2,2,10,7.708
187,85,2,2,10,7.708
187,85,2,2,10,7.708
187,85,2,2,10,7.708
187,178,2,2,3,2.189
187,178,2,2,3,2.189
187,178,2,2,3,2.189
187,178,2,2,3,2.189
187,196,2,2,4,2.14
187,196,2,2,4,2.14
187,196,2,2,4,2.14
187,196,2,2,4,2.14
196,25,2,2,6,3.433
196,25,2,2,6,3.433
196,25,2,2,6,3.433
196,25,2,2,6,3.433
196,25,2,2,6,3.433
196,25,2,2,6,3.433
196,187,2,2,3,2.14
196,187,2,2,3,2.14
196,187,2,2,3,2.14
196,187,2,2,3,2.14
231,37,2,2,4,3.261
231,37,2,2,4,3.261
231,37,2,2,4,3.261
231,37,2,2,4,3.261
231,85,2,2,5,3.016
231,85,2,2,5,3.016
231,85,2,2,5,3.016
231,85,2,2,5,3.016
238,90,2,2,5,2.113
238,90,2,2,5,2.113
238,90,2,2,5,2.113
238,90,2,2,5,2.113
1,100,5,5,1,0.041
1,232,5,5,5,0.414
1,263,5,5,1,0.179
2,161,5,5,2,0.824
2,186,5,5,2,0.394
2,290,5,5,3,0.752
3,182,5,5,2,0.901
3,200,5,5,1,0.487
4,5,5,5,1,0.233
4,178,5,5,3,1.246
4,178,5,5,3,1.246
5,4,5,5,1,0.233
5,71,5,5,1,0.271
6,71,5,5,1,0.359
6,147,5,5,1,0.266
7,160,5,5,1,0.39
7,206,5,5,1,0.373
8,24,5,5,1,0.734
8,24,5,5,1,0.734
8,27,5,5,1,0.701
8,271,5,5,6,1.725
9,10,5,5,1,0.353
9,68,5,5,1,0.269
10,9,5,5,1,0.353
10,99,5,5,1,0.281
10,174,5,5,1,0.248
11,12,5,5,1,0.155
11,261,5,5,1,0.255
11,304,5,5,1,0.235
12,11,5,5,1,0.155
12,212,5,5,1,0.319
13,14,5,5,1,0.194
14,13,5,5,1,0.194
14,15,5,5,1,0.107
15,14,5,5,1,0.107
15,16,5,5,1,0.273
16,15,5,5,2,0.273
16,184,5,5,1,0.378
17,39,5,5,1,0.337
17,121,5,5,1,0.272
17,241,5,5,1,0.291
18,77,5,5,1,0.363
18,194,5,5,2,1.05
19,45,5,5,1,0.291
19,230,5,5,1,0.36
20,211,5,5,1,0.194
21,55,5,5,1,0.307
21,170,5,5,2,0.61
22,56,5,5,1,0.628
23,86,5,5,1,0.514
23,189,5,5,1,0.32
24,8,5,5,1,0.734
24,8,5,5,1,0.734
24,24,5,5,1,0.0
24,24,5,5,1,0.0
24,24,5,5,1,0.0
24,24,5,5,1,0.0
24,74,5,5,1,0.644
24,74,5,5,1,0.644
24,75,5,5,1,0.63
24,75,5,5,1,0.63
24,172,5,5,1,0.863
24,172,5,5,1,0.863
25,25,5,5,1,0.0
25,25,5,5,1,0.0
25,25,5,5,1,0.0
25,25,5,5,1,0.0
25,25,5,5,1,0.0
25,25,5,5,1,0.0
25,25,5,5,1,0.0
25,25,5,5,1,0.0
25,25,5,5,1,0.0
25,41,5,5,1,0.515
25,41,5,5,1,0.515
25,41,5,5,1,0.515
25,43,5,5,1,1.153
25,43,5,5,1,1.153
25,43,5,5,1,1.153
25,101,5,5,6,2.537
25,101,5,5,6,2.537
25,101,5,5,6,2.537
25,126,5,5,5,1.551
25,126,5,5,5,1.551
25,126,5,5,5,1.551
25,221,5,5,1,0.532
25,221,5,5,1,0.532
25,221,5,5,1,0.532
25,294,5,5,1,0.687
25,294,5,5,1,0.687
25,294,5,5,1,0.687
25,298,5,5,3,0.507
25,298,5,5,3,0.507
25,298,5,5,3,0.507
25,299,5,5,1,0.503
25,299,5,5,1,0.503
25,299,5,5,1,0.503
26,91,5,5,1,0.225
26,259,5,5,1,0.365
27,8,5,5,2,0.701
27,207,5,5,1,0.237
28,61,5,5,1,0.345
28,196,5,5,3,1.136
28,196,5,5,3,1.136
29,180,5,5,1,0.605
29,219,5,5,1,0.327
31,67,5,5,1,0.205
31,211,5,5,1,0.17
32,81,5,5,1,0.509
32,146,5,5,1,0.189
32,280,5,5,2,0.506
33,65,5,5,1,0.307
33,112,5,5,1,0.412
34,35,5,5,1,1.04
35,34,5,5,1,1.04
35,60,5,5,1,0.518
36,104,5,5,1,0.39
36,114,5,5,1,0.541
37,37,5,5,1,0.0
