nodeid,lat,lon,layer
1,51.40078,-0.46353,5
2,51.43702,-0.51809,5
3,51.47348,-0.60814,5
4,51.47831,-0.56313,5
5,51.47999,-0.56517,5
6,51.48413,-0.56536,5
7,51.41054,-0.55675,5
8,51.37324,-0.47385,5
9,51.42904,-0.53184,5
10,51.42658,-0.52859,5
11,51.4286,-0.57265,5
12,51.4272,-0.57269,5
13,51.47368,-0.62528,5
14,51.47496,-0.62336,5
15,51.4757,-0.62236,5
16,51.47324,-0.62213,5
17,51.42722,-0.48558,5
18,51.40469,-0.50567,5
19,51.41238,-0.53185,5
20,51.39555,-0.50574,5
21,51.41405,-0.49361,5
22,51.44082,-0.4827,5
23,51.42961,-0.51424,5
24,51.37305,-0.48445,2
24,51.37305,-0.48445,5
25,51.51188,-0.5915,5
25,51.51188,-0.5915,2
25,51.51188,-0.5915,4
26,51.42352,-0.50319,5
27,51.37213,-0.46389,5
28,51.47347,-0.6056,5
29,51.4156,-0.54658,5
30,51.38221,-0.45688,1
31,51.39239,-0.50436,5
32,51.4076,-0.46279,5
33,51.41261,-0.44349,5
34,51.45488,-0.6228,5
35,51.46318,-0.61582,5
36,51.42998,-0.55796,5
37,51.40196,-0.56222,2
37,51.40196,-0.56222,5
38,51.48029,-0.61577,5
39,51.42677,-0.48076,5
40,51.4233,-0.48077,5
41,51.50912,-0.58551,5
42,51.50519,-0.59843,5
43,51.50293,-0.59998,5
44,51.40586,-0.48453,5
45,51.41006,-0.53383,5
46,51.40033,-0.45983,5
47,51.38949,-0.46233,5
48,51.40429,-0.46274,5
49,51.41931,-0.49558,5
50,51.43451,-0.52891,5
51,51.40489,-0.45941,5
52,51.4195,-0.49783,5
53,51.38234,-0.54329,5
54,51.37781,-0.53729,5
55,51.41657,-0.49546,5
56,51.43892,-0.49126,5
57,51.42749,-0.48148,5
58,51.50501,-0.61023,5
59,51.50643,-0.60663,5
60,51.46695,-0.61139,5
61,51.47067,-0.60779,5
62,51.45752,-0.55306,5
63,51.44409,-0.53725,5
64,51.46255,-0.53479,5
65,51.4099,-0.44439,5
66,51.40311,-0.54492,5
67,51.39091,-0.50257,5
68,51.43072,-0.53465,5
69,51.46427,-0.53336,5
70,51.4697,-0.53026,5
71,51.48146,-0.5683,5
72,51.42599,-0.47591,5
73,51.41893,-0.53455,5
74,51.37052,-0.49282,5
75,51.37236,-0.49348,5
76,51.42119,-0.53612,5
77,51.40785,-0.50704,5
78,51.43517,-0.57382,5
79,51.39021,-0.48104,5
80,51.42842,-0.4939,5
81,51.40757,-0.45544,5
82,51.40223,-0.46927,5
83,51.40092,-0.54913,5
84,51.4023,-0.43242,5
85,51.43246,-0.50316,2
85,51.43246,-0.50316,5
86,51.42514,-0.51227,5
87,51.37881,-0.51967,5
88,51.37961,-0.52113,5
89,51.38717,-0.50967,5
89,51.38717,-0.50967,2
90,51.39681,-0.44678,5
90,51.39681,-0.44678,2
91,51.42196,-0.50111,5
92,51.50607,-0.59954,5
93,51.5094,-0.61674,5
94,51.48343,-0.62227,5
95,51.43208,-0.51918,5
96,51.43297,-0.47801,5
97,51.3775,-0.5176,5
98,51.40815,-0.43184,5
99,51.42757,-0.52485,5
100,51.40115,-0.46342,5
101,51.49196,-0.60949,5
102,51.39857,-0.45539,5
103,51.43258,-0.57388,5
104,51.43174,-0.55307,5
105,51.39077,-0.47682,5
106,51.43313,-0.52002,5
107,51.38504,-0.52596,5
108,51.39054,-0.49829,5
109,51.44243,-0.53293,5
110,51.38711,-0.53758,5
111,51.40455,-0.46165,5
112,51.41631,-0.44297,5
113,51.39683,-0.43579,5
114,51.42751,-0.56471,5
115,51.42736,-0.49471,5
116,51.42236,-0.49115,5
117,51.4225,-0.48573,5
118,51.42254,-0.48293,5
119,51.42332,-0.48313,5
120,51.42406,-0.48081,5
121,51.42541,-0.48293,5
122,51.42975,-0.46534,5
123,51.45771,-0.54192,2
123,51.45771,-0.54192,5
124,51.4062,-0.53493,5
125,51.4279,-0.58085,5
126,51.49793,-0.59021,5
127,51.50189,-0.59011,5
128,51.44713,-0.54693,5
129,51.44553,-0.54223,5
130,51.45871,-0.54934,5
131,51.47157,-0.53498,5
132,51.49438,-0.6223,5
133,51.42424,-0.4498,5
134,51.39208,-0.4497,5
135,51.40432,-0.53772,5
136,51.42197,-0.49486,5
137,51.51134,-0.60448,5
138,51.51195,-0.60988,5
139,51.52115,-0.60415,5
140,51.4349,-0.53955,5
141,51.41484,-0.51253,5
142,51.48031,-0.61938,5
143,51.39,-0.47003,5
144,51.44449,-0.57434,5
145,51.42011,-0.44248,5
146,51.4059,-0.46251,5
147,51.48629,-0.56704,5
148,51.47356,-0.54272,5
149,51.39526,-0.43552,5
150,51.45561,-0.57654,5
151,51.45875,-0.57994,5
152,51.46252,-0.58453,5
153,51.46493,-0.58732,5
154,51.45245,-0.57415,5
155,51.45767,-0.56171,5
156,51.45036,-0.55412,5
157,51.45604,-0.55594,5
158,51.45287,-0.55537,5
159,51.37532,-0.49998,5
160,51.40719,-0.55848,5
161,51.43992,-0.52906,5
