nodeid,lat,lon,layer
1,51.98491,-0.24705,5
2,51.98065,-0.25119,5
3,51.97905,-0.25191,5
4,51.97804,-0.24575,5
5,51.98419,-0.24235,5
6,51.98531,-0.24666,5
7,51.88886,-0.19731,5
8,51.88592,-0.19436,5
9,51.88903,-0.18798,5
10,51.88479,-0.18806,5
11,51.88287,-0.19053,5
12,51.88103,-0.18654,5
13,51.93022,-0.17451,5
14,51.94945,-0.277,5
15,51.86464,-0.22172,5
16,51.96378,-0.28598,5
17,51.95761,-0.28604,5
18,51.9603,-0.28635,5
19,51.96011,-0.27874,5
20,51.9572,-0.28295,5
21,51.95775,-0.28175,5
22,51.90169,-0.20711,5
22,51.90169,-0.20711,2
22,51.90169,-0.20711,4
23,51.95073,-0.2704,5
24,51.86205,-0.23557,5
25,51.98403,-0.22284,5
26,51.98154,-0.21762,5
27,51.98601,-0.22199,5
28,51.88605,-0.15079,5
29,51.87525,-0.16622,5
30,51.90424,-0.16562,5
31,51.90669,-0.16723,5
32,51.91922,-0.16173,5
33,51.91934,-0.16003,5
34,51.90172,-0.16804,5
35,51.84603,-0.18821,5
36,51.8589,-0.18357,5
37,51.84775,-0.18509,5
38,51.93329,-0.23975,5
39,51.94069,-0.27266,5
40,51.8891,-0.34367,5
41,51.88882,-0.35115,5
42,51.89502,-0.35071,5
43,51.98832,-0.222,5
44,51.99165,-0.22995,5
45,51.97822,-0.20666,5
46,51.97649,-0.21136,4
46,51.97649,-0.21136,5
47,51.97359,-0.21318,5
48,51.97503,-0.21067,5
49,51.97527,-0.21615,5
50,51.97587,-0.21434,5
51,51.91538,-0.22011,5
52,51.91014,-0.22336,5
53,51.91281,-0.22096,5
54,51.91526,-0.21356,5
55,51.90552,-0.19756,5
56,51.98605,-0.18499,5
57,51.98475,-0.21895,5
58,51.93004,-0.27414,5
59,51.9292,-0.26509,5
60,51.92155,-0.27792,5
61,51.9328,-0.2406,5
62,51.91311,-0.16283,5
63,51.91593,-0.16078,5
64,51.91089,-0.16175,5
65,51.91567,-0.16969,5
66,51.91628,-0.16549,5
67,51.98313,-0.24162,5
68,51.98228,-0.23716,5
69,51.97147,-0.23321,5
70,51.97201,-0.23233,5
71,51.96845,-0.23415,5
72,51.97053,-0.22819,5
73,51.97322,-0.21935,5
74,51.89262,-0.18334,5
75,51.89934,-0.19278,5
76,51.90071,-0.18535,5
77,51.90225,-0.18662,5
78,51.89201,-0.16922,5
79,51.89212,-0.17268,5
80,51.97975,-0.216,5
81,51.96478,-0.20747,5
82,51.96134,-0.21966,5
83,51.91783,-0.21834,5
84,51.91614,-0.21088,5
85,51.91622,-0.20869,5
86,51.91898,-0.2085,5
87,51.92402,-0.20921,5
88,51.9219,-0.21469,5
89,51.92309,-0.21267,5
90,51.93866,-0.27603,5
91,51.93643,-0.27555,5
92,51.93676,-0.27099,5
93,51.93787,-0.25993,5
94,51.93953,-0.27351,5
95,51.93941,-0.26516,5
96,51.94022,-0.26413,5
97,51.93213,-0.23458,5
98,51.939,-0.23841,5
99,51.93525,-0.25094,5
100,51.93706,-0.24061,5
101,51.92278,-0.17677,5
102,51.92414,-0.17859,5
103,51.92408,-0.18355,5
104,51.91885,-0.171,5
105,51.92024,-0.17001,5
106,51.92085,-0.17451,5
107,51.92258,-0.16986,5
108,51.91826,-0.17815,5
109,51.8819,-0.17979,5
110,51.88293,-0.18469,5
111,51.88028,-0.17062,5
112,51.88443,-0.1716,5
113,51.87664,-0.17508,5
114,51.87901,-0.18181,5
115,51.87991,-0.17389,5
116,51.89176,-0.17935,5
117,51.85479,-0.18205,5
118,51.85264,-0.1811,5
119,51.85007,-0.1766,5
120,51.84853,-0.15894,5
121,51.89046,-0.33234,5
122,51.89548,-0.32537,5
123,51.89863,-0.3157,5
124,51.95373,-0.28378,5
125,51.95489,-0.28516,5
126,51.95655,-0.28659,5
127,51.98933,-0.2106,5
128,51.98428,-0.20854,5
129,51.98698,-0.20873,5
130,51.99129,-0.21203,5
131,51.99343,-0.20987,5
132,51.98914,-0.21729,5
133,51.89514,-0.16078,5
134,51.8998,-0.17394,5
135,51.96567,-0.26418,5
136,51.95788,-0.26995,5
137,51.95976,-0.2677,5
138,51.96286,-0.2641,5
139,51.97795,-0.21564,5
140,51.97691,-0.22382,5
141,51.97561,-0.22048,5
142,51.87054,-0.14662,5
143,51.86875,-0.14023,5
144,51.87441,-0.15813,5
145,51.91627,-0.16248,5
146,51.91569,-0.1598,5
147,51.92526,-0.16957,5
148,51.92701,-0.18746,5
149,51.93001,-0.17987,5
150,51.92298,-0.18963,5
151,51.86906,-0.21327,5
152,51.86735,-0.21632,5
153,51.86838,-0.20756,5
154,51.86686,-0.18728,2
154,51.86686,-0.18728,5
155,51.98305,-0.20068,5
156,51.99315,-0.23261,5
157,51.98344,-0.2119,5
158,51.98564,-0.21473,5
159,51.91207,-0.20844,5
160,51.90631,-0.21249,5
161,51.90431,-0.21631,5
162,51.98043,-0.18559,5
163,51.98595,-0.19674,5
164,51.90307,-0.31243,5
165,51.90712,-0.30783,5
166,51.90758,-0.31227,5
167,51.90593,-0.31882,5
168,51.9076,-0.31557,5
169,51.9154,-0.19046,5
