ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
2,18,2,2,3,2.338
2,18,2,2,3,2.338
2,18,2,2,3,2.338
2,18,2,2,3,2.338
2,158,2,2,7,9.692
2,158,2,2,7,9.692
2,158,2,2,7,9.692
2,158,2,2,7,9.692
2,158,2,2,7,9.692
2,158,2,2,7,9.692
3,19,2,2,4,3.192
3,19,2,2,4,3.192
3,19,2,2,4,3.192
3,19,2,2,4,3.192
3,21,2,2,3,1.503
3,21,2,2,3,1.503
3,21,2,2,3,1.503
3,21,2,2,3,1.503
6,22,2,2,3,2.074
6,22,2,2,3,2.074
6,22,2,2,3,2.074
6,22,2,2,3,2.074
6,142,2,2,3,1.776
6,142,2,2,3,1.776
6,142,2,2,3,1.776
6,142,2,2,3,1.776
6,142,2,2,3,1.776
6,142,2,2,3,1.776
12,37,2,2,3,2.586
12,37,2,2,3,2.586
12,37,2,2,3,2.586
12,37,2,2,3,2.586
12,47,2,2,6,2.149
12,47,2,2,6,2.149
12,47,2,2,6,2.149
12,47,2,2,6,2.149
12,105,2,2,3,1.729
12,105,2,2,3,1.729
12,105,2,2,3,1.729
12,105,2,2,3,1.729
12,170,2,2,7,7.282
12,170,2,2,7,7.282
12,170,2,2,7,7.282
12,170,2,2,7,7.282
12,186,2,2,3,1.712
12,186,2,2,3,1.712
12,186,2,2,3,1.712
12,186,2,2,3,1.712
14,136,2,2,2,1.386
14,136,2,2,2,1.386
14,136,2,2,2,1.386
14,136,2,2,2,1.386
18,2,2,2,2,2.338
18,2,2,2,2,2.338
18,2,2,2,2,2.338
18,2,2,2,2,2.338
18,140,2,2,4,3.671
18,140,2,2,4,3.671
18,140,2,2,4,3.671
18,140,2,2,4,3.671
19,3,2,2,5,3.192
19,3,2,2,5,3.192
19,3,2,2,5,3.192
19,3,2,2,5,3.192
19,72,2,2,4,3.759
19,72,2,2,4,3.759
19,72,2,2,4,3.759
19,72,2,2,4,3.759
19,141,2,2,2,1.644
19,141,2,2,2,1.644
19,141,2,2,2,1.644
19,141,2,2,2,1.644
21,3,2,2,3,1.503
21,3,2,2,3,1.503
21,3,2,2,3,1.503
21,3,2,2,3,1.503
22,6,2,2,3,2.074
22,6,2,2,3,2.074
22,6,2,2,3,2.074
22,6,2,2,3,2.074
26,139,2,2,5,2.935
26,139,2,2,5,2.935
26,139,2,2,5,2.935
26,139,2,2,5,2.935
36,205,2,2,2,1.921
36,205,2,2,2,1.921
36,205,2,2,2,1.921
36,205,2,2,2,1.921
37,12,2,2,3,2.586
37,12,2,2,3,2.586
37,12,2,2,3,2.586
37,12,2,2,3,2.586
37,44,2,2,5,5.245
37,44,2,2,5,5.245
37,44,2,2,5,5.245
37,44,2,2,5,5.245
37,162,2,2,4,3.24
37,162,2,2,4,3.24
37,162,2,2,4,3.24
37,162,2,2,4,3.24
38,106,2,2,2,1.657
38,106,2,2,2,1.657
38,106,2,2,2,1.657
38,106,2,2,2,1.657
38,158,2,2,7,4.126
38,158,2,2,7,4.126
38,158,2,2,7,4.126
38,158,2,2,7,4.126
38,158,2,2,7,4.126
38,158,2,2,7,4.126
38,202,2,2,11,12.474
38,202,2,2,11,12.474
38,202,2,2,11,12.474
38,202,2,2,11,12.474
38,204,2,2,7,5.69
38,204,2,2,7,5.69
38,204,2,2,7,5.69
38,204,2,2,7,5.69
38,974,2,2,4,3.22
38,974,2,2,4,3.22
44,37,2,2,4,5.245
44,37,2,2,4,5.245
44,37,2,2,4,5.245
44,37,2,2,4,5.245
44,162,2,2,3,2.186
44,162,2,2,3,2.186
44,162,2,2,3,2.186
44,162,2,2,3,2.186
44,202,2,2,6,4.89
44,202,2,2,6,4.89
44,202,2,2,6,4.89
44,202,2,2,6,4.89
47,12,2,2,5,2.149
47,12,2,2,5,2.149
47,12,2,2,5,2.149
47,12,2,2,5,2.149
64,104,2,2,3,2.253
64,104,2,2,3,2.253
64,104,2,2,3,2.253
64,104,2,2,3,2.253
64,158,2,2,3,2.462
64,158,2,2,3,2.462
64,158,2,2,3,2.462
