nodeid,lat,lon,layer
1,53.36988,-2.03389,5
2,53.32686,-2.22633,5
2,53.32686,-2.22633,2
3,53.44935,-1.97031,5
3,53.44935,-1.97031,2
4,53.43298,-1.99302,5
5,53.43981,-1.9695,5
6,53.34877,-1.98884,5
6,53.34877,-1.98884,2
7,53.37659,-1.9726,5
8,53.37995,-1.95689,5
9,53.37867,-1.95194,5
10,53.36764,-1.98891,5
11,53.37265,-1.98562,5
12,53.41403,-2.08932,2
12,53.41403,-2.08932,5
13,53.33591,-2.22923,5
14,53.43308,-2.20925,2
14,53.43308,-2.20925,5
15,53.33952,-2.22399,5
16,53.35264,-2.21482,5
17,53.3576,-2.21913,5
18,53.34642,-2.21326,5
18,53.34642,-2.21326,2
19,53.44099,-2.01651,2
19,53.44099,-2.01651,5
20,53.31877,-2.00407,5
21,53.44449,-1.94908,5
21,53.44449,-1.94908,2
22,53.33025,-1.98464,5
22,53.33025,-1.98464,2
23,53.34421,-2.08813,5
24,53.34441,-2.09699,5
25,53.34409,-2.09999,5
26,53.43594,-2.15876,2
26,53.43594,-2.15876,5
27,53.33622,-1.96857,5
28,53.33869,-1.92363,5
29,53.4497,-1.93808,5
30,53.34599,-2.12754,5
31,53.45412,-1.98414,5
32,53.38798,-1.94915,5
33,53.35733,-2.00086,5
34,53.44452,-1.9671,5
35,53.44471,-1.98357,5
36,53.39292,-2.23123,5
36,53.39292,-2.23123,2
37,53.40071,-2.05726,5
37,53.40071,-2.05726,2
38,53.37756,-2.12202,2
38,53.37756,-2.12202,5
39,53.35026,-2.14749,5
40,53.44917,-1.95703,5
41,53.37934,-1.97456,5
42,53.45343,-1.97767,5
43,53.32242,-1.98843,5
44,53.36486,-2.00567,5
44,53.36486,-2.00567,2
45,53.41153,-1.95124,5
46,53.33804,-1.97447,5
47,53.39624,-2.07652,2
47,53.39624,-2.07652,5
48,53.35394,-2.11894,5
49,53.35162,-2.1204,5
50,53.44442,-1.92812,5
51,53.42656,-2.00883,5
52,53.33761,-2.20995,5
53,53.34773,-2.10693,5
54,53.43721,-1.95111,5
55,53.42591,-2.0155,5
56,53.32231,-1.99219,5
57,53.42245,-1.9496,5
58,53.4347,-1.95103,5
59,53.39439,-1.95102,5
60,53.43288,-1.95042,5
61,53.39884,-1.95148,5
62,53.37566,-1.97899,5
63,53.37864,-1.94847,5
64,53.42558,-2.17904,2
64,53.42558,-2.17904,5
65,53.35506,-2.21579,5
66,53.3656,-1.99241,5
67,53.31876,-1.96873,5
68,53.32122,-1.98,5
69,53.32262,-1.98257,5
70,53.32376,-1.98506,5
71,53.33758,-1.98214,5
72,53.4564,-2.06714,2
72,53.4564,-2.06714,5
73,53.33794,-2.20432,5
74,53.33583,-2.23204,5
75,53.34705,-2.08561,5
76,53.33241,-2.09699,5
77,53.36799,-1.99818,5
78,53.35387,-2.03012,5
79,53.36445,-1.99614,5
80,53.44395,-1.96754,5
81,53.33814,-2.22708,5
82,53.33805,-2.23142,5
83,53.35782,-2.05387,5
84,53.35999,-2.03358,5
85,53.35848,-2.02527,5
86,53.3379,-2.21724,5
87,53.35832,-2.0208,5
88,53.40114,-1.95002,5
89,53.35297,-2.21176,5
90,53.35317,-2.21637,5
91,53.30779,-1.97713,5
92,53.43907,-1.98835,5
93,53.35506,-2.2122,5
94,53.34241,-2.12729,5
95,53.34,-2.21085,5
96,53.3361,-2.21202,5
97,53.45288,-1.97711,5
98,53.44891,-1.94706,5
99,53.3384,-2.22322,5
100,53.33622,-2.22498,5
101,53.33311,-2.22752,5
102,53.37477,-1.94257,5
103,53.44394,-1.96168,5
104,53.44418,-2.19267,2
104,53.44418,-2.19267,5
105,53.42317,-2.11049,2
105,53.42317,-2.11049,5
106,53.38649,-2.14208,5
106,53.38649,-2.14208,2
107,53.42952,-1.99691,5
108,53.43569,-1.98973,5
109,53.44174,-1.98784,5
110,53.4519,-2.08525,5
110,53.4519,-2.08525,2
111,53.31867,-1.98655,5
112,53.43791,-1.95186,5
113,53.44674,-1.9391,5
114,53.45165,-1.981,5
115,53.44938,-1.97785,5
116,53.44468,-1.93229,5
117,53.4448,-1.93463,5
118,53.44483,-1.9395,5
119,53.34026,-2.1082,5
120,53.3908,-1.94939,5
121,53.35878,-2.0177,5
122,53.36017,-2.0565,5
123,53.35919,-2.03031,5
124,53.43361,-1.99586,5
125,53.44004,-2.0059,5
126,53.43723,-1.99952,5
127,53.37983,-1.98238,5
128,53.37438,-1.98934,5
129,53.37825,-1.96636,5
130,53.3655,-2.01354,5
131,53.43213,-2.13512,2
131,53.43213,-2.13512,5
132,53.46335,-2.08325,2
132,53.46335,-2.08325,5
133,53.33435,-2.23003,5
134,53.37705,-1.98722,5
135,53.36063,-2.16359,5
135,53.36063,-2.16359,2
136,53.42119,-2.21568,2
136,53.42119,-2.21568,5
137,53.36721,-2.01827,5
138,53.36806,-2.02671,5
139,53.45688,-2.13166,5
139,53.45688,-2.13166,2
140,53.37595,-2.1883,5
140,53.37595,-2.1883,2
141,53.4453,-2.04031,5
141,53.4453,-2.04031,2
142,53.35964,-2.00852,5
142,53.35964,-2.00852,2
142,53.35964,-2.00852,4
143,53.3402,-2.21366,5
144,53.37877,-1.96401,5
145,53.34558,-2.12407,5
146,53.34569,-2.10123,5
147,53.34487,-2.103,5
148,53.44981,-1.95243,5
149,53.45174,-1.97972,5
150,53.43917,-2.00063,5
151,53.34481,-2.1214,5
152,53.33528,-2.20313,5
153,53.33534,-2.20978,5
154,53.34228,-2.20791,5
155,53.33834,-2.22131,5
156,53.34329,-2.11603,5
157,53.36834,-2.02208,5
158,53.40556,-2.16301,4
158,53.40556,-2.16301,2
158,53.40556,-2.16301,5
159,53.3482,-2.11541,5
160,53.34786,-2.11278,5
161,53.42651,-2.00193,5
162,53.37506,-2.03391,2
162,53.37506,-2.03391,5
163,53.4515,-1.95272,5
164,53.39092,-2.15296,2
164,53.39092,-2.15296,5
165,53.35301,-1.99648,5
166,53.34351,-1.98573,5
167,53.47131,-2.14577,2
167,53.47131,-2.14577,5
168,53.34407,-2.09208,5
169,53.34695,-2.10306,5
