nodeid,lat,lon,layer
1,53.10251,-2.31808,5
2,53.09794,-2.25434,5
3,53.10529,-2.25108,5
4,53.10785,-2.25171,5
5,53.09563,-2.31252,5
6,53.09581,-2.30782,5
7,53.09577,-2.30416,5
8,53.11231,-2.28542,5
9,53.09619,-2.30397,5
10,53.0926,-2.29111,5
11,53.1646,-2.2248,5
12,53.17039,-2.20956,5
13,53.0969,-2.26988,5
14,53.09872,-2.2793,5
15,53.1028,-2.31707,5
16,53.10227,-2.25151,5
17,53.11102,-2.29082,5
18,53.09887,-2.28724,5
19,53.15217,-2.23294,5
20,53.1072,-2.30306,5
21,53.15438,-2.18533,5
22,53.15233,-2.18336,5
23,53.14851,-2.17502,5
24,53.19119,-2.19055,5
25,53.19389,-2.18819,5
26,53.17795,-2.20305,5
27,53.18985,-2.19281,5
28,53.09111,-2.28374,5
29,53.09794,-2.29532,5
30,53.09623,-2.31875,5
31,53.09853,-2.29139,5
32,53.09331,-2.25583,5
33,53.11398,-2.26479,5
34,53.09468,-2.31841,5
35,53.17439,-2.19111,5
36,53.16429,-2.23618,5
37,53.11521,-2.24025,5
38,53.11525,-2.2943,5
39,53.04169,-2.21623,5
39,53.04169,-2.21623,2
40,53.11368,-2.29332,5
41,53.16441,-2.24508,5
42,53.11619,-2.29614,5
43,53.16039,-2.19929,5
44,53.16241,-2.20542,5
45,53.008,-2.18099,2
45,53.008,-2.18099,5
46,53.16512,-2.21381,5
47,53.15491,-2.2325,5
48,53.1634,-2.23223,5
49,53.1868,-2.19639,5
50,53.10316,-2.28672,5
51,53.16911,-2.20122,5
52,53.10987,-2.28724,5
53,53.09269,-2.28553,5
54,52.98967,-2.13701,5
54,52.98967,-2.13701,2
55,53.15787,-2.19258,2
55,53.15787,-2.19258,5
56,53.17249,-2.1964,5
57,53.17489,-2.19719,5
58,53.15498,-2.19912,5
59,53.16439,-2.21941,5
60,53.1053,-2.22528,5
61,53.15721,-2.20252,5
62,53.17076,-2.19674,5
63,53.16628,-2.20409,5
64,53.1094,-2.25417,5
65,53.20424,-2.18679,5
66,53.20063,-2.18815,5
67,53.09275,-2.29861,5
67,53.09275,-2.29861,2
68,53.15273,-2.16569,5
69,53.10027,-2.312,5
70,53.11314,-2.23049,5
71,53.16371,-2.21184,5
72,53.11352,-2.28999,5
73,53.11173,-2.29141,5
74,53.1636,-2.20384,5
75,53.17563,-2.1949,5
76,53.15016,-2.18136,5
77,53.16564,-2.23652,5
78,53.0995,-2.28483,5
79,53.10474,-2.31,5
80,53.16386,-2.20653,5
81,53.10267,-2.30661,5
82,53.10029,-2.30969,5
83,53.10227,-2.31376,5
84,53.08658,-2.24482,2
84,53.08658,-2.24482,5
85,52.96817,-2.06696,2
85,52.96817,-2.06696,5
86,53.10038,-2.18073,5
87,53.00449,-2.21866,5
88,53.00453,-2.21933,5
89,53.017,-2.16776,5
90,53.0163,-2.16838,5
91,53.05646,-2.1895,5
92,53.05638,-2.18941,5
93,52.96061,-2.0381,5
94,53.01228,-2.22767,5
95,53.01237,-2.22742,5
96,53.01249,-2.22711,5
97,53.01257,-2.22687,5
98,53.08115,-2.26193,5
99,53.08045,-2.26174,5
100,53.02244,-2.21778,5
101,53.02218,-2.2181,5
102,53.11225,-2.20987,5
103,53.016,-2.21373,5
104,53.09762,-2.22276,5
105,53.01994,-2.1778,5
106,53.02059,-2.17761,5
107,52.96537,-2.18593,5
108,52.96504,-2.18461,5
109,53.08708,-2.23771,5
110,53.08723,-2.23755,5
111,52.95385,-2.16091,5
112,52.97742,-2.21863,5
113,53.09172,-2.25188,5
114,53.09151,-2.25164,5
115,52.96781,-2.10923,5
116,52.96784,-2.10925,5
117,53.10654,-2.21922,5
118,53.10602,-2.22007,5
119,52.97016,-2.1885,5
120,53.04575,-2.2115,5
121,53.04627,-2.21143,5
122,53.00513,-2.12278,5
123,53.00516,-2.12275,5
124,53.0698,-2.18171,5
125,53.07002,-2.18198,5
126,52.96832,-2.10006,5
127,52.9684,-2.09979,5
128,53.07861,-2.12005,5
129,53.0785,-2.11963,5
130,53.04185,-2.20341,5
131,53.05694,-2.13369,5
132,53.01865,-2.00884,5
133,53.01883,-2.00872,5
134,53.10144,-2.0239,5
135,53.10174,-2.02415,5
136,53.02264,-2.157,5
137,53.10614,-2.04372,5
138,53.1065,-2.04369,5
139,53.077,-2.16384,5
140,53.02485,-2.20065,5
141,53.02471,-2.20068,5
142,53.06957,-2.11825,5
143,53.07012,-2.11792,5
144,53.02937,-2.23849,5
145,53.02919,-2.16311,5
146,53.08826,-2.19685,5
147,53.08823,-2.19682,5
148,53.00003,-2.16771,5
149,52.99977,-2.16684,5
150,53.02326,-2.17849,5
151,53.02319,-2.17897,5
152,53.03357,-2.14171,5
153,53.03358,-2.14247,5
154,53.01277,-2.20911,5
155,53.11087,-2.21376,5
156,53.11084,-2.2136,5
157,53.08918,-2.18505,5
158,53.07295,-2.20378,5
159,53.07298,-2.20364,5
160,52.99172,-2.13159,5
161,52.99163,-2.13195,5
162,52.98644,-2.14052,5
163,52.98642,-2.14055,5
164,53.0027,-2.27024,5
165,53.03917,-2.30543,5
166,53.03906,-2.30443,5
167,53.11139,-2.22999,5
168,53.10667,-2.2262,5
169,53.11325,-2.24974,5
170,53.06771,-2.17715,5
171,52.97281,-2.11437,5
172,53.06425,-2.04328,5
