ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,3,2,2,3,1.038
1,3,2,2,3,1.038
1,3,2,2,3,1.038
1,3,2,2,3,1.038
2,3,2,2,3,1.828
2,3,2,2,3,1.828
2,3,2,2,3,1.828
2,3,2,2,3,1.828
3,1,2,2,3,1.038
3,1,2,2,3,1.038
3,1,2,2,3,1.038
3,1,2,2,3,1.038
3,2,2,2,3,1.828
3,2,2,2,3,1.828
3,2,2,2,3,1.828
3,2,2,2,3,1.828
3,4,2,2,3,2.935
3,4,2,2,3,2.935
3,4,2,2,3,2.935
3,4,2,2,3,2.935
4,3,2,2,3,2.935
4,3,2,2,3,2.935
4,3,2,2,3,2.935
4,3,2,2,3,2.935
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,145,5,5,1,0.448
1,145,5,5,1,0.448
1,165,5,5,1,0.416
1,165,5,5,1,0.416
1,237,5,5,1,0.275
1,237,5,5,1,0.275
1,343,5,5,1,0.387
1,343,5,5,1,0.387
1,421,5,5,1,0.303
1,421,5,5,1,0.303
1,546,5,5,1,0.428
1,546,5,5,1,0.428
1,581,5,5,2,0.544
1,581,5,5,2,0.544
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,2,5,5,1,0.0
2,36,5,5,1,0.592
2,36,5,5,1,0.592
2,57,5,5,1,0.255
2,57,5,5,1,0.255
2,127,5,5,1,0.496
2,127,5,5,1,0.496
2,128,5,5,1,0.546
2,128,5,5,1,0.546
2,528,5,5,1,0.386
2,528,5,5,1,0.386
2,555,5,5,1,0.388
2,555,5,5,1,0.388
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,24,5,5,1,0.566
3,24,5,5,1,0.566
3,79,5,5,1,1.134
3,79,5,5,1,1.134
3,209,5,5,1,0.688
3,209,5,5,1,0.688
3,331,5,5,1,0.468
3,331,5,5,1,0.468
3,493,5,5,1,0.311
3,493,5,5,1,0.311
4,61,5,5,5,1.636
4,61,5,5,5,1.636
4,349,5,5,1,0.298
4,349,5,5,1,0.298
4,351,5,5,2,0.439
4,351,5,5,2,0.439
5,205,5,5,1,0.045
5,542,5,5,1,0.234
6,33,5,5,1,0.286
7,89,5,5,1,0.413
8,106,5,5,2,0.604
8,126,5,5,1,0.557
8,159,5,5,1,0.061
8,160,5,5,1,0.097
9,152,5,5,1,0.186
10,621,5,5,1,0.209
11,37,5,5,1,0.589
12,54,5,5,1,0.274
13,305,5,5,1,0.581
14,42,5,5,1,0.262
14,66,5,5,1,0.31
15,605,5,5,1,0.234
16,44,5,5,1,0.339
17,612,5,5,1,0.104
19,68,5,5,1,0.313
20,396,5,5,1,0.39
20,397,5,5,1,0.362
21,619,5,5,1,0.195
22,63,5,5,2,0.346
23,3,5,5,1,0.556
23,3,5,5,1,0.556
24,420,5,5,1,0.167
25,262,5,5,1,0.255
26,79,5,5,2,0.723
26,181,5,5,3,0.868
26,209,5,5,1,0.419
27,198,5,5,1,0.44
28,489,5,5,1,0.321
29,201,5,5,2,0.373
29,366,5,5,1,0.244
30,560,5,5,1,0.163
31,99,5,5,1,0.518
31,273,5,5,1,0.026
32,7,5,5,1,0.181
33,284,5,5,1,0.184
34,506,5,5,1,0.136
35,46,5,5,2,0.554
35,105,5,5,1,0.249
