nodeid,lat,lon,layer
1,52.45559,-2.14182,2
1,52.45559,-2.14182,5
2,52.45993,-2.11593,2
2,52.45993,-2.11593,5
3,52.4476,-2.13385,2
3,52.4476,-2.13385,5
4,52.42241,-2.14701,2
4,52.42241,-2.14701,5
5,52.48163,-2.14039,5
6,52.47402,-2.1383,5
7,52.47408,-2.13851,5
8,52.46775,-2.15346,5
9,52.45284,-2.16428,5
10,52.45728,-2.13176,5
11,52.4576,-2.13123,5
12,52.50042,-2.15368,5
13,52.50039,-2.15452,5
14,52.49048,-2.16519,5
15,52.49091,-2.16529,5
16,52.49055,-2.13958,5
17,52.49063,-2.13968,5
18,52.50089,-2.12869,5
19,52.50078,-2.128,5
20,52.42319,-2.13313,5
21,52.45396,-2.13051,5
22,52.45402,-2.13134,5
23,52.45133,-2.13934,5
24,52.45137,-2.1395,5
25,52.46331,-2.13564,5
26,52.44746,-2.14069,5
27,52.48128,-2.12369,5
28,52.4748,-2.15662,5
29,52.47544,-2.15689,5
30,52.4767,-2.15142,5
31,52.49371,-2.15659,5
32,52.47354,-2.14105,5
33,52.47313,-2.14228,5
34,52.44906,-2.16786,5
35,52.4493,-2.16714,5
36,52.45724,-2.12349,5
37,52.45753,-2.12252,5
38,52.43791,-2.13134,5
39,52.43825,-2.13185,5
40,52.4658,-2.14219,5
41,52.4385,-2.12485,5
42,52.49179,-2.16195,5
43,52.4916,-2.16234,5
44,52.49023,-2.14457,5
45,52.49026,-2.14326,5
46,52.4444,-2.16553,5
47,52.45364,-2.11138,5
48,52.42254,-2.1371,5
49,52.50478,-2.15166,5
50,52.50464,-2.15153,5
51,52.4605,-2.14128,5
52,52.46056,-2.141,5
53,52.50046,-2.15746,5
54,52.5004,-2.15774,5
55,52.4537,-2.16947,5
56,52.47741,-2.12792,5
57,52.45783,-2.11749,5
58,52.43935,-2.14071,5
59,52.43933,-2.14052,5
60,52.43356,-2.13122,5
61,52.434,-2.13207,5
62,52.45693,-2.13148,5
63,52.45714,-2.13144,5
64,52.45128,-2.10358,5
65,52.45161,-2.102,5
66,52.49313,-2.16667,5
67,52.4937,-2.16664,5
68,52.50076,-2.13264,5
69,52.49009,-2.14878,5
70,52.4899,-2.14916,5
71,52.50388,-2.17909,5
72,52.48236,-2.17277,5
73,52.48615,-2.16058,5
74,52.49553,-2.16762,5
75,52.47136,-2.11897,5
76,52.47064,-2.12008,5
77,52.48452,-2.11444,5
78,52.45086,-2.14975,5
79,52.451,-2.14966,5
80,52.45675,-2.10957,5
81,52.50034,-2.13339,5
82,52.46286,-2.14445,5
83,52.49334,-2.15962,5
84,52.49314,-2.15975,5
85,52.48929,-2.16049,5
86,52.46916,-2.112,5
87,52.45502,-2.16862,5
88,52.45465,-2.16898,5
89,52.47561,-2.13293,5
90,52.4755,-2.13301,5
91,52.46049,-2.16361,5
92,52.46027,-2.16391,5
93,52.43881,-2.13706,5
94,52.43873,-2.13705,5
95,52.44184,-2.11121,5
96,52.44119,-2.11138,5
97,52.45374,-2.12366,5
98,52.47077,-2.14633,5
99,52.48935,-2.15386,5
100,52.48916,-2.15414,5
101,52.48554,-2.162,5
102,52.48542,-2.16214,5
103,52.47247,-2.11658,5
104,52.47262,-2.11613,5
105,52.4504,-2.16392,5
106,52.4641,-2.16009,5
107,52.4644,-2.15985,5
108,52.44273,-2.11084,5
