ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,4,2,2,3,2.84
1,4,2,2,3,2.84
1,4,2,2,3,2.84
1,4,2,2,3,2.84
1,4,2,2,3,2.84
1,4,2,2,3,2.84
1,8,2,2,2,2.543
1,8,2,2,2,2.543
1,8,2,2,2,2.543
1,8,2,2,2,2.543
2,3,2,2,11,7.011
2,3,2,2,11,7.011
2,3,2,2,11,7.011
2,3,2,2,11,7.011
2,9,2,2,6,9.073
2,9,2,2,6,9.073
2,9,2,2,6,9.073
2,9,2,2,6,9.073
3,2,2,2,10,7.011
3,2,2,2,10,7.011
3,2,2,2,10,7.011
3,2,2,2,10,7.011
3,4,2,2,10,10.135
3,4,2,2,10,10.135
3,4,2,2,10,10.135
3,4,2,2,10,10.135
3,4,2,2,10,10.135
3,4,2,2,10,10.135
3,9,2,2,15,16.076
3,9,2,2,15,16.076
3,9,2,2,15,16.076
3,9,2,2,15,16.076
3,11,2,2,7,5.625
3,11,2,2,7,5.625
3,11,2,2,7,5.625
3,11,2,2,7,5.625
4,1,2,2,3,2.84
4,1,2,2,3,2.84
4,1,2,2,3,2.84
4,1,2,2,3,2.84
4,1,2,2,3,2.84
4,1,2,2,3,2.84
4,3,2,2,11,10.135
4,3,2,2,11,10.135
4,3,2,2,11,10.135
4,3,2,2,11,10.135
4,3,2,2,11,10.135
4,3,2,2,11,10.135
4,6,2,2,3,2.708
4,6,2,2,3,2.708
4,6,2,2,3,2.708
4,6,2,2,3,2.708
4,6,2,2,3,2.708
4,6,2,2,3,2.708
4,10,2,2,6,8.044
4,10,2,2,6,8.044
4,10,2,2,6,8.044
4,10,2,2,6,8.044
4,10,2,2,6,8.044
4,10,2,2,6,8.044
5,9,2,2,5,4.303
5,9,2,2,5,4.303
5,9,2,2,5,4.303
5,9,2,2,5,4.303
5,990,2,2,3,2.527
5,990,2,2,3,2.527
6,4,2,2,3,2.708
6,4,2,2,3,2.708
6,4,2,2,3,2.708
6,4,2,2,3,2.708
6,4,2,2,3,2.708
6,4,2,2,3,2.708
6,11,2,2,4,2.628
6,11,2,2,4,2.628
6,11,2,2,4,2.628
6,11,2,2,4,2.628
7,990,2,2,4,3.73
7,990,2,2,4,3.73
8,1,2,2,3,2.543
8,1,2,2,3,2.543
8,1,2,2,3,2.543
8,1,2,2,3,2.543
8,10,2,2,3,3.35
8,10,2,2,3,3.35
8,10,2,2,3,3.35
8,10,2,2,3,3.35
9,2,2,2,6,9.073
9,2,2,2,6,9.073
9,2,2,2,6,9.073
9,2,2,2,6,9.073
9,3,2,2,15,16.076
9,3,2,2,15,16.076
9,3,2,2,15,16.076
9,3,2,2,15,16.076
9,5,2,2,4,4.303
9,5,2,2,4,4.303
9,5,2,2,4,4.303
9,5,2,2,4,4.303
9,10,2,2,28,27.73
9,10,2,2,28,27.73
9,10,2,2,28,27.73
9,10,2,2,28,27.73
10,4,2,2,6,8.044
10,4,2,2,6,8.044
10,4,2,2,6,8.044
10,4,2,2,6,8.044
10,4,2,2,6,8.044
10,4,2,2,6,8.044
10,8,2,2,1,3.35
10,8,2,2,1,3.35
10,8,2,2,1,3.35
10,8,2,2,1,3.35
10,9,2,2,30,27.73
10,9,2,2,30,27.73
10,9,2,2,30,27.73
10,9,2,2,30,27.73
11,3,2,2,7,5.625
11,3,2,2,7,5.625
11,3,2,2,7,5.625
11,3,2,2,7,5.625
11,6,2,2,4,2.628
11,6,2,2,4,2.628
11,6,2,2,4,2.628
11,6,2,2,4,2.628
990,5,2,2,3,2.527
990,5,2,2,3,2.527
990,7,2,2,4,3.73
990,7,2,2,4,3.73
4,457,4,4,20,10.752
4,457,4,4,20,10.752
4,457,4,4,20,10.752
4,1939,4,4,10,7.558
4,1939,4,4,10,7.558
4,1939,4,4,10,7.558
457,4,4,4,20,10.752
457,4,4,4,20,10.752
457,4,4,4,20,10.752
457,1939,4,4,15,11.287
457,2731,4,4,20,8.708
457,2731,4,4,20,8.708
1322,2731,4,4,15,8.125
1322,2731,4,4,15,8.125
1322,2731,4,4,15,8.125
1322,2731,4,4,15,8.125
1939,4,4,4,10,7.558
1939,4,4,4,10,7.558
1939,4,4,4,10,7.558
1939,457,4,4,15,11.287
2731,457,4,4,25,8.708
2731,457,4,4,25,8.708
2731,1322,4,4,15,8.125
2731,1322,4,4,15,8.125
2731,1322,4,4,15,8.125
2731,1322,4,4,15,8.125
