nodeid,lat,lon,layer
1,51.63789,-3.81928,2
1,51.63789,-3.81928,5
2,51.64872,-4.03597,5
2,51.64872,-4.03597,2
3,51.62514,-3.94158,2
3,51.62514,-3.94158,5
4,51.66236,-3.80725,4
4,51.66236,-3.80725,2
4,51.66236,-3.80725,5
5,51.67203,-4.0989,2
5,51.67203,-4.0989,5
6,51.66139,-3.84654,2
6,51.66139,-3.84654,5
7,51.71762,-4.04558,2
7,51.71762,-4.04558,5
8,51.61554,-3.81116,2
8,51.61554,-3.81116,5
9,51.67387,-4.16133,5
9,51.67387,-4.16133,2
10,51.59171,-3.78134,2
10,51.59171,-3.78134,5
11,51.6615,-3.88471,2
11,51.6615,-3.88471,5
12,51.61727,-3.94729,5
13,51.65872,-3.903,5
14,51.66309,-3.91499,5
15,51.66465,-3.91433,5
16,51.71226,-4.05778,5
17,51.71419,-4.0528,5
18,51.8077,-3.93109,5
19,51.80787,-3.9311,5
20,51.78577,-3.74601,5
21,51.78393,-3.748,5
22,51.79501,-3.7351,5
23,51.78619,-3.74194,5
24,51.79504,-3.7348,5
25,51.79859,-3.72887,5
26,51.65439,-3.98506,5
27,51.65079,-3.978,5
28,51.64269,-3.95273,5
29,51.64438,-3.94642,5
30,51.61593,-3.99194,5
31,51.61586,-3.99184,5
32,51.61702,-3.97973,5
33,51.61759,-3.98362,5
34,51.61769,-3.98727,5
35,51.61792,-3.98549,5
36,51.61638,-3.98915,5
37,51.61662,-3.98906,5
38,51.69761,-3.8844,5
39,51.69735,-3.88879,5
40,51.69844,-3.88639,5
41,51.69955,-3.88347,5
42,51.69125,-4.14425,5
43,51.71415,-4.05251,5
44,51.60521,-3.77538,5
45,51.60018,-3.7794,5
46,51.59268,-3.79994,5
47,51.59744,-3.8064,5
48,51.59372,-3.80243,5
49,51.6015,-3.81329,5
50,51.58302,-4.0161,5
51,51.67238,-3.93084,5
52,51.79187,-3.73787,5
53,51.79171,-3.73814,5
54,51.66255,-4.07721,5
55,51.64792,-3.95293,5
56,51.64843,-3.95312,5
57,51.64566,-3.95558,5
58,51.64472,-3.96106,5
59,51.64505,-3.96229,5
60,51.76844,-3.88043,5
61,51.77097,-3.88046,5
62,51.77113,-3.88036,5
63,51.77351,-3.8808,5
64,51.76844,-3.88056,5
65,51.68496,-3.81928,5
66,51.68161,-3.81846,5
67,51.66968,-3.87262,5
68,51.64227,-3.971,5
69,51.64121,-3.9582,5
70,51.6418,-3.95535,5
71,51.57889,-4.0713,5
72,51.59091,-4.06956,5
73,51.59091,-4.06969,5
74,51.57233,-4.01554,5
75,51.69266,-4.1551,5
76,51.68503,-4.12496,5
77,51.70338,-4.14282,5
78,51.70335,-4.14268,5
79,51.69545,-4.18953,5
80,51.68889,-4.16819,5
81,51.68684,-4.16809,5
82,51.78204,-3.79947,5
83,51.77556,-3.78009,5
84,51.78701,-3.80451,5
85,51.64681,-3.9122,5
86,51.64871,-3.90952,5
87,51.65046,-3.90779,5
88,51.64938,-3.90653,5
89,51.64928,-3.9065,5
90,51.64763,-3.90806,5
91,51.67096,-3.92404,5
92,51.67024,-3.82918,5
93,51.6609,-3.83553,5
94,51.66092,-3.85032,5
95,51.643,-3.95212,5
96,51.71095,-4.03213,5
97,51.7109,-4.03235,5
98,51.7104,-4.0296,5
99,51.71039,-4.02918,5
100,51.7085,-4.02507,5
101,51.70944,-4.02588,5
102,51.70643,-4.02374,5
103,51.70354,-4.01821,5
104,51.7043,-4.0208,5
105,51.66161,-3.88916,5
106,51.66159,-3.88851,5
107,51.72404,-4.03005,5
108,51.70099,-3.87776,5
109,51.69928,-3.88045,5
110,51.67341,-3.99309,5
111,51.71247,-4.03331,5
112,51.71298,-4.03318,5
113,51.64691,-4.0423,5
114,51.64364,-4.03434,5
115,51.63857,-4.03268,5
116,51.69171,-4.08709,5
117,51.69288,-4.08542,5
118,51.68652,-4.10267,5
119,51.68913,-4.09359,5
120,51.68302,-4.11343,5
121,51.6838,-4.12321,5
122,51.68398,-4.11981,5
123,51.69639,-4.08313,5
124,51.69901,-4.07953,5
125,51.67087,-4.15728,5
126,51.68398,-4.17541,5
127,51.68405,-4.17525,5
128,51.67474,-4.14038,5
129,51.60049,-3.82775,5
130,51.58925,-3.80996,5
131,51.58828,-3.80722,5
132,51.64881,-3.8144,5
133,51.59786,-3.82397,5
134,51.64975,-3.74308,5
135,51.64549,-3.75276,5
136,51.65156,-3.77588,5
137,51.66146,-3.90587,5
138,51.66155,-3.90671,5
139,51.65088,-3.91774,5
140,51.61838,-3.7642,5
141,51.62003,-3.9374,5
142,51.62241,-3.94237,5
143,51.69258,-4.14362,5
144,51.7948,-3.81093,5
145,51.6603,-3.85402,5
146,51.61261,-4.00377,5
147,51.61452,-4.00672,5
148,51.61192,-4.00376,5
149,51.61535,-4.00031,5
150,51.61524,-3.99859,5
151,51.61557,-3.99963,5
152,51.616,-3.99485,5
153,51.61556,-3.99642,5
154,51.70291,-3.71098,5
155,51.71227,-3.69569,5
156,51.65215,-3.77999,5
157,51.59581,-3.78613,5
158,51.71898,-3.85472,5
159,51.72139,-3.83003,5
160,51.67229,-3.81561,5
161,51.59361,-3.81133,5
162,51.68512,-4.17992,5
163,51.68503,-4.18333,5
164,51.68453,-4.17731,5
165,51.70647,-3.90577,5
166,51.69427,-4.15211,5
167,51.66287,-3.82223,5
168,51.58019,-4.06679,5
169,51.58287,-4.06225,5
170,51.77915,-3.79156,5
171,51.62311,-3.81083,5
172,51.62443,-3.81737,5
173,51.594,-3.79246,5
174,51.62746,-3.81974,5
175,51.64107,-3.91065,5
176,51.64204,-3.91008,5
177,51.64204,-3.90986,5
178,51.64278,-3.90348,5
179,51.64639,-3.90759,5
180,51.64508,-3.90733,5
181,51.64503,-3.90717,5
182,51.64361,-3.90927,5
183,51.64931,-3.81132,5
184,51.65039,-3.80967,5
185,51.64768,-3.81067,5
186,51.65097,-3.80789,5
187,51.71159,-3.85133,5
188,51.71389,-3.84763,5
189,51.64505,-3.96216,5
190,51.78024,-3.87974,5
191,51.73762,-3.86607,5
192,51.63065,-3.95164,5
193,51.63175,-3.94585,5
194,51.67187,-4.00938,5
195,51.67194,-4.00937,5
196,51.67173,-4.00679,5
197,51.67218,-4.004,5
198,51.6692,-4.01257,5
199,51.6696,-4.01463,5
200,51.67216,-4.01375,5
201,51.66827,-4.01515,5
202,51.6686,-4.01275,5
203,51.66022,-3.94157,5
204,51.59969,-3.82533,5
205,51.69803,-3.88266,5
206,51.59185,-3.77366,5
207,51.66313,-3.82645,5
208,51.58539,-4.04507,5
209,51.58002,-4.03354,5
210,51.58301,-4.01598,5
211,51.58314,-4.04191,5
212,51.57572,-4.0181,5
213,51.66302,-3.82533,5
214,51.67331,-3.7988,5
215,51.68268,-3.7816,5
216,51.68578,-3.78068,5
217,51.64399,-3.96961,5
218,51.64469,-3.97178,5
219,51.66291,-3.94722,5
220,51.65855,-3.9435,5
221,51.62781,-3.85995,5
222,51.676,-4.14737,5
223,51.6804,-4.15669,5
224,51.67615,-4.14739,5
225,51.67606,-4.14984,5
226,51.67597,-4.1454,5
227,51.67513,-4.14711,5
228,51.67599,-4.14559,5
229,51.67658,-4.14207,5
230,51.65366,-3.77715,5
231,51.66124,-3.93945,5
232,51.63174,-3.8186,5
233,51.68727,-4.09856,5
234,51.68958,-4.08861,5
235,51.64758,-3.94702,5
236,51.65131,-3.94851,5
237,51.64629,-3.95,5
238,51.64739,-3.95103,5
239,51.58959,-4.02011,5
240,51.58647,-4.01788,5
241,51.62172,-3.98792,5
242,51.80035,-3.89824,5
243,51.80769,-3.91653,5
244,51.80111,-3.90322,5
245,51.57901,-4.07133,5
246,51.61464,-4.05055,5
247,51.62,-3.9379,5
248,51.62005,-3.9492,5
249,51.62199,-3.94237,5
250,51.6221,-3.94236,5
251,51.6319,-3.98212,5
252,51.6339,-3.93225,5
253,51.63516,-3.98102,5
254,51.63315,-3.98232,5
255,51.63773,-3.98037,5
256,51.63565,-3.98091,5
257,51.63826,-3.98392,5
