ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,2,2,2,3,2.963
1,2,2,2,3,2.963
1,2,2,2,3,2.963
1,2,2,2,3,2.963
1,3,2,2,9,11.129
1,3,2,2,9,11.129
1,3,2,2,9,11.129
1,3,2,2,9,11.129
2,1,2,2,3,2.963
2,1,2,2,3,2.963
2,1,2,2,3,2.963
2,1,2,2,3,2.963
3,1,2,2,7,11.129
3,1,2,2,7,11.129
3,1,2,2,7,11.129
3,1,2,2,7,11.129
3,4,2,2,5,6.481
3,4,2,2,5,6.481
3,4,2,2,5,6.481
3,4,2,2,5,6.481
4,1,2,2,5,5.357
4,1,2,2,5,5.357
4,1,2,2,5,5.357
4,1,2,2,5,5.357
354,511,4,4,15,11.94
354,511,4,4,15,11.94
354,511,4,4,15,11.94
354,511,4,4,15,11.94
354,511,4,4,15,11.94
354,511,4,4,15,11.94
354,511,4,4,15,11.94
354,511,4,4,15,11.94
354,511,4,4,15,11.94
354,511,4,4,15,11.94
354,511,4,4,15,11.94
354,511,4,4,15,11.94
354,511,4,4,15,11.94
354,511,4,4,15,11.94
354,511,4,4,15,11.94
354,511,4,4,15,11.94
511,354,4,4,15,11.94
511,354,4,4,15,11.94
511,354,4,4,15,11.94
511,354,4,4,15,11.94
511,354,4,4,15,11.94
511,354,4,4,15,11.94
511,354,4,4,15,11.94
511,354,4,4,15,11.94
511,354,4,4,15,11.94
511,354,4,4,15,11.94
511,354,4,4,15,11.94
511,354,4,4,15,11.94
511,354,4,4,15,11.94
511,354,4,4,15,11.94
511,354,4,4,15,11.94
511,354,4,4,15,11.94
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,32,5,5,1,0.596
1,32,5,5,1,0.596
1,272,5,5,1,0.415
1,272,5,5,1,0.415
1,487,5,5,1,0.354
1,487,5,5,1,0.354
2,87,5,5,1,0.453
2,87,5,5,1,0.453
2,129,5,5,1,0.326
2,129,5,5,1,0.326
2,193,5,5,1,0.378
2,193,5,5,1,0.378
2,423,5,5,1,0.431
2,423,5,5,1,0.431
2,446,5,5,1,0.315
2,446,5,5,1,0.315
3,121,5,5,1,0.579
3,121,5,5,1,0.579
3,222,5,5,1,0.544
3,222,5,5,1,0.544
3,354,5,5,1,0.428
3,354,5,5,1,0.428
3,354,5,5,1,0.428
3,354,5,5,1,0.428
3,407,5,5,1,0.612
3,407,5,5,1,0.612
4,443,5,5,1,0.374
4,443,5,5,1,0.374
5,1,5,5,5,0.509
5,1,5,5,5,0.509
5,166,5,5,1,0.117
6,325,5,5,1,0.247
7,523,5,5,1,0.453
8,147,5,5,1,0.284
8,330,5,5,1,0.539
8,511,5,5,5,1.058
8,511,5,5,5,1.058
8,511,5,5,5,1.058
8,511,5,5,5,1.058
8,511,5,5,5,1.058
8,511,5,5,5,1.058
8,511,5,5,5,1.058
8,511,5,5,5,1.058
9,81,5,5,1,0.29
9,104,5,5,5,2.245
9,483,5,5,4,2.12
10,23,5,5,1,0.235
11,109,5,5,1,0.243
12,406,5,5,1,0.624
13,125,5,5,1,0.427
14,451,5,5,1,0.378
16,160,5,5,1,0.308
16,243,5,5,1,0.468
17,210,5,5,1,0.415
17,287,5,5,5,0.988
17,381,5,5,3,0.638
18,120,5,5,1,0.206
19,54,5,5,1,0.131
20,440,5,5,1,0.119
21,464,5,5,1,0.259
22,452,5,5,1,0.315
23,112,5,5,1,0.279
23,333,5,5,1,0.471
24,41,5,5,1,0.561
25,332,5,5,1,0.111
26,239,5,5,1,1.736
27,130,5,5,1,0.075
28,124,5,5,1,0.089
28,349,5,5,1,0.522
29,6,5,5,1,0.311
29,266,5,5,1,0.299
30,107,5,5,1,0.179
31,62,5,5,1,0.259
32,196,5,5,1,0.301
32,511,5,5,1,0.049
32,511,5,5,1,0.049
32,511,5,5,1,0.049
32,511,5,5,1,0.049
32,511,5,5,1,0.049
32,511,5,5,1,0.049
32,511,5,5,1,0.049
32,511,5,5,1,0.049
33,81,5,5,1,0.213
33,296,5,5,1,0.247
34,227,5,5,1,0.263
35,242,5,5,1,0.414
35,508,5,5,3,0.637
36,30,5,5,2,0.352
36,86,5,5,2,0.775
37,436,5,5,1,0.38
38,25,5,5,1,0.125
39,247,5,5,2,1.03
39,291,5,5,1,0.336
40,110,5,5,1,0.26
41,469,5,5,1,0.899
42,450,5,5,1,0.444
