nodeid,lat,lon,layer
1,52.63713,-1.68728,2
1,52.63713,-1.68728,5
2,52.61086,-1.6795,2
2,52.61086,-1.6795,5
3,52.57898,-1.55281,2
3,52.57898,-1.55281,5
4,52.62593,-1.60995,5
4,52.62593,-1.60995,2
5,52.63363,-1.69216,5
6,52.64753,-1.70235,5
7,52.64692,-1.70111,5
8,52.62625,-1.70162,5
9,52.62619,-1.70237,5
10,52.62846,-1.66613,5
11,52.62813,-1.66634,5
12,52.61299,-1.68721,5
13,52.61348,-1.68934,5
14,52.59602,-1.68573,5
15,52.59597,-1.6856,5
16,52.58348,-1.59929,5
17,52.58326,-1.5993,5
18,52.64484,-1.71272,5
19,52.6463,-1.703,5
20,52.64625,-1.70317,5
21,52.60535,-1.65021,5
22,52.60522,-1.65064,5
23,52.6265,-1.66479,5
24,52.65901,-1.77757,5
25,52.64588,-1.69729,5
26,52.58397,-1.54556,5
27,52.67134,-1.76407,5
28,52.56944,-1.52904,5
29,52.64563,-1.69894,5
30,52.61971,-1.68058,5
31,52.63087,-1.67214,5
32,52.63551,-1.69572,5
33,52.62758,-1.70938,5
34,52.61557,-1.61701,5
35,52.61553,-1.61681,5
36,52.61659,-1.67965,5
37,52.57565,-1.54777,5
38,52.64633,-1.69558,5
39,52.61914,-1.6332,5
40,52.60525,-1.66244,5
41,52.65494,-1.77262,5
42,52.6105,-1.6158,5
43,52.61593,-1.65518,5
44,52.64895,-1.70893,5
45,52.62192,-1.65052,5
46,52.62228,-1.65182,5
47,52.60098,-1.66785,5
48,52.59642,-1.61009,5
49,52.63313,-1.67592,5
50,52.62486,-1.66969,5
51,52.59179,-1.59542,5
52,52.60103,-1.61535,5
53,52.64535,-1.70294,5
54,52.64515,-1.70255,5
55,52.63302,-1.6761,5
56,52.63688,-1.69479,5
57,52.60195,-1.6659,5
58,52.60187,-1.66611,5
59,52.64849,-1.6996,5
60,52.5823,-1.53936,5
61,52.5824,-1.53917,5
62,52.6332,-1.67189,5
63,52.63231,-1.67204,5
64,52.64252,-1.74994,5
65,52.64258,-1.75044,5
66,52.6253,-1.66875,5
67,52.61585,-1.64479,5
68,52.64446,-1.72687,5
69,52.63898,-1.69528,5
70,52.63867,-1.69546,5
71,52.63083,-1.66834,5
72,52.62279,-1.66111,5
73,52.62232,-1.66018,5
74,52.64417,-1.68989,5
75,52.64432,-1.68994,5
76,52.58709,-1.6019,5
77,52.59925,-1.66008,5
78,52.64882,-1.69809,5
79,52.63263,-1.65283,5
80,52.63282,-1.65275,5
81,52.62664,-1.70662,5
82,52.645,-1.7568,5
83,52.6445,-1.75519,5
84,52.62584,-1.66656,5
85,52.62606,-1.66669,5
86,52.61105,-1.67264,5
87,52.61108,-1.67279,5
88,52.61499,-1.6422,5
89,52.61471,-1.64185,5
90,52.57226,-1.52907,5
91,52.60524,-1.66191,5
92,52.62715,-1.66893,5
93,52.64162,-1.69352,5
94,52.64208,-1.69278,5
95,52.61522,-1.69903,5
