ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,13,2,2,4,3.645
1,13,2,2,4,3.645
1,13,2,2,4,3.645
1,13,2,2,4,3.645
2,11,2,2,5,2.981
2,11,2,2,5,2.981
2,11,2,2,5,2.981
2,11,2,2,5,2.981
2,12,2,2,2,1.424
2,12,2,2,2,1.424
2,12,2,2,2,1.424
2,12,2,2,2,1.424
3,9,2,2,3,1.42
3,9,2,2,3,1.42
3,9,2,2,3,1.42
3,9,2,2,3,1.42
3,10,2,2,3,1.726
3,10,2,2,3,1.726
3,10,2,2,3,1.726
3,10,2,2,3,1.726
4,5,2,2,4,2.174
4,5,2,2,4,2.174
4,5,2,2,4,2.174
4,5,2,2,4,2.174
4,11,2,2,3,1.826
4,11,2,2,3,1.826
4,11,2,2,3,1.826
4,11,2,2,3,1.826
5,4,2,2,3,2.174
5,4,2,2,3,2.174
5,4,2,2,3,2.174
5,4,2,2,3,2.174
5,8,2,2,2,0.809
5,8,2,2,2,0.809
5,8,2,2,2,0.809
5,8,2,2,2,0.809
6,8,2,2,3,1.613
6,8,2,2,3,1.613
6,8,2,2,3,1.613
6,8,2,2,3,1.613
6,9,2,2,3,1.403
6,9,2,2,3,1.403
6,9,2,2,3,1.403
6,9,2,2,3,1.403
7,14,2,2,2,1.295
7,14,2,2,2,1.295
7,14,2,2,2,1.295
7,14,2,2,2,1.295
8,5,2,2,2,0.809
8,5,2,2,2,0.809
8,5,2,2,2,0.809
8,5,2,2,2,0.809
8,6,2,2,2,1.613
8,6,2,2,2,1.613
8,6,2,2,2,1.613
8,6,2,2,2,1.613
9,3,2,2,2,1.42
9,3,2,2,2,1.42
9,3,2,2,2,1.42
9,3,2,2,2,1.42
9,6,2,2,2,1.403
9,6,2,2,2,1.403
9,6,2,2,2,1.403
9,6,2,2,2,1.403
10,3,2,2,2,1.726
10,3,2,2,2,1.726
10,3,2,2,2,1.726
10,3,2,2,2,1.726
10,14,2,2,3,1.369
10,14,2,2,3,1.369
10,14,2,2,3,1.369
10,14,2,2,3,1.369
11,2,2,2,5,2.981
11,2,2,2,5,2.981
11,2,2,2,5,2.981
11,2,2,2,5,2.981
11,4,2,2,3,1.826
11,4,2,2,3,1.826
11,4,2,2,3,1.826
11,4,2,2,3,1.826
12,2,2,2,3,1.424
12,2,2,2,3,1.424
12,2,2,2,3,1.424
12,2,2,2,3,1.424
12,804,2,2,4,3.522
12,804,2,2,4,3.522
13,1,2,2,4,3.645
13,1,2,2,4,3.645
13,1,2,2,4,3.645
13,1,2,2,4,3.645
14,7,2,2,6,1.295
14,7,2,2,6,1.295
14,7,2,2,6,1.295
14,7,2,2,6,1.295
14,10,2,2,2,1.369
14,10,2,2,2,1.369
14,10,2,2,2,1.369
14,10,2,2,2,1.369
804,12,2,2,4,3.522
804,12,2,2,4,3.522
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
