nodeid,lat,lon,layer
1,51.53759,-3.4408,5
1,51.53759,-3.4408,2
2,51.59937,-3.34139,5
2,51.59937,-3.34139,2
3,51.6478,-3.4862,5
3,51.6478,-3.4862,2
4,51.61253,-3.4072,5
4,51.61253,-3.4072,2
5,51.61783,-3.43756,2
5,51.61783,-3.43756,5
6,51.634,-3.45353,2
6,51.634,-3.45353,5
7,51.67224,-3.53632,2
7,51.67224,-3.53632,5
8,51.61976,-3.44889,5
8,51.61976,-3.44889,2
9,51.64364,-3.4667,5
9,51.64364,-3.4667,2
10,51.65753,-3.50575,5
10,51.65753,-3.50575,2
11,51.61015,-3.38099,2
11,51.61015,-3.38099,5
12,51.59146,-3.32513,2
12,51.59146,-3.32513,5
13,51.52377,-3.39293,2
13,51.52377,-3.39293,5
14,51.66497,-3.52161,5
14,51.66497,-3.52161,2
15,51.62047,-3.33126,5
16,51.62049,-3.33366,5
17,51.62148,-3.33587,5
18,51.62244,-3.33888,5
19,51.62341,-3.33893,5
20,51.62351,-3.33538,5
21,51.62337,-3.33405,5
22,51.62341,-3.33382,5
23,51.62286,-3.33042,5
24,51.62289,-3.33025,5
25,51.56356,-3.27965,5
26,51.56199,-3.27714,5
27,51.56198,-3.27662,5
28,51.60515,-3.41067,5
29,51.6051,-3.41071,5
30,51.60858,-3.4047,5
31,51.66259,-3.44782,5
32,51.66255,-3.44792,5
33,51.65855,-3.44558,5
34,51.65621,-3.44276,5
35,51.65607,-3.44196,5
36,51.65376,-3.43449,5
37,51.6532,-3.43344,5
38,51.66953,-3.45282,5
39,51.66775,-3.44719,5
40,51.61329,-3.39102,5
41,51.58022,-3.29439,5
42,51.55501,-3.33228,5
43,51.66429,-3.44694,5
44,51.64438,-3.43283,5
45,51.60855,-3.34835,5
46,51.60977,-3.34698,5
47,51.59803,-3.33204,5
48,51.60403,-3.33688,5
49,51.59787,-3.3319,5
50,51.55804,-3.35913,5
51,51.60127,-3.42441,5
52,51.57609,-3.35829,5
53,51.64318,-3.45936,5
54,51.64185,-3.45579,5
55,51.62597,-3.48335,5
56,51.63953,-3.45126,5
57,51.63885,-3.45074,5
58,51.63742,-3.44917,5
59,51.67543,-3.54139,5
60,51.6316,-3.41324,5
61,51.63177,-3.41329,5
62,51.63417,-3.41786,5
63,51.63403,-3.41807,5
64,51.63416,-3.42021,5
65,51.63395,-3.42083,5
66,51.67684,-3.5641,5
67,51.53719,-3.46568,5
68,51.62667,-3.33682,5
69,51.62727,-3.33221,5
70,51.62187,-3.33279,5
71,51.62416,-3.33237,5
72,51.6243,-3.33399,5
73,51.62516,-3.33664,5
74,51.62872,-3.40848,5
75,51.56493,-3.31836,5
76,51.56463,-3.31874,5
77,51.57433,-3.29062,5
78,51.5743,-3.29102,5
79,51.5751,-3.29379,5
80,51.56695,-3.31513,5
81,51.56601,-3.28255,5
82,51.5675,-3.28467,5
83,51.56971,-3.28687,5
84,51.53319,-3.47389,5
85,51.61647,-3.41201,5
86,51.63849,-3.43343,5
87,51.64552,-3.43183,5
88,51.62343,-3.45195,5
89,51.62679,-3.45284,5
90,51.52449,-3.36949,5
91,51.61582,-3.33039,5
92,51.61581,-3.33027,5
93,51.61103,-3.33379,5
94,51.61005,-3.33571,5
95,51.51481,-3.31681,5
96,51.5184,-3.33233,5
97,51.51632,-3.32625,5
98,51.51857,-3.33408,5
99,51.64457,-3.47806,5
100,51.61507,-3.41099,5
101,51.6752,-3.48522,5
102,51.6021,-3.34339,5
103,51.62515,-3.45164,5
104,51.57867,-3.29903,5
105,51.60571,-3.43905,5
106,51.60595,-3.43868,5
107,51.60695,-3.44165,5
108,51.60696,-3.44153,5
109,51.61404,-3.44646,5
110,51.61546,-3.446,5
111,51.6252,-3.45815,5
112,51.62827,-3.45622,5
113,51.62558,-3.45816,5
114,51.62349,-3.45623,5
115,51.62334,-3.45582,5
116,51.57082,-3.31299,5
117,51.60794,-3.40465,5
118,51.60731,-3.40509,5
119,51.5822,-3.44573,5
