ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
7,8,1,1,5,0.424
7,8,1,1,5,0.424
7,8,1,1,5,0.424
7,8,1,1,5,0.424
8,7,1,1,5,0.424
8,7,1,1,5,0.424
8,7,1,1,5,0.424
8,7,1,1,5,0.424
1,5,2,2,4,4.209
1,5,2,2,4,4.209
1,5,2,2,4,4.209
1,5,2,2,4,4.209
1,5,2,2,4,4.209
1,5,2,2,4,4.209
1,5,2,2,4,4.209
1,5,2,2,4,4.209
1,5,2,2,4,4.209
1,9,2,2,6,7.654
1,9,2,2,6,7.654
1,9,2,2,6,7.654
1,9,2,2,6,7.654
1,9,2,2,6,7.654
1,9,2,2,6,7.654
1,9,2,2,6,7.654
1,9,2,2,6,7.654
1,9,2,2,6,7.654
3,4,2,2,2,1.356
3,4,2,2,2,1.356
3,4,2,2,2,1.356
3,4,2,2,2,1.356
3,9,2,2,10,8.564
3,9,2,2,10,8.564
3,9,2,2,10,8.564
3,9,2,2,10,8.564
3,9,2,2,10,8.564
3,9,2,2,10,8.564
3,10,2,2,5,3.307
3,10,2,2,5,3.307
3,10,2,2,5,3.307
3,10,2,2,5,3.307
3,10,2,2,5,3.307
3,10,2,2,5,3.307
3,10,2,2,5,3.307
3,10,2,2,5,3.307
4,3,2,2,2,1.356
4,3,2,2,2,1.356
4,3,2,2,2,1.356
4,3,2,2,2,1.356
4,9,2,2,7,7.286
4,9,2,2,7,7.286
4,9,2,2,7,7.286
4,9,2,2,7,7.286
4,9,2,2,7,7.286
4,9,2,2,7,7.286
5,1,2,2,3,4.209
5,1,2,2,3,4.209
5,1,2,2,3,4.209
5,1,2,2,3,4.209
5,1,2,2,3,4.209
5,1,2,2,3,4.209
5,1,2,2,3,4.209
5,1,2,2,3,4.209
5,1,2,2,3,4.209
5,11,2,2,4,2.48
5,11,2,2,4,2.48
5,11,2,2,4,2.48
5,11,2,2,4,2.48
5,11,2,2,4,2.48
5,11,2,2,4,2.48
9,1,2,2,6,7.654
9,1,2,2,6,7.654
9,1,2,2,6,7.654
9,1,2,2,6,7.654
9,1,2,2,6,7.654
9,1,2,2,6,7.654
9,1,2,2,6,7.654
9,1,2,2,6,7.654
9,1,2,2,6,7.654
9,3,2,2,9,8.564
9,3,2,2,9,8.564
9,3,2,2,9,8.564
9,3,2,2,9,8.564
9,3,2,2,9,8.564
9,3,2,2,9,8.564
9,4,2,2,7,7.286
9,4,2,2,7,7.286
9,4,2,2,7,7.286
9,4,2,2,7,7.286
9,4,2,2,7,7.286
9,4,2,2,7,7.286
9,5,2,2,9,11.065
9,5,2,2,9,11.065
9,5,2,2,9,11.065
9,5,2,2,9,11.065
9,5,2,2,9,11.065
9,5,2,2,9,11.065
9,5,2,2,9,11.065
9,5,2,2,9,11.065
9,5,2,2,9,11.065
10,3,2,2,4,3.307
10,3,2,2,4,3.307
10,3,2,2,4,3.307
10,3,2,2,4,3.307
10,3,2,2,4,3.307
10,3,2,2,4,3.307
10,3,2,2,4,3.307
10,3,2,2,4,3.307
11,5,2,2,3,2.48
11,5,2,2,3,2.48
11,5,2,2,3,2.48
11,5,2,2,3,2.48
11,5,2,2,3,2.48
11,5,2,2,3,2.48
2,6,3,3,10,3.277
2,6,3,3,10,3.277
2,6,3,3,10,3.277
2,6,3,3,10,3.277
2,10,3,3,5,1.054
2,10,3,3,5,1.054
2,10,3,3,5,1.054
2,10,3,3,5,1.054
2,10,3,3,5,1.054
2,10,3,3,5,1.054
2,10,3,3,5,1.054
2,10,3,3,5,1.054
6,2,3,3,10,3.277
6,2,3,3,10,3.277
6,2,3,3,10,3.277
6,2,3,3,10,3.277
6,8,3,3,15,5.395
6,8,3,3,15,5.395
6,8,3,3,15,5.395
6,8,3,3,15,5.395
8,6,3,3,15,5.395
8,6,3,3,15,5.395
8,6,3,3,15,5.395
8,6,3,3,15,5.395
10,2,3,3,5,1.054
10,2,3,3,5,1.054
10,2,3,3,5,1.054
10,2,3,3,5,1.054
10,2,3,3,5,1.054
10,2,3,3,5,1.054
10,2,3,3,5,1.054
10,2,3,3,5,1.054
1,5,4,4,5,4.209
1,5,4,4,5,4.209
1,5,4,4,5,4.209
1,5,4,4,5,4.209
1,5,4,4,5,4.209
1,5,4,4,5,4.209
1,5,4,4,5,4.209
1,5,4,4,5,4.209
1,5,4,4,5,4.209
1,742,4,4,25,8.565
1,742,4,4,25,8.565
1,742,4,4,25,8.565
1,742,4,4,25,8.565
1,742,4,4,25,8.565
1,742,4,4,25,8.565
1,742,4,4,25,8.565
1,742,4,4,25,8.565
