nodeid,lat,lon,layer
1,50.54805,-3.49469,4
1,50.54805,-3.49469,2
1,50.54805,-3.49469,5
2,50.42538,-3.56206,5
2,50.42538,-3.56206,3
3,50.46112,-3.5433,2
3,50.46112,-3.5433,5
4,50.47317,-3.54644,5
4,50.47317,-3.54644,2
5,50.58081,-3.46465,4
5,50.58081,-3.46465,2
5,50.58081,-3.46465,5
6,50.39604,-3.55695,5
6,50.39604,-3.55695,3
7,50.35145,-3.57734,5
7,50.35145,-3.57734,1
8,50.34859,-3.57337,3
8,50.34859,-3.57337,1
9,50.52957,-3.59919,4
9,50.52957,-3.59919,2
9,50.52957,-3.59919,5
10,50.4347,-3.5649,4
10,50.4347,-3.5649,2
10,50.4347,-3.5649,3
10,50.4347,-3.5649,5
11,50.5987,-3.44358,5
11,50.5987,-3.44358,2
12,50.54534,-3.59051,5
13,50.46286,-3.54911,5
14,50.46281,-3.54572,5
15,50.46313,-3.54538,5
16,50.46385,-3.55425,5
17,50.46323,-3.55016,5
18,50.46367,-3.5525,5
19,50.46569,-3.5541,5
20,50.43155,-3.56573,5
21,50.43253,-3.56635,5
22,50.42966,-3.56554,5
23,50.42946,-3.56573,5
24,50.4383,-3.56767,5
25,50.59807,-3.46277,5
26,50.46677,-3.54067,5
27,50.47836,-3.56381,5
28,50.45817,-3.52424,5
29,50.46117,-3.52428,5
30,50.54266,-3.59598,5
31,50.38096,-3.52981,5
32,50.37911,-3.53258,5
33,50.38201,-3.52759,5
34,50.38063,-3.53045,5
35,50.37395,-3.5441,5
36,50.37943,-3.53243,5
37,50.47315,-3.51801,5
38,50.47188,-3.51586,5
39,50.47232,-3.52773,5
40,50.47187,-3.52743,5
41,50.55883,-3.59456,5
42,50.3567,-3.56322,5
43,50.35904,-3.56137,5
44,50.35107,-3.56717,5
45,50.35279,-3.56135,5
46,50.35369,-3.56394,5
47,50.35675,-3.56339,5
48,50.53998,-3.51066,5
49,50.54093,-3.50931,5
50,50.54079,-3.5096,5
51,50.3498,-3.57012,5
52,50.53386,-3.63539,5
53,50.53398,-3.63591,5
54,50.53162,-3.63033,5
55,50.53125,-3.63017,5
56,50.53249,-3.63242,5
57,50.53281,-3.63262,5
58,50.52974,-3.62571,5
59,50.52949,-3.62628,5
60,50.53036,-3.6286,5
61,50.53052,-3.62872,5
62,50.45218,-3.56465,5
63,50.44472,-3.57322,5
64,50.45003,-3.57551,5
65,50.44638,-3.57401,5
66,50.45061,-3.57885,5
67,50.45005,-3.57607,5
68,50.43827,-3.55994,5
69,50.44277,-3.55945,5
70,50.44203,-3.55833,5
71,50.49521,-3.629,5
72,50.51739,-3.58953,5
73,50.50804,-3.58065,5
74,50.50459,-3.58016,5
75,50.49971,-3.57865,5
76,50.4739,-3.55689,5
77,50.47447,-3.5596,5
78,50.47459,-3.56072,5
79,50.47528,-3.56206,5
80,50.47591,-3.56165,5
81,50.47928,-3.56767,5
82,50.4732,-3.55621,5
83,50.56031,-3.51435,5
84,50.46168,-3.51198,5
