ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
7,682,2,2,4,4.922
7,682,2,2,4,4.922
7,682,2,2,4,4.922
7,682,2,2,4,4.922
7,1371,2,2,16,13.357
7,1371,2,2,16,13.357
7,1371,2,2,16,13.357
7,1371,2,2,16,13.357
7,1371,2,2,16,13.357
7,1371,2,2,16,13.357
137,446,2,2,4,7.824
137,446,2,2,4,7.824
137,446,2,2,4,7.824
137,446,2,2,4,7.824
137,1283,2,2,4,2.584
137,1283,2,2,4,2.584
137,1283,2,2,4,2.584
137,1283,2,2,4,2.584
185,591,2,2,3,2.759
185,591,2,2,3,2.759
185,591,2,2,3,2.759
185,591,2,2,3,2.759
185,682,2,2,10,5.822
185,682,2,2,10,5.822
185,682,2,2,10,5.822
185,682,2,2,10,5.822
250,548,2,2,6,3.737
250,548,2,2,6,3.737
250,548,2,2,6,3.737
250,548,2,2,6,3.737
250,548,2,2,6,3.737
250,548,2,2,6,3.737
446,137,2,2,5,7.824
446,137,2,2,5,7.824
446,137,2,2,5,7.824
446,137,2,2,5,7.824
446,1109,2,2,5,6.179
446,1109,2,2,5,6.179
446,1109,2,2,5,6.179
446,1109,2,2,5,6.179
548,250,2,2,6,3.737
548,250,2,2,6,3.737
548,250,2,2,6,3.737
548,250,2,2,6,3.737
548,250,2,2,6,3.737
548,250,2,2,6,3.737
548,682,2,2,15,13.791
548,682,2,2,15,13.791
548,682,2,2,15,13.791
548,682,2,2,15,13.791
548,682,2,2,15,13.791
548,682,2,2,15,13.791
548,1284,2,2,5,5.194
548,1284,2,2,5,5.194
548,1284,2,2,5,5.194
548,1284,2,2,5,5.194
548,1284,2,2,5,5.194
548,1284,2,2,5,5.194
555,1371,2,2,12,8.134
555,1371,2,2,12,8.134
555,1371,2,2,12,8.134
555,1371,2,2,12,8.134
555,1371,2,2,12,8.134
555,1371,2,2,12,8.134
591,185,2,2,4,2.759
591,185,2,2,4,2.759
591,185,2,2,4,2.759
591,185,2,2,4,2.759
682,7,2,2,4,4.922
682,7,2,2,4,4.922
682,7,2,2,4,4.922
682,7,2,2,4,4.922
682,185,2,2,7,5.822
