nodeid,lat,lon,layer
1,53.70265,-1.47738,5
2,53.56031,-1.47252,5
3,53.56352,-1.47093,5
4,53.56531,-1.47171,5
5,53.5832,-1.50837,5
6,53.56778,-1.47234,5
7,53.70053,-1.42341,2
7,53.70053,-1.42341,5
8,53.68699,-1.35444,5
9,53.73786,-1.491,5
10,53.69009,-1.58425,5
11,53.69278,-1.58613,5
12,53.61379,-1.47724,5
13,53.75104,-1.53772,5
14,53.75123,-1.53242,5
15,53.63332,-1.50315,5
16,53.69076,-1.58915,5
17,53.54171,-1.47997,5
18,53.54192,-1.47826,5
19,53.5417,-1.47571,5
20,53.71794,-1.51682,5
21,53.56371,-1.45291,5
22,53.53958,-1.52056,5
23,53.53709,-1.5198,5
24,53.79762,-1.49913,5
25,53.57501,-1.41349,5
26,53.58211,-1.41342,5
27,53.56952,-1.40863,5
28,53.56753,-1.40591,5
29,53.75237,-1.48241,5
30,53.75514,-1.48556,5
31,53.80534,-1.51612,5
32,53.56303,-1.4916,5
33,53.56439,-1.4984,5
34,53.73227,-1.5277,5
35,53.7286,-1.53169,5
36,53.66578,-1.32514,5
37,53.67072,-1.32337,5
38,53.59684,-1.38547,5
39,53.5955,-1.38345,5
40,53.59834,-1.41455,5
41,53.67276,-1.52038,5
42,53.69021,-1.47445,5
43,53.69923,-1.4056,5
44,53.7001,-1.40763,5
45,53.69631,-1.40814,5
46,53.69753,-1.40536,5
47,53.68792,-1.42478,5
48,53.75519,-1.46713,5
49,53.71746,-1.53683,5
50,53.67721,-1.57396,5
51,53.67487,-1.46348,5
52,53.63449,-1.5034,5
53,53.69584,-1.54468,5
54,53.6904,-1.53313,5
55,53.69205,-1.53639,5
56,53.69442,-1.54023,5
57,53.57861,-1.45925,5
58,53.80031,-1.48339,5
59,53.75235,-1.52191,5
60,53.75056,-1.52474,5
61,53.75259,-1.48607,5
62,53.80247,-1.53715,5
63,53.74792,-1.52489,5
64,53.74958,-1.52596,5
65,53.75065,-1.52585,5
66,53.64147,-1.33671,5
67,53.62942,-1.41635,5
68,53.68911,-1.53038,5
69,53.688,-1.52817,5
70,53.65869,-1.41349,5
71,53.80119,-1.52153,5
72,53.81114,-1.51043,5
73,53.8125,-1.50682,5
74,53.8127,-1.50294,5
75,53.80936,-1.50959,5
76,53.81275,-1.49854,5
77,53.55961,-1.48677,5
78,53.56362,-1.49389,5
79,53.65892,-1.56831,5
80,53.56563,-1.50249,5
81,53.66215,-1.54775,5
82,53.65983,-1.55192,5
83,53.71715,-1.45835,5
84,53.80007,-1.50868,5
85,53.85164,-1.52058,5
86,53.85287,-1.51422,5
87,53.82474,-1.53268,5
88,53.8265,-1.53549,5
89,53.83158,-1.53858,5
90,53.83388,-1.53884,5
91,53.80159,-1.53327,5
92,53.8289,-1.53827,5
93,53.83608,-1.52622,5
94,53.83187,-1.52277,5
95,53.84035,-1.52736,5
96,53.72937,-1.4139,5
97,53.72771,-1.42495,5
98,53.75673,-1.451,5
99,53.78882,-1.53619,5
100,53.78657,-1.53348,5
101,53.7827,-1.52916,5
102,53.78001,-1.52483,5
103,53.71746,-1.46086,5
104,53.71657,-1.46663,5
105,53.71783,-1.46493,5
106,53.71789,-1.45354,5
107,53.79428,-1.49094,5
108,53.60048,-1.55175,5
109,53.80493,-1.52177,5
110,53.8065,-1.51961,5
111,53.79414,-1.498,5
112,53.7992,-1.54261,5
113,53.56701,-1.43202,5
114,53.55424,-1.45465,5
115,53.68751,-1.5804,5
116,53.8147,-1.51938,5
117,53.81917,-1.51433,5
118,53.81777,-1.51494,5
119,53.73274,-1.48841,5
120,53.68732,-1.58452,5
121,53.68786,-1.39326,5
122,53.6869,-1.39102,5
123,53.68663,-1.38836,5
124,53.6841,-1.38246,5
125,53.68269,-1.37962,5
126,53.69013,-1.37656,5
127,53.69109,-1.3773,5
128,53.69251,-1.37549,5
129,53.68622,-1.53363,5
130,53.59574,-1.44538,5
131,53.55004,-1.51135,5
132,53.59294,-1.45199,5
133,53.5954,-1.45031,5
134,53.7244,-1.56312,5
135,53.70796,-1.49856,5
136,53.70643,-1.49765,5
137,53.66309,-1.48141,2
137,53.66309,-1.48141,5
138,53.62063,-1.5182,5
139,53.65683,-1.4768,5
140,53.65736,-1.47914,5
141,53.65452,-1.46888,5
142,53.68372,-1.47353,5
143,53.80296,-1.52823,5
144,53.78113,-1.55951,5
145,53.83693,-1.47246,5
146,53.7866,-1.4667,5
147,53.82877,-1.51571,5
148,53.83113,-1.51666,5
149,53.83073,-1.47409,5
150,53.58443,-1.5175,5
151,53.56814,-1.54592,5
152,53.56816,-1.53417,5
153,53.8281,-1.51104,5
154,53.611,-1.50614,5
155,53.77449,-1.51326,5
156,53.64877,-1.49629,5
157,53.65736,-1.48405,5
158,53.72481,-1.5606,5
159,53.83734,-1.54793,5
160,53.83534,-1.5499,5
161,53.7393,-1.5469,5
162,53.66713,-1.48749,5
163,53.68503,-1.57637,5
164,53.76288,-1.52707,5
165,53.74871,-1.53703,5
166,53.74933,-1.53335,5
167,53.7484,-1.54158,5
168,53.68833,-1.47173,5
169,53.77025,-1.52362,5
170,53.68603,-1.58873,5
171,53.75087,-1.54688,5
172,53.75137,-1.5429,5
173,53.84739,-1.54372,5
174,53.84303,-1.55572,5
175,53.84859,-1.53439,4
175,53.84859,-1.53439,5
176,53.6566,-1.42877,5
177,53.65732,-1.42554,5
178,53.64905,-1.3806,5
179,53.82227,-1.47561,5
180,53.58041,-1.4601,5
181,53.70393,-1.50415,5
182,53.58021,-1.46599,5
183,53.69932,-1.50526,5
184,53.58068,-1.47118,5
185,53.67617,-1.40012,2
185,53.67617,-1.40012,5
186,53.75513,-1.47781,5
187,53.73236,-1.49907,5
188,53.67554,-1.39017,5
189,53.851,-1.52277,5
190,53.74084,-1.48846,5
191,53.73076,-1.48787,5
192,53.59075,-1.50071,5
