ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,2,2,2,2,0.704
1,2,2,2,2,0.704
1,2,2,2,2,0.704
1,2,2,2,2,0.704
2,1,2,2,2,0.704
2,1,2,2,2,0.704
2,1,2,2,2,0.704
2,1,2,2,2,0.704
2,8,2,2,2,1.248
2,8,2,2,2,1.248
2,8,2,2,2,1.248
2,8,2,2,2,1.248
3,10,2,2,4,1.777
3,10,2,2,4,1.777
3,10,2,2,4,1.777
3,10,2,2,4,1.777
4,9,2,2,2,0.925
4,9,2,2,2,0.925
4,9,2,2,2,0.925
4,9,2,2,2,0.925
7,10,2,2,1,0.568
7,10,2,2,1,0.568
7,10,2,2,1,0.568
7,10,2,2,1,0.568
8,2,2,2,1,1.248
8,2,2,2,1,1.248
8,2,2,2,1,1.248
8,2,2,2,1,1.248
8,9,2,2,3,2.832
8,9,2,2,3,2.832
8,9,2,2,3,2.832
8,9,2,2,3,2.832
9,4,2,2,2,0.925
9,4,2,2,2,0.925
9,4,2,2,2,0.925
9,4,2,2,2,0.925
9,8,2,2,4,2.832
9,8,2,2,4,2.832
9,8,2,2,4,2.832
9,8,2,2,4,2.832
10,3,2,2,5,1.777
10,3,2,2,5,1.777
10,3,2,2,5,1.777
10,3,2,2,5,1.777
10,7,2,2,2,0.568
10,7,2,2,2,0.568
10,7,2,2,2,0.568
10,7,2,2,2,0.568
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,223,5,5,1,0.278
1,223,5,5,1,0.278
1,253,5,5,1,0.426
1,253,5,5,1,0.426
2,311,5,5,1,0.445
2,311,5,5,1,0.445
2,395,5,5,1,0.307
2,395,5,5,1,0.307
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,153,5,5,1,0.475
3,153,5,5,1,0.475
3,201,5,5,1,0.278
3,201,5,5,1,0.278
3,208,5,5,1,0.496
3,208,5,5,1,0.496
3,257,5,5,1,0.437
3,257,5,5,1,0.437
3,386,5,5,1,0.332
3,386,5,5,1,0.332
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,183,5,5,1,0.414
4,183,5,5,1,0.414
4,300,5,5,1,0.386
4,300,5,5,1,0.386
5,5,5,5,1,0.0
5,105,5,5,1,0.482
5,210,5,5,1,0.328
6,137,5,5,1,0.336
6,137,5,5,1,0.336
6,200,5,5,1,0.396
6,200,5,5,1,0.396
6,399,5,5,1,0.358
6,399,5,5,1,0.358
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,38,5,5,1,0.336
7,38,5,5,1,0.336
7,121,5,5,1,0.364
7,121,5,5,1,0.364
7,350,5,5,1,0.825
7,350,5,5,1,0.825
8,47,5,5,1,0.467
8,47,5,5,1,0.467
8,90,5,5,1,0.407
8,90,5,5,1,0.407
9,9,5,5,1,0.0
9,9,5,5,1,0.0
9,9,5,5,1,0.0
9,9,5,5,1,0.0
9,54,5,5,1,0.505
9,54,5,5,1,0.505
9,88,5,5,1,0.254
9,88,5,5,1,0.254
9,89,5,5,1,0.271
9,89,5,5,1,0.271
9,293,5,5,1,0.694
9,293,5,5,1,0.694
9,295,5,5,1,0.562
9,295,5,5,1,0.562
10,10,5,5,1,0.0
10,10,5,5,1,0.0
10,10,5,5,1,0.0
