nodeid,lat,lon,layer
1,53.39023,-3.17884,5
1,53.39023,-3.17884,2
2,53.3948,-3.17145,2
2,53.3948,-3.17145,5
3,53.43741,-3.04797,2
3,53.43741,-3.04797,5
4,53.40806,-3.0996,5
4,53.40806,-3.0996,2
5,53.40229,-3.02103,5
6,53.40978,-3.0163,5
6,53.40978,-3.0163,1
7,53.4229,-3.06914,2
7,53.4229,-3.06914,5
8,53.39945,-3.15428,2
8,53.39945,-3.15428,5
9,53.40722,-3.11351,2
9,53.40722,-3.11351,5
10,53.42801,-3.06972,2
10,53.42801,-3.06972,5
11,53.49593,-3.05285,5
12,53.43381,-3.05245,5
13,53.42801,-3.03569,5
14,53.42749,-3.03587,5
15,53.42719,-3.03583,5
16,53.42783,-3.03588,5
17,53.39614,-3.12832,5
18,53.47927,-3.03493,5
19,53.47945,-3.03545,5
20,53.39765,-3.10968,5
21,53.42153,-3.02954,5
22,53.42161,-3.02986,5
23,53.49046,-3.05359,5
24,53.40346,-3.13058,5
25,53.42112,-3.06249,5
26,53.42061,-3.06125,5
27,53.42235,-3.04352,5
28,53.42204,-3.04341,5
29,53.39414,-3.1252,5
30,53.39393,-3.12488,5
31,53.48058,-3.03707,5
32,53.48041,-3.03654,5
33,53.42392,-3.03214,5
34,53.42415,-3.03233,5
35,53.40494,-3.12597,5
36,53.42435,-3.06022,5
37,53.42263,-3.06431,5
38,53.42266,-3.06407,5
39,53.4237,-3.065,5
40,53.42976,-3.06251,5
41,53.4298,-3.06282,5
42,53.39598,-3.12916,5
43,53.40378,-3.12207,5
44,53.40334,-3.12326,5
45,53.39663,-3.11525,5
46,53.3965,-3.11505,5
47,53.39634,-3.14952,5
48,53.39629,-3.15051,5
49,53.41803,-3.02643,5
50,53.41853,-3.02662,5
51,53.43473,-3.03848,5
52,53.41536,-3.05559,5
53,53.41549,-3.05517,5
54,53.40734,-3.10587,5
55,53.40725,-3.10601,5
56,53.40482,-3.02625,5
57,53.40511,-3.02744,5
58,53.41464,-3.08723,5
59,53.41468,-3.08674,5
60,53.4191,-3.03729,5
61,53.41936,-3.03727,5
62,53.41738,-3.10191,5
63,53.40373,-3.11918,5
64,53.39651,-3.14265,5
65,53.39665,-3.14216,5
66,53.39833,-3.11026,5
67,53.41924,-3.02762,5
68,53.41954,-3.02763,5
69,53.42564,-3.03626,5
70,53.42641,-3.03714,5
71,53.41655,-3.06115,5
72,53.41657,-3.06148,5
73,53.40688,-3.10956,5
74,53.42601,-3.04957,5
75,53.42601,-3.04932,5
76,53.41938,-3.05647,5
77,53.4195,-3.056,5
78,53.40996,-3.02652,5
79,53.40913,-3.02616,5
80,53.41555,-3.08474,5
81,53.41565,-3.08412,5
82,53.42045,-3.03598,5
83,53.42048,-3.0363,5
84,53.43194,-3.04236,5
85,53.43091,-3.04229,5
86,53.43179,-3.04332,5
87,53.43146,-3.04248,5
88,53.40913,-3.11564,5
89,53.40919,-3.11594,5
90,53.40104,-3.15983,5
91,53.40103,-3.15905,5
92,53.42138,-3.03253,5
93,53.4136,-3.02213,5
94,53.41272,-3.02129,5
95,53.41449,-3.02257,5
96,53.43251,-3.05116,5
97,53.42469,-3.04364,5
98,53.42567,-3.04358,5
99,53.41205,-3.0277,5
100,53.41216,-3.02808,5
101,53.41286,-3.02715,5
102,53.41171,-3.02691,5
103,53.41678,-3.08293,5
104,53.41846,-3.09412,5
105,53.40266,-3.01377,5
106,53.42156,-3.03229,5
107,53.41612,-3.02423,5
108,53.41585,-3.0242,5
109,53.42814,-3.03859,5
110,53.42795,-3.03857,5
111,53.4849,-3.04122,5
112,53.41224,-3.03291,5
113,53.41222,-3.03141,5
114,53.41827,-3.03819,5
115,53.4185,-3.03806,5
116,53.41794,-3.09835,5
117,53.41753,-3.09973,5
118,53.39938,-3.10663,5
119,53.39894,-3.10629,5
120,53.39877,-3.16827,5
121,53.42015,-3.06613,5
122,53.4198,-3.06605,5
123,53.48908,-3.04598,5
124,53.43326,-3.05763,5
125,53.43341,-3.0579,5
126,53.42881,-3.03709,5
127,53.40583,-3.03449,5
128,53.40568,-3.03478,5
129,53.42863,-3.03718,5
130,53.48906,-3.04809,5
131,53.41179,-3.04566,5
132,53.4268,-3.04208,5
133,53.42709,-3.04217,5
134,53.40016,-3.16442,5
135,53.40039,-3.16422,5
136,53.41044,-3.02044,5
