ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,5,2,2,7,4.163
1,5,2,2,7,4.163
1,5,2,2,7,4.163
1,5,2,2,7,4.163
1,5,2,2,7,4.163
1,5,2,2,7,4.163
1,8,2,2,2,0.905
1,8,2,2,2,0.905
1,8,2,2,2,0.905
1,8,2,2,2,0.905
2,7,2,2,3,1.842
2,7,2,2,3,1.842
2,7,2,2,3,1.842
5,1,2,2,7,4.163
5,1,2,2,7,4.163
5,1,2,2,7,4.163
5,1,2,2,7,4.163
5,1,2,2,7,4.163
5,1,2,2,7,4.163
5,6,2,2,3,2.404
5,6,2,2,3,2.404
5,6,2,2,3,2.404
5,6,2,2,3,2.404
5,6,2,2,3,2.404
5,6,2,2,3,2.404
6,5,2,2,4,2.404
6,5,2,2,4,2.404
6,5,2,2,4,2.404
6,5,2,2,4,2.404
6,5,2,2,4,2.404
6,5,2,2,4,2.404
7,2,2,2,3,1.842
7,2,2,2,3,1.842
7,2,2,2,3,1.842
7,1573,2,2,5,4.77
7,1573,2,2,5,4.77
7,1573,2,2,5,4.77
8,1,2,2,2,0.905
8,1,2,2,2,0.905
8,1,2,2,2,0.905
8,1,2,2,2,0.905
1573,7,2,2,4,4.77
1573,7,2,2,4,4.77
1573,7,2,2,4,4.77
4,5,4,4,15,3.981
4,5,4,4,15,3.981
4,5,4,4,15,3.981
4,5,4,4,15,3.981
4,5,4,4,15,3.981
4,5,4,4,15,3.981
5,4,4,4,10,3.981
5,4,4,4,10,3.981
5,4,4,4,10,3.981
5,4,4,4,10,3.981
5,4,4,4,10,3.981
5,4,4,4,10,3.981
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,1,5,5,1,0.0
1,605,5,5,2,0.567
1,605,5,5,2,0.567
1,1112,5,5,2,0.519
1,1112,5,5,2,0.519
1,1511,5,5,1,0.315
1,1511,5,5,1,0.315
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,3,5,5,1,0.0
3,1495,5,5,2,0.359
3,1495,5,5,2,0.359
3,1561,5,5,1,0.255
3,1561,5,5,1,0.255
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,4,5,5,1,0.0
4,575,5,5,1,0.017
4,575,5,5,1,0.017
4,576,5,5,1,0.025
4,576,5,5,1,0.025
4,1142,5,5,1,0.524
4,1142,5,5,1,0.524
4,1290,5,5,1,0.05
4,1290,5,5,1,0.05
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,5,5,5,1,0.0
5,236,5,5,1,0.534
5,236,5,5,1,0.534
5,236,5,5,1,0.534
5,435,5,5,1,0.693
5,435,5,5,1,0.693
5,435,5,5,1,0.693
5,461,5,5,1,0.253
5,461,5,5,1,0.253
5,461,5,5,1,0.253
5,658,5,5,1,0.366
5,658,5,5,1,0.366
5,658,5,5,1,0.366
5,887,5,5,1,0.456
5,887,5,5,1,0.456
5,887,5,5,1,0.456
5,888,5,5,1,0.455
5,888,5,5,1,0.455
5,888,5,5,1,0.455
5,889,5,5,1,0.463
5,889,5,5,1,0.463
5,889,5,5,1,0.463
5,900,5,5,1,0.301
5,900,5,5,1,0.301
5,900,5,5,1,0.301
5,1039,5,5,1,0.354
5,1039,5,5,1,0.354
5,1039,5,5,1,0.354
5,1117,5,5,1,0.338
5,1117,5,5,1,0.338
5,1117,5,5,1,0.338
5,1127,5,5,1,0.472
5,1127,5,5,1,0.472
5,1127,5,5,1,0.472
5,1128,5,5,1,0.457
5,1128,5,5,1,0.457
5,1128,5,5,1,0.457
5,1202,5,5,1,0.369
5,1202,5,5,1,0.369
5,1202,5,5,1,0.369
6,6,5,5,1,0.0
6,6,5,5,1,0.0
6,6,5,5,1,0.0
6,6,5,5,1,0.0
6,188,5,5,1,0.653
6,188,5,5,1,0.653
6,347,5,5,1,0.5
6,347,5,5,1,0.5
6,1121,5,5,2,0.638
6,1121,5,5,2,0.638
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,7,5,5,1,0.0
7,121,5,5,1,0.51
7,121,5,5,1,0.51
7,121,5,5,1,0.51
7,251,5,5,1,0.652
7,251,5,5,1,0.652
7,251,5,5,1,0.652
7,547,5,5,1,0.431
7,547,5,5,1,0.431
7,547,5,5,1,0.431
7,682,5,5,1,0.413
7,682,5,5,1,0.413
7,682,5,5,1,0.413
7,879,5,5,2,0.562
7,879,5,5,2,0.562
7,879,5,5,2,0.562
7,943,5,5,2,0.772
7,943,5,5,2,0.772
7,943,5,5,2,0.772
7,1375,5,5,1,0.322
7,1375,5,5,1,0.322
7,1375,5,5,1,0.322
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,8,5,5,1,0.0
8,338,5,5,1,0.296
8,338,5,5,1,0.296
8,339,5,5,1,0.298
8,339,5,5,1,0.298
8,481,5,5,1,0.316
8,481,5,5,1,0.316
8,1135,5,5,1,0.315
8,1135,5,5,1,0.315
8,1230,5,5,3,1.58
8,1230,5,5,3,1.58
8,1584,5,5,1,0.362
8,1584,5,5,1,0.362
9,1656,5,5,1,0.347
10,1166,5,5,1,0.471
11,884,5,5,1,0.243
12,1264,5,5,2,0.335
13,74,5,5,1,0.427
13,1004,5,5,3,0.55
14,295,5,5,1,0.224
14,850,5,5,1,0.234
15,227,5,5,1,0.362
16,553,5,5,1,0.326
17,631,5,5,1,0.161
18,325,5,5,1,0.045
18,752,5,5,1,0.353
19,70,5,5,1,0.227
19,575,5,5,1,0.23
20,88,5,5,1,0.186
20,89,5,5,1,0.16
21,690,5,5,1,0.284
22,1557,5,5,1,0.168
23,368,5,5,2,0.357
24,1182,5,5,1,0.174
25,174,5,5,1,0.497
26,1176,5,5,1,0.586
27,1104,5,5,1,0.339
28,1675,5,5,1,0.387
29,1150,5,5,1,0.078
30,99,5,5,1,0.155
31,1286,5,5,1,0.182
33,785,5,5,2,0.89
34,1673,5,5,1,0.309
35,59,5,5,1,0.167
36,863,5,5,1,0.604
36,1124,5,5,1,0.524
37,269,5,5,1,0.179
39,942,5,5,1,0.234
40,1046,5,5,1,0.184
40,1476,5,5,1,0.127
41,1355,5,5,1,0.155
42,493,5,5,1,0.426
42,1055,5,5,2,0.652
42,1686,5,5,1,0.222
43,592,5,5,1,0.261
44,905,5,5,1,0.503
44,945,5,5,1,0.312
44,1292,5,5,1,0.309
45,75,5,5,1,0.581
46,831,5,5,1,0.321
47,1467,5,5,1,0.482
48,1095,5,5,1,0.056
48,1351,5,5,1,0.14
49,898,5,5,1,0.307
50,1690,5,5,1,0.187
51,806,5,5,1,0.202
52,115,5,5,1,0.415
53,1147,5,5,1,0.249
54,601,5,5,1,0.352
55,119,5,5,1,0.195
56,1325,5,5,1,0.129
56,1672,5,5,1,0.659
57,683,5,5,1,0.507
58,18,5,5,1,0.364
58,325,5,5,1,0.397
59,4,5,5,1,0.054
59,4,5,5,1,0.054
59,569,5,5,1,0.196
59,575,5,5,1,0.045
59,576,5,5,1,0.038
60,569,5,5,1,0.154
61,1220,5,5,1,0.171
61,1708,5,5,1,0.214
62,1709,5,5,1,0.199
63,111,5,5,1,0.36
63,574,5,5,1,0.173
64,686,5,5,1,0.314
65,1661,5,5,1,0.223
65,1662,5,5,1,0.205
66,78,5,5,1,0.166
66,746,5,5,1,0.457
66,1604,5,5,1,0.245
66,1605,5,5,1,0.242
67,1015,5,5,1,0.226
68,1367,5,5,1,0.145
68,1577,5,5,1,0.107
69,100,5,5,1,0.168
69,129,5,5,3,0.273
69,132,5,5,1,0.298
69,1624,5,5,1,0.547
70,4,5,5,1,0.031
70,4,5,5,1,0.031
70,137,5,5,1,0.619
70,1112,5,5,1,0.14
70,1223,5,5,1,0.468
71,805,5,5,1,0.176
71,1417,5,5,2,0.291
71,1620,5,5,1,0.049
72,864,5,5,1,0.174
73,427,5,5,1,0.103
74,46,5,5,1,0.564
75,1159,5,5,1,0.391
76,713,5,5,1,0.483
76,738,5,5,1,0.66
77,1206,5,5,1,0.121
77,1254,5,5,1,0.079
77,1371,5,5,1,0.093
78,791,5,5,1,0.211
79,1213,5,5,1,0.204
80,646,5,5,1,0.261
81,956,5,5,1,0.325
81,1021,5,5,1,0.352
82,147,5,5,1,0.302
83,535,5,5,1,0.334
83,929,5,5,1,0.111
83,1422,5,5,1,0.168
84,1336,5,5,1,0.636
85,1167,5,5,1,0.556
86,231,5,5,1,0.286
86,424,5,5,1,0.161
86,425,5,5,1,0.118
87,154,5,5,1,0.168
88,19,5,5,1,0.28
88,1180,5,5,1,0.153
89,156,5,5,1,0.227
89,1180,5,5,1,0.175
90,158,5,5,2,0.385
90,1037,5,5,2,0.972
90,1408,5,5,1,0.412
91,191,5,5,2,0.456
91,192,5,5,1,0.404
92,211,5,5,1,0.219
93,456,5,5,1,0.254
93,457,5,5,3,0.195
94,161,5,5,1,0.155
94,651,5,5,1,0.051
95,759,5,5,1,0.284
96,789,5,5,1,0.879
97,990,5,5,1,0.112
98,31,5,5,1,0.184
99,1032,5,5,1,0.191
101,69,5,5,1,0.167
103,1099,5,5,1,0.38
104,784,5,5,1,0.41
105,168,5,5,1,0.376
106,1622,5,5,2,0.291
107,1532,5,5,1,0.081
108,44,5,5,1,0.304
109,554,5,5,1,0.606
110,473,5,5,1,0.714
110,554,5,5,1,0.606
111,63,5,5,1,0.36
112,810,5,5,1,0.144
113,1093,5,5,1,0.286
113,1600,5,5,1,0.134
114,1093,5,5,1,0.276
115,745,5,5,1,0.241
116,178,5,5,1,0.189
117,843,5,5,1,0.493
117,982,5,5,1,0.356
117,1235,5,5,4,0.86
