nodeid,lat,lon,layer
1,52.61821,-2.01148,5
1,52.61821,-2.01148,2
2,52.68691,-1.80025,2
3,52.55567,-2.0573,5
3,52.55567,-2.0573,3
4,52.61831,-2.00399,4
4,52.61831,-2.00399,5
5,52.58441,-1.98475,4
5,52.58441,-1.98475,2
5,52.58441,-1.98475,5
6,52.5631,-1.9911,5
6,52.5631,-1.9911,2
7,52.68039,-1.82543,4
7,52.68039,-1.82543,2
7,52.68039,-1.82543,5
8,52.62545,-2.01768,5
8,52.62545,-2.01768,2
9,52.62255,-1.91606,5
10,52.62254,-1.91606,5
11,52.56128,-1.97526,5
12,52.58287,-1.96893,5
13,52.62582,-1.9328,5
14,52.61579,-2.04288,5
15,52.61602,-2.04263,5
16,52.65619,-1.95003,5
17,52.59024,-2.0192,5
18,52.65072,-1.92383,5
19,52.61633,-2.00452,5
20,52.61549,-2.00425,5
21,52.56906,-1.97743,5
22,52.58584,-1.97007,5
23,52.58569,-1.97014,5
24,52.57858,-2.03024,5
25,52.57907,-2.02934,5
26,52.61553,-1.99312,5
27,52.61562,-1.99304,5
28,52.63953,-2.04197,5
29,52.63945,-2.04207,5
30,52.61025,-1.98737,5
31,52.61032,-1.98736,5
32,52.5581,-1.99248,5
33,52.68114,-1.88995,5
34,52.68099,-1.88987,5
35,52.6191,-2.00671,5
36,52.63985,-1.84112,5
37,52.682,-1.9358,5
38,52.68185,-1.93558,5
39,52.60111,-2.00855,5
40,52.60147,-2.00874,5
41,52.59715,-1.98727,5
42,52.63823,-1.92823,5
43,52.60817,-1.92508,5
44,52.60827,-1.9256,5
45,52.62003,-1.94424,5
46,52.61999,-1.94391,5
47,52.65954,-1.93564,5
48,52.57068,-1.94377,5
49,52.58674,-1.99939,5
50,52.58655,-2.00041,5
51,52.6725,-1.82081,5
52,52.67254,-1.8199,5
53,52.66592,-1.95894,5
54,52.5672,-2.00783,5
55,52.56931,-2.04487,5
56,52.56282,-1.91557,5
57,52.64941,-1.8931,5
58,52.64971,-1.92898,5
59,52.61817,-2.00476,5
60,52.61838,-2.00529,5
61,52.60589,-1.93534,5
62,52.60566,-1.93559,5
63,52.58686,-2.03311,5
64,52.67709,-1.92893,5
65,52.61135,-2.03943,5
66,52.6112,-2.03948,5
