ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
10,573,1,1,4,0.329
10,573,1,1,4,0.329
573,10,1,1,4,0.329
573,10,1,1,4,0.329
2,4,2,2,3,2.001
2,4,2,2,3,2.001
2,4,2,2,3,2.001
2,4,2,2,3,2.001
2,11,2,2,2,1.019
2,11,2,2,2,1.019
2,11,2,2,2,1.019
2,11,2,2,2,1.019
4,2,2,2,3,2.001
4,2,2,2,3,2.001
4,2,2,2,3,2.001
4,2,2,2,3,2.001
4,5,2,2,3,2.177
4,5,2,2,3,2.177
4,5,2,2,3,2.177
4,5,2,2,3,2.177
4,11,2,2,4,3.02
4,11,2,2,4,3.02
4,11,2,2,4,3.02
4,11,2,2,4,3.02
5,4,2,2,3,2.177
5,4,2,2,3,2.177
5,4,2,2,3,2.177
5,4,2,2,3,2.177
5,12,2,2,2,1.78
5,12,2,2,2,1.78
5,12,2,2,2,1.78
5,12,2,2,2,1.78
8,11,2,2,5,6.14
8,11,2,2,5,6.14
8,11,2,2,5,6.14
8,11,2,2,5,6.14
8,14,2,2,5,1.629
8,14,2,2,5,1.629
8,14,2,2,5,1.629
8,14,2,2,5,1.629
8,14,2,2,5,1.629
8,14,2,2,5,1.629
8,15,2,2,5,5.255
8,15,2,2,5,5.255
8,15,2,2,5,5.255
8,15,2,2,5,5.255
11,2,2,2,2,1.019
11,2,2,2,2,1.019
11,2,2,2,2,1.019
11,2,2,2,2,1.019
11,4,2,2,4,3.02
11,4,2,2,4,3.02
11,4,2,2,4,3.02
11,4,2,2,4,3.02
11,14,2,2,6,6.167
11,14,2,2,6,6.167
11,14,2,2,6,6.167
11,14,2,2,6,6.167
11,14,2,2,6,6.167
11,14,2,2,6,6.167
11,15,2,2,2,0.997
11,15,2,2,2,0.997
11,15,2,2,2,0.997
11,15,2,2,2,0.997
12,5,2,2,2,1.78
12,5,2,2,2,1.78
12,5,2,2,2,1.78
12,5,2,2,2,1.78
14,8,2,2,4,1.629
14,8,2,2,4,1.629
14,8,2,2,4,1.629
14,8,2,2,4,1.629
14,8,2,2,4,1.629
14,8,2,2,4,1.629
14,11,2,2,6,6.167
14,11,2,2,6,6.167
14,11,2,2,6,6.167
14,11,2,2,6,6.167
14,11,2,2,6,6.167
14,11,2,2,6,6.167
14,15,2,2,11,5.187
14,15,2,2,11,5.187
14,15,2,2,11,5.187
14,15,2,2,11,5.187
14,15,2,2,11,5.187
14,15,2,2,11,5.187
15,8,2,2,5,5.255
15,8,2,2,5,5.255
15,8,2,2,5,5.255
15,8,2,2,5,5.255
15,11,2,2,2,0.997
15,11,2,2,2,0.997
15,11,2,2,2,0.997
15,11,2,2,2,0.997
15,14,2,2,6,5.187
15,14,2,2,6,5.187
15,14,2,2,6,5.187
15,14,2,2,6,5.187
15,14,2,2,6,5.187
15,14,2,2,6,5.187
1,6,4,4,3,1.352
1,6,4,4,3,1.352
1,6,4,4,3,1.352
1,6,4,4,3,1.352
1,14,4,4,2,1.923
1,14,4,4,2,1.923
1,14,4,4,2,1.923
1,14,4,4,2,1.923
1,14,4,4,2,1.923
1,14,4,4,2,1.923
3,14,4,4,2,0.814
3,14,4,4,2,0.814
3,14,4,4,2,0.814
3,14,4,4,2,0.814
3,14,4,4,2,0.814
3,14,4,4,2,0.814
6,1,4,4,3,1.352
6,1,4,4,3,1.352
6,1,4,4,3,1.352
6,1,4,4,3,1.352
6,9,4,4,3,1.607
6,9,4,4,3,1.607
6,9,4,4,3,1.607
6,9,4,4,3,1.607
7,9,4,4,2,1.903
7,9,4,4,2,1.903
7,9,4,4,2,1.903
7,9,4,4,2,1.903
7,13,4,4,5,2.545
7,13,4,4,5,2.545
7,13,4,4,5,2.545
7,13,4,4,5,2.545
9,6,4,4,3,1.607
9,6,4,4,3,1.607
9,6,4,4,3,1.607
9,6,4,4,3,1.607
9,7,4,4,2,1.903
9,7,4,4,2,1.903
9,7,4,4,2,1.903
9,7,4,4,2,1.903
13,7,4,4,5,2.545
13,7,4,4,5,2.545
13,7,4,4,5,2.545
13,7,4,4,5,2.545
14,1,4,4,2,1.923
14,1,4,4,2,1.923
14,1,4,4,2,1.923
14,1,4,4,2,1.923
14,1,4,4,2,1.923
14,1,4,4,2,1.923
14,3,4,4,5,0.814
14,3,4,4,5,0.814
14,3,4,4,5,0.814
14,3,4,4,5,0.814
14,3,4,4,5,0.814
14,3,4,4,5,0.814
1,25,5,5,1,0.211
