nodeid,lat,lon,layer
1,50.85588,-1.05111,4
1,50.85588,-1.05111,5
2,50.85343,-0.96715,2
2,50.85343,-0.96715,5
3,50.83514,-1.07179,4
3,50.83514,-1.07179,5
4,50.85138,-0.93878,2
4,50.85138,-0.93878,5
5,50.84826,-0.90811,2
5,50.84826,-0.90811,5
6,50.86739,-1.04478,4
6,50.86739,-1.04478,5
7,50.89425,-1.01833,4
7,50.89425,-1.01833,5
8,50.82826,-1.05879,2
8,50.82826,-1.05879,5
9,50.87968,-1.03266,4
9,50.87968,-1.03266,5
10,50.79662,-1.02979,5
10,50.79662,-1.02979,1
11,50.85441,-0.98161,5
11,50.85441,-0.98161,2
12,50.84606,-0.88295,2
12,50.84606,-0.88295,5
13,50.91315,-0.99774,4
13,50.91315,-0.99774,5
14,50.84191,-1.06733,2
14,50.84191,-1.06733,5
14,50.84191,-1.06733,4
15,50.85394,-0.99582,5
15,50.85394,-0.99582,2
16,50.92787,-0.99714,5
17,50.87309,-0.98433,5
18,50.97661,-0.86455,5
19,50.97653,-0.86481,5
20,50.97025,-0.8628,5
21,50.97878,-0.87394,5
22,50.86906,-1.0246,5
23,50.78327,-0.974,5
24,50.84166,-1.07945,5
25,50.85423,-1.05263,5
26,50.85442,-1.05286,5
27,50.85174,-1.05765,5
28,50.85305,-1.04659,5
29,50.85314,-1.047,5
30,50.86356,-0.98313,5
31,50.93129,-1.08144,5
32,50.80223,-1.05672,5
33,50.98399,-0.8636,5
34,50.98401,-0.86387,5
35,50.97029,-0.8629,5
36,50.97875,-0.87384,5
37,50.98186,-0.86903,5
38,50.98193,-0.86929,5
39,50.88934,-1.02358,5
40,50.88205,-1.02917,5
41,50.79333,-1.05731,5
42,50.85977,-0.99068,5
43,50.85901,-0.98985,5
44,50.86065,-0.99267,5
45,50.86053,-0.99224,5
46,50.86217,-0.99497,5
47,50.86201,-0.99461,5
48,50.86424,-0.99776,5
49,50.86347,-0.99668,5
50,50.86463,-0.99305,5
51,50.86423,-0.99658,5
52,50.79261,-1.05859,5
53,50.81433,-1.05774,5
54,50.79251,-1.0586,5
55,50.90546,-1.07421,5
56,50.86714,-0.92653,5
57,50.79836,-0.97607,5
58,50.79818,-0.97595,5
59,50.78719,-0.97629,5
60,50.78744,-0.97464,5
61,50.79053,-0.97722,5
62,50.79036,-0.97713,5
63,50.79421,-0.97671,5
64,50.79338,-0.97676,5
65,50.79613,-0.97599,5
66,50.79573,-0.97623,5
67,50.90142,-1.02704,5
68,50.98307,-0.81697,5
69,50.98064,-0.86475,5
70,50.91064,-1.01753,5
71,50.86489,-0.92549,5
72,50.86837,-0.92426,5
73,50.86139,-0.92652,5
74,50.85541,-1.08246,5
75,50.85546,-1.08212,5
76,50.84538,-0.91645,5
77,50.84556,-0.91664,5
78,50.84639,-0.92604,5
79,50.84651,-0.93218,5
80,50.86593,-1.00777,5
81,50.86907,-0.98977,5
82,50.86777,-0.97087,5
83,50.85341,-1.05231,5
84,50.85267,-1.0529,5
85,50.85878,-0.98344,5
86,50.86061,-0.9792,5
87,50.86412,-0.97828,5
88,50.86003,-0.97722,5
89,50.86012,-0.97739,5
90,50.90315,-1.02308,5
91,50.9073,-1.02024,5
92,50.79407,-1.04413,5
93,50.89691,-1.01654,5
94,50.89639,-1.06342,5
95,50.89815,-1.0698,5
96,50.88504,-1.044,5
97,50.89462,-1.05275,5
98,50.88657,-1.04225,5
99,50.89933,-1.07315,5
100,50.89435,-1.05209,5
101,50.89798,-1.06952,5
102,50.89919,-1.07301,5
103,50.78649,-0.96729,5
104,50.78652,-0.96976,5
105,50.78478,-0.96544,5
106,50.78525,-0.96587,5
107,50.78024,-0.94547,5
108,50.7799,-0.94856,5
109,50.77972,-0.95702,5
110,50.77971,-0.95221,5
111,50.91271,-1.01447,5
112,50.91079,-1.01735,5
113,50.7865,-0.99525,5
114,50.78603,-0.99057,5
115,50.98751,-0.81968,5
116,50.99209,-0.77955,5
117,50.86162,-0.9245,5
118,50.86179,-0.92503,5
119,50.85837,-0.92335,5
120,50.85911,-0.92439,5
121,50.85907,-0.92419,5
122,50.86815,-0.97289,5
123,50.80895,-1.0457,5
124,50.87296,-0.98495,5
125,50.86975,-0.98913,5
126,50.86952,-0.98881,5
127,50.87332,-0.98694,5
128,50.87327,-0.98732,5
129,50.87314,-0.99021,5
130,50.87266,-0.99056,5
131,50.80794,-1.05794,5
132,50.80877,-1.05338,5
133,50.80891,-1.04994,5
134,50.80594,-1.04678,5
135,50.80385,-1.0508,5
136,50.80216,-1.05709,5
137,50.92282,-1.08822,5
138,50.91612,-1.08079,5
139,50.9228,-1.08832,5
140,50.89663,-1.05843,5
141,50.91629,-1.0811,5
142,50.89665,-1.06401,5
143,50.89658,-1.05831,5
144,50.78268,-0.97129,5
145,50.78377,-0.97638,5
146,50.78385,-0.97747,5
147,50.78415,-0.9792,5
148,50.78187,-0.9641,5
149,50.78171,-0.96669,5
150,50.78157,-0.96695,5
151,50.78267,-0.97097,5
152,50.78195,-0.96406,5
153,50.85395,-0.90937,5
154,50.8539,-0.90962,5
155,50.9703,-0.83802,5
