ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
1,2,5,5,1,0.23
1,17,5,5,1,0.332
1,29,5,5,1,0.144
1,55,5,5,1,0.183
2,1,5,5,1,0.23
2,36,5,5,1,0.281
3,29,5,5,1,0.311
3,277,5,5,2,0.637
4,22,5,5,1,0.486
4,101,5,5,2,0.373
5,3,5,5,2,0.802
5,7,5,5,2,0.776
5,101,5,5,2,0.378
5,113,5,5,3,0.836
6,8,5,5,1,0.1
6,9,5,5,1,0.421
6,28,5,5,1,0.44
7,5,5,5,2,0.776
7,35,5,5,1,0.524
8,6,5,5,1,0.1
8,40,5,5,2,0.254
8,54,5,5,1,0.257
9,6,5,5,1,0.421
9,26,5,5,1,0.358
9,91,5,5,2,0.698
9,101,5,5,5,1.102
10,11,5,5,1,0.296
10,46,5,5,1,0.627
11,10,5,5,1,0.296
11,12,5,5,1,0.308
12,11,5,5,1,0.308
12,13,5,5,1,0.289
13,12,5,5,1,0.289
13,217,5,5,2,0.449
14,15,5,5,1,0.265
14,39,5,5,1,0.187
15,14,5,5,1,0.265
15,148,5,5,1,0.163
16,57,5,5,1,0.141
16,245,5,5,1,0.138
17,1,5,5,1,0.332
17,97,5,5,1,0.215
18,19,5,5,1,0.427
18,21,5,5,1,0.325
18,99,5,5,2,0.19
18,258,5,5,2,0.252
19,18,5,5,1,0.427
19,69,5,5,1,0.325
20,96,5,5,1,0.188
20,99,5,5,1,0.108
21,18,5,5,1,0.325
21,32,5,5,1,0.48
21,136,5,5,1,0.502
22,4,5,5,2,0.486
22,89,5,5,1,0.396
23,24,5,5,1,0.257
24,23,5,5,1,0.257
24,108,5,5,1,0.283
25,26,5,5,1,0.3
25,48,5,5,1,0.212
25,91,5,5,1,0.214
25,105,5,5,1,0.439
25,129,5,5,1,1.175
26,9,5,5,1,0.358
26,25,5,5,1,0.3
26,91,5,5,1,0.341
27,25,5,5,1,0.312
27,49,5,5,1,0.177
27,91,5,5,1,0.174
28,6,5,5,1,0.44
28,101,5,5,2,0.269
29,1,5,5,1,0.144
29,3,5,5,1,0.311
29,16,5,5,1,0.26
29,95,5,5,1,0.409
30,31,5,5,1,0.166
30,89,5,5,2,0.337
31,30,5,5,1,0.166
31,188,5,5,2,0.835
32,42,5,5,1,0.51
32,138,5,5,1,0.259
32,259,5,5,1,0.266
33,43,5,5,1,0.363
33,102,5,5,2,0.531
33,104,5,5,1,0.289
34,96,5,5,1,0.16
34,130,5,5,1,0.106
35,7,5,5,1,0.524
35,36,5,5,1,0.211
36,2,5,5,1,0.281
36,35,5,5,1,0.211
36,105,5,5,1,0.39
36,106,5,5,1,0.292
37,38,5,5,1,0.124
37,106,5,5,1,0.148
38,37,5,5,1,0.124
38,118,5,5,1,0.243
39,14,5,5,1,0.187
39,147,5,5,1,0.191
40,54,5,5,1,0.079
40,126,5,5,1,0.161
41,41,5,5,1,0.0
41,41,5,5,1,0.0
41,41,5,5,1,0.0
41,41,5,5,1,0.0
41,108,5,5,1,0.703
41,108,5,5,1,0.703
41,172,5,5,1,0.796
41,172,5,5,1,0.796
41,189,5,5,1,0.339
41,189,5,5,1,0.339
41,206,5,5,1,0.254
41,206,5,5,1,0.254
41,207,5,5,1,0.493
41,207,5,5,1,0.493
41,251,5,5,1,0.348
41,251,5,5,1,0.348
42,32,5,5,1,0.51
43,33,5,5,1,0.363
43,98,5,5,1,0.626
44,62,5,5,1,0.416
44,68,5,5,1,0.344
44,157,5,5,2,0.216
45,46,5,5,1,0.326
46,10,5,5,1,0.627
46,45,5,5,1,0.326
47,115,5,5,1,0.248
47,118,5,5,1,0.293
48,25,5,5,1,0.212
48,116,5,5,1,0.276
49,27,5,5,1,0.177
49,117,5,5,1,0.302
50,125,5,5,1,0.297
50,174,5,5,1,0.196
51,27,5,5,1,0.468
51,114,5,5,1,0.214
52,53,5,5,1,0.376
52,119,5,5,1,0.325
53,52,5,5,1,0.376
53,102,5,5,1,0.313
53,121,5,5,1,0.214
54,8,5,5,1,0.257
54,124,5,5,1,0.31
55,1,5,5,1,0.183
55,13,5,5,3,0.806
56,59,5,5,1,0.458
56,98,5,5,1,1.139
57,16,5,5,1,0.141
57,113,5,5,1,0.284
58,85,5,5,1,0.082
58,142,5,5,1,0.041
59,56,5,5,1,0.458
59,112,5,5,1,0.343
60,61,5,5,1,0.244
60,62,5,5,1,0.264
61,60,5,5,1,0.244
61,66,5,5,1,0.236
61,107,5,5,1,0.506
62,44,5,5,1,0.416
62,60,5,5,1,0.264
62,63,5,5,1,0.394
63,62,5,5,1,0.394
63,107,5,5,2,0.457
64,65,5,5,1,0.303
64,67,5,5,1,0.264
65,64,5,5,1,0.303
65,244,5,5,1,0.13
66,61,5,5,1,0.236
66,67,5,5,1,0.249
67,64,5,5,1,0.264
67,66,5,5,1,0.249
68,44,5,5,1,0.344
68,132,5,5,3,0.382
68,181,5,5,2,0.391
69,19,5,5,1,0.325
69,70,5,5,1,0.315
69,79,5,5,1,0.198
70,69,5,5,1,0.315
70,100,5,5,1,0.177
70,223,5,5,2,0.426
71,74,5,5,1,0.298
71,75,5,5,1,0.53
72,71,5,5,1,0.116
72,73,5,5,1,0.295
73,65,5,5,1,0.326
73,72,5,5,1,0.295
74,71,5,5,1,0.298
74,193,5,5,1,0.411
75,78,5,5,1,0.324
75,132,5,5,1,0.451
75,181,5,5,2,0.458
76,132,5,5,1,0.568
76,141,5,5,1,0.384
76,237,5,5,1,0.286
77,78,5,5,1,0.303
77,90,5,5,1,0.477
77,214,5,5,1,0.354
78,75,5,5,1,0.324
78,77,5,5,1,0.303
79,69,5,5,1,0.198
79,130,5,5,1,0.182
80,93,5,5,1,0.313
80,122,5,5,1,0.362
81,82,5,5,1,0.279
81,120,5,5,1,0.245
82,81,5,5,1,0.279
82,83,5,5,1,0.385
83,82,5,5,1,0.385
84,90,5,5,2,1.706
84,92,5,5,1,0.807
85,58,5,5,1,0.082
85,145,5,5,1,0.196
86,94,5,5,1,0.057
86,234,5,5,1,0.249
87,88,5,5,1,0.389
87,91,5,5,2,0.684
88,87,5,5,1,0.389
88,128,5,5,1,0.606
89,4,5,5,3,0.881
89,22,5,5,2,0.396
89,30,5,5,2,0.337
89,131,5,5,2,0.964
89,148,5,5,1,0.359
90,77,5,5,1,0.477
90,84,5,5,1,1.706
90,152,5,5,4,1.715
91,9,5,5,2,0.698
91,25,5,5,1,0.214
91,26,5,5,1,0.341
91,27,5,5,1,0.174
91,87,5,5,2,0.684
91,190,5,5,3,0.641
92,84,5,5,1,0.807
92,201,5,5,1,1.249
93,80,5,5,1,0.313
93,119,5,5,1,0.619
94,86,5,5,1,0.057
94,215,5,5,1,0.113
95,29,5,5,1,0.409
95,226,5,5,1,0.245
96,20,5,5,1,0.188
96,34,5,5,1,0.16
