nodeid,lat,lon,layer
1,52.30694,-0.71538,5
2,52.30507,-0.71684,5
3,52.30683,-0.71025,5
4,52.30444,-0.69896,5
5,52.30412,-0.69929,5
6,52.29992,-0.703,5
7,52.30234,-0.71035,5
8,52.29927,-0.70404,5
9,52.29857,-0.7088,5
10,52.30768,-0.7359,5
11,52.31024,-0.73467,5
12,52.31196,-0.7311,5
13,52.31022,-0.72793,5
14,52.31194,-0.7075,5
15,52.31344,-0.70445,5
16,52.31035,-0.71337,5
17,52.30992,-0.71495,5
18,52.30597,-0.59341,5
19,52.30246,-0.596,5
20,52.3039,-0.59144,5
21,52.3089,-0.5931,5
22,52.3088,-0.6996,5
23,52.31262,-0.67688,5
24,52.31154,-0.68023,5
25,52.29609,-0.71676,5
26,52.29617,-0.71234,5
27,52.29403,-0.71362,5
28,52.30101,-0.69676,5
29,52.30808,-0.71436,5
30,52.31534,-0.70084,5
31,52.31678,-0.70016,5
32,52.31323,-0.59292,5
33,52.29548,-0.68638,5
34,52.30099,-0.59262,5
35,52.30119,-0.71784,5
36,52.30294,-0.71908,5
37,52.30098,-0.72345,5
38,52.30142,-0.72514,5
39,52.31285,-0.70982,5
40,52.2973,-0.70213,5
41,52.30379,-0.67664,2
41,52.30379,-0.67664,5
42,52.31781,-0.59352,5
43,52.29259,-0.68388,5
44,52.29267,-0.60825,5
45,52.29973,-0.73543,5
46,52.30219,-0.73807,5
47,52.29944,-0.72913,5
48,52.29711,-0.71941,5
49,52.29454,-0.71114,5
50,52.29306,-0.70012,5
51,52.29218,-0.70742,5
52,52.29023,-0.69738,5
53,52.29357,-0.69642,5
54,52.29773,-0.7012,5
55,52.30847,-0.7164,5
56,52.28251,-0.66464,5
57,52.31049,-0.7113,5
58,52.29323,-0.59159,5
59,52.28069,-0.65858,5
60,52.2893,-0.61593,5
61,52.2872,-0.617,5
62,52.29137,-0.61401,5
63,52.28965,-0.6191,5
64,52.28251,-0.60911,5
65,52.28014,-0.60688,5
66,52.28555,-0.6148,5
67,52.28419,-0.61187,5
68,52.29108,-0.6039,5
69,52.29968,-0.5975,5
70,52.29713,-0.59956,5
71,52.28173,-0.59875,5
72,52.28148,-0.60042,5
73,52.2791,-0.60238,5
74,52.27912,-0.59979,5
75,52.28592,-0.59501,5
76,52.28945,-0.59122,5
77,52.28124,-0.59033,5
78,52.28385,-0.59164,5
79,52.29955,-0.59458,5
80,52.27997,-0.70406,5
81,52.27332,-0.71161,5
82,52.27243,-0.71546,5
83,52.27047,-0.72015,5
84,52.26439,-0.57448,5
85,52.29384,-0.59089,5
86,52.29179,-0.58399,5
87,52.28945,-0.72263,5
88,52.28743,-0.72732,5
89,52.3123,-0.70079,5
90,52.27705,-0.58873,5
91,52.29419,-0.71618,5
92,52.2694,-0.58309,5
93,52.28204,-0.70092,5
94,52.29229,-0.58379,5
95,52.31135,-0.71715,5
96,52.30243,-0.59284,5
97,52.31161,-0.71338,5
98,52.28779,-0.67903,5
99,52.30428,-0.59292,5
100,52.29553,-0.59942,5
101,52.30283,-0.69413,5
102,52.29603,-0.69415,5
103,52.29938,-0.69189,5
104,52.29769,-0.68863,5
105,52.29948,-0.72009,5
106,52.30069,-0.72132,5
107,52.28715,-0.62446,5
108,52.30922,-0.68198,5
109,52.28362,-0.63406,5
110,52.28194,-0.63931,5
111,52.28205,-0.64261,5
112,52.27906,-0.65429,5
113,52.30811,-0.70975,5
114,52.29199,-0.70428,5
115,52.2981,-0.72619,5
116,52.29725,-0.72347,5
117,52.29568,-0.70709,5
118,52.30206,-0.72857,5
119,52.28732,-0.69797,5
120,52.27432,-0.70839,5
121,52.29182,-0.69775,5
122,52.27679,-0.70528,5
123,52.32975,-0.70995,5
124,52.29688,-0.69684,5
125,52.29539,-0.69795,5
126,52.29657,-0.70418,5
127,52.28057,-0.64724,5
128,52.28307,-0.73269,5
129,52.29188,-0.70087,5
130,52.3001,-0.59204,5
131,52.32007,-0.70716,5
132,52.2889,-0.59954,5
133,52.31324,-0.59584,5
134,52.31379,-0.59847,5
135,52.30915,-0.59443,5
136,52.3131,-0.59584,5
137,52.31371,-0.59956,5
138,52.31529,-0.59112,5
139,52.29231,-0.59091,5
140,52.29069,-0.59035,5
141,52.2884,-0.58582,5
142,52.29286,-0.59157,5
143,52.29074,-0.59831,5
144,52.31473,-0.71427,5
145,52.2947,-0.58836,5
146,52.29661,-0.58797,5
147,52.31217,-0.71242,5
148,52.31488,-0.70398,5
149,52.29068,-0.59909,5
150,52.28807,-0.70712,5
151,52.29817,-0.67746,5
152,52.27016,-0.56613,5
153,52.31447,-0.58843,5
154,52.28552,-0.71013,5
155,52.31469,-0.6952,5
156,52.31287,-0.69939,5
157,52.29351,-0.61112,5
158,52.28895,-0.59243,5
159,52.29646,-0.58546,5
160,52.29071,-0.58315,5
161,52.2883,-0.58871,5
162,52.29341,-0.58274,5
163,52.29033,-0.7086,5
164,52.31028,-0.58887,5
165,52.30843,-0.59354,5
166,52.312,-0.68655,5
167,52.31024,-0.59634,5
168,52.30408,-0.68498,5
169,52.30384,-0.68722,5
170,52.29875,-0.68289,5
171,52.29099,-0.60154,5
172,52.30128,-0.68763,5
173,52.28836,-0.61717,5
174,52.29178,-0.70212,5
175,52.31562,-0.70852,5
176,52.29421,-0.5838,5
177,52.29087,-0.59652,5
178,52.28977,-0.58404,5
179,52.29345,-0.59921,5
180,52.29079,-0.6215,5
181,52.28927,-0.59896,5
182,52.31555,-0.69,5
183,52.31671,-0.69134,5
184,52.32076,-0.70591,5
185,52.30795,-0.69348,5
186,52.28692,-0.69889,5
187,52.31496,-0.69023,5
188,52.3234,-0.70602,5
189,52.30584,-0.68035,5
190,52.28851,-0.71444,5
191,52.31487,-0.71698,5
192,52.27632,-0.60133,5
193,52.27561,-0.60173,5
194,52.30188,-0.69148,5
195,52.28455,-0.67791,5
196,52.31465,-0.69365,5
197,52.31072,-0.59907,5
198,52.31364,-0.72326,5
199,52.26936,-0.60263,5
200,52.26931,-0.60275,5
201,52.26833,-0.60139,5
202,52.26839,-0.60023,5
203,52.27334,-0.60248,5
204,52.27353,-0.60254,5
205,52.31654,-0.71519,5
206,52.30209,-0.67916,5
207,52.29935,-0.67676,5
208,52.31594,-0.6924,5
209,52.29977,-0.69048,5
210,52.30784,-0.69508,5
211,52.2899,-0.69955,5
212,52.29549,-0.58704,5
213,52.29212,-0.59354,5
214,52.27821,-0.59199,5
215,52.2933,-0.584,5
216,52.31445,-0.71974,5
217,52.30866,-0.72182,5
218,52.30366,-0.72738,5
219,52.29122,-0.70208,5
220,52.28993,-0.70437,5
221,52.30065,-0.69271,5
222,52.28852,-0.69543,5
223,52.29459,-0.60427,5
224,52.31163,-0.59047,5
225,52.31056,-0.59836,5
226,52.31352,-0.71648,5
227,52.29061,-0.7067,5
228,52.29424,-0.61496,5
229,52.31133,-0.60155,5
230,52.3097,-0.60006,5
231,52.28653,-0.59079,5
232,52.31133,-0.5895,5
233,52.31311,-0.72067,5
234,52.2907,-0.58721,5
235,52.28672,-0.60238,5
236,52.28806,-0.6147,5
237,52.29038,-0.58729,5
238,52.29112,-0.59802,5
239,52.28316,-0.60152,5
240,52.28501,-0.59176,5
241,52.32281,-0.70287,5
242,52.28865,-0.59052,5
243,52.28725,-0.61103,5
244,52.2795,-0.60527,5
245,52.30912,-0.71299,5
246,52.28571,-0.70233,5
247,52.31419,-0.69733,5
248,52.30949,-0.69654,5
249,52.29121,-0.61895,5
250,52.31348,-0.68869,5
251,52.30075,-0.67536,5
252,52.29912,-0.67485,5
253,52.31066,-0.6825,5
254,52.3084,-0.68696,5
255,52.31171,-0.58987,5
256,52.30652,-0.72494,5
257,52.27989,-0.65022,5
258,52.30617,-0.59712,5
259,52.31091,-0.59392,5
260,52.31466,-0.5885,5
261,52.31231,-0.58855,5
262,52.29167,-0.58963,5
263,52.28957,-0.59406,5
264,52.28959,-0.61692,5
265,52.31695,-0.71155,5
266,52.28822,-0.60644,5
267,52.28568,-0.59152,5
268,52.29216,-0.62332,5
269,52.28745,-0.58913,5
270,52.30827,-0.60072,5
271,52.30905,-0.6003,5
272,52.29347,-0.61972,5
273,52.29336,-0.61977,5
274,52.29236,-0.62153,5
275,52.2909,-0.6182,5
276,52.29374,-0.60684,5
277,52.30432,-0.7018,5
278,52.30781,-0.72436,5
279,52.28743,-0.71242,5
280,52.28775,-0.59801,5
281,52.29484,-0.59047,5
