ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
29,43,2,2,6,3.189
29,43,2,2,6,3.189
29,43,2,2,6,3.189
29,43,2,2,6,3.189
29,43,2,2,6,3.189
29,43,2,2,6,3.189
41,177,2,2,3,2.624
41,177,2,2,3,2.624
41,177,2,2,3,2.624
41,177,2,2,3,2.624
41,243,2,2,3,4.202
41,243,2,2,3,4.202
41,243,2,2,3,4.202
41,243,2,2,3,4.202
43,29,2,2,4,3.189
43,29,2,2,4,3.189
43,29,2,2,4,3.189
43,29,2,2,4,3.189
43,29,2,2,4,3.189
43,29,2,2,4,3.189
120,244,2,2,2,1.749
120,244,2,2,2,1.749
120,244,2,2,2,1.749
120,244,2,2,2,1.749
177,41,2,2,3,2.624
177,41,2,2,3,2.624
177,41,2,2,3,2.624
177,41,2,2,3,2.624
243,41,2,2,4,4.202
243,41,2,2,4,4.202
243,41,2,2,4,4.202
243,41,2,2,4,4.202
243,120,2,2,5,4.814
243,120,2,2,5,4.814
243,120,2,2,5,4.814
243,120,2,2,5,4.814
243,244,2,2,4,3.075
243,244,2,2,4,3.075
243,244,2,2,4,3.075
243,244,2,2,4,3.075
244,120,2,2,2,1.749
244,120,2,2,2,1.749
244,120,2,2,2,1.749
244,120,2,2,2,1.749
244,243,2,2,3,3.075
244,243,2,2,3,3.075
244,243,2,2,3,3.075
244,243,2,2,3,3.075
1,32,5,5,2,0.467
1,37,5,5,1,0.163
2,47,5,5,1,0.635
2,203,5,5,1,0.881
3,77,5,5,1,0.241
3,97,5,5,2,0.557
3,98,5,5,2,0.738
3,249,5,5,1,0.529
4,6,5,5,1,0.377
4,348,5,5,7,2.017
5,6,5,5,1,0.119
5,8,5,5,1,0.19
5,57,5,5,2,0.259
6,4,5,5,1,0.377
6,5,5,5,1,0.119
7,8,5,5,1,0.215
7,97,5,5,1,0.374
8,5,5,5,1,0.19
8,7,5,5,1,0.215
9,167,5,5,1,0.546
9,174,5,5,1,0.252
9,177,5,5,3,0.861
9,177,5,5,3,0.861
10,80,5,5,1,0.356
10,139,5,5,1,0.203
11,88,5,5,1,0.27
11,131,5,5,2,0.585
12,14,5,5,1,0.154
12,16,5,5,1,0.4
13,103,5,5,1,0.165
13,265,5,5,2,0.708
14,12,5,5,1,0.154
14,265,5,5,1,0.302
15,16,5,5,2,0.431
15,151,5,5,2,0.812
15,243,5,5,1,0.549
15,243,5,5,1,0.549
16,12,5,5,1,0.4
16,15,5,5,1,0.431
16,89,5,5,1,0.192
16,151,5,5,2,0.597
17,18,5,5,1,0.212
17,156,5,5,1,0.306
17,159,5,5,1,0.408
17,344,5,5,1,0.223
18,17,5,5,1,0.212
18,304,5,5,1,0.568
19,129,5,5,1,0.612
19,159,5,5,1,0.389
19,294,5,5,3,0.756
19,304,5,5,1,0.536
19,358,5,5,1,0.517
20,22,5,5,1,0.446
20,24,5,5,1,0.17
21,22,5,5,1,0.251
21,162,5,5,1,0.484
21,327,5,5,1,0.295
22,20,5,5,1,0.446
22,21,5,5,1,0.251
23,24,5,5,1,0.517
23,114,5,5,1,0.197
24,20,5,5,1,0.17
24,23,5,5,1,0.517
25,203,5,5,1,0.55
25,206,5,5,1,0.449
26,28,5,5,1,0.634
27,28,5,5,1,0.359
27,130,5,5,1,0.66
28,26,5,5,1,0.634
28,27,5,5,1,0.359
29,29,5,5,1,0.0
29,29,5,5,1,0.0
29,29,5,5,1,0.0
29,29,5,5,1,0.0
29,75,5,5,1,0.667
29,75,5,5,1,0.667
29,125,5,5,1,1.358
29,125,5,5,1,1.358
29,127,5,5,1,0.671
29,127,5,5,1,0.671
29,248,5,5,1,0.799
29,248,5,5,1,0.799
29,271,5,5,1,0.333
29,271,5,5,1,0.333
29,333,5,5,1,0.546
29,333,5,5,1,0.546
29,348,5,5,3,0.626
29,348,5,5,3,0.626
29,357,5,5,1,0.506
29,357,5,5,1,0.506
29,369,5,5,1,0.283
29,369,5,5,1,0.283
30,198,5,5,1,0.158
30,199,5,5,1,0.157
31,83,5,5,1,0.383
31,84,5,5,1,0.151
31,281,5,5,5,2.007
32,1,5,5,1,0.467
32,54,5,5,1,0.294
32,56,5,5,1,1.066
32,137,5,5,1,1.015
32,144,5,5,1,0.272
33,36,5,5,1,0.297
33,59,5,5,1,0.253
34,35,5,5,1,0.272
34,144,5,5,1,0.272
35,34,5,5,1,0.272
35,36,5,5,1,0.339
35,137,5,5,1,0.418
36,33,5,5,1,0.297
36,35,5,5,1,0.339
36,39,5,5,1,0.177
36,346,5,5,1,0.299
37,1,5,5,1,0.163
37,39,5,5,1,0.319
38,39,5,5,1,0.328
38,108,5,5,1,0.241
39,36,5,5,1,0.177
39,37,5,5,1,0.319
39,38,5,5,1,0.328
40,134,5,5,4,0.389
40,296,5,5,1,0.196
41,41,5,5,1,0.0
41,41,5,5,1,0.0
41,41,5,5,1,0.0
41,41,5,5,1,0.0
41,45,5,5,1,0.802
41,45,5,5,1,0.802
41,90,5,5,1,0.599
41,90,5,5,1,0.599
41,91,5,5,1,0.682
41,91,5,5,1,0.682
41,92,5,5,1,0.608
41,92,5,5,1,0.608
41,93,5,5,1,0.685
41,93,5,5,1,0.685
41,136,5,5,3,1.341
41,136,5,5,3,1.341
41,237,5,5,1,0.743
41,237,5,5,1,0.743
41,277,5,5,1,0.332
41,277,5,5,1,0.332
41,286,5,5,1,0.514
41,286,5,5,1,0.514
41,291,5,5,2,1.016
41,291,5,5,2,1.016
42,60,5,5,1,0.377
42,62,5,5,3,0.763
43,43,5,5,1,0.0
