nodeid,lat,lon,layer
1,51.78848,-0.18495,5
2,51.83861,-0.20089,5
3,51.81775,-0.03577,5
4,51.81862,-0.04639,5
5,51.81715,-0.04041,5
6,51.81663,-0.04193,5
7,51.82064,-0.04125,5
8,51.81871,-0.04155,5
9,51.82833,-0.18226,5
10,51.76503,-0.23728,5
11,51.79829,-0.08239,5
12,51.7736,-0.21904,5
13,51.77369,-0.21169,5
14,51.77484,-0.21801,5
15,51.76794,-0.22016,5
16,51.77125,-0.22346,5
17,51.80171,-0.18102,5
18,51.80226,-0.18399,5
19,51.80606,-0.18183,5
20,51.74296,-0.23385,5
21,51.74922,-0.23469,5
22,51.74697,-0.2343,5
23,51.745,-0.2253,5
24,51.74239,-0.23154,5
25,51.83546,-0.21827,5
26,51.82406,-0.09876,5
27,51.81543,-0.09674,5
28,51.81835,-0.099,5
29,51.80796,-0.02877,5
29,51.80796,-0.02877,2
30,51.82903,-0.2207,5
31,51.77598,-0.24828,5
32,51.78458,-0.18751,5
33,51.79066,-0.17182,5
34,51.78563,-0.17977,5
35,51.78754,-0.17727,5
36,51.79052,-0.17614,5
37,51.78939,-0.18308,5
38,51.79032,-0.1835,5
39,51.79037,-0.17871,5
40,51.7939,-0.07186,5
41,51.80105,-0.20407,2
41,51.80105,-0.20407,5
42,51.81532,-0.19842,5
43,51.79904,-0.07293,4
43,51.79904,-0.07293,2
43,51.79904,-0.07293,5
44,51.81069,-0.19527,5
45,51.80823,-0.20542,5
46,51.81111,-0.19763,5
47,51.84205,-0.19348,5
48,51.79649,-0.10483,5
49,51.80044,-0.10184,5
50,51.80285,-0.10211,5
51,51.80456,-0.10462,5
52,51.80438,-0.09947,5
53,51.78716,-0.19624,5
54,51.78363,-0.19152,5
55,51.78372,-0.19549,5
56,51.78551,-0.20297,5
57,51.8151,-0.0386,5
58,51.80851,-0.01237,5
59,51.79184,-0.16866,5
60,51.81222,-0.20068,5
61,51.81187,-0.2015,5
62,51.81733,-0.20906,5
63,51.81962,-0.20977,5
64,51.81231,-0.20375,5
65,51.78487,-0.08438,5
66,51.7942,-0.09385,5
67,51.78826,-0.08552,5
68,51.79022,-0.08075,5
69,51.7859,-0.08701,5
70,51.81742,-0.1561,5
71,51.82396,-0.16193,5
72,51.83278,-0.16887,5
73,51.81614,-0.02541,5
74,51.81696,-0.01891,5
75,51.81202,-0.02159,5
76,51.81214,-0.01888,5
77,51.81818,-0.03232,5
78,51.81824,-0.0275,5
79,51.76264,-0.23166,5
80,51.76723,-0.2335,5
81,51.76534,-0.23361,5
82,51.76649,-0.22892,5
83,51.77411,-0.24358,5
84,51.77475,-0.24922,5
85,51.75915,-0.2297,5
86,51.75557,-0.22574,5
87,51.79631,-0.08277,5
88,51.7966,-0.07956,5
89,51.77018,-0.22566,5
90,51.80009,-0.19548,5
91,51.8005,-0.19417,5
92,51.80431,-0.19695,5
93,51.79544,-0.19991,5
94,51.79681,-0.19746,5
95,51.8147,-0.19364,5
96,51.7426,-0.21235,5
97,51.82272,-0.03695,5
98,51.82439,-0.03506,5
99,51.77402,-0.20537,5
100,51.76997,-0.21429,5
101,51.77236,-0.2021,5
102,51.77457,-0.19145,5
103,51.77221,-0.21192,5
104,51.82782,-0.29421,5
105,51.8091,-0.16736,5
106,51.75363,-0.22716,5
107,51.7897,-0.19756,5
108,51.79045,-0.18701,5
109,51.79303,-0.19278,5
110,51.79654,-0.19385,5
111,51.79314,-0.19736,5
112,51.79126,-0.19027,5
113,51.79132,-0.19443,5
114,51.74675,-0.22582,5
115,51.76275,-0.23948,5
116,51.7608,-0.24436,5
117,51.82431,-0.21389,5
118,51.77091,-0.20841,5
119,51.81295,-0.18996,5
120,51.72106,-0.20455,2
120,51.72106,-0.20455,5
121,51.85351,-0.23888,5
122,51.85175,-0.27353,5
123,51.85169,-0.26201,5
124,51.8534,-0.23298,5
125,51.80388,-0.04743,5
126,51.80488,-0.04367,5
127,51.80761,-0.03854,5
128,51.79985,-0.05802,5
129,51.80671,-0.17297,5
130,51.80971,-0.09411,5
131,51.80355,-0.08184,5
132,51.80839,-0.08122,5
133,51.80594,-0.08091,5
134,51.79404,-0.07753,5
135,51.79486,-0.18118,5
136,51.79609,-0.18625,5
137,51.79131,-0.1775,5
138,51.79859,-0.18978,5
139,51.76382,-0.2395,5
140,51.79095,-0.21952,5
141,51.79309,-0.22167,5
142,51.79421,-0.21977,5
143,51.79684,-0.2324,5
144,51.78504,-0.18362,5
145,51.772,-0.13636,5
146,51.72671,-0.20814,5
147,51.81421,-0.01686,5
148,51.82103,-0.00937,5
149,51.77137,-0.24025,5
150,51.76882,-0.23822,5
151,51.76953,-0.2317,5
152,51.77241,-0.23944,5
153,51.81142,-0.19292,5
154,51.79557,-0.16878,5
155,51.7973,-0.16794,5
156,51.79936,-0.17867,5
157,51.79522,-0.17564,5
158,51.79459,-0.173,5
159,51.80435,-0.17687,5
160,51.75745,-0.24476,5
161,51.75448,-0.2367,5
162,51.75357,-0.23413,5
163,51.7489,-0.22672,5
164,51.75982,-0.24048,4
164,51.75982,-0.24048,5
165,51.75869,-0.24005,5
166,51.75767,-0.23791,5
167,51.83205,-0.17704,5
168,51.83017,-0.16696,5
169,51.79318,-0.20995,5
170,51.79018,-0.21777,5
171,51.78665,-0.2201,5
172,51.8213,-0.20252,5
173,51.8218,-0.20181,5
174,51.82641,-0.18422,5
175,51.81417,-0.15792,5
176,51.82224,-0.15736,5
177,51.8235,-0.19209,2
177,51.8235,-0.19209,5
178,51.78143,-0.1384,5
179,51.79283,-0.10636,5
180,51.79046,-0.10809,5
181,51.7898,-0.12161,5
182,51.78975,-0.12881,5
183,51.78583,-0.12688,5
184,51.78738,-0.1481,5
185,51.78788,-0.14294,5
186,51.8515,-0.2922,5
187,51.85106,-0.29622,5
188,51.7135,-0.17563,5
189,51.71843,-0.17797,5
190,51.71757,-0.16865,5
191,51.73512,-0.18738,5
192,51.73065,-0.18246,5
193,51.72274,-0.17753,5
194,51.73314,-0.18662,5
195,51.79963,-0.17216,5
196,51.8029,-0.17374,5
197,51.79858,-0.17132,5
198,51.82761,-0.22054,5
199,51.82947,-0.22288,5
200,51.82727,-0.21468,5
201,51.82498,-0.21503,5
202,51.83134,-0.21439,5
203,51.83359,-0.21084,5
204,51.73524,-0.22018,5
205,51.7928,-0.06099,5
206,51.83905,-0.2213,5
207,51.84082,-0.22438,5
208,51.84358,-0.22807,5
209,51.84694,-0.23161,5
210,51.85044,-0.23715,5
211,51.84909,-0.23501,5
212,51.84919,-0.23999,5
213,51.85093,-0.23694,5
214,51.84783,-0.24748,5
215,51.84934,-0.25619,5
216,51.79886,-0.09178,2
216,51.79886,-0.09178,5
217,51.77004,-0.12444,5
218,51.77304,-0.11282,5
219,51.7774,-0.1046,5
220,51.78279,-0.09562,5
221,51.76997,-0.11952,5
222,51.76566,-0.24254,5
223,51.73419,-0.2171,5
224,51.7318,-0.21252,5
225,51.83586,-0.30098,5
226,51.83894,-0.30273,5
227,51.83308,-0.29812,5
228,51.852,-0.29917,5
229,51.85064,-0.30166,5
230,51.8493,-0.30587,5
231,51.84503,-0.30428,5
232,51.82173,-0.29083,5
233,51.71322,-0.19836,5
234,51.71156,-0.19027,5
235,51.71029,-0.18375,5
236,51.77133,-0.24028,5
237,51.79435,-0.20412,5
238,51.79246,-0.2125,5
239,51.82447,-0.20369,5
240,51.76006,-0.23607,5
241,51.75786,-0.23211,5
242,51.76129,-0.23322,5
243,51.76388,-0.21559,5
243,51.76388,-0.21559,2
244,51.73635,-0.21069,5
244,51.73635,-0.21069,2
245,51.79888,-0.06521,5
246,51.80211,-0.05279,5
247,51.79999,-0.06052,5
248,51.80897,-0.01724,5
249,51.81306,-0.0344,5
250,51.81356,-0.0387,5
251,51.80072,-0.21848,5
252,51.79932,-0.22074,5
253,51.8025,-0.21513,5
254,51.8045,-0.21291,5
255,51.79985,-0.21475,5
256,51.79741,-0.22424,5
257,51.79798,-0.2162,5
258,51.79846,-0.10346,5
259,51.79947,-0.04959,5
260,51.80302,-0.10904,5
