ori_nodeid,des_nodeid,ori_layer,des_layer,minutes,km
22,44,2,2,3,2.417
22,44,2,2,3,2.417
22,44,2,2,3,2.417
22,44,2,2,3,2.417
22,282,2,2,2,1.086
22,282,2,2,2,1.086
22,282,2,2,2,1.086
22,282,2,2,2,1.086
44,22,2,2,3,2.417
44,22,2,2,3,2.417
44,22,2,2,3,2.417
44,22,2,2,3,2.417
58,247,2,2,4,3.057
58,247,2,2,4,3.057
58,247,2,2,4,3.057
58,247,2,2,4,3.057
58,247,2,2,4,3.057
58,247,2,2,4,3.057
58,305,2,2,2,1.474
58,305,2,2,2,1.474
58,305,2,2,2,1.474
58,305,2,2,2,1.474
58,305,2,2,2,1.474
58,305,2,2,2,1.474
58,305,2,2,2,1.474
58,305,2,2,2,1.474
58,305,2,2,2,1.474
58,377,2,2,3,2.061
58,377,2,2,3,2.061
58,377,2,2,3,2.061
58,377,2,2,3,2.061
58,377,2,2,3,2.061
58,377,2,2,3,2.061
105,186,2,2,2,0.9
105,186,2,2,2,0.9
105,186,2,2,2,0.9
105,186,2,2,2,0.9
105,186,2,2,2,0.9
105,186,2,2,2,0.9
105,186,2,2,2,0.9
105,186,2,2,2,0.9
105,186,2,2,2,0.9
105,300,2,2,1,1.253
105,300,2,2,1,1.253
105,300,2,2,1,1.253
105,300,2,2,1,1.253
105,300,2,2,1,1.253
105,300,2,2,1,1.253
105,300,2,2,1,1.253
105,300,2,2,1,1.253
105,300,2,2,1,1.253
175,282,2,2,3,1.947
175,282,2,2,3,1.947
175,282,2,2,3,1.947
175,282,2,2,3,1.947
175,282,2,2,3,1.947
175,282,2,2,3,1.947
175,300,2,2,4,5.147
175,300,2,2,4,5.147
175,300,2,2,4,5.147
175,300,2,2,4,5.147
175,300,2,2,4,5.147
175,300,2,2,4,5.147
175,300,2,2,4,5.147
175,300,2,2,4,5.147
175,300,2,2,4,5.147
175,346,2,2,2,1.671
175,346,2,2,2,1.671
175,346,2,2,2,1.671
175,346,2,2,2,1.671
175,346,2,2,2,1.671
175,346,2,2,2,1.671
175,346,2,2,2,1.671
175,346,2,2,2,1.671
175,346,2,2,2,1.671
186,105,2,2,2,0.9
186,105,2,2,2,0.9
186,105,2,2,2,0.9
186,105,2,2,2,0.9
186,105,2,2,2,0.9
186,105,2,2,2,0.9
186,105,2,2,2,0.9
186,105,2,2,2,0.9
186,105,2,2,2,0.9
186,346,2,2,2,1.414
186,346,2,2,2,1.414
186,346,2,2,2,1.414
186,346,2,2,2,1.414
186,346,2,2,2,1.414
186,346,2,2,2,1.414
186,346,2,2,2,1.414
186,346,2,2,2,1.414
