nodeid,lat,lon,layer
1,51.62079,-0.29805,5
2,51.59789,-0.27883,5
3,51.58531,-0.31033,5
4,51.64302,-0.31711,5
5,51.64227,-0.32464,5
6,51.62098,-0.42281,5
7,51.6185,-0.39831,5
8,51.62072,-0.40769,5
9,51.61759,-0.40796,5
10,51.61547,-0.4098,5
11,51.62465,-0.41261,5
12,51.62263,-0.41585,5
13,51.62507,-0.42262,5
14,51.57038,-0.28763,5
15,51.59941,-0.32488,5
16,51.62186,-0.26294,5
17,51.57726,-0.37813,5
18,51.61976,-0.30323,5
18,51.61976,-0.30323,3
19,51.58425,-0.24808,5
20,51.58224,-0.26241,5
21,51.56398,-0.36548,5
22,51.60942,-0.3686,2
22,51.60942,-0.3686,5
23,51.62118,-0.24257,5
24,51.5121,-0.31201,5
25,51.61538,-0.32225,5
26,51.57991,-0.36302,5
27,51.58159,-0.36494,5
28,51.6391,-0.25585,5
29,51.59825,-0.39635,5
30,51.61033,-0.25951,5
31,51.63903,-0.35485,5
32,51.58231,-0.25696,5
33,51.5558,-0.26497,5
34,51.599,-0.29079,5
35,51.63816,-0.39697,5
36,51.63645,-0.40467,5
37,51.61406,-0.28314,5
38,51.56839,-0.34813,5
39,51.56549,-0.285,5
40,51.61384,-0.34003,5
41,51.60197,-0.38823,5
42,51.56654,-0.24696,5
43,51.59097,-0.26594,5
44,51.62835,-0.38594,2
44,51.62835,-0.38594,5
45,51.57102,-0.36491,5
46,51.56378,-0.33503,5
47,51.59865,-0.27267,5
48,51.58212,-0.3063,5
49,51.55111,-0.26167,5
50,51.6289,-0.41147,5
51,51.62964,-0.40779,5
52,51.62706,-0.40502,5
53,51.62835,-0.40881,5
54,51.62803,-0.40797,5
55,51.62969,-0.40596,5
56,51.62819,-0.41401,5
57,51.60464,-0.39786,5
58,51.5544,-0.31547,2
58,51.5544,-0.31547,5
58,51.5544,-0.31547,3
59,51.57272,-0.33732,5
60,51.55111,-0.26502,5
61,51.58723,-0.30317,5
62,51.60432,-0.28093,5
63,51.5591,-0.32705,5
64,51.59804,-0.39152,5
65,51.64202,-0.25268,5
66,51.57253,-0.35293,5
67,51.64917,-0.25568,5
68,51.65148,-0.25499,5
69,51.56313,-0.24527,5
70,51.62083,-0.31616,5
71,51.56056,-0.28157,5
72,51.55265,-0.32622,5
73,51.54297,-0.25957,5
74,51.60325,-0.28374,5
75,51.52346,-0.30282,5
76,51.57656,-0.32568,5
77,51.58871,-0.38261,5
78,51.58108,-0.38154,5
79,51.52444,-0.2922,5
80,51.60777,-0.25245,5
81,51.58296,-0.26202,5
82,51.56252,-0.2921,5
83,51.57755,-0.36953,5
84,51.55559,-0.34882,5
85,51.55431,-0.35407,5
86,51.60119,-0.26726,5
87,51.58749,-0.25144,5
88,51.52771,-0.32637,5
89,51.57073,-0.34605,5
90,51.61088,-0.2795,5
91,51.53278,-0.27451,5
92,51.56205,-0.3184,5
93,51.64177,-0.29016,5
94,51.59372,-0.29086,5
95,51.61957,-0.31385,5
96,51.53676,-0.28346,5
97,51.57952,-0.29015,5
98,51.55943,-0.2905,5
99,51.54745,-0.26007,5
100,51.57931,-0.32742,5
101,51.6008,-0.39576,5
102,51.58421,-0.26582,5
103,51.59257,-0.3463,5
104,51.57613,-0.32461,5
105,51.5626,-0.30398,5
105,51.5626,-0.30398,2
105,51.5626,-0.30398,3
106,51.57153,-0.37126,5
107,51.5929,-0.38116,5
107,51.5929,-0.38116,3
108,51.56017,-0.27863,5
109,51.60729,-0.30008,5
110,51.55676,-0.24607,5
111,51.59663,-0.33555,5
112,51.5563,-0.24995,5
113,51.59193,-0.36255,5
114,51.63793,-0.38239,5
115,51.5537,-0.26165,5
116,51.56159,-0.28631,5
117,51.57641,-0.34299,5
118,51.53762,-0.27629,5
119,51.60751,-0.27364,5
120,51.62318,-0.28932,5
121,51.63183,-0.25376,5
122,51.59644,-0.28878,5
123,51.62131,-0.37682,5
124,51.56581,-0.26645,5
125,51.61916,-0.28961,5
126,51.56499,-0.26345,5
127,51.60349,-0.40947,5
128,51.65447,-0.25437,5
129,51.65442,-0.26083,5
130,51.65065,-0.26106,5
131,51.65112,-0.26181,5
132,51.60424,-0.26006,5
133,51.53965,-0.31164,5
134,51.5508,-0.26096,5
135,51.54126,-0.26107,5
136,51.55242,-0.25748,5
137,51.59618,-0.38669,5
138,51.61434,-0.32652,5
139,51.58649,-0.29341,5
140,51.55747,-0.24739,5
141,51.62086,-0.34257,5
142,51.53226,-0.28721,5
143,51.52511,-0.32441,5
144,51.60542,-0.25671,5
145,51.60979,-0.33952,5
146,51.52985,-0.28555,5
147,51.53226,-0.28568,5
148,51.59189,-0.28566,5
149,51.64106,-0.33281,5
150,51.54923,-0.24644,5
151,51.58129,-0.34477,5
152,51.57502,-0.26246,5
153,51.53724,-0.29868,5
154,51.53348,-0.29056,5
155,51.6113,-0.27825,5
156,51.62168,-0.2931,5
157,51.54395,-0.3058,5
158,51.55895,-0.24851,5
159,51.54845,-0.27862,5
160,51.5864,-0.38679,5
161,51.55279,-0.34412,5
162,51.62433,-0.37898,5
163,51.63337,-0.37696,5
164,51.63313,-0.38225,5
165,51.61963,-0.42947,5
166,51.51491,-0.30958,5
167,51.60731,-0.3296,5
168,51.60543,-0.27326,5
169,51.62164,-0.27345,5
170,51.56541,-0.26095,5
171,51.5824,-0.28818,5
172,51.61312,-0.33161,5
173,51.58928,-0.35746,5
174,51.58321,-0.38204,5
175,51.59217,-0.33457,5
175,51.59217,-0.33457,2
175,51.59217,-0.33457,3
176,51.59101,-0.32229,5
177,51.57702,-0.34451,5
178,51.64922,-0.29659,5
179,51.63774,-0.30368,5
180,51.64396,-0.3069,5
181,51.64409,-0.30242,5
182,51.52608,-0.31378,5
183,51.59693,-0.35692,5
184,51.59753,-0.34954,5
185,51.62535,-0.29668,5
186,51.57022,-0.30846,5
186,51.57022,-0.30846,2
186,51.57022,-0.30846,3
187,51.56586,-0.27411,5
188,51.56772,-0.36852,5
189,51.56327,-0.25974,5
190,51.55851,-0.2473,5
191,51.60044,-0.33791,5
192,51.55324,-0.33832,5
193,51.55124,-0.35144,5
194,51.56828,-0.24214,5
195,51.53018,-0.2927,5
195,51.53018,-0.2927,3
196,51.64072,-0.38244,5
197,51.63672,-0.39361,5
198,51.61805,-0.24497,5
199,51.54976,-0.26481,5
200,51.53107,-0.30125,5
201,51.56464,-0.23936,5
202,51.60537,-0.41037,5
203,51.55276,-0.35152,5
204,51.60246,-0.24178,5
205,51.53672,-0.32345,5
205,51.53672,-0.32345,3
206,51.60852,-0.36088,5
207,51.55755,-0.32245,5
208,51.565,-0.36045,5
209,51.59657,-0.28591,5
210,51.58455,-0.34153,5
211,51.6171,-0.26125,5
212,51.62247,-0.27227,5
213,51.60162,-0.246,5
214,51.54746,-0.26579,5
215,51.5632,-0.27926,5
215,51.5632,-0.27926,3
216,51.65064,-0.28867,5
217,51.54128,-0.32027,5
218,51.61334,-0.41387,5
219,51.57286,-0.37128,5
220,51.60445,-0.328,5
221,51.58138,-0.34952,5
222,51.62497,-0.34252,5
223,51.56857,-0.34233,5
224,51.64432,-0.29854,5
225,51.64263,-0.29996,5
226,51.64705,-0.25881,5
227,51.64553,-0.26149,5
228,51.64361,-0.25646,5
229,51.64823,-0.26334,5
230,51.63995,-0.30192,5
231,51.58598,-0.27446,5
232,51.54412,-0.27583,2
232,51.54412,-0.27583,5
232,51.54412,-0.27583,3
233,51.57744,-0.29187,5
234,51.61004,-0.34648,5
235,51.54226,-0.26631,5
236,51.56283,-0.31258,5
237,51.58734,-0.26471,5
238,51.58852,-0.2596,5
239,51.57521,-0.35674,5
240,51.59193,-0.35126,5
241,51.61188,-0.3346,5
242,51.59497,-0.29326,5
243,51.60306,-0.40724,5
244,51.59631,-0.31281,5
245,51.61203,-0.3044,5
246,51.56489,-0.35249,5
246,51.56489,-0.35249,3
247,51.55755,-0.35947,2
247,51.55755,-0.35947,5
248,51.56793,-0.2722,5
249,51.59457,-0.30464,5
250,51.55345,-0.33307,5
251,51.61581,-0.34136,5
252,51.54515,-0.2524,5
253,51.58496,-0.37895,5
254,51.57515,-0.34999,5
255,51.55003,-0.28163,5
256,51.53853,-0.30582,5
257,51.56997,-0.2369,5
258,51.56806,-0.3632,5
259,51.57515,-0.37113,5
259,51.57515,-0.37113,3
260,51.6418,-0.34322,5
261,51.55998,-0.2407,5
262,51.52175,-0.31706,5
263,51.61921,-0.258,5
264,51.55399,-0.24984,5
264,51.55399,-0.24984,3
265,51.53996,-0.31463,5
266,51.60423,-0.34506,5
267,51.59984,-0.29608,5
268,51.54012,-0.3243,5
269,51.60739,-0.27537,5
270,51.56913,-0.26305,5
271,51.6094,-0.26481,5
272,51.58007,-0.23867,5
272,51.58007,-0.23867,2
273,51.6077,-0.29469,5
273,51.6077,-0.29469,3
274,51.58083,-0.28619,5
275,51.55126,-0.3501,5
276,51.61737,-0.24627,5
277,51.56965,-0.33985,5
278,51.5958,-0.26164,5
279,51.5648,-0.28874,5
280,51.55947,-0.24322,5
281,51.62069,-0.27751,5
282,51.60265,-0.35722,2
282,51.60265,-0.35722,5
283,51.62839,-0.39457,5
284,51.62736,-0.40219,5
285,51.62942,-0.39691,5
286,51.62956,-0.40168,5
287,51.62782,-0.39863,5
288,51.65159,-0.27152,5
289,51.60581,-0.24397,5
290,51.60113,-0.25061,5
291,51.52217,-0.30628,5
292,51.59636,-0.34889,5
293,51.57216,-0.26247,5
294,51.52514,-0.31845,5
295,51.59811,-0.24072,5
296,51.52122,-0.31218,5
297,51.5942,-0.28622,5
297,51.5942,-0.28622,3
298,51.52041,-0.30622,5
299,51.58275,-0.36634,5
300,51.55233,-0.29643,5
300,51.55233,-0.29643,2
300,51.55233,-0.29643,3
301,51.59114,-0.24668,5
302,51.60178,-0.29682,5
303,51.6017,-0.288,5
304,51.59342,-0.36096,5
305,51.55847,-0.3358,2
305,51.55847,-0.3358,5
305,51.55847,-0.3358,3
306,51.61799,-0.27245,5
307,51.54063,-0.29961,5
307,51.54063,-0.29961,3
308,51.57553,-0.29448,5
309,51.57755,-0.30611,5
310,51.59025,-0.38067,5
311,51.58403,-0.37161,5
312,51.5278,-0.29974,5
313,51.59043,-0.30897,5
314,51.64543,-0.35315,5
315,51.64286,-0.36034,5
316,51.64432,-0.36296,5
317,51.64402,-0.35064,5
318,51.61032,-0.41525,5
319,51.60006,-0.39102,5
320,51.54517,-0.25966,5
321,51.65289,-0.2798,2
321,51.65289,-0.2798,5
322,51.55703,-0.25337,5
323,51.56585,-0.28091,5
324,51.57198,-0.29511,5
324,51.57198,-0.29511,3
325,51.62748,-0.33954,5
326,51.59923,-0.31437,5
327,51.58593,-0.28906,5
328,51.56819,-0.32139,5
329,51.60178,-0.3252,5
330,51.57824,-0.2889,5
331,51.60346,-0.27095,5
332,51.56386,-0.32076,5
333,51.60394,-0.3832,5
334,51.62504,-0.32159,5
335,51.58409,-0.35747,5
336,51.57972,-0.3534,3
337,51.59205,-0.31582,5
338,51.60904,-0.26701,5
339,51.54813,-0.31277,5
340,51.56054,-0.31958,5
341,51.59157,-0.25056,5
342,51.59067,-0.24239,5
343,51.60874,-0.40879,5
344,51.60796,-0.40999,5
345,51.606,-0.30671,5
346,51.58181,-0.31698,2
346,51.58181,-0.31698,5
346,51.58181,-0.31698,3
347,51.52671,-0.30924,5
348,51.59077,-0.37204,5
349,51.59432,-0.26189,5
350,51.60521,-0.31008,5
351,51.60123,-0.31801,5
352,51.59932,-0.39402,5
353,51.53412,-0.27492,5
354,51.60789,-0.24021,5
355,51.62692,-0.27278,5
356,51.6282,-0.32672,5
357,51.59779,-0.24591,5
358,51.62296,-0.38645,5
359,51.61959,-0.38585,5
360,51.62022,-0.38815,5
361,51.61724,-0.3924,5
362,51.57926,-0.33699,5
362,51.57926,-0.33699,2
362,51.57926,-0.33699,3
363,51.60005,-0.40058,5
364,51.58409,-0.2491,5
365,51.60868,-0.26538,5
366,51.63002,-0.33284,5
367,51.58684,-0.29878,5
368,51.55029,-0.24954,5
369,51.52713,-0.28434,5
369,51.52713,-0.28434,3
370,51.57024,-0.35041,5
371,51.5667,-0.26407,5
372,51.58889,-0.36307,5
373,51.59543,-0.24992,5
373,51.59543,-0.24992,3
374,51.58613,-0.38181,5
375,51.54679,-0.29758,5
376,51.54967,-0.30548,5
377,51.55442,-0.28561,5
377,51.55442,-0.28561,2
378,51.6166,-0.31429,5
379,51.62153,-0.25514,5
380,51.59798,-0.32977,5
381,51.62677,-0.25429,5
382,51.60619,-0.34026,5
383,51.59796,-0.27038,5
384,51.60818,-0.28797,5
385,51.58487,-0.36241,5
385,51.58487,-0.36241,3
386,51.56746,-0.33962,5
387,51.60924,-0.357,5
388,51.57522,-0.3519,5
389,51.55258,-0.26323,5
390,51.65026,-0.26894,5
391,51.65005,-0.26577,5
392,51.56097,-0.25433,5
393,51.5945,-0.26804,5
394,51.56188,-0.28266,5
395,51.56539,-0.29368,5
396,51.554,-0.3377,5
397,51.53385,-0.32639,5
398,51.63221,-0.30461,5
399,51.55853,-0.27888,5
400,51.61768,-0.30946,5
401,51.5321,-0.31076,5
402,51.59283,-0.31081,5
403,51.61001,-0.34995,5
404,51.61365,-0.27493,5
404,51.61365,-0.27493,3
405,51.5655,-0.36664,5
406,51.6056,-0.37918,5
407,51.59689,-0.33433,5
408,51.59778,-0.26406,5
409,51.52186,-0.307,5
410,51.55177,-0.30632,5
411,51.58239,-0.28497,5
412,51.60822,-0.41561,5
413,51.60696,-0.40328,5
414,51.57865,-0.26279,5
415,51.59181,-0.25703,5
416,51.59037,-0.25512,5
417,51.58812,-0.23653,5
418,51.56209,-0.35653,5
419,51.6131,-0.24924,2
419,51.6131,-0.24924,5
420,51.61654,-0.28681,5
421,51.58389,-0.37435,5
422,51.64221,-0.34651,5
423,51.63935,-0.33691,5
424,51.63388,-0.34107,5
425,51.63776,-0.34308,5
426,51.63841,-0.34016,5
427,51.63151,-0.33702,5
428,51.6409,-0.35779,5
429,51.63727,-0.34743,5
430,51.63797,-0.35116,5
431,51.52419,-0.3085,5
432,51.61469,-0.30609,5
433,51.58485,-0.27879,5
433,51.58485,-0.27879,3
434,51.5735,-0.34388,5
435,51.60363,-0.24387,5
436,51.55332,-0.24367,5
437,51.60278,-0.26405,5
437,51.60278,-0.26405,3
438,51.64867,-0.27228,5
439,51.60181,-0.26883,5
440,51.58888,-0.28378,5
441,51.53506,-0.28799,5
442,51.61078,-0.41681,5
443,51.55985,-0.29102,5
444,51.59502,-0.24214,5
